Depth,C14 BP,CAL BP,Abies,Alnus glutinosa,Amaranthaceae,Apiaceae,Asphodelus,Asteroideae,Campanulaceae,Caryophyllaceae,Cedrus,Cichorioideae,Cistus monspeliensis,Corylus,Cyperaceae,Ephedra,Erica arborea,Fabaceae,Fraxinus,Hypericum,Isoetes (spore),Lamiaceae,Linaceae,Lythrum,Myriophyllum,Olea europaea,Pinus,Pistacia lentiscus,Plantago coronopus-type,Poaceae,Polygalaceae,Polygonum,Quercus canariensis,Quercus coccifera,Quercus ilex-type,Quercus suber,Salix,Sambucus,Typha latifolia,Typhaceae,Unknown (spore),Unknown (monolete) (spore),Unknown (trilete) (spore)
0,0,106,,,,2,,20,4,2,,2,,,,,38,,,,2,2,,,,8,4,2,4,80,,,,,,40,2,,,,214,,2
5,148,246,,2,,,,12,2,30,,4,,,6,,40,,4,2,2,2,,2,2,4,8,1,4,88,2,,6,,,44,18,,,,285,,
10,296,387,,,,2,,12,2,25,,3,,,5,,23,,6,2,1,2,,1,2,6,2,,2,66,,,8,,,27,8,,,,206,,1
15,444,527,,,,2,,19,,28,,,1,,6,,37,,8,7,,,,4,,11,4,1,4,82,,,2,4,1,44,10,2,,1,279,,1
20,592,668,,,,4,1,12,,28,,4,1,,3,,39,,4,5,,1,,2,1,10,2,1,1,80,,,4,1,,40,11,1,,,256,,
25,740,808,,,2,1,2,15,2,16,,1,,,,,42,,5,5,2,1,,,,12,3,2,8,92,,,,15,,45,5,1,,,279,1,1
30,888,949,,,,4,,21,1,21,,3,,,10,,52,,8,1,1,1,,2,,3,6,,2,62,,,9,3,1,68,1,,,,281,1,
35,1036,1090,,,,2,4,25,4,8,,12,,,14,4,36,,4,2,4,2,,2,,10,4,8,2,75,,,,2,,50,,2,,4,286,,6
40,1184,1230,,,,3,1,16,1,12,,6,,,8,,37,,6,3,,1,,1,1,4,3,1,5,90,1,,4,15,,40,,2,,3,266,1,1
45,1332,1371,,1,4,9,4,28,3,26,,6,,,26,,35,1,6,8,,,,3,,10,3,,7,94,5,,4,17,1,55,,,,1,359,1,1
50,1480,1511,,5,1,11,6,41,4,25,,17,,,38,,32,5,4,6,2,,,2,1,16,6,,9,111,1,,,17,,38,,,,,399,,1
55,1628,1652,,1,1,8,2,27,4,13,,12,,,24,,20,,2,,1,1,,4,,5,1,,14,75,,,,16,,22,,1,,2,257,,1
60,1776,1792,,,,7,4,24,2,14,,6,1,,31,,25,,6,7,1,1,,,,4,5,1,6,70,,,,4,,33,,,,,252,,
65,1924,1933,,,,8,7,25,1,19,,25,1,,15,,20,,4,4,,1,,1,,1,3,,3,68,,,,,1,37,1,,,,246,1,
70,2072,2073,,3,,27,6,46,2,40,,64,,,58,,15,1,4,4,,1,1,,,1,5,,5,130,3,,,5,,20,,,,1,442,,
75,2220,2214,,3,4,38,16,56,1,38,,72,2,2,75,,37,,2,1,4,2,,1,1,3,15,1,8,172,3,,,22,3,40,,1,,1,627,,3
80,2910,3100,,1,3,27,20,44,,20,,60,,2,76,1,30,4,2,2,,1,,4,1,4,16,,7,108,,,6,15,2,24,,,,,481,1,
85,3600,3986,,1,1,20,15,32,,25,,55,,1,69,,33,,,1,,1,,2,,1,11,,2,92,,,2,3,,27,,,,,394,,
90,4290,4873,,,1,2,15,43,,30,,36,1,,12,,20,,,,8,,,2,,1,9,,2,80,,,,,,35,,,,,300,,3
95,4438,5054,,4,3,1,23,76,,58,,49,,1,59,,25,,1,1,,,4,3,,6,9,,11,120,,,,,1,32,,,,,493,,6
100,4587,5235,,2,1,1,17,55,,45,,38,,,43,,15,,,1,6,,2,1,4,4,6,2,7,88,,,,,1,28,,,,,371,1,3
105,4735,5416,,6,,,6,26,,30,1,27,,,8,,42,,,,,2,2,,4,,7,2,4,62,,,,,,72,,,,,303,,2
110,4883,5597,,,,,4,12,,16,,28,,,2,,56,,,,6,,2,,2,,2,,,75,4,,8,,,80,,,,,299,,2
115,5032,5778,,7,2,,1,20,,24,1,22,,,10,,20,,,,,,,,,1,13,1,4,62,2,,,,,48,,,,,239,,1
120,5180,5959,,,,1,,3,,2,,12,,1,,,47,,2,,,1,,,,,1,1,,72,1,,6,,,55,,,,,206,,1
125,5429,6225,,,,2,,4,,2,,22,,1,,,81,,,,1,,,,13,,4,,,100,1,,,,,80,,,,8,320,1,
