,"Depth (cm) [cm]","Sample age (cal yr BP) [cal yr BP]","name [undefined]","preparedby [undefined]","dateprepared [undefined]","model [undefined]","notes [undefined]"
,1,449.771,Calendar Chron,Lezine A.M.,2020,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,28,690.2977,Calendar Chron,Lezine A.M.,2020,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,59,966.458,Calendar Chron,Lezine A.M.,2020,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,79,1144.626,Calendar Chron,Lezine A.M.,2020,2020,Precision: 1 sigma
,99,1322.794,Calendar Chron,Lezine A.M.,2020,2020,Precision: 1 sigma
,119,1500.962,Calendar Chron,Lezine A.M.,2020,2020,Precision: 1 sigma
,139,1679.13,Calendar Chron,Lezine A.M.,2020,2020,Precision: 1 sigma
,159,1857.298,Calendar Chron,Lezine A.M.,2020,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,179,2035.466,Calendar Chron,Lezine A.M.,2020,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,199,2203.608,Calendar Chron,Lezine A.M.,2020,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,219,2331.646,Calendar Chron,Lezine A.M.,2020,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,239,2459.684,Calendar Chron,Lezine A.M.,2020,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,259,2587.722,Calendar Chron,Lezine A.M.,2020,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,279,2715.761,Calendar Chron,Lezine A.M.,2020,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,299,2843.799,Calendar Chron,Lezine A.M.,2020,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,319,2971.837,Calendar Chron,Lezine A.M.,2020,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,339,3099.875,Calendar Chron,Lezine A.M.,2020,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,359,3227.914,Calendar Chron,Lezine A.M.,2020,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,379,3355.952,Calendar Chron,Lezine A.M.,2020,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,399,3483.99,Calendar Chron,Lezine A.M.,2020,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
