,"Method [undefined]","Depth (cm) [undefined]","Thickness (cm) [undefined]","Material dated [undefined]","14C age (yr BP) [undefined]","error [undefined]","labnumber [undefined]"
,C,64.0,8.0,Organic mater,1110.0,50.0,UQ 991
,C,195.0,10.0,Organic mater,2146.0,46.0,AA50816
,C,404.0,8.0,Organic mater,3250.0,200.0,UQ 1094
,C,579.0,2.0,Organic mater,6425.0,52.0,AA50818
,C,1229.0,2.0,Organic mater,9919.0,67.0,AA50819
