,"Depth (cm) [undefined]","cal yr AD/BC (1sigma) [undefined]","remarks [undefined]"
,0.5,2014.0,date of coring
,50.0,1948.0,appearance of Casuarina equisetifolia pollen grains (planted in the area)
,308.5,1011.0,
,415.5,1002.0,
