"age_Radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Tilia","Plantaginaceae","Malvaceae (periporate)","Riccia","Unknown (monolete, psilate)","Cichorioideae","Alnus","Ranunculaceae","Persicaria maculosa-type","Unknown (trilete) undiff.","Asteroideae undiff.","Onagraceae","Unknown","Cyperaceae","Indeterminable","Amaranthaceae","Poaceae","Typha cf. T. domingensis","Unknown (trilete, psilate)","Apiaceae","Pinaceae undiff.","Podocarpus","Tamarix","Typha cf. T. elephantina","Pteris","Anthocerotales (type 1)","Anthocerotales (type 2)","Azolla nilotica","Rumex","Pinus","Calystegia","Quercus (deciduous)","Artemisia","Boraginaceae","Cannabaceae sensu stricto","Caryophyllaceae","Liliaceae","Fabaceae","Ephedra","Brassicaceae","Loranthaceae","Capparaceae","Abutilon","Caesalpinia-type","Cucurbitaceae","Oleaceae","Hagenia abyssinica","Hyphaene cf. H. thebaica","Randia","Acacia","Anthocerotales (type 3)","Unknown (monolete) undiff."
2889,NA,NA,195,1,1,1,1,1,2,2,3,4,5,6,8,9,21,34,95,289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3958,NA,NA,300,NA,4,NA,NA,NA,NA,1,NA,1,2,2,1,3,2,41,137,229,1,3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4110,NA,NA,330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,164,6,9,75,1,NA,NA,1,1,1,1,1,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4161,NA,NA,340,NA,NA,NA,NA,8,NA,NA,NA,1,1,1,NA,1,115,3,21,88,NA,1,6,1,NA,NA,1,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5280,NA,NA,560,NA,4,1,10,31,2,NA,NA,1,39,20,NA,18,176,61,4,234,4,22,3,2,3,1,NA,6,NA,2,NA,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,14
