"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Tripterospora","Caryophyllaceae","Taxus","Alnus","Liliaceae","Pinus sylvestris","Rhamnus-type","Plantago coronopus","Fungi (type 18, HdV)","Gelasinospora","Plantago lanceolata","Apiaceae","Juniperus-type","Fraxinus","Ophioglossum","Cichorioideae","Fabaceae","Cistus-type","Pteridium aquilinum","Sordaria","Quercus ilex-type","Rumex acetosa","Pinus halepensis/P. pinea","Olea europaea","Quercus pubescens-type","Cistus ladanifer-type","Poaceae","Cyperaceae","Pinus pinaster","Erica-type","Total count rate","Lycopodium tablets","Lycopodium spike","Podospora","Coniochaeta","Anthemis-type","Helianthemum-type","Cytisus/Genista-type","Chaetomium","Pseudoschizaea","Daphne gnidium-type","Saxifragaceae","Sporormiella","Asteroideae","Castanea","Rubiaceae","Calluna","Byssothecium circinans (type 16A, HdV)","Artemisia","Corylus","Salix","Lamiaceae","Humulus/Cannabis-type","Byssothecium circinans (type 16C, HdV)","Zygnemataceae","Phillyrea","Plantago major/P. media-type","Rosaceae","Rumex acetosella","Poaceae (Cerealia)","Glomus","Amaranthaceae","Oribatida (type 36, HdV)","Ranunculaceae","Hymenophyllum","Entorrhiza sp. (type HdV-527)","Centaurea nigra-type","Brassicaceae","Juglans","Populus","Urtica dioica","Arbutus","Asphodelus albus-type","Potamogeton-type","Cardueae-type","Transeauina","Centaurea cyanus-type","Betula","Typha latifolia","Myrtus","Lonicera","Typha angustifolia-type"
-60,NA,NA,2,"0.97000002861023","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","3","3","3","4","7","7","7","8","9","10","14","19","27","36","126","293","1","24, 10679","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
-50,NA,NA,4,"1.27999997138977","","","","","","1","1","4","1","6","1","","","","","3","5","6","7","10","11","","2","14","35","22","95","58","49","172","499","1","24, 10679","1","1","1","1","1","2","2","2","3","4","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
-42,NA,NA,6,"1.42999994754791","2","","","","","","1","","2","7","1","2","2","1","","2","1","7","3","","8","1","2","5","13","13","48","40","8","111","284","1","30, 10679","","","","1","","","","3","","2","8","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
-33,NA,NA,8,"1.24000000953674","3","1","","1","1","","1","","2","2","2","","","1","","3","5","3","4","8","7","","","12","17","24","97","53","10","215","495","1","24, 10679","2","","2","6","","1","1","1","2","3","7","","4","1","1","1","1","1","1","1","1","2","2","2","3","3","","","","","","","","","","","","","","","","","","","","","","",""
-25,NA,NA,10,"1.28999996185303","1","","","1","","1","","","","2","","1","","4","","2","2","5","2","2","7","1","2","15","11","23","55","17","6","155","337","1","25, 10679","1","","1","7","","","2","1","","","7","1","","1","","3","","","","","","","","","","","2","3","4","","","","","","","","","","","","","","","","","","","",""
-16,NA,NA,12,"1.48000001907349","2","2","","","2","","","","1","5","3","2","","1","","11","6","7","5","5","7","5","","18","32","12","111","83","6","209","561","1","31, 10679","","","4","5","3","","1","","1","3","7","","1","","","","2","2","3","1","","","2","","2","","1","","1","1","1","1","1","2","","","","","","","","","","","","","","",""
-8,NA,NA,14,"1.58000004291534","","","","","","","","","","1","","","3","1","","3","1","4","6","","9","2","","18","19","24","37","50","3","130","330","1","25, 10679","","","","13","","","","","","2","2","","","1","","2","","","","","","","1","","","","","","","","","","","","1","","","","","","","","","","","","","",""
0,NA,NA,16,"1.46000003814697","1","1","1","","","","3","","1","3","1","","","2","1","4","1","13","6","3","3","4","1","8","20","32","90","72","2","289","578","1","26, 10679","","","2","3","","","1","3","1","","3","1","1","","","1","","","2","","","","","1","1","","2","","1","2","","","","","","1","1","","","","","","","","","","","",""
68,NA,NA,18,"1.41999995708466","","","","1","1","1","","","","2","","1","3","3","","3","1","5","3","","4","1","1","5","11","16","13","19","2","126","247","1","20, 10679","","","1","11","2","","","2","","1","1","","","1","2","","","","1","","","","2","","","","","1","1","","1","","","","2","","","2","","","","","","","","","","",""
136,NA,NA,20,"1.48000001907349","","","1","","1","1","","2","","","2","2","","","","5","2","23","10","1","4","3","1","3","35","39","67","22","","299","565","1","20, 10679","","","2","10","3","","3","3","1","1","5","","1","1","","2","","1","1","1","","1","","1","1","","","","2","1","","1","","","","","1","2","1","3","","","","","","","","",""
204,NA,NA,22,"1.53999996185303","","1","","","","1","","","","","","","2","1","","","1","15","1","","1","","","3","8","25","16","5","1","151","258","1","14, 10679","","","","17","","","3","4","","","1","","","","1","","1","","1","","","","","","","","","","","","","1","","","","","","1","","","","","","","","","","",""
272,NA,NA,24,"1.50999999046326","","1","2","1","3","","","2","2","1","","1","","","","1","4","6","2","1","5","1","1","","26","18","55","22","1","365","542","1","17, 10679","","","","11","","","2","4","","","","","","","","2","","","3","","","4","2","","1","","","","","","","","","","","","","","","","1","1","","","","","","",""
340,NA,NA,26,"1.42999994754791","","","","1","","","","","2","","","","1","","","","1","14","3","","1","1","","2","5","156","20","4","","172","384","1","25, 10679","","","","","","","4","","","","1","","","","","","","","","","","","","","","","","","","","","1","","","","","","1","","","","","3","","","","","",""
408,NA,NA,28,"1.5","","","","2","","2","","","1","","","2","","2","","8","5","18","10","","","2","","1","33","25","74","38","1","385","637","1","48, 10679","","","1","9","","","2","5","1","","","","","","","1","","","3","1","1","5","","3","2","","","","","3","","","","","","","","1","1","","","1","","","","","","",""
476,NA,NA,30,"1.73000001907349","","","","1","","2","","","19","3","","","","2","","","1","15","5","4","2","","","6","10","32","13","5","","142","259","1","13, 10679","","2","","7","","1","","5","","2","","","","","2","3","2","","","","1","","","","","","","","","1","1","","","","","","","1","","3","","","","1","","","","",""
770,NA,NA,32,"1.89999997615814","","","","","","","","","1","","","","","","","","1","35","3","","1","","2","2","1","9","28","9","","148","263","1","16, 10679","","","","16","","","3","","","","","2","","","","","3","","","","","","","","","","3","1","","","","","","","","","","","","","","","","","","","","",""
1064,NA,NA,34,"1.87000000476837","","","","","","","","","2","2","","1","","1","2","","4","20","10","2","1","1","2","","4","11","20","7","","137","236","1","24, 10679","","","3","6","","","1","","","","1","","","","","","2","","2","","","","","","","","","1","","","","","","","","1","","","","","","","","","","","","",""
1358,NA,NA,36,"2.09999990463257","","","","","","","","","2","","","1","6","2","","","8","24","2","","6","6","","8","6","22","54","50","","182","401","1","46, 10679","","","","","","","","","","","4","2","","","","","","","","","","","","2","","","4","","2","","","","","","","","","","","","10","","","","","","","",""
1652,NA,NA,38,"1.89999997615814","","","","4","","","","","","","","","","","","","","14","2","","2","2","10","","2","8","16","22","4","310","406","1","14, 10679","","","","","","","2","","","","2","","","2","","","","","2","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","",""
1946,NA,NA,40,"1.89999997615814","","","","3","","","","","","","","","1","1","","","","10","6","","","","12","1","1","10","13","10","","213","285","1","19, 10679","","","","","","","2","","","","","","","","","1","1","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","1","","","",""
2007,NA,NA,42,"1.89999997615814","","","","","","","","","","","","1","","1","","","1","14","8","","1","","22","1","7","12","20","16","3","255","367","1","25, 10679","","","","","","","3","2","","","1","","","","","","","","","","","","","","","","","8","","","","","","","","","","","","","2","","2","","","","","",""
2068,NA,NA,44,"1.79999995231628","","","","2","","","","","","","","","","","","","2","6","6","","","","10","2","4","14","24","30","","310","432","1","16, 10679","","","","2","","","2","","","","","","","","","","4","","","","","","","","","","","2","","","","","","","","","","","2","","","","2","","2","12","","",""
2130,NA,NA,46,"1.89999997615814","","","","","","","","","","","","","1","","","","3","5","8","","","","18","2","3","12","25","63","","285","442","1","17, 10679","","","","","","","3","","","","","","","","","","5","","","","","","","","","","","2","","","","","","","","","","","","","","","2","","","12","","",""
2191,NA,NA,48,"1.89999997615814","","","","","","","","","","","","","2","","","","4","4","10","","2","","26","2","2","10","26","96","","220","430","1","18, 10679","","","","","","","4","","","","","","","","","","6","","","","","","","","","","","2","","","","","","","","","","2","","","","","2","","4","12","2","",""
2252,NA,NA,50,"2.09999990463257","","","","2","","","","","","","","","","4","","","2","6","7","","2","4","12","","4","16","66","64","","245","476","1","22, 10679","","","","","","","5","","","","","","","","","","6","","2","","","","","","","","","","","","","","","","2","","","","","","4","","","","2","14","","2","10"
2313,NA,NA,52,"3.40000009536743","","","","3","","","","","","","","","","","","","1","3","7","","3","2","14","","6","14","66","90","","260","536","1","63, 10679","","","","","","","2","","","","1","","","","","","15","","","","","","","","","","","","2","","","","","","","","","1","","","2","","","","9","17","","","20"
2405,NA,NA,55,"3.79999995231628","","","","4","","","","","4","","","","","","","","","","8","","4","","16","","8","12","68","116","","280","636","1","104, 10679","4","","","","","","","","","","4","","","","","","24","","","","","","","","","","","","4","","","","","","","","","4","","","","","","","16","20","","","48"
2497,NA,NA,58,"3.29999995231628","","","","4","","","","","45","","25","","8","","","","","","31","","","4","20","","12","13","49","41","","221","556","1","60, 10679","","","","","","","","","","37","","3","","","","","","","","","","","","","","","","5","","","","","","","4","","","","","","","","4","","","4","","","117"
