"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Betula","Salix","Thalictrum","Tilia","Typha latifolia","Ulmus","Fabaceae","Brassicaceae","Geraniaceae","Quercus ilex-type","Clematis-type","Artemisia herba-alba-type","Capsella-type","Centaurea scabiosa-type","Fraxinus excelsior","Ranunculaceae","Carpinus betulus","Ephedra fragilis-type","Polypodium","Cyperaceae","Plantago undiff.","Centaurea solstitialis-type","Thymus/Mentha","Ophioglossum","Artemisia","Juniperus","Abies","Alnus","Apiaceae","Amaranthaceae","Plantago lanceolata-type","Caryophyllaceae","Dryopteris-type","Poaceae (Cerealia-type)","Ostrya/Carpinus orientalis","Corylus","Asteroideae","Cichorioideae","Poaceae","Polygonum aviculare-type","Unknown","Pteridium","Quercus robur-type","Pinus","Potentilla-type","Acer","Pistacia","Rumex acetosa-type","Sanguisorba-type","Helianthemum","Sparganium-type","Cladium mariscus","Fraxinus ornus","Pseudopediastrum boryanum","Fagus","Vitis","Liliaceae","Dipsacoideae","Galium-type","Brassica-type","Tamarix","Ephedra distachya-type","Calligonum","Ericaceae","Campanulaceae","Lemna","Centaurea undiff.","Buxus","Hedera","Cornus mas/C. sanguinea","Rosaceae","Ranunculus","Xanthium","Hypericum perforatum-type","Matricaria-type","Olea","Plantago coronopus-type","Fallopia convolvulus-type","Triglochin","Hippophaë","Solanum dulcamara","Plantago maritima-type","Pseudopediastrum kawraiskyi","Nymphaea","Scilla-type","Lythrum","Myriophyllum spicatum/M. verticillatum","Thelypteris palustris","Celtis","Picea","Humulus/Cannabis","Equisetum","Phillyrea","Boraginaceae","Taxus","Filipendula","Ranunculus repens-type","Rumex hydrolapathum","Scrophularia/Verbascum","Plumbaginaceae","Ranunculus sect. Batrachium-type","Caltha","Armeria/Limonium","Gentianaceae","Rhamnaceae","Plantago media-type","Botrychium","Euphorbia","Pseudopediastrum brevicorne","Alisma","Persicaria maculosa-type","Asphodelus","Isoëtes","Bupleurum-type","Daphne","Rhinanthus-type","Stachys-type","Ligustrum","Pediastrum longicorne","Trifolium-type","Potamogeton","Onosma-type","Muscari","Convolvulus","Rumex undiff.","Platanus","Butomus","Teucrium","Myriophyllum alterniflorum","Malvaceae","Knautia","Vicia-type","Viburnum-type","Lotus-type","Sambucus nigra-type","Cotoneaster-type","Castanea","Onobrychis-type","Valeriana"
7525,7695,7344,680,NA,NA,NA,8,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,1,1,2,NA,1,NA,8,4,NA,27,1,NA,9,NA,NA,32,NA,NA,5,3,8,2,3,10,45,9,141,NA,NA,NA,NA,NA,NA,1,NA,NA,11,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7587,7737,7423,715,2,1,NA,7,NA,1,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,2,1,NA,1,NA,NA,19,2,41,2,7,3,NA,NA,18,NA,1,10,1,7,12,14,13,31,24,249,NA,NA,NA,1,NA,NA,NA,NA,3,6,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7637,7773,7485,743,NA,1,NA,3,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,6,NA,NA,NA,4,7,NA,29,4,3,7,NA,2,6,NA,NA,22,NA,4,18,3,9,18,21,173,NA,2,NA,NA,NA,NA,1,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7668,7795,7521,760,1,16,NA,4,NA,9,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,21,2,1,2,3,34,5,5,16,8,12,NA,2,14,NA,1,35,11,6,59,26,37,30,205,215,1,NA,5,15,2,NA,58,NA,2,4,NA,28,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,1,3,NA,NA,36,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7703,7824,7565,780,1,3,NA,14,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,NA,NA,7,NA,NA,NA,3,88,1,20,11,8,9,5,1,29,6,18,47,6,13,58,46,41,60,69,164,1,NA,1,29,2,NA,14,NA,2,76,1,12,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,3,NA,NA,1,2,NA,NA,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7748,7866,7621,805,1,22,NA,8,2,10,1,NA,NA,4,NA,NA,1,NA,2,NA,4,NA,NA,9,NA,3,1,NA,32,6,5,23,3,14,2,3,22,1,41,121,2,13,58,34,23,25,73,127,NA,NA,2,4,NA,NA,11,NA,4,9,1,3,NA,1,2,2,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2,NA,NA,NA,1,1,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7775,7892,7654,820,2,6,NA,4,NA,18,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,13,NA,3,1,2,22,2,10,34,2,7,NA,6,8,4,39,100,4,6,24,16,16,40,55,121,NA,NA,2,5,1,2,3,NA,NA,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,1,1,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7811,7926,7695,840,NA,3,NA,2,NA,29,NA,NA,NA,NA,1,NA,2,NA,7,NA,2,NA,NA,9,NA,NA,NA,4,23,1,13,108,4,8,1,NA,6,6,4,253,2,2,35,14,15,24,50,146,1,NA,NA,4,2,NA,7,NA,1,9,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7847,7961,7733,860,1,2,NA,1,NA,9,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,15,NA,NA,1,NA,26,2,2,36,1,16,1,NA,11,NA,13,48,1,2,43,5,4,17,85,43,NA,NA,1,NA,NA,NA,13,NA,1,9,1,6,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7882,7996,7768,880,NA,6,NA,8,1,5,NA,NA,NA,NA,NA,NA,1,NA,6,NA,1,NA,NA,18,NA,1,NA,2,32,3,9,41,6,28,1,NA,9,3,8,63,2,7,58,15,19,22,91,123,NA,1,2,6,1,NA,9,NA,3,3,NA,9,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
