"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Betula","Salix","Thalictrum","Tilia","Typha latifolia","Ulmus","Fabaceae","Brassicaceae","Geraniaceae","Quercus ilex-type","Clematis-type","Artemisia herba-alba-type","Capsella-type","Centaurea scabiosa-type","Fraxinus excelsior","Ranunculaceae","Carpinus betulus","Ephedra fragilis-type","Polypodium","Cyperaceae","Plantago undiff.","Centaurea solstitialis-type","Thymus/Mentha","Ophioglossum","Artemisia","Juniperus","Abies","Alnus","Apiaceae","Amaranthaceae","Plantago lanceolata-type","Caryophyllaceae","Dryopteris-type","Poaceae (Cerealia-type)","Ostrya/Carpinus orientalis","Corylus","Asteroideae","Cichorioideae","Poaceae","Polygonum aviculare-type","Unknown","Pteridium","Quercus robur-type","Pinus","Potentilla-type","Acer","Pistacia","Rumex acetosa-type","Sanguisorba-type","Helianthemum","Sparganium-type","Cladium mariscus","Fraxinus ornus","Pseudopediastrum boryanum","Fagus","Vitis","Liliaceae","Dipsacoideae","Galium-type","Brassica-type","Tamarix","Ephedra distachya-type","Calligonum","Ericaceae","Campanulaceae","Lemna","Centaurea undiff.","Buxus","Hedera","Cornus mas/C. sanguinea","Rosaceae","Ranunculus","Xanthium","Hypericum perforatum-type","Matricaria-type","Olea","Plantago coronopus-type","Fallopia convolvulus-type","Triglochin","Hippophaë","Solanum dulcamara","Plantago maritima-type","Pseudopediastrum kawraiskyi","Nymphaea","Scilla-type","Lythrum","Myriophyllum spicatum/M. verticillatum","Thelypteris palustris","Celtis","Picea","Humulus/Cannabis","Equisetum","Phillyrea","Boraginaceae","Taxus","Filipendula","Ranunculus repens-type","Rumex hydrolapathum","Scrophularia/Verbascum","Plumbaginaceae","Ranunculus sect. Batrachium-type","Caltha","Armeria/Limonium","Gentianaceae","Rhamnaceae","Plantago media-type","Botrychium","Euphorbia","Pseudopediastrum brevicorne","Alisma","Persicaria maculosa-type","Asphodelus","Isoëtes","Bupleurum-type","Daphne","Rhinanthus-type","Stachys-type","Ligustrum","Pediastrum longicorne","Trifolium-type","Potamogeton","Onosma-type","Muscari","Convolvulus","Rumex undiff.","Platanus","Butomus","Teucrium","Myriophyllum alterniflorum","Malvaceae","Knautia","Vicia-type","Viburnum-type","Lotus-type","Sambucus nigra-type","Cotoneaster-type","Castanea","Onobrychis-type","Valeriana"
7927,8044,7813,905,1,2,NA,3,2,12,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,1,NA,11,NA,NA,NA,NA,8,NA,NA,69,4,17,NA,1,6,NA,7,58,5,3,54,4,12,5,46,9,NA,NA,NA,4,1,NA,12,NA,2,NA,1,19,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7954,8075,7838,920,NA,5,NA,2,2,11,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,1,26,3,3,37,1,10,NA,NA,6,NA,20,59,1,4,57,9,18,11,76,66,NA,NA,4,NA,1,NA,4,NA,3,5,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7990,8115,7867,940,2,6,NA,10,NA,15,1,NA,NA,2,NA,NA,NA,NA,NA,NA,3,NA,NA,30,NA,1,NA,NA,26,4,7,49,5,68,1,NA,16,1,31,116,2,3,106,5,15,19,226,145,NA,2,4,5,2,NA,24,NA,NA,NA,1,16,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,1,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8026,8160,7897,960,NA,2,1,9,2,9,NA,NA,NA,1,1,NA,2,NA,3,NA,1,1,NA,14,NA,NA,NA,NA,10,2,17,22,6,49,2,1,11,NA,18,56,1,1,66,7,NA,6,181,193,NA,NA,2,2,1,NA,6,NA,2,NA,2,5,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8070,8259,7932,985,1,4,NA,6,23,5,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,1,NA,NA,14,1,NA,1,NA,35,3,5,13,2,243,2,NA,10,3,5,53,2,5,960,29,2,1,89,32,NA,1,3,6,NA,NA,17,NA,7,NA,NA,5,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8105,8306,7957,1005,NA,3,1,12,1,5,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,258,NA,1,NA,NA,6,1,8,12,2,17,NA,3,19,4,1,21,4,12,48,46,20,9,95,72,NA,2,1,NA,NA,NA,6,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
8132,8339,7976,1020,1,5,1,10,1,8,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,1,NA,45,NA,NA,2,1,24,2,7,14,5,16,NA,1,27,8,4,25,2,20,90,62,13,15,155,116,1,1,3,NA,3,1,9,NA,4,4,NA,14,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
8177,8400,8006,1045,1,9,NA,17,NA,4,NA,NA,NA,NA,NA,NA,2,NA,6,NA,NA,NA,NA,35,NA,2,1,NA,36,6,5,34,2,17,NA,3,31,5,7,44,4,14,99,52,36,14,93,61,NA,1,5,NA,1,NA,3,2,2,3,1,11,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,4,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
8204,8437,8023,1060,NA,9,NA,14,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,2,1,14,1,17,24,4,11,NA,1,11,NA,2,29,5,18,72,42,15,6,81,91,NA,NA,3,NA,NA,NA,4,NA,2,1,NA,14,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
8239,8485,8045,1080,1,27,NA,12,1,3,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,33,NA,NA,NA,NA,38,3,13,30,1,29,NA,4,21,4,5,43,6,16,159,54,12,10,146,90,NA,3,5,4,1,NA,6,NA,1,6,NA,7,NA,NA,2,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
8311,8577,8090,1120,2,2,1,7,3,7,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,1,27,NA,1,NA,NA,8,1,14,32,1,15,NA,1,113,1,7,22,5,7,85,17,6,5,54,69,NA,NA,2,NA,2,NA,7,NA,2,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA
8347,8621,8112,1140,1,15,NA,9,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,1,NA,53,NA,NA,2,3,5,2,34,72,NA,54,1,1,31,1,4,136,1,6,103,20,11,11,75,70,NA,2,3,NA,1,NA,7,NA,3,1,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA
8379,8662,8132,1158,1,7,NA,8,1,6,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,1,NA,NA,23,NA,1,2,NA,12,NA,13,28,NA,63,1,NA,19,2,1,26,8,7,113,22,10,1,72,48,1,NA,2,NA,1,NA,1,NA,2,NA,NA,5,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
8434,8729,8167,1189,8,2,NA,11,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,2,NA,NA,21,NA,1,46,6,53,NA,2,15,NA,2,62,10,5,79,43,24,6,85,5,NA,NA,2,2,NA,NA,NA,NA,3,NA,NA,8,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8495,8773,8210,1223,4,2,1,18,4,5,NA,NA,NA,2,NA,NA,NA,NA,5,NA,NA,NA,NA,24,NA,NA,NA,NA,18,NA,1,11,23,78,1,1,15,1,2,57,6,11,123,19,8,5,83,15,NA,NA,1,NA,NA,NA,13,NA,8,NA,1,9,NA,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,1,NA,1
