Pollen Samples (PS),location/depht (cm),Licopods contati,grammi,Licopods messi,Cotinus,Pistacia,Rhus-type,Schinus-type,Boscia-type,Capparis,Capparis/Labiatae,Maerua-type,Helianthemum,Cornus,Corylus,Ostrya,Ephedra fragilis-type,Acacia sottile,Acacia spessa - raddiana?,Genista cf.,Quercus ilex-type,Quercus undiff.,Ficus,Myrica,Olea,Hyphaene-type,Phoenix,Rhamnus-type,Ziziphus,Salvadora ,Tamarix,Grewia-type,Tilia,Ambrosia undiff.,Artemisia ,Artemisia (herba alba type),Aster-type,Bellis-type,Centaurea-type pulata,Centaurea-type nigra,Cichorieae undiff.,Asteraceae undiff.,Anchusa,Echium,Heliotropium,Lithospermum,Boraginaceae undiff.,cf. Phyteuma,Campanula-type,Cleome-type,Gynandropsis (in cleome type),Cerastium-type,Paronychia,Silene-type,Spergula-type,Caryophyllaceae undiff.,Cornulaca monacantha-type,Chenopodiaceae undiff.,Commelina-type,Cruciferae undiff.,Carex/Cyperus ,Cyperaceae <25,Cyperaceae 25-50,Cyperacea > 50,Mercurialis,Astragalus ,Astragalus/Hedisarum,Indigofera cf.,Lotus,Onobrichis/Hediasarum (Onobrichis type),Ononis,Rhynchosia,Trifolium-type,Phragmites,Gramineae <40,Gramineae 40-50,Gramineae 50-60,Gramineae >60,Mentha-type,Leonotis-type,Leucas-type.,Teucrium,Lamiaceae undiff.,Allium,Asparagus,Asphodelus cf. tenuifolius,Liliaceae undiff.,Malvaceae undiff.,Plantago,Calligonum polygonoides,Polygonum,Polygonum cf. equisetiforme,Rumex,Saxifraga cf.,Parietaria/Urtica dioica-type,Urtica-type,Urticaceae undiff.,Tribulus cf. terrestris,Zygophyllum,Acalypha,Euphorbia-type,Euphorbiaceae undiff.,Fabaceae undiff.,Solanaceae undiff.,Umbelliferae undiff.,Juncus cf.,Lemna,Potamogeton,Sparganium erectum-type,Typha angustifolia ,Typha latifolia-type,Typha minima,Varia Undeterminated,similar to Lonicera,Delphinium/Scrophulariaceae,Urtica/Ficus,Tricolporato striato,POLLEN SUM,Concentration  (N° grains/g)
1,6,5,6.42,10679,0,3,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,10,1,0,0,0,8,13,1,0,0,2,10,0,1,0,0,0,0,0,1,0,0,0,0,0,5,11,11,0,3,0,8,36,4,0,0,0,0,0,0,1,0,0,0,145,20,2,0,0,1,1,0,0,0,0,1,2,0,1,0,1,0,0,0,0,3,2,0,0,0,0,0,2,0,0,0,0,0,2,6,5,0,0,0,0,0,0,333,110782.1495
2,11,4,6.62,10679,1,0,1,0,0,1,0,0,0,0,3,0,0,8,1,0,0,1,0,0,0,0,2,0,1,0,10,0,0,0,4,5,31,0,0,1,5,4,0,1,0,0,0,0,0,0,0,0,1,0,0,3,4,15,0,20,0,5,6,1,0,1,0,0,0,0,0,0,0,2,136,25,5,0,2,0,4,0,1,1,0,0,1,0,0,1,0,0,0,0,0,4,2,0,0,0,2,0,3,0,0,0,0,0,0,5,1,0,0,1,0,0,0,332,133890.7855
3,18.5,12,6.66,10679,0,1,0,0,0,2,1,2,0,0,0,0,1,0,7,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,5,0,32,0,0,1,8,2,0,5,0,0,0,0,0,0,0,0,0,0,0,2,2,7,0,10,0,1,10,0,0,2,0,0,7,0,1,0,0,11,145,26,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,7,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,326,43560.48549
4,21.5,3,6.98,10679,0,0,0,0,1,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,1,0,0,0,1,2,7,1,0,1,2,3,0,6,1,0,0,0,0,0,0,0,0,0,0,1,2,13,0,5,0,0,15,5,0,1,16,0,1,0,0,0,0,5,157,37,4,0,1,0,0,0,3,0,0,0,2,0,1,0,1,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,4,0,0,5,10,0,0,0,0,0,0,331,168803.6772
5,26.5,2,6.98,10679,0,0,0,0,0,2,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,6,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0,8,1,0,13,0,0,0,0,0,0,0,0,0,0,5,213,30,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,336,257030.3725
6,32.5,1,6.72,10679,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,5,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,1,3,0,8,14,0,0,0,0,0,2,0,0,1,0,6,178,75,12,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,4,15,1,0,0,0,0,0,355,564143.6012
7,35,3,6.26,10679,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,5,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,3,2,5,16,0,0,0,0,1,0,2,1,0,0,4,203,35,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,32,1,0,0,0,0,0,337,191630.6177
8,42.5,3,6.95,10679,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,3,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,5,0,0,0,0,0,0,0,1,0,0,2,163,84,35,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,4,7,1,0,0,0,0,0,327,167483.5971
9,49,2,6.47,10679,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,1,0,3,6,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,2,1,10,1,5,9,0,1,0,0,0,0,0,1,0,0,5,249,14,2,0,2,0,2,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,5,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,351,289669.9382
10,51.5,5,6.52,10679,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,13,0,1,0,2,6,0,1,0,0,0,0,0,0,0,1,0,0,0,3,1,4,1,2,0,5,16,0,0,1,0,0,0,0,0,0,0,5,233,0,0,0,0,0,1,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,316,103514.2331
