"age_NA","ageolder_BP","ageyounger_BP","depth","Salix","Potamogeton","Potentilla","Alnus","Poaceae (Cerealia-type)","Quercus","Apiaceae","Juniperus","Ranunculus acris-type","Amaranthaceae","Galium-type","Artemisia","Pinus","Poaceae","Cyperaceae","Typha latifolia","Ephedra fragilis-type","Ephedra distachya-type","Cistus undiff.","Erica lusitanica","Anthemis-type","Brassicaceae","Corema album","Bidens-type","Cichorioideae","Serratula-type","Lactuca","Gentiana","Typha angustifolia","Scilla-type","Plantago major-type","Asphodelus","Centaurea nigra-type","Calluna vulgaris","Picea","Daphne","Mercurialis","Polypodium","Sambucus","Lotus-type","Plantago lanceolata","Plantago coronopus","Myriophyllum alterniflorum","Sparganium","Loeflingia","Prunella-type","Rumex crispus-type","Vicia sylvatica-type","Isoëtes","Lythrum","Hydrocotyle","Fabaceae","Polypodiophyta","Mentha","Armeria","Pimpinella","Erica australis-type","Vicia cracca-type","Trifolium","Corylus","Ononis subspicata-type","Betula","Genista","Erodium","Erica umbellata-type","Lamiaceae","Gentianella","Sorbus","Caryophyllaceae","Rhinanthus"
NA,NA,NA,0.5,1,1,1,2,2,3,3,3,4,7,7,26,127,329,392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,4.5,1,NA,NA,NA,NA,NA,4,2,9,11,3,54,265,136,1140,1,1,2,5,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,50.5,NA,NA,NA,NA,NA,NA,2,2,23,9,11,37,91,285,548,NA,NA,4,3,NA,10,1,3,6,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,110.5,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,1,15,37,356,24,NA,NA,NA,1,8,10,NA,NA,7,38,1,1,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,64.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,24,98,306,112,NA,NA,3,NA,8,3,NA,NA,1,32,4,4,NA,NA,3,1,5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,58.5,NA,NA,NA,NA,NA,NA,3,1,4,4,NA,18,95,305,72,NA,NA,1,6,NA,5,2,7,3,33,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,106.5,NA,NA,NA,NA,NA,NA,2,NA,11,2,NA,15,44,309,42,NA,NA,NA,3,8,4,NA,24,3,17,2,2,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,6.5,NA,NA,NA,NA,NA,1,6,NA,NA,15,3,49,282,121,476,NA,NA,NA,NA,4,4,NA,NA,1,4,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,56.5,NA,NA,NA,NA,NA,NA,4,1,2,6,4,28,103,314,180,NA,NA,1,3,3,9,NA,NA,1,12,3,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,2.5,2,3,1,NA,NA,NA,1,1,8,7,1,25,202,244,520,NA,NA,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,36.5,NA,NA,NA,NA,NA,1,12,NA,5,NA,6,22,75,96,228,NA,NA,NA,267,15,1,NA,NA,NA,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,8.5,4,NA,NA,NA,NA,NA,2,1,4,8,4,41,299,123,128,NA,NA,NA,NA,6,5,NA,NA,NA,NA,2,2,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,54.5,NA,NA,NA,NA,NA,NA,9,2,2,10,2,21,98,305,224,NA,NA,6,3,6,9,4,NA,2,21,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
