"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Eucalyptus tablets","Sample quantity","Angiospermae undiff. (herbs)","Potentilla-type","Rosaceae undiff.","Papaveraceae","Trifolium-type","Scrophulariaceae undiff.","Filipendula","Euphorbia","Galium","Rumex","Salix","Ranunculus-type","Hippophaë","Ephedra distachya","Veronica-type","Centaurea solstitialis-type","Ephedra fragilis-type","Helleborus foetidus","Caryophyllaceae","Cichorioideae","Typha angustifolia","Ulmaceae","Ostrya","Androsace-type","Apiaceae","Solidago-type","Fagus","Abies","Equisetum","Thalictrum","Plantago undiff.","Alnus","Quercus","Cyperaceae","Cirsium","Anthemis-type","Helianthemum","Pinus","Cupressaceae-type","Amaranthaceae","Artemisia","Poaceae","Eucalyptus spike","Mentha-type","Carpinus betulus","Vicia","Centaurea cyanus-type","Mercurialis","Brassicaceae","Betula","Bistorta officinalis-type","Ericaceae","Bupleurum-type","Polypodiophyta (monolete) undiff.","Polypodiophyta (trilete) undiff.","Sambucus","Saxifragaceae","Myriophyllum spicatum-type","Hedera","Tilia","Liliaceae undiff.","Potamogeton","Fraxinus excelsior-type","Acer","Poterium sanguisorba","Picea","Armeria","Anemone nemorosa-type","Polypodiophyta undiff.","Onobrychis-type","Lithospermum","Vitis","Dipsacoideae","Fritillaria-type","Buxus","Chrysosplenium","Marrubium","Asphodelus-type","Urtica-type","Corylus","Fabaceae undiff.","Quercus ilex","Calligonum-type","Myriophyllum","Taxus","Scilla-type","Linum","Helleborus viridis-type","Celtis","Epilobium","Castanea","Consolida ambigua-type"
27143.05,NA,NA,1463.2,"66900, 1","2.1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","3","3","3","3","3","3","4","4","5","6","6","7","12","12","13","14","14","17","18","35","67","83","243","315","86","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
27148.45,NA,NA,1463,"66900, 1","1.4","","","1","","","","","","6","4","1","","6","","","3","2","","16","4","1","1","1","","5","4","4","2","","4","4","14","20","8","2","17","10","28","121","49","214","324","203","1","1","1","1","2","3","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
27153.85,NA,NA,1462.8,"66900, 1","1.5","","","","","","","","","11","5","","1","2","1","","2","","","11","2","","","","3","3","3","8","1","","3","","6","15","4","1","7","3","24","98","43","186","294","239","","","","1","","2","4","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
27157.45,NA,NA,1462.6,"66900, 1","1.5","","","","","","","2","","9","3","","1","6","1","","3","2","1","2","3","1","","3","1","2","9","8","10","1","2","17","13","11","7","1","14","10","30","121","72","188","294","211","1","1","","1","1","7","6","","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
27162.85,NA,NA,1462.4,"66900, 1","1.4","2","1","","","","","3","2","14","4","2","4","3","2","4","1","1","","6","6","1","2","","1","10","8","5","6","2","6","9","10","24","5","1","17","8","42","179","77","275","357","323","1","1","","","","2","7","1","","","","1","","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
27168.25,NA,NA,1462.2,"66900, 1","1.8","","","4","","","","1","","7","5","","4","1","2","","2","4","3","9","5","1","4","1","","7","1","6","10","1","4","9","15","32","8","7","15","17","55","97","82","257","351","190","","","","","2","4","3","","","","","","","","","","","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
27173.65,NA,NA,1462,"66900, 1","1.2","1","1","","1","","","1","2","10","2","","1","5","1","1","2","3","5","3","3","2","3","","3","5","3","6","11","3","7","8","12","17","8","2","13","9","38","70","101","203","374","163","1","1","","2","","","","","","","1","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
27179.05,NA,NA,1423.125,"66900, 1","2.8","","","2","1","","2","","","4","4","","6","3","3","","13","","4","11","19","1","","","","2","9","2","1","1","2","2","3","","5","26","11","2","24","23","86","225","185","327","","","","","","7","3","","","","","","","","","","","","4","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
27184.45,NA,NA,1423.425,"66900, 1","3","","","1","","","","","","16","1","","1","1","4","","18","","1","56","26","","","1","1","4","9","","3","","1","1","3","6","","16","8","1","25","11","84","130","208","186","1","","1","1","","11","","1","","","","","","","","","","1","3","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","",""
27189.85,NA,NA,1423.725,"66900, 1","1.9","","","","","","","1","","1","1","","5","","2","","9","","4","12","17","","","","","35","4","2","2","","2","4","","2","1","12","8","1","4","16","52","111","175","789","","","","","","12","","","","","","","","","","","","","5","","","","","","","","1","2","","","","","","","","","","","","","","","","","","","","",""
