"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Allium","Thalictrum","Ulmus","Populus","Rosaceae","Plantaginaceae","Echinops","Convolvulus","Olea","Carduus-type","Fraxinus excelsior","Paliurus","Thymus/Mentha","Apium-type","Armeria/Limonium","Datisca","Pimpinella-type","Ranunculus asiaticus-type","Aquilegia-type","Calligonum/Pteropyrum","Anisosciadium-type","Cichorioideae","Vitis","Bupleurum-type","Theligonum","Delphinium-type","Centaurea solstitialis-type","Matthiola","Ranunculus repens-type","Plantago tenuiflora-type","Ranunculus sceleratus-type","Hammada-type","Isoëtes","Fabaceae","Pistacia","Brassica-type","Tamarix","Noaea-type","Filago-type","Carthamus","Polygonum aviculare-type","Lythrum","Artemisia herba-alba-type","Nymphaea","Senecio-type","Platanus","Asteroideae","Galium-type","Bunium-type","Rumex acetosa-type","Cyperaceae","Apiaceae","Sparganium-type","Matricaria-type","Mercurialis annua","Poaceae (Cerealia-type)","Amaranthaceae","Unknown","Quercus coccifera-type","Pseudopediastrum boryanum","Quercus cerris-type","Poaceae","Monactinus simplex","Euphorbia","Potentilla-type","Sagittaria","Alnus","Pinus","Plantago lanceolata-type","Persicaria maculosa-type","Cedrus","Rhinanthus-type","Plantago media-type","Artemisia vulgaris-type","Centaurea scabiosa-type","Plantago maritima-type","Cladium mariscus","Solanum nigrum","Nuphar","Salix","Potamogeton","Capsella-type","Plantago ovata-type","Inula-type","Ranunculus sect. Batrachium-type","Myriophyllum spicatum/M. verticillatum","Ferula-type","Typha latifolia","Dryopteris-type","Corylus","Crataegus-type","Epilobium","Liliaceae","Ranunculaceae","Campanula-type","Sanguisorba-type","Juniperus","Asphodelus","Cousinia","Ostrya/Carpinus orientalis","Centaurea jacea-type","Betula","Helianthemum","Filipendula","Ephedra fragilis-type","Eryngium-type","Caryophyllaceae","Lonicera","Humulus/Cannabis","Genista-type","Leontice leontopetalum","Rheum","Rumex hydrolapathum","Centaurea cyanus-type","Asphodeline","Androsace","Paronychia-type","Xanthium","Dipsacus-type","Sphagnum","Pteridium","Scrophulariaceae","Papaver","Scilla-type","Oenothera","Cirsium/Gundelia","Periploca","Nitraria","Halothamnus-type","Malva","Myriophyllum alterniflorum","Ephedra distachya-type","Spinacia-type","Malabaila","Viola","Arctium/Jurinea","Nigella","Brassicaceae","Hypericum perforatum-type","Scrophularia/Verbascum","Solanum dulcamara","Sisyrinchium","Trifolium-type","Hedera","Sambucus nigra-type","Heliotropium-type","Tulipa-type","Lomelosia rotata-type","Veronica","Hedysarum/Ebenus","Ophioglossum","Urtica dioica-type","Acer","Zygophyllum","Rhamnus","Sanguisorba officinalis","Dipsacoideae","Knautia","Anagallis","Cuscuta","Hippophaë","Turgenia-type","Crassulaceae","Stachys-type","Onopordum-type","Malcolmia","Viscum","Geranium","Lysimachia","Butomus umbellatus","Cichorium","Daphne","Calendula","Salvinia","Prunus-type","Lilium","Colchicum","Castanea","Linum","Loranthus","Thesium","Urtica pilulifera-type"
6000,NA,NA,1010,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,5,5,6,6,6,7,8,9,10,11,12,13,19,20,21,24,27,84,127,2203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7721,NA,NA,1205,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,1,NA,2,NA,NA,NA,4,NA,1,NA,1,12,2,NA,3,NA,1,NA,NA,1,NA,NA,NA,3,13,3,NA,NA,NA,NA,1,12,2,11,3,1,2,2,2,5,11,10,4,5,10,15,15,5,20,608,208,128,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7765,NA,NA,1210,NA,1,NA,NA,3,NA,NA,1,12,3,NA,NA,NA,1,NA,NA,2,3,1,NA,NA,12,5,NA,5,2,5,NA,NA,NA,NA,2,NA,NA,15,4,NA,NA,NA,1,2,11,8,19,2,3,2,1,NA,7,15,16,6,6,27,24,30,7,21,1104,352,133,NA,NA,NA,NA,NA,5,NA,3,1,NA,3,NA,NA,NA,1,NA,NA,2,1,1,NA,NA,2,1,6,NA,14,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7809,NA,NA,1215,1,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,1,2,NA,NA,6,8,NA,6,2,3,1,2,NA,1,NA,NA,2,22,7,1,1,NA,2,NA,21,13,8,2,1,1,1,NA,12,22,16,8,3,26,22,27,11,9,417,375,265,735,1,1,NA,1,NA,NA,2,NA,NA,1,NA,NA,1,4,NA,1,5,NA,NA,1,NA,NA,NA,7,5,12,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,4,NA,10,1,1,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7853,NA,NA,1220,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5,5,NA,3,NA,1,NA,NA,1,NA,NA,NA,1,17,5,NA,NA,NA,NA,NA,9,7,5,1,1,1,NA,NA,NA,2,10,2,2,6,6,10,4,9,18,247,83,NA,2,NA,NA,1,NA,NA,1,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7897,NA,NA,1225,NA,NA,NA,NA,2,NA,NA,NA,34,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,8,NA,NA,4,NA,5,NA,NA,NA,NA,NA,1,2,8,7,1,2,1,1,NA,1,4,4,NA,1,NA,1,NA,4,30,10,6,4,8,19,15,4,28,431,207,122,8338,NA,NA,NA,NA,6,1,NA,2,NA,5,NA,NA,NA,1,NA,NA,1,1,NA,1,1,NA,2,2,1,4,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7941,NA,NA,1230,NA,1,NA,NA,NA,1,NA,NA,26,NA,1,NA,NA,1,NA,NA,2,NA,NA,1,NA,9,1,NA,4,NA,3,NA,NA,NA,NA,NA,NA,NA,5,3,NA,NA,NA,NA,NA,2,7,NA,2,1,NA,NA,NA,3,7,4,3,3,4,11,12,2,22,4,357,107,NA,1,NA,NA,NA,2,NA,NA,3,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,1,NA,1,NA,NA,3,2,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7985,NA,NA,1235,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,2,1,2,NA,3,2,3,1,1,5,19,135,19,1359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8118,NA,NA,1250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,5,3,NA,1,NA,NA,1,5,NA,1,1,2,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,1,2,4,21,1,1,3,3,1,NA,9,16,17,6,NA,1,2,32,7,15,48,308,155,2136,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,15,NA,1,NA,NA,3,2,3,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8250,NA,NA,1265,1,NA,NA,NA,1,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,2,NA,1,3,NA,1,2,2,NA,NA,NA,1,1,NA,NA,NA,5,NA,1,9,4,1,1,1,NA,NA,4,22,5,1,7,NA,NA,NA,2,21,8,14,4,NA,9,23,11,9,265,394,159,1515,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,1,NA,NA,NA,10,NA,3,1,NA,3,1,2,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
