"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Euphorbia","Plantago lanceolata","Salix","Ulmaceae","Calystegia","Alisma plantago-aquatica","Ilex aquifolium","Galium","Papaveraceae","Artemisia herba-alba","Polygonaceae","Caryophyllaceae","Cichorioideae","Urtica","Myriophyllum","Asteroideae","Pinus halepensis","Amaranthaceae","Aizoaceae","Illecebrum","Apiaceae","Ranunculaceae","Olea europaea","Rosaceae","Potamogetonaceae","Typha angustifolia","Typha latifolia","Cyperaceae","Juncaceae","Brassica","Quercus ilex","Cedrus atlantica","Poaceae","Helianthemum","Nerium","Cupressaceae","Hedera","Juglans","Primulaceae","Campanula","Poaceae (Cerealia)","Acacia","Lamiaceae","Geranium","Plumbaginaceae","Hippocastanoideae","Nymphaeaceae","Liliaceae","Scrophulariaceae","Tamaricaceae","Centaurea cyanus","Boraginaceae","Myrtaceae","Vitaceae","Alnus","Fraxinus","Daphne","Taxus","Ephedra fragilis","Corylus avellana","Paronychia","Passifloraceae","Laurus","Berberis","Saxifraga","Erica arborea"
173,NA,NA,5,1,1,1,1,1,1,1,2,2,2,4,5,5,5,6,6,6,7,8,10,11,11,11,40,41,43,48,53,56,57,86,129,251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
412,NA,NA,10,NA,NA,1,1,2,NA,NA,NA,NA,4,2,8,6,5,15,19,1,11,1,6,20,10,6,57,61,55,56,43,42,60,88,143,243,1,1,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
864,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,2,NA,1,3,NA,1,2,3,4,1,3,NA,13,14,2,14,NA,115,NA,15,61,1,17,79,47,162,NA,NA,10,NA,1,1,1,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1479,NA,NA,35,1,NA,NA,NA,NA,NA,NA,1,NA,NA,4,1,9,2,1,28,11,12,NA,14,30,3,2,4,48,42,56,20,1,88,133,111,192,5,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1,3,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,4,NA,1,12,NA,7,NA,10,NA,3,1,NA,46,NA,12,9,1,12,28,19,118,1,NA,2,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,2,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,NA,NA,50,1,NA,NA,NA,2,NA,1,5,NA,1,4,4,18,5,19,62,9,5,NA,39,50,3,4,1,69,41,121,19,2,65,221,63,458,2,NA,3,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,16,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2351,NA,NA,60,NA,1,NA,NA,NA,NA,NA,NA,6,1,1,1,18,1,5,17,11,11,NA,43,30,15,4,NA,116,NA,11,19,NA,31,64,23,235,4,NA,4,NA,NA,NA,NA,4,1,10,1,NA,NA,NA,NA,NA,5,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2505,NA,NA,65,1,NA,NA,NA,NA,NA,NA,3,NA,NA,3,2,10,1,2,40,6,3,NA,18,13,NA,4,1,26,28,30,21,NA,21,136,57,194,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,1,1,NA,13,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2653,NA,NA,70,6,NA,1,NA,1,NA,1,NA,NA,NA,5,5,22,NA,4,35,5,6,2,12,4,12,3,14,26,39,20,19,10,13,42,137,79,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2796,NA,NA,75,NA,NA,NA,NA,3,NA,NA,2,NA,1,4,1,15,4,NA,51,43,8,NA,36,18,NA,1,10,NA,NA,NA,NA,NA,22,90,107,195,3,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,5,NA,NA,5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
