"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Quercus (deciduous)","Amaranthaceae","Asteroideae","Erica","Betula","Cistaceae","Olea/Phillyrea","Cyperaceae","Buxus","Alnus","Artemisia","cf. Juniperus","Ephedra fragilis-type","Quercus ilex-type","Poaceae","Pinus","Euphorbia","Vitis","Secale","Thymelaeaceae","Myriophyllum","Sparganium-type","Pistacia","Cichorioideae","Monoletes","Corylus","Ulmus","Apiaceae","Lamiaceae","Plantago","Cannabaceae","Rumex","Rhamnus","Poaceae (Cerealia-type)","Brassicaceae","Tamarix","Abies","Cedrus","Hedera","Hypecoum","Fabaceae","Urticaceae","Sanguisorba","Fraxinus","Caryophyllaceae","Centaurea"
-42,NA,NA,0,1,2,2,2,3,3,3,4,5,7,8,9,10,13,25,230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34.05263158,NA,NA,5,2,NA,1,2,1,NA,3,NA,4,1,11,10,2,25,31,235,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110.1052632,NA,NA,10,NA,1,1,2,15,1,7,7,3,NA,9,21,3,40,44,173,NA,NA,2,3,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
186.1578947,NA,NA,15,3,NA,NA,5,9,NA,NA,5,2,NA,12,19,3,36,45,179,NA,2,5,7,NA,1,NA,4,NA,1,1,1,1,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
254.3469388,NA,NA,20,1,NA,NA,4,NA,3,4,3,1,1,5,8,NA,16,16,259,NA,NA,NA,4,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
327.8163265,NA,NA,30,NA,NA,NA,2,2,NA,4,4,NA,2,5,6,NA,26,24,254,NA,NA,1,NA,NA,1,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401.2857143,NA,NA,40,1,1,2,3,1,1,3,2,NA,1,NA,11,NA,22,12,276,NA,1,2,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
474.755102,NA,NA,50,4,NA,4,NA,1,NA,1,3,NA,1,2,9,NA,34,27,259,NA,NA,1,NA,1,1,2,NA,3,NA,NA,NA,1,1,1,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
533.5306122,NA,NA,58,4,1,NA,2,1,NA,NA,4,NA,2,2,5,NA,34,24,261,NA,NA,2,NA,NA,1,3,NA,NA,NA,NA,NA,NA,2,1,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
548.2244898,NA,NA,60,3,NA,1,NA,3,NA,NA,4,1,NA,4,5,NA,9,15,317,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
621.6938776,NA,NA,70,5,3,2,2,3,1,2,9,3,NA,6,13,NA,61,34,196,NA,1,2,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
695.1632653,NA,NA,80,4,3,2,4,NA,NA,1,8,NA,1,14,30,NA,66,51,121,NA,NA,3,NA,6,NA,NA,1,NA,NA,NA,2,3,1,1,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA
768.6326531,NA,NA,90,NA,NA,1,3,2,NA,1,2,1,NA,6,7,1,15,29,39,NA,1,2,3,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
805.3673469,NA,NA,95,2,1,6,4,4,1,4,13,NA,1,13,64,1,57,70,71,NA,1,4,6,21,1,NA,NA,NA,2,NA,1,1,1,4,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
842.1020408,NA,NA,100,NA,1,3,4,1,2,3,16,1,NA,5,26,NA,22,43,104,NA,NA,8,1,6,NA,NA,2,NA,NA,NA,1,NA,1,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
878.8367347,NA,NA,105,1,1,2,9,4,1,1,3,7,1,10,23,1,44,69,123,NA,1,3,NA,18,2,NA,2,NA,1,NA,NA,NA,3,2,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
915.5714286,NA,NA,110,2,2,2,7,NA,NA,1,5,2,NA,6,23,NA,26,22,45,NA,1,6,NA,12,NA,NA,NA,NA,1,NA,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
989.0408163,NA,NA,120,5,2,1,7,NA,1,4,11,1,1,17,29,NA,42,54,166,1,2,1,NA,16,1,NA,1,2,1,NA,2,3,5,1,1,NA,NA,3,NA,NA,2,NA,NA,NA,NA,1,1,NA,NA
1062.510204,NA,NA,130,1,NA,13,7,NA,1,6,12,NA,3,10,32,NA,52,59,154,NA,NA,NA,NA,27,NA,NA,NA,NA,1,NA,NA,4,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1135.979592,NA,NA,140,13,2,NA,7,2,NA,5,14,NA,5,16,30,NA,74,66,115,1,NA,2,NA,38,1,NA,NA,NA,2,NA,NA,1,6,3,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,3,NA,NA
1209.44898,NA,NA,150,3,1,1,10,1,2,NA,2,2,1,6,10,NA,93,66,138,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,1,5,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,2,NA,NA
1282.918367,NA,NA,160,5,1,4,11,1,3,NA,12,NA,NA,10,16,NA,84,57,112,NA,NA,2,NA,6,NA,1,2,NA,1,NA,1,NA,3,NA,2,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
1341.693878,NA,NA,168,3,2,4,10,NA,4,2,11,3,NA,15,16,NA,50,57,130,NA,1,1,NA,9,1,2,NA,NA,2,NA,1,10,2,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1
