Depth (cm),Acacia,Acanthaceae,Acanthus,Acer,Alchornea,Alnus,Antidesma-type,Apiaceae,Artemisia,Aurates,Berlinia,Betula,Borreria,Brassicaceae,Burseraceae,Butyrospermum,Caesalpinioideae,Calligonum,Canthium,Cassia-type,Celtis,Centaurea scabiosa-type,Chenopodiaceae/Amaranthaceae,Combretaceae/Melastomataceae,Corylus,Cyperaceae,Elaeis guineensis,Ephedra distachya-type,Ephedra fragilis-type,Erica,Eugenia,Euphorbia,Euphorbiaceae,Gaillonia-type,Gramineae,Gymnosporia,Haloragaceae,Helianthemum,Hygrophila,Hymenocardia,Hyphaene,Ilex,Indetermines,Isoetes,Juniperus,Lannea,Liguliflorae,Liliaceae,Linaceae,Maerua,Malvaceae,Manilkara,Melia,Mendoncia,Mitracarpus,Moltkia,Morelia,Myrica,Neurada,Papilionoideae,Paullinia,Periploca,Petersianthus,Picconia,Pinus,Pistacia,Plantago,Polycarpaea,Polycnemum-type,Polygala,Proteaceae,Ranunculaceae,Rhizophora harrisonii,Rhizophora mangle,Rosaceae,Rotala,Rubiaceae,Rumex,Rutaceae,Sanguisorba minor-type,Sapindaceae,Scrophuliaraceae,Sebea-type,Sterculia,Symphonia,Syzygium,Tribulus,Tubuliflorae,Typha,Typha latifolia,Ulmaceae,Ulmus,Urticaceae,Vitaceae
5,3,,,6,84,1,,,4,,,,1,1,1,,,1,1,,,,36,63,3,64,11,1,15,1,,,4,2,130,,,6,,7,,1,30,,5,,,2,,8,,2,,,8,3,,,,16,,,,,1,,,,10,,,,25,59,1,,5,,,,,10,,1,,,,4,6,,,,4,
25,,,,2,68,12,1,,2,,,,,2,,,2,1,1,2,,,31,38,2,41,6,,5,,1,4,4,,87,,,1,,4,,1,28,1,2,,1,1,1,2,,1,,,25,,,,,10,,,,,,3,3,3,15,,,,15,59,,,3,,,,,1,2,1,1,,,2,6,,3,,,
45,,,,,33,4,,,2,,,,,,,,,,,,,,4,15,1,8,,,4,,,2,5,,48,,,1,1,9,,,13,1,2,,,2,1,1,,1,,,,,1,,1,4,,,,,2,3,,3,,,,,47,107,,,1,1,,,,,,1,,,,,8,,,1,,
65,,,,,72,,,,1,,,1,,1,,,1,,,,,,12,24,,40,6,,14,,1,2,4,,94,,,,,9,,,21,1,2,4,,3,3,,,,,,3,5,,,,4,,,,,2,,3,,3,,,1,110,132,,,1,,,,,1,,1,,1,,,19,,,,,
85,1,1,,,65,,,,2,,,,,1,,,3,,,,,,71,12,1,88,6,,53,,,2,,,197,,,,,18,1,1,37,,1,,,4,,4,,,,,3,2,,,,5,,,,,2,,2,2,15,,,,53,45,,,,,,,,1,,,,3,,4,18,,,,,
111,,,,,12,,,,9,,,,1,,,,5,,,,,1,158,13,,83,1,2,41,,,,,,103,,,,,4,1,,16,,,,,5,1,5,,2,,,2,,,,,12,,,,,5,,,1,23,,1,,13,15,,,1,1,,,,,,3,,,,,4,1,,,,
131,3,,1,,6,,,,2,,,,1,,,,1,,1,,,1,60,5,,71,,,87,,3,,10,,138,,,1,1,4,,,24,,,,,2,1,4,,6,1,,2,,,,,14,,,,,1,1,,2,17,,,,16,12,,,,,,,,,1,1,1,,,1,4,,,,,
145,1,,,,6,30,,,3,,,,1,1,,2,9,3,,,,,54,18,1,61,1,,73,,,7,5,,123,,,,,6,2,,33,,,2,,1,,1,1,4,1,,,,,,,9,,,1,,5,,,,20,,,4,24,18,,,,,,,,,,3,,,,1,3,,2,,,
165,1,,,,2,2,,,,3,,,1,,1,,4,4,,,,,63,22,,70,,,36,2,3,5,2,,187,,,,,7,,,17,1,,5,,6,3,,,8,1,,2,,,,,14,,,,,2,3,,2,17,,,,23,16,,,4,,1,1,,,1,7,1,,,1,2,1,,,2,
185,1,,,,9,,,,,,,,1,1,,,1,,,,,1,170,13,,48,1,,19,,,5,,,165,,,,,10,,,16,,,1,,1,1,,,4,2,,,,,,,13,,1,,,2,1,,1,17,,,,9,4,,,1,,,,,,,1,,1,,,4,3,,1,2,
205,,1,1,,14,1,,,1,,,,,2,1,,2,,,,,1,69,20,,64,,,100,,,,4,4,138,,,,,10,,,22,,,1,,,,,,2,,,3,,,,,17,,1,,2,4,,,,1,,,,23,11,,,2,1,,,,,,10,,2,,3,10,,,1,,
225,1,,,,6,22,1,2,,,,,,,,,4,2,,,,,61,12,5,60,,,51,,1,,6,,170,,,,,9,,1,44,2,,1,,,,1,,3,1,1,2,,,2,1,8,,1,,2,3,,,1,9,,1,,8,12,,,6,,,,,,,4,,,,,6,,,,,
245,1,,1,,14,,,,3,,,,,,,,4,,,,,1,44,19,,88,,,140,,,,6,,140,,,,,7,,,,3,,2,,2,,,,2,1,,,,,,,19,,,,1,3,,1,2,4,,,2,6,17,,,4,1,,,3,1,,3,,2,1,5,3,,1,,1,
265,,,,,12,,2,,1,,,,,1,,,3,3,1,,,,42,18,2,86,,,84,,,,10,,187,,,,,7,,,9,,,1,,1,,2,,,,,1,,,,,18,,,,,1,,,2,11,,,,11,17,,,2,,,,1,,,4,,,,1,,1,,1,,
285,,,,,24,2,3,,6,,,,,2,,,1,1,1,,,,36,17,,94,,,40,,,3,10,,191,1,,,,13,,1,31,,,,,,,2,,3,,1,1,,1,,,12,2,,,3,2,,1,5,8,1,1,1,12,15,,,,,,,,,2,1,2,1,,5,5,1,,,1,
