"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Platanus","Arbutus","Cupressaceae","Rumex","Ephedra","Typha angustifolia-type","Tamarix","Herniaria-type","Ranunculaceae","Cyperaceae","Apiaceae","Casuarina","Plantago coronopus","Caryophyllaceae","Pistacia","Centaurea","Poaceae (Cerealia-type)","Brassicaceae","Rosaceae","Plantago lanceolata-type","Quercus ithaburensis-type","Phoenix","Sarcopoterium","Cichorioideae","Plantago","Pinus","Olea","Asteroideae","Artemisia","Poaceae","Quercus coccifera-type","Amaranthaceae","Lycopodium spike","Symphytum","Ceratonia","Phillyrea","Varia","Salix","Rubiaceae","Ziziphus","Zygophyllum","Mentha-type","Alnus","Fabaceae","Cistus-type","Polygonum","Ostrya","Vitis","Sambucus","Populus","Laurus","Fraxinus","Urtica","Hypericum","Acacia","Cedrus","Geranium","Liliaceae","Anemone","Juglans","Asphodelus","Thymelaea","Euphorbia","Echium","Xanthium","Cirsium-type","Crataegus","Scrophulariaceae","Papaveraceae","Carpinus","Helianthemum","Mercurialis","Knautia","Corylus","Typha latifolia"
1790,NA,NA,259,NA,NA,NA,8,2,2,7,2,4,7,3,NA,3,6,12,4,14,8,5,17,3,NA,2,40,31,22,65,40,80,90,10,310,335,NA,1,3,4,NA,8,NA,3,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,3,2,1,NA,NA,3,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,NA,NA,282,1,NA,NA,5,7,4,2,4,5,9,7,NA,1,5,9,4,9,13,4,5,16,NA,NA,16,16,19,90,56,57,73,15,313,480,NA,NA,1,9,2,5,1,4,NA,NA,3,2,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2190,NA,NA,312,NA,NA,NA,7,3,NA,6,NA,2,7,15,NA,1,8,13,3,10,17,9,5,28,NA,1,26,21,2,33,59,53,70,38,330,372,NA,1,1,6,2,1,NA,2,1,1,3,2,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,2,NA,NA,2,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2410,NA,NA,334,NA,NA,NA,6,NA,1,2,4,NA,4,7,NA,3,13,4,4,3,20,5,1,12,NA,1,54,18,8,26,54,48,76,11,355,275,1,NA,2,3,2,2,1,1,NA,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2620,NA,NA,349,NA,NA,NA,3,8,NA,NA,NA,1,3,7,NA,2,11,3,7,1,13,1,NA,11,NA,NA,140,4,5,24,57,31,40,8,230,388,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2830,NA,NA,363,NA,NA,NA,NA,9,1,1,2,2,NA,1,NA,2,8,2,6,2,21,1,NA,1,NA,NA,87,3,1,13,65,19,16,3,264,72,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
3120,NA,NA,387,NA,NA,NA,NA,10,NA,1,3,2,2,7,NA,8,5,1,4,2,12,2,4,4,NA,NA,84,7,5,10,58,9,27,4,265,135,NA,NA,NA,8,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
3340,NA,NA,428,NA,NA,1,NA,3,NA,NA,2,4,6,12,NA,2,NA,12,4,2,7,3,2,66,3,NA,81,20,6,18,30,17,61,11,180,138,NA,NA,NA,8,1,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3550,NA,NA,458,NA,NA,NA,2,3,NA,1,NA,1,NA,5,NA,NA,2,9,6,NA,13,11,3,32,NA,NA,45,8,1,25,30,23,23,2,228,110,NA,NA,4,10,NA,1,NA,NA,NA,NA,1,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3680,NA,NA,482,NA,NA,NA,1,5,NA,2,NA,2,4,9,NA,NA,15,2,6,4,22,2,2,35,NA,NA,108,6,2,46,62,23,29,21,173,208,NA,NA,NA,17,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
3820,NA,NA,507,NA,NA,NA,4,2,NA,2,NA,3,1,4,NA,3,10,1,3,4,9,2,1,21,NA,NA,65,2,2,37,73,13,33,5,185,165,NA,NA,NA,21,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
3970,NA,NA,532,NA,NA,NA,1,6,2,2,NA,NA,5,11,NA,3,4,5,NA,3,10,3,1,26,NA,NA,66,5,3,63,60,10,30,14,151,184,NA,NA,3,14,NA,NA,NA,NA,2,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
