"age_NA","ageolder_BP","ageyounger_BP","depth","Asteroideae","Pinus pinaster-type","Myriophyllum","Unknown (trilete)","Plantago coronopus-type","Poaceae","Salix","Erica arborea","Quercus suber","Quercus canariensis","Unknown","Asphodelus","Cichorioideae","Apiaceae","Cistus monspeliensis","Alnus glutinosa","Myrtus communis","Cyperaceae","Ephedra","Lamiaceae","Typha latifolia","Typhaceae","Phillyrea angustifolia","Caryophyllaceae","Hypericum","Amaranthaceae","Allium","Corylus","Lythrum","Fabaceae","Thymelaeaceae"
NA,NA,NA,90,2,2,4,4,8,10,12,14,70,82,208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,210,13,7,NA,23,NA,7,NA,61,1,1,203,7,11,22,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,270,40,4,NA,20,NA,NA,NA,32,4,5,150,NA,3,5,32,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,180,18,8,11,21,2,14,NA,63,4,6,205,NA,12,6,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,95,NA,NA,9,16,6,48,33,12,51,94,284,NA,NA,6,NA,NA,NA,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,170,9,8,2,20,NA,25,NA,30,8,10,162,NA,9,4,33,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,260,15,4,NA,22,NA,7,NA,28,6,10,168,NA,NA,22,43,2,2,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,200,10,6,NA,16,NA,7,3,37,2,3,151,3,4,8,48,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,120,4,NA,NA,16,12,32,4,36,40,64,236,NA,NA,12,NA,NA,4,4,NA,NA,NA,4,NA,NA,4,NA,NA,NA,NA,NA,NA
NA,NA,NA,230,4,2,NA,18,NA,2,NA,56,1,NA,152,NA,3,13,44,NA,NA,NA,1,NA,3,NA,2,1,NA,2,NA,NA,NA,NA,NA
NA,NA,NA,190,8,5,2,24,3,13,4,46,11,14,193,NA,6,9,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
NA,NA,NA,30,NA,NA,2,24,NA,23,16,15,30,75,213,2,NA,3,NA,NA,NA,14,NA,NA,NA,2,1,NA,NA,4,2,NA,NA,NA,NA
NA,NA,NA,105,NA,6,NA,12,NA,24,8,20,46,88,234,NA,NA,6,2,8,NA,NA,NA,NA,NA,2,2,NA,2,8,NA,NA,NA,NA,NA
NA,NA,NA,160,6,17,NA,29,NA,18,NA,35,14,12,224,NA,8,3,56,NA,NA,4,NA,NA,7,10,NA,NA,NA,5,NA,NA,NA,NA,NA
NA,NA,NA,240,5,1,NA,11,NA,5,NA,44,2,6,133,4,6,4,33,NA,1,NA,NA,NA,7,NA,3,1,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,25,4,4,NA,4,4,26,4,16,46,52,182,NA,NA,NA,NA,NA,4,2,NA,2,NA,NA,NA,NA,10,2,2,NA,NA,NA,NA
NA,NA,NA,250,24,2,NA,23,NA,8,NA,46,2,9,208,14,4,12,54,4,2,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,50,4,2,NA,8,4,22,28,16,44,93,241,NA,4,NA,2,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,2,NA,2,4,NA,NA
NA,NA,NA,150,8,10,4,15,4,12,NA,48,12,15,164,2,NA,6,18,NA,NA,NA,NA,NA,2,NA,4,NA,NA,4,NA,NA,NA,NA,NA
