"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Ericaceae","Euphorbia","Salix","Thalictrum","Ranunculaceae","Brassicaceae","Rubiaceae","Prunus dulcis-type","Unknown (trilete)","Caryophyllaceae","Platanus","Rumex","Ulmus","Populus","Lamiaceae","Rosaceae","Eucalyptus","Typha angustifolia/Sparganium","Quercus robur-type","Poaceae (Cerealia-type)","Artemisia","Cyperaceae","Plantago lanceolata","Asteroideae","Juniperus","Amaranthaceae","Olea","Quercus ilex","Juglans","Poaceae","Pinus","Vitis","Lythrum","Fraxinus","Apiaceae","Cichorioideae","Plantago","Potamogeton","Urticaceae","Gentianaceae","Rhamnus","Tuberaria lignosa","Quercus suber","Pistacia","Betula","Corylus","Centaurea","Cistus ladanifer","Alnus","Viburnum","Helianthemum","Cedrus","Phillyrea","Polypodiophyta (monolete)","Scrophulariaceae","Poterium sanguisorba","Thymelaeaceae","Fabaceae","Filipendula","Mercurialis","Isoëtes","Dipsacoideae","Ephedra","Arbutus","Taxus","Linum","Acer","Campanulaceae","Erodium","Asphodelus","Polygonum","Liliaceae","Arceuthobium oxycedri","Hippophaë","Myriophyllum","Armeria","Erica","Alisma","Epilobium"
4840,NA,NA,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,4,4,5,7,8,10,13,14,17,20,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4911,NA,NA,5,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,1,40,2,NA,13,10,NA,5,3,16,NA,4,NA,17,11,6,4,30,12,1,1,1,3,4,4,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4982,NA,NA,10,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,24,3,6,33,1,1,2,NA,3,51,NA,51,29,NA,NA,2,1,NA,2,NA,NA,1,1,1,9,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5124,NA,NA,20,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,32,NA,2,48,NA,NA,NA,2,7,35,NA,40,37,NA,NA,2,NA,1,2,NA,NA,1,NA,2,6,9,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5267,NA,NA,30,1,NA,1,1,NA,1,NA,NA,2,NA,NA,1,NA,NA,NA,1,NA,8,7,3,5,30,NA,1,1,6,3,83,NA,50,21,NA,NA,1,1,2,2,NA,NA,2,NA,NA,11,7,NA,NA,NA,2,1,1,1,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5555,NA,NA,50,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,2,3,9,NA,1,2,NA,3,38,NA,18,8,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,11,6,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5703,NA,NA,60,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,20,5,NA,1,8,NA,NA,NA,NA,5,26,NA,12,22,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5854,NA,NA,70,1,NA,1,1,NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,22,2,11,32,NA,NA,4,7,6,57,NA,47,31,NA,NA,NA,2,1,5,NA,NA,NA,NA,NA,6,17,1,1,NA,NA,2,NA,NA,NA,4,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6009,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,16,NA,14,30,NA,3,2,1,1,45,NA,22,32,NA,NA,NA,2,1,1,NA,NA,NA,NA,NA,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6169,NA,NA,90,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,12,1,9,18,NA,NA,1,4,3,60,NA,27,22,NA,NA,1,2,NA,3,NA,NA,NA,NA,NA,11,8,1,NA,NA,NA,1,NA,1,1,2,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6334,NA,NA,100,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,NA,2,39,NA,1,1,4,1,38,NA,12,7,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,6,8,3,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6684,NA,NA,120,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,29,3,2,43,NA,1,3,4,2,63,NA,32,17,NA,NA,2,NA,2,2,NA,NA,NA,NA,NA,16,8,1,NA,NA,1,1,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6869,NA,NA,130,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,4,13,NA,4,61,NA,1,2,2,5,96,NA,30,10,NA,NA,2,8,1,1,NA,NA,NA,NA,NA,13,13,1,1,NA,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7065,NA,NA,140,1,NA,NA,NA,NA,2,NA,NA,1,NA,NA,1,1,NA,6,NA,NA,4,66,1,5,95,1,1,1,5,3,55,NA,55,42,NA,NA,2,20,NA,1,NA,NA,NA,NA,NA,10,14,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7278,NA,NA,150,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,2,13,3,3,195,NA,NA,NA,3,3,42,NA,46,21,NA,1,NA,4,NA,2,NA,NA,1,NA,NA,20,9,NA,NA,NA,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7518,NA,NA,160,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,4,57,NA,1,140,NA,NA,NA,5,NA,23,NA,63,41,NA,NA,5,NA,1,2,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,2,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7778,NA,NA,170,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,10,37,1,1,16,NA,2,NA,3,2,30,NA,65,17,NA,NA,2,1,3,1,NA,NA,NA,NA,NA,12,3,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8043,NA,NA,180,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,12,55,NA,7,100,NA,NA,2,8,1,45,NA,60,30,NA,NA,2,3,2,5,NA,NA,NA,NA,1,1,7,NA,NA,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8296,NA,NA,190,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,7,41,3,1,45,1,3,NA,5,8,58,NA,108,24,NA,NA,2,1,1,2,NA,NA,NA,NA,NA,19,13,NA,NA,1,1,1,NA,NA,NA,3,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
