"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Alnus","Pistacia","Quercus undiff.","Cedrus (broken)","Pinaceae (broken)","Amaranthaceae (crumpled)","Poaceae (broken)","Poaceae (Cerealia-type, broken)","Cyperaceae (crumpled)","Unknown","Indeterminable (broken)","Caryophyllaceae","Centaurea undiff.","Poaceae (Cerealia-type)","Aster-type","Pinaceae (crumpled)","Amaranthaceae","Sparganium","Anthemis-type","Quercus coccifera-type","Cichorieae","Unknown (type 610)","Pinaceae","Cedrus","Quercus cerris-type","Pinus (degraded)","Indeterminable (crumpled)","Coelastrum","Nymphaea","Pinus (corroded)","Poaceae","Pinus (crumpled)","Cyperaceae","Pinus (fragmented)","Pinus (broken)","Pseudopediastrum boryanum-type","Lycopodium spike","Pediastrum simplex-type","Pinus","Pediastrum clathratum-type","Botryococcus","Unknown (type 130)","Typha latifolia","Ranunculaceae","Brassicaceae","Oleaceae undiff.","Juglans regia","Centaurea cyanus-type","Centaurea solstitialis-type","Olea-type","Cyperaceae (corroded)","Artemisia vulgaris-type","Plantago coronopus","Indeterminable (corroded)","Pinaceae (degraded)","Algae? (type 128A, HdV)","Ceratophyllum","Asteraceae undiff.","Urtica-type","Humulus/Cannabis-type","Typha latifolia (broken)","Thelypteris phegopteris-type","Plantago lanceolata","Cyperaceae (broken)","Indeterminable (obscured)","Unknown (type 207)","Spirogyra (type 132, HdV)","Juniperus","Sanguisorba minor-type","Cedrus (crumpled)","Cornaceae-type","Algae? (type 128B, HdV)","Salix-type","Poaceae (degraded)","Unknown (type 165)","Plantago undiff.","Sparganium (broken)","Quercus ilex-type","Myriophyllum","Potamogeton","Galium-type","Ostrya/Corylus-type","Ulmus","Oleaceae (broken)","Quercus undiff. (broken)","Indeterminable (degraded)","Castanea","Quercus coccifera-type (broken)","Poaceae (corroded)","Caprifoliaceae","Erodium","Quercus undiff. (obscured)","Asteraceae undiff. (broken)","Vitis","Apiaceae","Convolvulaceae","Quercus undiff. (crumpled)","Poaceae (Cerealia-type, crumpled)","Epilobium-type","Pinaceae (corroded)","Cyperaceae (degraded)","Cystopteris fragilis-type","Gelasinospora-type","Poaceae (crumpled)","Dipsacoideae","Ericaceae","Oleaceae (crumpled)","Asteraceae undiff. (crumpled)","Oleaceae (obscured)","Carduus-type","Lythrum","Thymus-type","Lemna-type","Quercus coccifera-type (crumpled)","Amaranthaceae (broken)","Abies","Poaceae (Cerealia-type, corroded)","Sparganium (degraded)","Dinoflagellata","Serratula-type","Platanus","Fraxinus ornus-type","Cedrus (degraded)","Plantago major/P. media","Ephedra fragilis-type","Calystegia-type","Pinaceae (obscured)","Zygnema-type","Ephedra distachya","Echinops-type","Malvaceae","Quercus undiff. (degraded)","Sparganium (crumpled)","Polygonum-type","Quercus undiff. (corroded)","Typha latifolia (crumpled)","Quercus coccifera-type: corroded","Asplenium fontanum-type","Valerianella-type"
144,NA,NA,12.5,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,4,5,5,6,6,6,8,8,8,20,27,29,33,97,177,183,198,330,347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
263.04,NA,NA,20.5,NA,1,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,1,NA,NA,1,2,3,7,2,6,NA,3,3,7,NA,10,1,3,7,4,7,26,62,54,37,37,209,124,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
382.08,NA,NA,28.5,NA,NA,NA,NA,NA,NA,2,NA,1,2,1,NA,NA,3,NA,NA,1,2,1,12,2,NA,NA,NA,1,14,NA,6,1,NA,13,3,7,34,173,26,125,29,89,49,NA,1,NA,1,NA,1,NA,NA,1,1,NA,3,NA,NA,NA,1,1,1,1,1,1,1,2,3,3,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
501.12,NA,NA,36.5,NA,NA,NA,NA,NA,NA,2,NA,3,NA,1,1,NA,3,NA,NA,NA,NA,NA,5,NA,NA,NA,3,1,7,NA,12,NA,NA,5,9,3,16,96,34,51,35,177,38,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,4,NA,NA,1,NA,2,1,NA,NA,NA,NA,NA,1,1,2,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
649.92,NA,NA,46.5,NA,NA,3,2,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,1,NA,4,1,4,1,2,1,4,NA,1,NA,219,1,NA,11,NA,7,34,133,196,9,14,136,261,1,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,7,2,3,NA,1,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
858.24,NA,NA,60.5,NA,1,NA,NA,NA,NA,4,2,NA,1,4,NA,NA,2,NA,1,1,1,1,2,1,3,NA,NA,2,2,NA,53,1,NA,9,1,2,54,266,44,38,10,50,58,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1096.32,NA,NA,76.5,NA,NA,1,3,2,NA,6,NA,NA,1,2,NA,NA,3,3,2,NA,2,NA,2,1,1,1,5,2,NA,1,11,1,4,16,17,12,135,273,7,132,6,145,1,NA,NA,1,NA,NA,NA,2,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1215.36,NA,NA,84.5,NA,1,1,1,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,2,NA,NA,NA,3,5,1,1,8,NA,NA,7,3,8,27,123,2,32,NA,206,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,1,NA,4,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1351.667,NA,NA,92.5,1,1,NA,2,NA,NA,11,1,5,1,2,NA,NA,5,1,3,3,1,4,22,4,10,NA,2,3,NA,1,68,2,NA,64,5,18,28,91,7,252,NA,58,NA,NA,NA,1,NA,NA,NA,6,NA,3,1,2,4,2,NA,NA,NA,9,1,NA,NA,NA,NA,4,18,1,3,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,1,1,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1425,NA,NA,96.5,NA,4,1,3,NA,NA,NA,NA,2,NA,1,3,NA,4,3,NA,2,2,2,16,3,3,NA,8,2,7,NA,16,1,1,20,7,3,5,72,2,119,NA,113,NA,NA,1,NA,NA,NA,3,3,NA,3,1,1,13,2,NA,1,NA,34,NA,NA,NA,NA,NA,2,4,1,30,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,3,1,NA,1,1,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
