"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Nymphaea","Ulmus","Vitis","Lythrum","Fabaceae","Alisma","Eryngium-type","Delphinium-type","Artemisia vulgaris-type","Cirsium/Gundelia","Matthiola","Thymus/Mentha","Anthyllis-type","Apium-type","Cotinus coggygria","Pimpinella-type","Plantago ovata-type","Punica","Descurainia","Scandix","Dryopteris-type","Equisetum","Cichorioideae","Polygonum aviculare-type","Typha latifolia","Sanguisorba-type","Noaea-type","Samolus","Ranunculus sceleratus-type","Unknown","Pteridium","Castanea","Apiaceae","Juglans","Lemna","Ononis-type","Galium-type","Centaurea solstitialis-type","Matricaria-type","Anthriscus-type","Lepidium","Caryophyllaceae","Potamogeton","Plantago lanceolata-type","Vicia-type","Coronilla","Platanus","Pistacia","Humulus/Cannabis","Bunium-type","Poaceae (Cerealia-type)","Fraxinus ornus","Sparganium-type","Phillyrea","Brassica-type","Quercus coccifera-type","Amaranthaceae","Cladium mariscus","Quercus cerris-type","Juniperus","Artemisia herba-alba-type","Olea","Pinus","Poaceae","Cyperaceae","Ericaceae","Fagus","Bupleurum-type","Senecio-type","Cedrus","Silene-type","Datisca","Antirrhinum/Linaria","Mercurialis perennis","Satureja/Ziziphora","Atriplex-type","Zygophyllum","Anisosciadium-type","Ostrya/Carpinus orientalis","Corylus","Tilia","Filipendula","Glaucium","Plantago maritima-type","Juncus/Luzula","Cheilanthes","Salix","Populus","Centaurea cyanus-type","Elaeagnus","Prunus-type","Thalictrum","Utricularia","Alnus","Pedicularis","Stachys-type","Scrophularia/Verbascum","Chrysosplenium","Urtica pilulifera-type","Euphorbia","Scrophulariaceae","Rumex acetosa-type","Plantago coronopus-type","Anagallis","Turgenia-type","Gentianaceae","Xanthium","Plantago media-type","Solanum dulcamara","Ranunculus arvensis-type","Onopordum-type","Filago-type","Mercurialis annua","Trifolium-type","Pseudopediastrum boryanum","Myriophyllum spicatum/M. verticillatum","Celtis","Tofieldia","Hippophaë","Valerianella","Galeopsis","Capsella-type","Paliurus","Ranunculus repens-type","Urtica dioica-type","Cornulaca","Ranunculus sect. Batrachium-type","Hypericum hirtellum var. assyriacum-type","Secale","Cistus","Liquidambar","Ligustrum","Veronica","Clematis-type","Butomus","Abies","Betula","Papaver","Cynoglossum-type","Hedysarum/Ebenus","Umbilicus-type","Vitex","Asperula-type","Chelidonium","Echium-type","Malva","Helianthemum","Hypericum coris-type","Myrtus","Rhynchospora-type","Hypericum perforatum-type","Laurus","Hippuris","Ranunculaceae","Ranunculus asiaticus-type","Carthamus","Lomelosia rotata-type","Unknown (trilete)","Ephedra fragilis-type","Ephedra distachya-type","Botrychium","Ranunculus peltatus-type","Ferula-type","Fagopyrum","Verbena","Scorzonera-type","Persicaria maculosa-type","Scilla-type","Asteroideae","Campanula-type","Convolvulus","Knautia","Teucrium","Theligonum","Centaurea scabiosa-type","Sambucus nigra-type","Jasione-type","Verbascum"
1235,1388,1084,30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,5,5,5,6,7,8,12,12,13,19,24,32,32,35,35,47,95,135,416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1661,1852,1474,40,2,NA,NA,5,NA,NA,1,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,3,1,3,1,3,NA,2,1,NA,1,1,3,NA,NA,4,4,4,NA,6,NA,NA,4,NA,NA,1,NA,2,2,4,NA,11,6,11,25,19,6,29,23,14,23,84,91,283,1,1,1,1,1,1,1,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2086,2321,1859,50,1,NA,NA,2,1,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2617,NA,2,NA,4,1,NA,NA,1,4,1,1,NA,1,NA,NA,6,4,4,2,2,1,NA,1,1,NA,3,3,2,1,4,1,35,NA,12,24,18,5,35,19,20,17,93,197,264,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,1,1,1,1,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2512,2791,2242,60,10,NA,NA,3,1,NA,NA,2,NA,NA,NA,2,1,NA,NA,NA,1,3,NA,NA,2620,1,5,1,2,3,NA,NA,NA,14,1,1,2,3,NA,1,9,12,6,9,NA,2,1,1,5,NA,3,10,NA,9,2,NA,14,6,10,21,17,1,41,27,31,43,92,353,598,NA,1,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,15,NA,3,NA,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2938,3263,2625,70,NA,NA,1,NA,NA,NA,NA,NA,3,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,4,6,1,1,11,NA,NA,NA,NA,3,NA,2,NA,2,NA,NA,3,2,2,1,2,2,64,2,NA,NA,2,1,3,NA,4,NA,11,1,5,7,17,NA,14,21,38,19,90,191,91,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,2,1,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,1,1,NA,NA,NA,1,NA,1,NA,NA,2,1,NA,NA,1,1,1,1,1,1,1,1,2,4,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3363,3736,3008,80,NA,NA,NA,NA,1,NA,1,NA,3,1,NA,2,NA,1,NA,NA,NA,NA,NA,NA,2,15,NA,1,3,1,1,NA,6,NA,1,NA,NA,1,NA,1,3,8,4,NA,1,NA,NA,5,1,NA,2,5,NA,3,33,2,829,NA,NA,34,9,NA,64,42,19,10,133,851,496,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3789,4209,3390,90,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,6,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,3,1,3,3,1,NA,NA,1,NA,1,NA,NA,1,4,3,1,22,1,10,NA,1,10,14,NA,28,9,12,6,85,663,382,NA,NA,1,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,9,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4700,5086,4325,100,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,1,NA,1,1,NA,3,NA,NA,2,1,1,NA,NA,NA,NA,1,NA,NA,1,1,NA,1,4,NA,25,NA,NA,11,4,NA,28,8,9,NA,348,67,70,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6097,6402,5772,110,7,NA,NA,2,NA,NA,NA,NA,3,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,5,NA,2,NA,1,NA,NA,2,NA,NA,NA,NA,NA,1,5,3,5,1,NA,2,2,4,NA,NA,3,4,4,7,4,1,39,4,3,25,12,NA,25,44,8,4,355,106,82,NA,NA,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7494,7836,7180,120,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,2,1,NA,1,NA,NA,NA,1,NA,1,2,NA,NA,1,2,5,NA,NA,NA,NA,2,2,1,2,27,NA,NA,13,5,NA,14,12,9,NA,200,78,65,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
