"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Osmunda regalis","Acer","Lavandula stoechas-type","Polypodiophyta (trilete) undiff.","Arbutus unedo","Lamiaceae undiff.","Castanea sativa","Cytisus/Genista-type","Quercus suber-type","Salix","Fraxinus","Taxus baccata","Byssothecium circinans","Ilex aquifolium","Cistus ladanifer-type","Cichorioideae","Asteroideae","Pteridium aquilinum","Cyperaceae","Pinus pinaster","Erica-type","Betula","Poaceae","Quercus ilex-type","Quercus pyrenaica-type","Fungi (type 18, HdV)","Poaceae (Cerealia-type)"
-49.26316,NA,NA,2,2,3,3,3,4,6,7,7,8,9,9,9,9,11,15,17,21,23,45,53,54,55,67,87,98,128,NA
-31.78947,NA,NA,4,1,3,2,4,3,8,6,11,11,11,11,8,13,7,17,22,23,15,39,49,63,66,78,99,103,133,NA
-14.31579,NA,NA,6,1,4,4,5,4,8,8,13,9,13,13,11,11,7,21,24,18,26,28,35,56,59,63,89,111,113,NA
3.157895,NA,NA,8,3,3,3,6,5,11,4,9,7,15,8,6,21,5,18,13,23,18,46,63,47,54,71,102,89,121,NA
20.63158,NA,NA,10,1,5,2,4,6,2,5,2,29,18,8,8,11,8,4,2,6,5,53,NA,15,76,43,79,93,142,NA
38.10526,NA,NA,12,3,6,2,5,3,NA,6,1,26,21,9,9,8,9,3,3,5,3,48,NA,18,81,45,93,99,133,NA
55.57895,NA,NA,14,NA,2,6,1,13,5,10,5,32,4,2,1,56,1,10,3,7,4,13,NA,35,10,56,108,55,13,NA
73.05264,NA,NA,16,NA,2,2,2,11,NA,4,2,27,3,3,1,67,2,6,2,6,4,19,NA,23,13,48,112,43,11,NA
90.52631,NA,NA,18,4,3,1,8,5,1,7,2,29,23,11,11,8,9,4,5,8,5,56,NA,14,61,37,86,97,99,NA
108,NA,NA,20,3,5,5,7,3,3,6,1,34,24,9,8,7,9,7,4,9,4,58,NA,13,47,46,78,103,154,NA
128.2,NA,NA,22,5,3,3,6,4,2,6,3,25,15,8,7,8,12,8,6,3,7,63,NA,18,54,36,76,111,163,NA
148.4,NA,NA,24,5,6,4,8,3,1,5,4,26,16,7,9,NA,11,4,5,4,11,56,NA,21,64,43,89,89,143,NA
168.6,NA,NA,26,4,7,3,7,6,4,4,3,31,17,8,13,NA,9,9,4,5,8,72,NA,15,58,49,93,79,157,NA
188.8,NA,NA,28,3,5,2,6,5,3,6,4,30,21,7,11,NA,13,9,7,4,9,69,NA,16,42,53,91,97,146,NA
209,NA,NA,30,4,8,3,7,4,2,5,3,29,19,9,8,NA,8,6,6,6,7,75,NA,18,73,49,81,102,133,NA
229.2,NA,NA,32,2,6,5,7,7,4,6,2,23,20,13,7,NA,9,5,3,7,6,69,NA,13,65,56,87,105,169,7
249.4,NA,NA,34,6,5,3,8,5,3,7,2,28,14,11,9,1,13,7,8,5,8,68,NA,12,69,59,79,98,127,8
269.6,NA,NA,36,5,7,6,11,5,2,7,1,33,16,9,9,2,7,8,4,7,9,56,NA,9,65,43,85,89,167,11
289.8,NA,NA,38,4,2,7,9,5,1,9,9,13,22,10,12,27,8,13,3,4,10,71,NA,17,11,37,108,96,23,9
310,NA,NA,40,7,9,2,8,3,3,11,6,29,18,13,13,2,9,9,2,5,11,69,NA,15,61,38,73,103,143,12
