"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Lycopodium tablets","Sample quantity","Artemisia","Salix","Juglans","Pistacia","Amaranthaceae","Potentilla","Sparganium","Corylus avellana","Eryngium","Fraxinus angustifolia","Alnus glutinosa","Castanea sativa","Quercus ilex-type","Anthemis-type","Juniperus communis","Sphagnum","Poaceae (Cerealia)","Plantago lanceolata-type","Genista-type","Pinus sylvestris-type","Pteridium aquilinum","Cistaceae","Calluna vulgaris","Erica umbellata","Cyperaceae","Erica australis","Betula pubescens","Ranunculus","Rumex acetosella-type","Quercus robur-type","Olea europaea","Erica arborea-type","Poaceae","Pinus pinaster","Lycopodium spike","Menyanthes trifoliata","Arenaria","Spergula","Sedum-type","Narcissus bulbocodium","Polypodiales (monolete)","Vitis","Phillyrea","Hedwigia","Galium-type","Daphne/Thymelaea","Gentiana lutea/G. pneumonanthe","Aster-type","Plantago major-type","Cirsium-type","Jasione-type","Apiaceae","Daucus","Halimium/Tuberaria","Asphodelus albus","Ulmus","Viburnum tinus","Peucedanum-type","Plantago coronopus","Filipendula","Echium","Colchicum montanum","Cytisus scoparius","Plantago","Potamogeton","Alismataceae","Fagus sylvatica","Frangula alnus","Poterium sanguisorba","Paronychia polygonifolia-type","Ephedra fragilis-type","Helianthemum","Berula erecta","Nymphaea","Ilex aquifolium","Campanula","Solidago","Armeria","Chaerophyllum temulum","Polygonum aviculare-type","Lythrum","Lysimachia","Silene foetida-type","Centaurea nigra-type","Sambucus nigra","Sorbus aucuparia","Micranthes stellaris-type","Meum-type","Bupleurum","Fritillaria lusitanica","Lavandula","Myrtus communis","Thalictrum","Dianthus lusitanus-type","Tilia","Fumaria","Rosaceae undiff.","Anemone","Taxus baccata","Angelica palustris-type","Ammi","Myriophyllum alterniflorum","Reseda/Sesamoides","Saxifraga granulata-type","Carum verticillatum","Hypericum perforatum-type","Lemna","Pimpinella saxifraga-type","Filago-type","Physospermum cornubiense","Botrychium","Marchantiophyta","Torilis arvensis-type","Anthriscus cerefolium","Acer","Rumex obtusifolius-type","Viola","Thelypteris palustris","Brassicaceae","Astrantia","Caryophyllaceae (porate)","Lotus","Ornithopus"
569.86,NA,NA,1,"11329, 1","0.282","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","3","3","3","3","3","4","4","4","6","7","9","13","20","53","58","101","189","206","193","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
663.26,NA,NA,5,"11329, 1","0.282","4","","","3","","","1","","","","9","2","18","1","5","1","18","6","7","1","9","1","13","8","3","10","14","132","33","94","111","172","291","193","144","1","1","1","1","1","1","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
780,NA,NA,10,"11329, 1","0.282","2","1","","1","1","2","1","","","","14","6","27","4","3","3","23","9","11","1","7","","27","11","3","50","16","16","36","117","139","308","360","126","127","2","2","","1","1","","1","3","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1013.49,NA,NA,20,"11329, 1","0.282","8","","","1","1","2","5","","","","9","5","28","1","","","19","7","6","","2","1","16","10","3","38","34","7","22","160","13","253","238","4","186","2","4","2","1","","","","5","2","1","","","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1261.37,NA,NA,30,"11329, 1","0.282","4","","","","","","1","1","","1","21","7","17","1","","3","23","8","12","1","6","","13","1","10","26","72","19","31","207","6","102","432","1","215","6","","","4","","2","1","4","","","","","1","2","","1","","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1509.26,NA,NA,40,"11329, 1","0.282","11","1","","1","2","2","2","3","","","12","7","19","2","1","1","17","4","6","","7","2","14","3","10","27","22","9","27","116","5","127","300","2","273","3","","","2","","","","3","1","","","1","1","","","","","1","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1665.19,NA,NA,50,"11329, 1","0.282","1","","","3","","1","","1","","","17","6","32","","2","3","11","4","12","1","8","","11","2","7","26","4","8","16","158","6","83","351","5","214","7","1","","3","","2","1","4","1","","","","1","","","1","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1821.13,NA,NA,60,"11329, 1","0.282","4","","","8","","","","2","","","4","1","47","5","","4","5","8","15","1","6","","8","8","11","27","5","20","28","200","4","115","250","8","401","12","","","2","","","","1","1","","","2","","","","","1","","","","2","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1939.37,NA,NA,70,"11329, 1","0.282","4","2","","7","2","","3","6","","","15","","17","","1","","11","4","30","4","8","","2","10","25","23","26","11","57","179","4","212","571","31","331","8","2","","3","","","3","7","2","","","15","","","","","","3","","","2","","","1","","2","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2057.62,NA,NA,80,"11329, 1","0.282","3","1","","1","","","2","3","1","1","7","1","18","","","6","3","1","16","3","15","","5","4","14","8","12","7","11","167","","132","162","15","188","9","","","3","1","1","","4","3","","","1","","","","","","","","","2","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2175.87,NA,NA,90,"11329, 1","0.282","8","2","1","4","1","","1","","","1","13","9","22","2","","2","8","3","22","3","13","","27","8","4","18","7","32","29","205","3","156","315","12","253","4","4","","5","1","","4","5","2","1","","1","1","3","","1","","2","","","","","1","1","1","1","","","1","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2292.25,NA,NA,100,"11329, 1","0.282","5","","","1","","","2","","","1","9","","21","1","3","2","6","5","4","2","11","","14","3","7","12","2","12","23","120","3","84","288","7","189","6","","","3","","","","2","1","1","","","","","","","","1","","","1","","","","","","","","2","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2408.64,NA,NA,110,"11329, 1","0.282","8","","","","3","","2","2","","","2","","7","","4","","","6","20","4","20","","14","12","4","8","6","14","72","142","7","154","524","11","370","22","","","6","3","1","","5","2","","","","","5","","3","3","1","","","","","","","","","","","","","","","","","","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2479.9,NA,NA,120,"11329, 1","0.282","3","","","1","1","1","1","","","","2","","18","","2","2","4","1","7","2","17","","8","4","11","11","10","9","34","124","","137","872","12","168","2","","","4","","","1","4","","1","","","","","","1","","1","","1","","","","","","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2551.17,NA,NA,130,"11329, 1","0.282","3","3","","","1","","2","4","","","6","","9","","","3","1","3","9","6","4","","4","4","5","12","11","6","29","157","3","126","250","18","220","6","","","1","","","","3","","1","","","","2","","","","2","","","","","","1","","","","","","","","","","","","","","","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2622.43,NA,NA,140,"11329, 1","0.282","","","","2","2","","3","4","","","4","","14","","1","5","4","3","11","2","22","","11","1","62","10","8","7","22","181","1","115","185","13","469","18","","","","","","","7","2","1","","","4","2","","","1","2","","","","","1","","","","","1","","","","","","","","","","","","3","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2693.69,NA,NA,150,"11329, 1","0.282","2","","","1","1","","4","4","","","2","","12","","2","4","5","1","14","","35","","3","","33","14","18","13","27","212","2","106","544","9","421","","1","","2","","1","1","11","","","","","","","","","","","","","","","","","1","2","1","","","2","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2764.96,NA,NA,160,"11329, 1","0.282","7","","","1","2","2","","1","","","13","","15","3","","10","6","3","9","7","15","","9","5","20","11","34","25","10","197","1","100","441","12","218","","1","","2","","","2","4","","2","","1","","","","","","2","1","1","1","","1","","","","","1","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2830.33,NA,NA,165,"11329, 1","0.282","1","","","","","3","","4","","1","14","","10","1","","15","","","4","3","7","","4","1","20","3","23","2","18","159","","55","314","13","67","","","","1","","1","","5","","1","1","","","1","","","1","","1","1","","","2","","","1","1","2","","1","","","","","2","","","","","","","","","","1","1","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
