"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Botryococcus","Corylus","Elaeagnus","Fagus","Liliaceae undiff.","Morus","Prunus-type","Populus","Potamogeton-type","Carduus","Hedera","Phillyrea","Genista-type","Plantago maritima-type","Myrtus communis","Plantago coronopus","Cyperaceae","Lamiaceae undiff.","Saxifraga","Rumex acetosella-type","Alisma-type","Alnus glutinosa-type","Arctium","Quercus pubescens-type","Cistus monspeliensis-type","Teucrium","Aster-type","Urtica dioica-type","Fraxinus angustifolia subsp. oxycarpa-type","Quercus suber-type","Dinoflagellata","Cichorioideae","Sparganium-type","Thalictrum","Quercus ilex-type","Olea europaea","Plantago lanceolata-type","Lotus-type","Artemisia","Isoëtes","Brassicaceae","Erica arborea-type","Pinus","Ruppia","Pistacia","Juniperus-type","Amaranthaceae-type","Poaceae","Lycopodium spike","Lycopodium tablets","Myriophyllum","Salix","Ambrosia","Stachys-type","Mentha-type","Ranunculus-type","Rumex obtusifolius-type","Apium","Tamarix","Galeopsis-type","Asphodelus albus-type","Sedum-type","Thymelaea","Cistus albidus-type","Pteridium aquilinum","Anthoceros laevis","Pteridophyta (monolete) undiff.","Plantago media","Gentiana","Hordeum-type","Chamaerops humilis","Selaginella denticulata","Eryngium","Secale cereale","Vitis","Filago-type","Triticum-type","Campanulaceae","Trifolium","Helianthemum","Cornus sanguinea","Asparagus","Botrychium","Polypodium","Galium-type","Betula","Achillea-type","Caryophyllaceae undiff.","Anthoceros punctatus","Rubus","Castanea sativa","Ficus carica","Lavandula","Delitschia","Allium-type","Ranunculus aquatilis-type","Pteris cretica","Hypericum perforatum-type","Sporormiella-type","Ephedra","Rumex acetosa-type","Centaurea cyanus","Echium","Arbutus","Oenanthe","Ophioglossum","Sordaria-type","Apiaceae undiff.","Illecebrum verticillatum","Poaceae (Cerealia) undiff.","Sambucus","Theligonum cynocrambe","Falcaria","Alnus viridis-type","Euphorbia","Scrophulariaceae","Rosaceae undiff.","Rhamnus","Lathyrus-type","Linum austriacum-type","Carthamus","Pteridophyta (trilete) undiff.","Anogramma leptophylla","Ulmus","Ostrya-type","Paronychia-type","Linaria-type","Corrigiola litoralis","Lycopodium","Rhynchospora alba","Buxus","Silene dioica-type","Reseda-type","Riccia","Nerium oleander","Carlina","Centaurea nigra-type","Bupleurum","Geranium","Fabaceae undiff.","Veronica-type","Armeria-type","Orlaya","Gratiola officinalis","Convolvulus","Podospora-type","Neurospora","Sanguisorba minor-type","Consolida-type","Lamium album-type","Coniochaeta","Onosma","Spergula-type","Urtica pilulifera-type","Geum-type","Carpinus betulus","Polygonum aviculare-type","Avena-type","Daucus","Minuartia","Asphodelus fistulosus","Valeriana","Cannabis-type","Lythrum salicaria-type","Cercophora-type","Mercurialis","Onobrychis-type","Fraxinus ornus","Filipendula","Bryonia","Papaver rhoeas-type","Asplenium-type","Nuphar","Scabiosa","Crocus","Pisum sativum","Acer","Ranunculus arvensis","Ludwigia palustris","Tilia","Utricularia","Prunella-type","Callitriche","Primula","Pediastrum","Valerianella","Abies","Boraginaceae","Radiola linoides","Linum usitatissimum-type","Loranthus europaeus","Pimpinella major-type","Euphrasia","Verbascum","Thelypteris palustris","Taxus baccata","Fagopyrum","Styrax","Ceratonia siliqua","Pseudoschizaea"
3380,NA,NA,310,1,NA,3,NA,2,NA,NA,2,NA,NA,1,NA,1,1,NA,2,NA,7,NA,NA,20,NA,26,1,7,15,2,13,NA,10,1,1,30,NA,1,24,26,4,3,19,34,4,119,2,NA,32,9,76,42,417,62545,NA,NA,1,1,NA,5,1,1,NA,3,1,NA,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,1,7,NA,NA,NA,NA,NA,NA,2,2,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,4,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3409,NA,NA,320,1,NA,NA,NA,NA,NA,NA,3,NA,NA,3,NA,3,3,NA,5,3,12,3,NA,37,NA,85,NA,11,13,2,4,NA,11,2,11,24,NA,6,16,24,8,6,10,49,23,103,5,NA,35,11,51,44,544,62545,NA,2,NA,4,3,1,4,2,2,3,NA,1,NA,1,4,NA,1,NA,NA,NA,NA,2,NA,2,4,1,1,NA,1,NA,2,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,2,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3439,NA,NA,330,1,NA,1,NA,2,NA,NA,3,1,NA,NA,NA,4,2,NA,5,NA,23,NA,NA,31,NA,83,NA,11,4,1,9,NA,NA,NA,4,47,NA,4,12,33,3,10,10,33,12,105,2,NA,21,18,37,44,217,62545,NA,1,NA,2,NA,NA,NA,4,NA,1,NA,NA,NA,1,3,2,NA,NA,NA,2,2,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3470,NA,NA,340,1,NA,3,NA,2,NA,NA,NA,NA,1,2,NA,4,1,1,8,NA,16,1,NA,23,NA,90,NA,5,9,2,3,2,2,NA,4,46,NA,2,3,25,6,5,11,13,15,70,2,NA,29,19,41,53,396,62545,NA,NA,NA,1,1,NA,3,1,NA,1,2,NA,NA,1,4,3,1,1,NA,NA,2,NA,NA,NA,1,2,3,NA,NA,NA,3,NA,1,NA,NA,1,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3504,NA,NA,350,1,NA,4,NA,1,NA,NA,1,NA,3,1,NA,1,NA,NA,3,NA,19,NA,NA,15,NA,74,NA,13,29,NA,4,1,9,1,4,59,NA,NA,9,18,3,5,26,29,9,129,3,NA,22,10,37,35,598,62545,NA,NA,NA,1,1,1,1,4,NA,NA,2,NA,NA,1,1,8,1,NA,NA,NA,2,1,NA,1,1,2,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3540,NA,NA,360,1,NA,1,NA,NA,NA,NA,NA,1,2,3,NA,6,NA,1,8,NA,24,NA,NA,29,NA,71,NA,11,27,3,7,3,4,1,4,61,1,1,6,20,4,3,35,28,3,106,NA,NA,6,13,31,3,445,62545,NA,1,4,NA,NA,3,1,1,NA,NA,NA,NA,NA,5,2,8,6,NA,NA,NA,NA,NA,NA,NA,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,1,1,NA,4,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3580,NA,NA,370,1,NA,1,NA,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,4,NA,11,2,NA,38,1,81,1,17,15,3,7,1,11,2,10,29,NA,NA,12,14,7,14,15,35,8,101,2,NA,24,4,42,34,699,62545,NA,NA,1,1,1,1,2,1,2,NA,NA,NA,NA,2,4,10,1,NA,NA,1,2,2,NA,1,1,1,1,NA,NA,NA,1,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,10,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3622,NA,NA,380,1,NA,2,NA,NA,NA,NA,NA,1,NA,2,NA,1,NA,NA,4,NA,16,NA,NA,27,NA,48,2,5,19,2,8,NA,1,NA,1,93,NA,2,3,9,1,9,24,19,10,153,1,NA,12,8,28,26,579,62545,NA,NA,NA,2,NA,3,NA,1,NA,3,NA,1,NA,2,2,7,NA,NA,NA,NA,2,1,NA,NA,1,4,NA,NA,NA,1,NA,1,NA,NA,NA,NA,5,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,8,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3667,NA,NA,390,1,NA,2,NA,NA,NA,NA,1,1,1,1,NA,4,NA,NA,6,1,24,1,1,35,NA,104,NA,9,10,NA,12,NA,5,NA,13,45,NA,1,4,25,3,5,17,48,6,84,NA,NA,10,19,41,44,408,62545,NA,NA,NA,2,NA,NA,NA,1,NA,2,NA,NA,NA,3,1,6,1,NA,NA,1,3,1,2,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3762,NA,NA,410,1,NA,1,NA,NA,NA,NA,1,1,7,3,NA,NA,NA,NA,7,NA,17,NA,1,26,NA,51,1,10,20,NA,4,NA,3,3,8,77,NA,NA,16,14,1,4,9,58,12,118,2,NA,31,6,43,25,519,62545,NA,1,1,1,NA,NA,1,4,1,2,1,NA,NA,NA,3,7,6,NA,1,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,1,NA,NA,NA,NA,NA,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3812,NA,NA,420,1,NA,1,NA,NA,NA,NA,1,NA,NA,4,NA,2,NA,NA,5,NA,11,1,NA,28,NA,61,NA,20,21,2,12,1,2,1,20,60,NA,NA,9,9,2,9,11,33,6,113,4,NA,15,6,41,43,602,62545,NA,1,NA,NA,NA,NA,2,2,3,3,1,1,NA,1,4,3,3,NA,NA,NA,2,2,1,2,1,4,1,NA,NA,NA,NA,NA,NA,NA,1,NA,3,NA,NA,NA,NA,1,3,NA,NA,NA,1,1,5,NA,NA,NA,NA,1,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3864,NA,NA,430,1,NA,5,NA,1,NA,NA,NA,3,2,NA,NA,2,NA,NA,5,NA,16,NA,NA,28,NA,66,NA,14,9,1,9,NA,5,10,7,58,NA,NA,3,6,5,5,20,42,13,116,2,NA,14,13,50,26,369,62545,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,NA,2,3,NA,NA,NA,NA,2,2,NA,NA,1,3,NA,NA,NA,NA,1,NA,2,1,NA,1,5,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,7,NA,NA,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3916,NA,NA,440,1,NA,NA,NA,1,NA,NA,NA,NA,10,NA,NA,2,NA,NA,8,NA,29,1,1,17,NA,66,2,16,6,1,6,4,3,5,4,73,1,2,11,2,2,4,22,38,5,126,3,NA,25,8,67,32,380,62545,NA,NA,NA,1,NA,2,NA,1,NA,1,1,NA,NA,1,2,3,1,NA,NA,NA,NA,NA,3,NA,1,3,NA,NA,NA,NA,1,1,1,NA,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,6,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3968,NA,NA,450,1,NA,2,NA,1,NA,NA,1,NA,4,2,NA,NA,NA,1,15,NA,14,NA,NA,28,NA,65,NA,10,15,2,5,NA,2,2,7,25,NA,NA,15,6,4,5,22,35,6,104,1,NA,31,12,79,40,342,62545,NA,NA,NA,1,1,NA,2,3,NA,2,NA,NA,NA,1,NA,2,5,NA,NA,1,2,1,NA,NA,1,NA,2,NA,NA,1,NA,NA,3,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4021,NA,NA,460,1,NA,1,NA,NA,1,NA,NA,NA,1,2,NA,2,1,NA,8,NA,13,1,NA,35,NA,38,2,6,7,NA,11,NA,1,2,8,51,NA,NA,5,12,1,2,20,42,2,106,3,NA,41,21,60,28,341,62545,NA,NA,NA,NA,NA,3,3,NA,NA,2,NA,NA,NA,2,NA,6,3,NA,NA,NA,NA,2,NA,NA,1,3,NA,NA,2,NA,1,NA,1,NA,1,3,11,NA,NA,NA,1,NA,1,NA,NA,NA,NA,2,15,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4073,NA,NA,470,1,NA,NA,NA,1,NA,2,2,NA,NA,1,NA,3,NA,NA,8,NA,12,3,NA,17,NA,78,NA,11,7,NA,6,1,NA,8,22,20,NA,NA,9,11,9,5,8,31,7,112,5,NA,58,15,59,27,535,62545,NA,NA,NA,1,NA,NA,9,3,NA,2,NA,NA,NA,1,2,2,2,NA,NA,NA,2,2,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA,2,NA,NA,1,NA,NA,NA,NA,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4126,NA,NA,480,1,NA,2,NA,NA,NA,NA,NA,NA,3,1,NA,2,NA,1,13,NA,14,NA,NA,20,NA,24,1,10,7,1,11,NA,6,1,4,43,NA,1,8,7,2,1,31,24,4,177,2,NA,24,17,47,23,298,62545,NA,NA,NA,1,NA,NA,1,2,1,1,NA,NA,NA,NA,1,4,3,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,2,2,NA,2,2,NA,1,NA,NA,NA,2,NA,NA,NA,2,2,6,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4180,NA,NA,490,1,NA,5,NA,3,NA,NA,1,1,7,3,NA,NA,NA,NA,12,NA,13,NA,NA,24,2,60,NA,7,16,3,4,NA,NA,1,13,28,NA,2,14,3,6,5,17,22,10,125,3,NA,42,5,59,31,414,62545,NA,1,NA,NA,1,NA,5,6,NA,4,1,NA,NA,NA,3,NA,5,NA,NA,NA,4,NA,2,NA,1,3,1,NA,NA,1,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4318,NA,NA,514,1,NA,2,NA,NA,NA,NA,NA,NA,2,1,NA,3,NA,NA,14,NA,12,1,NA,9,NA,55,NA,8,19,1,4,NA,1,5,52,26,NA,2,9,12,4,2,24,58,8,165,2,NA,31,18,45,38,440,62545,NA,NA,NA,1,NA,NA,NA,1,NA,3,1,NA,NA,NA,4,5,5,NA,NA,NA,NA,2,NA,NA,2,1,2,NA,NA,NA,NA,NA,2,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,2,NA,14,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4355,NA,NA,520,1,NA,NA,NA,1,NA,NA,1,2,1,NA,NA,1,1,NA,21,NA,13,NA,NA,11,NA,64,2,6,6,1,6,1,3,2,12,16,NA,1,12,11,1,6,10,53,4,156,6,NA,60,10,52,34,504,62545,NA,NA,NA,NA,1,1,1,4,NA,2,NA,1,NA,1,1,8,4,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,4,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4419,NA,NA,530,1,NA,4,NA,1,NA,NA,NA,2,11,NA,1,4,NA,NA,13,NA,15,NA,NA,8,7,70,1,10,6,1,NA,NA,8,3,11,6,NA,NA,11,13,3,4,18,21,11,138,3,NA,76,5,58,32,263,62545,NA,1,NA,1,NA,1,NA,3,NA,NA,NA,NA,NA,NA,3,3,6,NA,NA,NA,NA,5,NA,NA,1,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,3,NA,NA,NA,1,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4487,NA,NA,540,1,NA,1,NA,1,NA,NA,2,NA,1,1,NA,4,NA,2,26,NA,8,2,NA,8,NA,82,NA,15,7,2,2,NA,8,2,40,11,1,NA,8,14,6,3,14,31,6,105,8,NA,88,8,73,26,425,62545,NA,NA,NA,NA,NA,NA,NA,2,NA,2,1,NA,NA,1,1,4,2,NA,NA,NA,1,4,NA,1,2,NA,1,NA,NA,1,3,NA,1,1,NA,NA,2,NA,NA,NA,NA,NA,2,NA,2,NA,NA,1,2,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
