"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Eucalyptus tablets","Sample quantity","Caryophyllaceae","Salix","Pistacia","Potamogeton","Trifolium-type","Viscum","Filipendula","Buxus","Polypodiophyta (monolete) undiff.","Thalictrum","Brassicaceae","Artemisia","Tilia","Rosaceae undiff.","Pinus","Amaranthaceae","Ranunculus-type","Apiaceae undiff.","Indeterminable","Cyperaceae","Acer","Hedera","Plantago","Fraxinus ornus","Abies","Vitis","Sambucus","Phillyrea","Quercus ilex","Fagus","Ulmaceae","Carpinus betulus","Fraxinus excelsior-type","Poaceae","Alnus","Corylus","Ostrya","Quercus undiff.","Eucalyptus spike","Castanea","Ilex","Nuphar","Platanus","Typha angustifolia","Helianthemum","Anthemis-type","Polypodiophyta (trilete) undiff.","Betula","Rumex","Solidago-type","Pteridium","Myriophyllum spicatum-type","Unknown","Cichorioideae","Sorbus","Scrophulariaceae","Ericaceae","Picea","Potentilla-type","Typha latifolia","Populus","Bupleurum-type","Anagallis-type","Cistus","Cupressaceae-type","Polypodium","Mentha-type","Olea","Primulaceae undiff.","Veronica-type","Saxifragaceae undiff.","Boraginaceae undiff.","Tamarix","Fabaceae undiff.","Liliaceae","Centaurea cyanus-type","Helleborus viridis-type","Poterium sanguisorba","Asphodelus-type","Cannabaceae","Equisetum","Lonicera","Scilla-type","Centaurea solstitialis-type","Lithospermum","Galium","Androsace-type","Urtica-type","Hippophaë","Chrysosplenium"
9659.8,NA,NA,54.75,"42500, 1","1.2","1","1","1","1","1","1","1","1","1","2","2","3","3","3","3","3","3","3","3","4","4","5","6","7","9","9","10","16","19","23","23","24","25","44","81","130","130","393","59","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9661.4,NA,NA,54.85,"45500, 1","1.2","","1","","1","","","","1","1","","1","2","10","2","9","2","2","18","","11","13","13","8","","6","7","11","38","58","66","35","22","30","62","153","218","206","861","175","1","1","1","1","1","1","1","1","2","2","2","2","3","3","4","4","5","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9663.1,NA,NA,54.95,"42500, 1","1","","","","","1","","1","","2","","2","4","9","2","6","3","","17","4","7","1","5","12","","6","2","4","21","16","20","19","17","27","51","146","178","127","494","72","","","","","","","","4","10","2","1","","","2","1","","1","1","1","1","1","1","1","1","1","1","1","2","3","","","","","","","","","","","","","","","","","","","","","",""
9664.7,NA,NA,55.05,"45500, 1","1.4","","","2","1","","","","","","","1","2","10","1","8","3","1","15","7","7","5","3","6","","4","2","2","8","21","23","19","9","17","60","89","150","106","400","70","","","","","1","","","4","1","3","","","","","","","1","4","","1","","3","","","","2","","3","","1","1","2","","","","","","","","","","","","","","","","","","",""
9666.4,NA,NA,55.15,"42500, 1","1","1","1","1","","","","","1","1","","","","18","1","4","3","1","16","2","3","5","1","3","","5","6","1","5","24","21","18","10","10","56","88","158","103","327","54","","","","","1","","","2","1","1","","","","1","2","4","","4","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
9668.1,NA,NA,55.25,"45500, 1","0.8","","","","","","","1","","1","","2","2","11","1","3","4","","9","3","3","2","6","6","","6","7","2","10","45","42","11","3","18","44","68","164","8","519","243","","","1","","3","","","","1","3","2","1","1","2","4","3","1","3","","","1","","","","","","","","2","","","","1","1","","","","","","","","","","","","","","","","",""
9669.7,NA,NA,55.35,"42500, 1","1","","","","","","","1","","","","1","4","12","1","7","4","1","8","5","2","10","13","9","","9","1","1","5","24","24","6","7","14","23","36","82","39","500","221","","1","","","","","","3","3","","","","","1","1","","1","3","1","","","1","","","","1","1","","","1","2","1","","","4","","","","","","","","","","","","","","","",""
9671.4,NA,NA,55.45,"42500, 1","1","","","1","","","","","","","","1","1","22","1","14","5","2","11","2","4","3","10","9","","8","5","3","7","36","33","25","14","5","51","84","208","106","584","144","","","","","","","","1","1","1","2","","1","3","2","","","3","","","","","","","","3","","","","","","","","","1","1","1","1","1","","","","","","","","","","","",""
9673,NA,NA,55.55,"42500, 1","1","","","1","","","","1","","","","2","","20","","8","2","","6","8","3","5","11","12","","3","6","2","5","34","43","14","11","6","27","67","143","82","778","237","","","","","","","","1","4","1","4","3","","","2","","","4","","","1","1","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","",""
9674.7,NA,NA,55.65,"42500, 1","1.2","","","","","","","","","1","","5","4","10","2","10","2","","12","6","3","3","7","11","","1","","","15","35","34","36","14","13","81","101","181","125","323","74","","","","","2","","","1","5","","1","3","2","2","2","","","1","","","","1","","","","2","1","","1","","","","","","","","","","","2","3","","","","","","","","","",""
