"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Caryophyllaceae","Cichorioideae","Vitis","Brassicaceae","Typha angustifolia-type","Myriophyllum spicatum","Solidago-type","cf. Euphorbia","Indeterminable","Rhamnaceae","Potamogeton","Galium-type","Fraxinus ornus","Unknown (trilete)","Abies","Salix","Ulmus","Apiaceae","Acer","Juniperus-type","Juglans","Amaranthaceae","Fraxinus excelsior-type","Unknown","Betula","Rumex","Pinus","Carpinus betulus","Phillyrea","cf. Olea","Unknown (monolete)","Corylus","Artemisia","Plantago","Castanea","Cyperaceae","Fagus","Ostrya-type","Alnus","Poaceae","Quercus undiff.","Scrophulariaceae","Rosaceae","Potentilla","Pteridium","Typha latifolia","Plantago lanceolata-type","Ericales","Hedera","cf. Cedrus","Poaceae (Cerealia-type)","Cannabaceae","Tilia","Ranunculus-type","Anthemis-type","Ornithogalum-type","Fabaceae","Asphodelus-type","Nymphaea","Myriophyllum alterniflorum","Centaurea cf. C. nigra-type","Urtica-type","Pistacia","Quercus ilex","Platanus","Cirsium-type","Poterium sanguisorba","Plantago major/P. media","Eucalyptus spike","cf. Myrtus","Menyanthes trifoliata","Saxifragaceae","Ephedra fragilis-type","Populus","Thalictrum","Buxus","Sambucus","Filipendula","Taxus","Cladium mariscus","cf. Viscum","cf. Lonicera","Eucalyptus suspension","Nuphar","Mentha-type","Plantago coronopus-type","Cornus","Cornaceae","Oxyria-type","Ilex","Centaurea cf. C. scabiosa-type","Hippophaë","cf. Centaurium","Primulaceae","Bryophyta undiff.","Boraginaceae","Ephedra distachya","Echium-type","Liliaceae-type","Viburnum","Helianthemum-type","Centaurea cf. C. cyanus-type","Serratula-type","Armeria maritima (type B)","cf. Baldellia","Vicia-type","Allium-type","Polygonaceae","Equisetum","cf. Hypericum","Picea","Campanulaceae","Resedaceae","Malvaceae","Geranium","cf. Armeria (type A)","cf. Alchemilla","cf. Acorus","cf. Epilobium","Papaveraceae","cf. Succisa","Larix","Polypodium","Euonymus europaeus","Valerianoideae","cf. Daphne","Myriophyllum verticillatum","cf. Persicaria amphibia","cf. Polygonum","Botrychium"
15081,15310,14828,903,"2","2","","","","","2","","","","","4","","","1","1","1","7","","85","","24","3","","10","3","23","","","","","","83","","2","6","3","1","","128","13","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","37","","","","","","1","","4","","","","","","2, 59600","","","","","","","","1","","","","","1","","","","","1","","3","","","","","","","","","","","","","","","","","","","","","","","","","","",""
15297,15547,15041,913,"9","","","2","","","1","","5","","","7","","1","","5","","8","","64","","31","1","1","5","2","11","","","","","","83","","","10","","","","126","6","","1","","","","2","","","","3","","","1","3","","","","","","1","","","","","","","","26","","","","1","","2","","","","","","","","20, 59600","","","","","","","","","","","","","1","2","","","","1","","","","","","","","","","","","1","","","","","","","","","","","","","","","","",""
15653,15952,15349,923,"2","","","1","","","2","","4","","","5","","","","5","2","3","1","22","","44","","","11","2","15","","","","","1","118","","","3","","2","2","132","3","","","","","","2","","","","","","","","","","","","","","1","","","","","","","","11","","","","","","","","","","","","","","2, 59600","","","","","1","","","","2","","","","","","","","","5","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
16109,16353,15858,943,"3","1","","3","","","","1","2","","","7","","","","","","4","","77","","30","","1","3","","21","1","","1","","","95","","","","","","","89","2","","2","","","","","","","","","","","3","4","","1","","","","","","","","","","","1","66","","","","","","4","","","","","","","","2, 59600","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
16884,17198,16561,982,"5","","","2","","","1","1","2, 5","","","7","","","","1","","8","","37","","31","","1","","5","34","1","","1","","","120","2","","4","","","","142","3","","","","","","","","","","","","","1","7","","1","","","","","","","","","","","","32","","","","","","6","","","","","","","","2, 45700","","","","","","","","","5","","","","2","5","","","","2","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","",""
17384,17644,17122,1002,"1","2","1","2","","","1","","4, 8","","","13","","","1","1","","4","","56","","6","","3","1","1","66","","","","","","68","3","","5","","","2","168","2","","","","","","","","","","10","","","1","4","","","","","","","1","","","","","","","22","","","","","1","6","","","","","","","","2, 45700","","1","","","","","","","","","","","1","2","","","","8","","","","","","","","","","1","1","","1","","","","","","","","","","","","","","","",""
17758,18079,17427,1022,"1","2","","3","","","8","1","1, 2","","","6","","","","1","1","3","","22","","11","","","6","1","65","","","","","","104","2","2","10","2","","2","177","2","","","","","","3","","","","2","","","","","","1","","","","","","","","","1","","","6","","","","","","3","","","5","","","","","2, 59600","","1","","","","4","","","","","","","","","","","","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
17980,18346,17653,1032,"","1","","","","1","2","1","","","","3","","","","","","13","","10","","29","","","1","","75","","","1","","","83","","","13","","","","138","","6","","","","","","1","","","","","","4","2","","","","","","","","","","","3","1","1","24","","","","","","2","1","","","","","","","2, 45700","","","2","","","","","","1","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
18242,18546,17948,1042,"1","2","","1","","","","2","8","","1","7","","","1","1","","7","","44","","14","","1","6","","70","","","1","","","69","3","","2","","1","","178","","","","","","","","","","","3","","","1","4","","1","","","","","","","","","","","","24","","","","1","","","","","","","","","","2, 45700","","","","","","","","","","","","","","1","","","","9","1","","","","","","","","","","","1","","","","","","","","","","","","","","","","",""
18694,18960,18425,1062,"1","2","","1","1","","1","","1, 3","","3","6","","","","","","3","","44","","9","1","5","3","","67","","","","","","73","1","","3","2","","","142","3","","","","","","1","","","","","","","","","","1","","","","","","","","","3","","","38","","","","","","1","","","","1","","","","2, 45700","","","","","","","","","","","","","","","","","","6","","3","","","","","","","","","","","","","","","","","","","","","","","","","","",""
18827,19115,18555,1072,"3","1","4","2","","","3","","3, 4","","","7","","","","","1","7","","22","","7","2","1","4","6","93","","","","","","64","1","","4","1","","4","160","8","","","","","","2","","","","","","","","","","","","","","","","","","","","","","22","","","","","","3","","2","","","","","","2, 45700","","","","","1","","","","","","","","","1","","","","2","","3","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
19060,19341,18776,1083.5,"","1","","","","","2","","2","","","9","","","","1","","3","","16","","5","","","1","3","74","","","","1","","43","2","","10","","","","161","1","","","","","","","","","","","","","","4","","","","","","1","","","","","","","","20","","","","","","","","","","","","","","2, 45700","","","","","","","","","1","","","","","3","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
19365,19692,19037,1123.5,"5","","","2","","","8","","","","","","","","","1","","3","","2","","18","","","","","217","","","","","","29","2","","14","4","","","50","2","","","","","","","","","","","","","","","","1","","","","","","","","","","","","3","","","","","","2","","","","","","","","2, 59600","","","","","","","","","","","","","","","","","","10","","","","","","","","","","2","","","","1","","","","","","","","","","","","","","",""
19522,19857,19176,1133.5,"1","2","","","1","","4","","3, 6","","5","3","","","","","","7","","25","","8","","4","","5","64","","","","1","","66","1","2","17","1","","","141","","2","","","","","3","","","","5","","","3","5","","3","","","","","","","","","2","","","65","","","","","","6","","1","","","","","","2, 45700","","1","1","","1","","","1","2","","","11","","1","","4","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
19696,20018,19371,1143.5,"3","1","","","","","","","3","","","5","","","","","","8","","26","","13","","4","1","","85","","","","","","51","1","","4","1","","","114","4","","","","","","3","","","","","","","6","8","","1","","","","","","","","","1","","1","21","","","","","","2","","","1","","","","","2, 45700","","","","","","","","","","","","","1","1","","","1","8","","","","","","","","","","","","","","","1","2","","","","","","","","","","","","",""
19958,20248,19688,1162,"","2","","","","","2","","2, 4","","","1","","","","","1","3","","8","","5","","1","1","","119","","","","","","47","","","4","1","","1","113","8","","","","","","","","","","4","","","1","7","","1","","","","","","","","","1","","1","8","","","","","","2","","","","","","","","2, 45700","","","","","","","","","1","","","","","3","","","","3","","","","","","","","","","2","","","","","","","","","","","","","","","","","","",""
20096,20399,19766,1172,"2","7","8","","","1","3","","1, 2","","","4","","","","","","3","","15","","10","","1","2","1","171","","","","","","43","","","1","3","1","1","142","5","","","","","","4","1","","","","","","1","6","","3","","","","","","","","","1","","","36","","","","","","2","","","","","","","","2, 45700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
20223,20618,19843,1182,"2","2","","2","","1","","","1, 4","","2","6","","","1","","","6","","68","","5","","","1","3","69","","","3","","","39","3","","11","2","2","2","153","2","","","","","","2","","","","","","","2","4","1","1","","","","","","","","","2","","3","18","","","","","","3","","","","","","","","2, 45700","","","","","","","","","1","","","","1","1","","","","2","","","","","","","","","","","","","","","","","1","","","","","","","","","","","",""
20496,20864,20129,1202,"2","","","1","","","13","1","5, 6","","","7","","","","","","4","","8","","28","","","","1","23","","","","","2","110","1","","3","","1","7","103","4","","","","","","1","","","","","","","","","","","","","","","","","","","","","","23","","","","","","4","","","","","","","","2, 59600","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
20637,20978,20323,1212,"4","3","7","1","","","3","2","1, 4","","","1","","","5","","","1","","13","","65","","1","","","94","","","","1","","67","1","","1","5","","","79","3","3","","","","","3","1","","","","","","1","","","15","","","","","","","","","6","","1","20","","","","","","3","","","","","","","","2, 45700","","","1","","","","","","2","","","","","1","","","","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
20772,21086,20450,1222,"3","4","","","1","2","3","","5","","","3","","","","","1","5","","9","","38","","","3","","26","","","","","","111","","","","1","","","106","3","","","","","","1","","","","","","","1","5","","3","","","","2","","","","","2","","2","13","","","","","","3","","","","","","","","2, 45700","","","3","","","","","","2","","","","","","","","","9","","","","","","","","","","","1","","","","","","","","","","","","","","","","","",""
21071,21450,20699,1242,"8","50","","","","","15","","1, 5, 22","","","1","","1","5","","1","6","","2","","8","","4","1","","31","1","","","","","24","1","","3","4","1","2","114","15","1","","","","","1","","","","","","","1","3","1","","","","","","","","","","8","","","25","","","","","","","","","","","","","","2, 45700","","","","","","","","","","","","","","8","","","","1","","","","","","","","","","","","","1","","","","","","","","","","","","","","","",""
21419,21743,21069,1257,"4","7","","","","","3","","1, 4, 11","","","5","","1","8","1","6","2","","6","","11","","6","","2","51","4","","","","","78","1","","4","8","2","11","92","32","","2","","","","3","","","","","","","1","","","2","","","","1","","","","","","","","32","","","2","","","4","","","","","","","","2, 45700","","","","","","","","","","","","","","","","","","5","","3","","","","","","","","","","","","","","","","","","","","","","","","","","",""
21660,22004,21309,1267,"","1","","2","","","5","","2","","","5","","","3","","","8","","43","","38","1","","2","","35","","","","","","128","2","","4","","","3","162","11","","","","","","","","","","2","","","","10","","","","","","","","","","","","","1","17","","","","","","7","","","1","","","","","2, 45700","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","1","","","","","","","","","","","","","",""
22013,22402,21620,1287,"8","6","","2","","","2","","10","","","8","","","1","","","5","","9","","31","","1","","3","27","1","","","","","122","","","4","","1","3","94","8","","2","","","","1","","","","","","","1","11","","2","","","","2","","","","","1","","","18","","","","","","3","","","1","","","","","2, 45700","","","3","","","","","","","","","","","2","","","","2","","","","","","","","","","","","","","","","","1","","","","","","","","","","","",""
22127,22456,21794,1297,"7","1","","","","","21","","3, 5","2","2","4","","","1","","","6","1","2","","15","","2","2","","169","","","","","","50","2","","5","2","","3","89","1","","","","","","4","","","","","","","2","","","","","","","","","","","","","","","31","","","","","","3","","","","","","","","2, 59600","","1","1","","","","","","1","","","","","","","","","21","","","","","","","","","","7","","","","","","","","","","","","","","","","","","",""
22259,22675,21882,1307,"8","5","","3","","","3","","3, 7","","","5","","","","1","","9","","18","","9","1","2","2","3","88","","","","","","50","4","","3","2","","","101","3","","1","","","","3","","","","4","","","2","8","1","2","","","","","","","","","2","","","19","","","","","","4","","","","","","","","2, 45700","","","","","","1","","","2","","","","","4","","","","3","","","","","","","1","","","1","","","1","","","","","","","","","","","","","","","",""
22523,22844,22179,1327,"5","2","","1","1","","2","","2, 4","","","12","","","1","","","7","","40","","5","","2","2","2","70","","","","","","60","9","1","6","4","","","115","5","","","","","","4","","","","7","","","2","5","","1","","","","","","","","","1","","","21","","","","1","","4","","","5","","","","","2, 45700","","","","","","","","1","2","","","","","3","","","","4","","","","","","","","","","","","","","","","1","7","","","","","","","","","","","",""
22646,22978,22322,1337,"6","6","","1","","","2","","5","","","2","","","11","","1","3","","16","","21","","","2","","143","2","","2","1","","30","4","","6","7","","5","117","17","","","","","","","","","","","","","1","5","","","","","","","","","","","","","","34","","","","","","8","","","","","","","","2, 45700","","","","","","","","","2","","","","","1","","","","6","","","","","","","","","","2","","","","","","","","","","","","","","","","","","",""
23002,23329,22661,1364,"","1","","","","","4","4","1","","","6","","","","","","1","1","89","","7","","","2","","52","","","","1","","42","1","","5","2","","1","110","7","","","","","","2","","","","","","","","3","","","","","","","","","","","","","","45","","","","","","1","","","","","","","","2, 51700","","1","","","","","","","5","","","","","","","","","4","","","","","","","","","","2","","","","","","","","","","","","","","","","","","",""
23271,23602,22950,1384,"","1","","2","1","","","","2, 12","","2","12","","","","1","","7","","179","","12","1","2","1","2","23","","","","","","37","2","3","2","5","1","2","148","1","2","","","","","1","","","","","","","2","3","","3","","","","","","","","","","1","2","194","","","","","","3","","","","","","","","2, 51700","","","","","","","","","5","","","","","1","","","","2","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
23399,23802,23015,1394,"6","2","","","1","","13","","1","","","4","","","","2","","6","","8","","17","","","1","","16","","","","","","115","4","","5","2","1","1","164","1","","1","","","","","","","","","","","2","","","1","","","","","","","","","","","","24","","","","","","2","","","","","","","","2, 59600","","","2","","","2","","","3","","","","","","","","","6","","","","","","","","","","","1","","","","","","","1","","","","","","","","","","",""
23503,23845,23169,1404,"1","3","","1","1","","1","1","1, 3, 6","","","17","","","","1","","6","","16","","18","","","1","3","9","","","1","","","81","2","","","2","","","169","3","","","","","","","","","","","","","","5","","","","","","","","","","","1","","","203","","","","","","5","2","","","","","","","2, 51700","","","1","","","","","","5","","","","","1","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
23694,24040,23348,1424,"","2","","1","","","3","1","6, 25","","","6","","","1","","","3","","8","","14","","","","","3","","","","","","27","","","","","1","","39","1","","","","","","","","","","","","","","","","","","","","","","","","","4","","1","278","","","","","","","","","","","","","","2, 51700","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
23934,24295,23579,1460,"2","2","","","","","2","","3, 6","","","6","","","","","","8","","76","","41","","","5","3","14","","","","","1","116","1","","1","","","2","156","9","","","","","","","","","","","","","","5","","","","","","","1","","","","1","","","191","","","","","","3","","","","","","","","2, 51700","","1","1","","","","","","","","","","2","","","","","5","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","",""
24048,24440,23681,1480,"1","2","","","","","1","1","2, 6","","","7","","","1","1","","7","","37","","30","","","1","3","12","","1","1","","","101","","","5","3","1","2","94","7","","","","","","3","","","","","","","","10","","1","","","","","","","","","","","","120","","","","","","3","","","1","","","","","5, 51700","","","1","","","","","","1","","","","","","","1","","3","","","","","","","","","","","","","","","","1","","","1","","","","","","","","","",""
24160,24528,23775,1490,"10","3","","","1","","20","","5","","","4","","","","","","2","","1","","88","","2","2","","75","","","","1","","73","1","","3","","","","86","7","","1","","","","","","","","","","","1","","","1","","","","1","","","","","","","","16","","","","","","11","1","","","","","","","2, 59600","","","","","","","","","","","","","1","","","","","8","","","","","","","","","","2","","","1","","","","","","","","","","","","","","","",""
24252,24628,23866,1500,"","1","","","","","6","1","1, 5","","1","11","","","2","1","","6","","39","","23","","","1","3","23","","","2","","","78","1","","2","","1","","182","3","","","","","","1","1","","","","1","","","2","","3","","","","","","","","","4","","","85","","","","","","3","1","","","","","","","2, 51700","","","","","","","","","1","","","","","3","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
24459,24904,23990,1520,"1","3","","1","1","","5","2","5, 9","","","5","","","","","","3","","81","","16","","","2","","19","","","1","","","63","1","1","2","1","2","3","113","4","3","","","","","1","","","","","","","2","2","","","","","","","","","","","","","","182","","","","","","5","","","","","","","","2, 51700","","","1","","","","","","2","","","","1","1","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
25762,26189,25343,1622,"","","","2","","","1","1","2","","","3","","","","1","1","13","","18","","28","","","2","4","22","1","1","1","","","99","","","4","","3","","160","8","1","","","","","","","","","","","1","","8","","","","","","","","","","","2","","1","110","","","","","","6","","","","","","","","2, 51700","","","2","","","","","","2","","","","1","1","","","","3","","","","","","","","","","1","","","","","","","","","","1","","","","","","","","",""
26040,26428,25655,1642,"","","","","3","","2","4","10","","","9","","","2","","1","10","","9","","14","","1","4","2","22","","","2","","","59","","","4","4","1","","128","18","","","","","","","1","","","","","","","2","","","","","","","","","","","1","1","","200","","","","","","5","","","","","","","","2, 51700","","","","","","","","1","","","","","","2","","","","2","","","","","","","","","","1","","","","","","","","","","","1","","","","","","","",""
26165,26611,25734,1652,"3","","","6","3","","1","3","1","","","7","","","1","","","5","","14","","27","","","1","","56","","","","","1","30","1","","8","18","7","1","173","40","","","","","2","1","","","","","","","3","5","","","","","","1","","","","","2","2","2","49","","","","","","2","","","","","","","","2, 51700","","","","","","","","","3","","","","","1","","","","1","","","","","","","1","442","","2","","","","","","","","","","","","","","","","","","",""
26333,26802,25840,1662,"6","2","","2","","","3","","1, 3","","","13","","1","","2","2","12","","7","","9","","","11","","38","","","","","1","39","","","15","3","","1","152","26","","","","","1","1","","","","","","1","2","","","1","","","","","","","","","","","","45","","","","","","","","","","","","","","2, 59600","","","1","","","","","","4","","","","","","","","","2","","","","","","","","","","","1","","","","","","","","","","","1","","","","","","",""
26535,26907,26149,1682,"","","","1","1","","","2","2","","3","7","","","2","7","","3","","21","","20","","1","7","2","33","1","","1","","1","35","1","","8","8","2","1","157","32","","","","","1","","","","","","1","","","4","","1","","1","","","","","","","","","","365","","1","","","","3","","","","1","","","","2, 51700","","","","","","","","","3","","","","","1","","","","","","","","","","","","1000","","2","","","","","","","","","1","","","","","","","","","",""
26654,27081,26232,1692,"10","7","","2","","1","12","1","3, 28","","2","5","","","2","","1","3","","2","","15","","","3","1","42","1","","1","","","25","","","14","2","","1","142","11","","","","","2","3","","","","","","","1","3","","","","","","","","","","","6","","","67","","","","","","2","","","","","","","","2, 51700","","","","","","","","","1","","","22","2","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
26769,27333,26251,1702,"6","2","","","","","2","","3","","","4","","","1","","","3","","2","","5","","1","3","","59","","","","","","25","","","11","5","1","","155","20","","1","","","","2","","","","13","","","2","","","","","","","2","","","","","","","","86","","","1","3","","3","","2","","","","","","2, 51700","","","","","","","","","3","","","","","1","","","","2","","","","","","","","1","","","","","","","","","","","","","1","","","","","","","",""
26987,27528,26461,1726,"11","9","","","","","3","","2, 4, 22","","","4","","","","","","3","","2","","28","","1","","","11","","1","","","1","25","1","","","3","","1","88","11","","","","","","","","","","","","","","1","","","","","","","","","","","3","","","26","","","1","","","","","","","1","","","1","2, 53700","","","","","","","","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
27223,27781,26703,1746,"1","3","","","","","5","","4, 9","","","6","","","","","1","13","","1","","37","","","1","","6","","","","","1","81","","","","2","3","1","129","4","","","","","","","","","","","","","","5","","","","","","","","","","","3","","","36","","","","","","4","","","2","","","","","2, 53700","","","3","","","","","","1","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
27301,27730,26898,1756,"1","5","1","","","","5","3","3, 10","","","3","","","","1","","2","","2","","60","","1","1","2","60","","","","","","60","2","","12","3","1","1","209","14","","","","","","1","","","","","","","","16","","","","","","","","","","","2","","2","58","","","","","","8","","","","","","","","2, 53700","","","","","","","","","2","","","","","4","","","","5","","","","","","","","26","","1","","","","","","","","","","","","","","","","","","",""
27321,27772,26896,1766,"26","2","","2","","","7","","3","","","4","","","3","","5","8","","6","","9","2","2","3","","54","2","","8","","3","47","","1","7","8","3","3","156","41","","1","","","","2","","","","","","1","","","","","","","","","","","","","","","","49","","","","","","3","","1","","","","","","2, 59600","","","","","","","","","","","","","","","","","","2","","","","","","","","","","3","","","","","","","","","","","","","","","","","","",""
27540,27945,27146,1776,"2","2","","5","","","1","","1","","","3","","","3","","3","5","","4","","16","","","4","1","122","1","","1","","2","16","","1","10","15","2","","140","46","","1","","","","","","","","","1","2","1","","","1","","","","","","","","","2","","","257","","","","","","2","1","","","2","","","","2, 53700","","","1","","","","","","2","","","","","4","","1","","","","","","","","","","700","","2","","","","","","","","","","","","","","","","","","",""
27717,28169,27247,1786,"11","7","1","1","","","2","","1, 12","","","10","","","1","1","1","5","","2","","47","","1","3","","8","2","","","","","41","","","2","2","","4","169","38","1","","","","","","","","","","","","1","3","","1","","","","","","","","","1","","","38","","","","","","6","","1","2","","","","","2, 53700","","","1","","","","","","1","","","","","","","","","2","","","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
28013,28585,27491,1806,"3","1","","2","","","2","1","1, 5, 14","","","3","","","","","1","6","","14","","26","","","","","5","","","","","","54","1","","1","7","4","","122","9","1","","","","","","","","","","","","","6","","2","","","","","1","","","","","","","538","","","","","","","","","","","","","","2, 53700","","","","","","","","","","","","","","","","","","","","","","","","","","500","","","","","","","","","","","","","","","","","","","","",""
28361,28833,27899,1826,"1","1","1","","","","1","1","1, 8","","","4","","","","","","4","","8","","32","","","2","3","9","","","","","","78","","","4","1","1","","96","4","","","","","","1","","","","3","","","","3","","","","","","","","","","","1","","","132","","","","","","4","","","","","","","","2, 53700","","","","","","","","","","","","300","","4","","","","","1","","","","","","","8","","1","","","","","","","","","","","","","","","","","","",""
28671,29082,28229,1846,"4","3","","","","","4","","1, 11","","","8","","","1","","","9","","5","","26","","","2","4","7","","","","","","65","1","","","2","","1","129","11","","","","","","","","","","3","","","","10","","","","","","1","","","","","1","","","103","","","","","","2","","","1","","","","","2, 53700","","","","","","","","","","","","300","","6","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
29000,29547,28495,1866,"5","4","1","","","","3","","","","","3","","","","","1","2","","2","","31","2","","1","","36","1","","","","","50","","","4","7","","3","154","20","","","","","","2","","","","","","","","","","","","","","","","","","","1","","","23","","","","","","","","","","","","","","2, 59600","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","",""
29230,29693,28773,1876,"5","1","","1","1","","2","1","3","","","2","","","1","","","2","","1","","20","1","","1","1","17","2","","2","","","20","1","","","15","","1","135","8","","","","","","","","","","","","","","1","","1","","","","","","","","","","","1","30","","","","","","4","","","","","","","","2, 53700","","","","","","","","","2","","","","","2","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
29383,29794,28949,1886,"4","2","","2","","","1","7","2, 12","","","7","","","8","1","","7","","3","","14","","1","2","","24","1","","","","","44","","","","18","2","1","166","15","2","","","","","","","","","","","","","1","","2","","","","","","","","","","","","40","","","","","","7","","","","","","","","2, 53700","","","1","","","","","1","2","","","","","4","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
29484,29902,29065,1896,"5","2","","","","","","","3","","","6","","","10","","","","","","","7","","","","","64","5","","","1","1","7","","","2","7","","","54","15","","","","","","1","","","","","","1","","1","","1","","","","","","","","","","","","11","","","","","","2","","","","","","","","2, 53700","","1","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
29850,30360,29357,1935,"3","8","","1","","","1","","1, 2, 9","","","4","","","3","","1","15","","1","","10","1","","1","2","69","2","","","","1","16","","","2","16","2","1","110","26","","","","","","1","","","","","","","2","","","1","","","","","","","","","2","","","52","","","","","","4","","","","","","","","2, 53700","","","","","","","","1","1","","","","","1","","1","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
29892,30323,29479,1954,"1","2","","","","","","","1, 10","","","5","","","7","","2","1","","","","6","","","1","","59","","","","","","5","","3","3","11","2","","29","15","","","","","","","1","","","","","","","1","","6","","","","","","","","","1","","","16","","","","","","","","","","","","","","2, 53700","","","","","","","","","1","","","","","3","","","","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
29908,30333,29480,1964,"","3","","","","","1","","1","","","1","","","4","","1","","","","","1","","","1","","30","3","","","2","1","1","","1","3","15","1","1","22","5","","","","","","","","","","","","","","1","","5","","","","1","","","","","","","","10","","","","","","","","","","","","","","2, 53700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
29983,30475,29522,1984,"1","1","","","","","","","4","","1","2","","","4","","","","","1","","4","","","1","1","32","2","","","","","1","","","2","5","","","32","14","","1","","","","","","","","","","","","","","3","","","","","","","","","","","","40","","","","","","","","","","","","","","2, 53700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
30032,30490,29568,1995,"1","1","","","","","6","2","1, 11","","","1","","","3","","1","5","","3","","6","1","","","1","33","1","","1","","1","12","1","","4","6","","","134","14","1","","","","","","","","","","","1","","1","","","","","","","2","","","","3","","","42","","","","","1","1","","","","","","","","2, 53700","","","","","","","","1","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
30054,30685,29449,2016,"7","2","","","","","2","","1, 14","","","1","","","2","","6","2","","","","8","","2","3","1","18","5","","","","1","9","","","","5","","","31","5","","","","","","","","","","","","","2","1","","12","","","","","1","","","","1","","","24","","","","","","1","","","","","","","","2, 53700","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","2","","","","","","","",""
30509,30925,30077,2134,"1","8","","1","3","","","","2, 3","","","3","","","13","1","","4","","6","","55","","1","","1","68","","","2","1","","17","","","13","1","2","5","109","12","","","","","","","","","2","2","","1","","1","","","","","","","","","","","2","","","40","","","","","","2","","","","","","","1","2, 48000","","1","","","","","","","1","","","5","","1","","","","2","","","","","","","","4","","","","","","","","","","","","","","","","","","","","",""
30528,30984,30083,2144,"1","1","","","","","","","4","","","8","","","10","","4","8","1","22","","17","1","","9","18","60","1","","1","","3","31","","","11","16","1","","135","25","","","","","","2","","","","1","","1","","5","","1","","","","","","","","","1","","1","80","","","","","","2","","","","","","","","2, 48000","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
30529,30977,30083,2264.5,"1","","","3","1","","1","2","1, 2, 10","","2","7","","","6","1","3","2","","8","","19","","","9","12","54","4","","","","1","40","","","16","20","4","","147","46","","1","","","","","","","","","","3","","2","","","","","","1","","","","","","1","","44","","","","","","6","","","","","","","","2, 48000","","","2","","","","","","1","","","","","4","","","","1","","","","","","","","","","4","","","","","","","","","","","","","1","","","","","",""
30541,31086,29981,2154,"","","","1","","1","1","","1, 4","","","3","","","11","","","7","","","","23","1","1","3","","94","2","","","1","1","19","","","12","3","","3","86","29","1","","","","","","","","","","","1","","2","","","","","","","1","","","","1","","1","91","","","","","","2","","","","","","","","2, 48000","","","","","","","","","","","","1","","4","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
30633,31064,30192,2274.5,"2","","","2","2","","2","2","1, 2, 7","","","4","","","3","","10","6","5","14","","14","2","","17","1","40","7","","","","2","14","","1","4","24","4","","101","47","","1","","","","1","1","","","","","2","","1","","","","","","","","","","","","1","","84","","","","","","4","","","","1","","","","2, 48000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
