"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Lycopodium tablets","Betula","Nymphaea","Apiaceae","Vitis","Potamogeton","Sparganium","Fraxinus excelsior-type","Poterium sanguisorba","Caryophyllaceae","Cyperaceae","Fagus","Cichorioideae","Polygonum aviculare-type","Thalictrum","Ulmus","Alnus","Asteroideae","Brassicaceae","Rosaceae","Urtica","Centaurea","Ericales","Helianthemum","Olea","Amaranthaceae","Phillyrea","Abies","Pistacia","Carpinus betulus","Artemisia","Plantago","Fraxinus ornus","Corylus","Pteridium","Isoëtes","Pinus","Poaceae","Indeterminable undiff.","Ostrya/Carpinus orientalis","Quercus","Lycopodium spike","Ranunculaceae","Rubiaceae","Juniperus","Hedera","Cistus","Myriophyllum","Salix","Polypodiophyta","Juglans","Lamiaceae","Osmunda regalis","Typha latifolia","Ephedra","Tilia","Nuphar","Rhamnaceae","Daphne","Zelkova","Lycopodium","Rumex","Acer","Alisma","Polygonum","Sample quantity","Platanus","Buxus","Ilex","Taxus","Persicaria maculosa-type","Sphagnum","Liliaceae","Hippophaë","Campanulaceae","Lythrum","Boraginaceae","Pterocarya"
7051,7870,6250,10.2,"12077, 3","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","3","3","4","4","4","5","5","5","7","10","12","13","28","36","53","167","967","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7776,8667,6906,11.25,"12077, 2","","","1","","","1","2","","1","2","1","","39","1","3","","1","","","","","3","","1","4","4","3","1","7","6","1","3","15","5","","13","32","17","30","114","691","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8466,9430,7529,12.25,"12077, 2","2","","3","","","1","","","1","1","","1","18","","3","5","","","2","","3","3","","","1","4","3","1","7","4","1","2","7","11","","13","29","27","40","153","423","","1","1","1","","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8984,10002,7994,13,"12077, 3","","","4","","","3","1","1","3","1","2","","8","","9","","4","","","","","1","","4","7","2","3","","8","3","6","5","9","5","","23","50","17","40","144","508","3","","","","1","1","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9329,10385,8304,13.5,"12077, 3","","","3","","","1","1","2","5","3","","3","10","3","6","5","2","","2","","","1","","1","5","7","2","1","1","12","5","2","6","3","","20","34","23","40","166","431","","1","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
10019,11150,8921,14.5,"12077, 3","","","6","","","","","1","7","5","1","1","5","1","5","4","2","2","","","1","4","1","1","2","3","2","1","","8","","3","16","5","","14","42","21","34","123","454","1","1","2","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","",""
10709,11916,9537,15.5,"12077, 3","","1","3","","","4","","1","","","","","1","","4","1","","","","","","1","","6","4","6","15","","12","2","5","","15","1","","32","15","52","74","189","58","","","","","","","","","","","","1","1","3","","","","","","","","","","","","","","","","","","","","","",""
11055,12299,9845,16,"12077, 3","","1","3","","","2","3","","","","","1","3","","7","6","2","","","","","2","","","","4","8","1","8","3","1","3","16","2","","26","26","31","53","174","64","","","","1","","1","","","","","","","","8","1","1","","","","","","","","","","","","","","","","","","","",""
11400,12683,10153,16.5,"18470, 3","1","1","2","1","","3","1","2","1","","","1","2","","9","8","4","","","","1","","","","4","5","7","2","1","6","","3","11","","","24","22","26","11","249","53","","","3","2","","2","","","","","","","","8","","","","","","","","","","","","","","","","","","","","","",""
11745,13065,10459,17,"12077, 3","3","1","1","","","2","5","13","2","","","","1","","2","","4","","1","","","","","","14","4","3","6","","4","2","5","8","","","18","72","32","1","238","66","","1","5","","","","","","","","","","","1","","","1","1","1","7","","","","","","","","","","","","","","","",""
13300,14612,12023,17.5,"12077, 3","5","","3","","","2","","","5","","1","3","4","2","6","1","12","1","1","","3","","","1","18","1","10","","","82","5","1","","","","37","60","45","2","56","324","","2","1","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","",""
14855,16158,13587,18,"12077, 3","14","","9","","","3","","1","5","8","","4","1","11","3","3","5","","2","","5","1","1","","12","2","6","","4","47","7","2","","","","41","130","17","6","31","244","","8","1","","","1","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","",""
16410,17703,15150,18.5,"12077, 3","6","","5","","","2","","","2","2","1","3","2","5","","1","12","1","1","","2","","","","20","","6","","5","59","7","","","","","35","119","27","1","30","308","","3","3","","","","","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","",""
17965,19250,16714,19,"12077, 2","2","","8","","","2","","","5","4","2","3","1","2","1","1","15","2","","","1","1","","","23","","7","","4","59","5","","","","","32","82","39","2","35","219","3","3","2","","","1","1","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","",""
19520,20795,18277,19.5,"12077, 3","6","","4","","3","4","","1","3","","2","1","4","7","3","1","12","1","","","2","1","","1","45","","2","","3","102","6","","","","","24","96","41","1","44","283","2","4","","","","4","","","","","","","","","","","","","","","1","1","1","","","","","","","","","","","","",""
21075,22341,19840,20,"12077, 3","2","1","3","","","","","","3","1","1","11","1","2","","","7","1","","3","1","","","","5","","16","","","31","1","","2","","","17","55","17","","33","1791","","1","2","","","","","","","","","","1","1","","","","","","2","1","","","","","","","","","","","","","","",""
25741,26979,24530,21.5,"12077, 3","2","","4","","1","","","","6","1","","31","3","3","","3","3","1","","","1","1","","","13","","18","","1","82","","1","4","","","37","46","38","","41","1129","","","","","","","","","","","","","7","","","","","","","","","2","1","","","","","","","","","","","","",""
28851,30071,27656,22.5,"12077, 3","3","","1","","","","","","7","","1","12","2","3","2","2","13","","","2","2","","","","10","","2","","","43","","1","1","","1","13","60","49","","19","2805","","","","","","","","","","","","","2","","","","","","","1","","","2","","","","","","","","","","","","",""
30406,31617,29219,23,"12077, 2","","","2","","3","","","","5","1","3","23","10","1","3","5","13","","1","","2","","","","15","","8","","1","37","","","1","","","34","64","52","","30","1757","1","1","4","","1","","","","","","","","3","","","","","","","","1","","","","","","","","","","","","","","",""
31961,33164,30782,23.5,"12077, 3","1","","","","1","","2","1","6","","1","12","14","1","1","1","25","","","2","2","","","","22","1","10","","","46","1","","","","","23","50","76","1","14","1858","","","1","","","","","","","","","","2","2","","","","","","1","","2","","","","","","","","","","","","","",""
33516,34710,32345,24,"12077, 2","2","","1","","4","","","","3","","","12","13","3","2","1","9","1","1","","5","","","","17","","6","","","40","","","","","","27","96","88","","54","1070","1","","1","","","1","","1","","","","","6","","","","","","","","","","","","","","","","","","","","","","",""
36004,37183,34845,24.8,"18470, 1","3","","6","","","","","","6","2","","17","10","3","","2","8","","2","1","1","","1","","31","","10","","","37","","","1","1","","27","99","49","","27","501","2","","1","","","","1","","","","","","4","","","","","","","","","","1","1","","","","","","","","","","","",""
39736,40896,38597,26,"12077, 2","10","","","","1","","","","8","","1","18","11","2","1","","24","1","2","","2","","","","21","","","","","59","","","","","1","21","85","82","","45","1337","","","","","","","","","","","","1","1","","","","","","","","","1","","","","","","","","","","","","","",""
41292,42442,40159,26.5,"12077, 3","1","","1","","","1","","","7","1","1","8","4","2","2","2","18","","","1","","","","","11","","14","","","51","","","3","","","33","24","43","","17","1676","","2","2","","","","","","","","","","3","","","","","","","","","","2","","","","","","","","","","","","",""
45957,47083,44848,28,"12077, 2","2","1","1","","","","","","5","","","18","16","","1","4","21","","1","1","2","","","","17","","5","","","65","1","","1","","","19","72","81","","31","1637","1","","1","","2","","","","","","","","2","","","","","","","","","1","","","","","","","","","","","","","",""
47512,48629,46410,28.5,"12077, 3","2","","","","","","","","2","","","19","6","2","","1","18","","1","","","","","","12","","","","","43","","","","","","12","54","48","1","29","1270","","","","","","1","","","","","","","1","1","","","","","","","","","4","","","","","","","","","","","","",""
50622,51723,49535,29.5,"12077, 3","2","","2","","1","7","","1","2","6","2","6","4","9","","1","10","","","","3","","1","","11","","7","","","60","","","3","","","50","86","32","","52","697","","1","3","","","6","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","",""
53732,54818,52661,30.5,"12077, 3","3","","5","","","7","","","3","","","1","1","4","","1","7","","","","2","","","","36","","7","1","2","93","1","1","3","","","18","44","59","","90","154","1","2","","","","1","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","",""
56842,57913,55786,31.5,"12077, 3","2","","2","","","","","","9","","3","7","2","5","2","","10","1","1","","","","1","","17","","21","","2","48","","","3","1","","40","48","40","","72","1500","","","3","","","","","","","","","","3","","","","","","","","","","3","","","","","","","","","","","","",""
59953,61008,58911,32.5,"12077, 3","1","","1","","","","","1","5","","4","3","7","7","2","2","21","1","2","","1","","","","15","","8","","4","54","","","11","3","","34","40","51","4","85","1063","","3","4","","","","","","","","","","1","","","","","1","1","","","","","","","","","","","","","","","","",""
61508,62555,60473,33,"12077, 3","5","1","","","1","3","","","1","","","1","3","2","1","3","8","","","","1","","","","22","2","8","","3","99","","","2","","","28","44","38","","85","232","","5","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
63063,64103,62036,33.5,"12077, 3","6","","","","","","","","2","1","7","1","1","1","4","3","2","","","","","","","","13","","33","","22","40","","","11","","","38","33","34","2","131","91","","","1","","","","","","","","","","2","","","","","3","","","","","","","","","","","","","","","","","",""
66173,67200,65161,34.5,"12077, 3","5","","2","","1","","","","2","1","6","","","3","4","3","","1","","","1","","","","13","","19","","25","30","1","","10","","","85","31","27","6","133","100","","1","","","","","","","","","","","1","1","","","","","","1","","","","","","","","","","","","","","","",""
69283,70297,68286,35.5,"12077, 3","3","","","","2","1","1","","","","","","","2","1","","6","","","","1","","","4","20","1","1","","1","73","4","","1","","","102","52","60","","90","208","","3","3","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","",""
72393,73394,71410,36.5,"12077, 3","4","","","","","","","","3","","","3","1","4","","1","5","1","","","1","","","","15","","4","","","57","","","1","3","","76","57","26","","88","158","","3","15","","","","","2","","","","","2","","","","","2","","","1","","","","","","","","","","","","","","",""
73948,74943,72972,37,"12077, 3","4","","3","","2","6","","","3","1","","2","1","1","1","1","7","","","1","","","","","32","","2","1","1","108","2","","","","","10","66","29","","56","328","","2","1","","","2","","","","","","","3","","","","","1","","1","1","","","","","","","","","","","","","","",""
75503,76493,74535,37.5,"12077, 4","10","","1","","","3","1","","5","","","1","","6","","","6","4","","","1","","","","27","","4","","","85","","","","","","25","83","31","1","37","277","","4","5","","","1","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
77059,78042,76097,38,"12077, 3","3","","1","","","3","1","1","5","","","2","","2","","4","6","1","","","","","","","23","","3","","","57","2","","","3","","20","66","24","1","88","519","","2","11","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","",""
77836,78816,76878,38.25,"12077, 3","3","","5","","","3","","","2","","","2","","1","1","3","12","","","","5","","","","11","","2","","2","74","","","1","","","50","111","29","2","52","426","","2","7","","","1","1","","","","","","2","","","","","","","1","","1","","","","","","","","","","","","","",""
78614,79592,77660,38.5,"12077, 3","4","","","","1","","","","1","","","3","","","","","7","","","","","","","","12","","19","","","40","","1","1","","","115","48","40","","51","487","","3","8","","","","","","","","","1","3","","","","","","","","","","","","","","","","","","","","","","",""
80169,81142,79222,39,"12077, 3","2","","1","","1","2","","1","2","","","1","2","2","","1","6","","1","","2","","","","28","","3","","","139","6","","","1","","41","73","35","","45","340","","","5","","","2","","2","","","","","","","","","","1","","1","","","","","","","","","","","","","","","",""
81724,82690,80782,39.5,"12077, 4","11","","4","","1","2","","","2","","","3","","7","1","1","6","1","2","","1","","","","29","","3","","","111","1","","","","","44","61","31","1","56","250","","3","5","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","",""
83279,84240,82344,40,"12077, 3","4","","1","","","1","","","1","","","","","1","2","3","8","1","","","","","","","7","","4","","2","69","","","1","","","167","47","19","","52","163","","2","4","","","","","","","","","1","","","","","","2","","","","","","","","","","","","","","","","","",""
84834,85790,83906,40.5,"12077, 3","3","","1","","1","1","2","","1","2","21","2","","","21","7","1","","","","","","","","6","2","27","","17","19","","2","5","","","45","57","60","5","160","84","","","2","","2","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","",""
86389,87340,85467,41,"12077, 3","10","","4","","","","","","","1","11","1","3","2","11","7","","","1","","1","","","","10","","14","","18","26","","","9","","","95","56","12","3","111","278","","","","2","","1","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","",""
