Depth,Foraminifera,Copepoda,Lezine et al 2017 Calibrated radiocarbon years BP,Aaronsohnia-type,Acacia,Aerva javanica,Aeschynomene,Aizoaceae undiff.,Albizia,Alchornea,Algae undiff.,Amaranthaceae undiff.,Amaranthus-type,Andrachne,Apiaceae undiff.,Apocynaceae (type 3),Armeria,Arnebia,Artemisia,Arthrocaulon-type,Ascolepis,Asteraceae undiff.,Atractylis,Atriplex-type,Avicennia,Balanites,Barbeya oleoides,Blepharis-type,Boerhavia-type erecta,Boscia/Cadaba,Botryococcus,Brassicaceae undiff.,Caesalpinioideae undiff.,Calligonum,Caryophyllaceae undiff.,Cassia,Caucanthus-type,Cedrus,Celosia argentea,Celtis,Centaurea jacea-type,Centaurea sinaica-type,Centaurium pulchellum,Chrozophora tinctoria,Cichorieae undiff.,Cissampelos,Cissus,Combretum,Combretum-type aculeatum,Combretum-type molle,Commiphora,Convolvulaceae undiff.,Convolvulus,Cornulaca/Aerva,Cynoglossum-type,Cyperaceae undiff.,Dinoflagellata undiff.,Dinoflagellate (Braun),Dipterygium,Dissotis-type,Dodonaea,Elaeis,Ephedra distachya-type,Ephedra fragilis-type,Ericaceae,Eriosema-type,Erodium,Euphorbia,Euphorbia hirta-type,Euphorbiaceae undiff.,Fabaceae undiff.,Fagonia,Filago-type,Geranium,Hagenia abyssinica,Heliotropium strigosum-type,Heliotropium-type lithospermoides,Juniperus,Justicia-type,Kohautia,Lamiaceae undiff.,Limonium-type,Lippia-type,Lotus arabicus-type,Macaranga-type,Maerua,Matricaria-type,Maytenus,Moltkiopsis,Monocotyledoneae undiff.,Monoletes (psilate),Monsonia heliotropioides-type,Myrica,Neurada procumbens,Nymphaea,Olea capensis-type,Olea europaea-type,Oleaceae undiff.,Paronychia,Pimpinella,Pistacia,Plantago,Poaceae undiff.,Podocarpus,Polycarpaea,Polycarpon,Polydora serratuloides,Polygala,Polygonum bellardii-type,Prosopis,Psoralea,Pteridophyta undiff.,Pteris,Pulicaria,Rapanea,Resedaceae undiff.,Rhanterium-type,Rhizophora,Rhus-type,Rosaceae undiff.,Rumex,Salix,Salvadora,Sapotaceae undiff.,Scrophulariaceae-type,Solanaceae undiff.,Sorindeia,Suaeda,Syzygium,Tamarindus,Tamarix,Tephrosia-type,Tintinnidiidae,Tribulus,Trichodesma,Typha,Unknown,Unknown (type 1),Unknown (type 2),Unknown (type 3),Unknown (type 4),Urticaceae undiff.,Vahlia-type,Veronica,Vitaceae undiff.,Zaleya-type,Ziziphus-type,Zygnemataceae undiff.,Zygophyllum
1,297,18,--/0/--,,2,,,,,,,11,22,,,,,,30,9,,8,1,3,21,,,,,,,,,2,,,,,1,,2,,,,,,,1,,2,,,,9,,29,270,4,2,,1,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,1,,2,,,,,1,,,,,2,,1,,,,,,1,,,1,,,1,,,,,,,,,,,,10,,,,,27,1,,1,1,,32,9,,1,,1,,,,,
49,238,16,--/423/--,,1,,,,,,1,32,33,,,,,,25,5,,6,1,1,11,,,,,,,1,,2,,,,,1,,1,,,2,,,,1,,1,1,,2,14,,42,262,8,2,,5,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,8,,,,,,,,,,1,9,,1,,,,,,1,,,,,1,,,,,,,,,,,,24,,,,,16,3,,,1,,75,4,,,,1,,,,,
70.5,471,46,--/541/--,,1,,,,,,,46,16,,,,,,52,10,,4,1,2,6,,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,1,22,,28,259,,9,,,,,,,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,1,,,,,3,8,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,55,,,2,1,,37,9,,,,,,,1,,
110.5,555,5,--/735/--,,1,,,3,,,,47,58,,1,,,,58,37,,14,2,12,19,,,1,,,,,,2,4,1,,,,,3,,,,,,,,1,,,,,41,,41,136,4,3,,,,1,,1,,,,2,,1,1,,,,,2,,,,1,,,,,,,,1,,,,,,,,1,,,,,2,9,,,,,,,,,,,,,,,1,,,1,,,,,1,,24,,,,,19,6,,1,,,126,23,,,,,,,,,
130.5,491,6,--/943/--,3,,,,,,,,38,19,,,,2,,32,12,,1,,8,20,,,,,,,,,1,1,,,,5,,,,,,,,,,,1,,,,24,,27,98,6,3,,1,,,1,,,,1,,,,,1,,,3,,2,,,1,1,,,,,,,,,,1,,,,,,,3,1,,2,15,,,1,,,1,1,,,1,,,,,,,,,,1,,,,,16,,,,,49,4,,1,2,,221,68,,,,,,,,,
149.5,460,,--/1141/--,1,2,1,,,,,,34,31,,,,1,,42,19,,10,2,12,2,,,,,,,,,7,2,,,,,,,2,,,,,,,,,,,2,22,,29,77,,1,,3,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,1,,,9,1,,,,,,1,,,1,,,,1,,,,,,,,,,,7,,,,,21,2,,,,,188,21,,,,,,,,,
160.5,667,9,--/1362/--,1,1,,,4,,,,65,31,,,,1,,69,7,,7,,5,3,,,,,,,,,1,1,,,,,,3,,,,1,,,,2,2,,,,27,,33,,,4,,1,,,,,,,,1,,,1,1,,,,,,,,,1,,,,,3,,,,,,1,,,1,2,,1,,,2,10,,,,,,,1,,,,,,,,,,,,,,,,,,25,,,,,9,4,,,1,,467,66,,,,,,,,,
170.5,458,1,--/1564/--,5,,,,1,,1,,27,12,,,1,,,33,10,,4,,6,7,,,,1,,,2,,,,1,,,1,,,,,,,,,,,1,,,,20,2,18,88,,,,1,,1,,,,,2,1,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,9,1,,,,1,,,,,,4,,1,,2,,,,,,,,,,17,,,,,24,8,,,3,1,52,4,,,,,,,,,
180.5,,,--/1766/--,2,,,,,,,,43,29,,2,,,,36,10,,8,,19,14,,,,,,,1,,1,,1,,,1,,,,1,,1,,,2,,,1,1,,72,,30,,,2,,2,,,,,,,,3,,,,,,,1,,,,,,,1,,,,1,,1,,,1,,1,,1,,,,,,2,17,,,,,1,,4,,1,,,,,1,,,,,,,,,,,22,,,,,,5,,2,2,,,,,,,,,,,,
190.5,767,11,--/1968/--,1,1,,,1,,,,32,26,,,,2,,31,13,,4,,10,10,2,,,,,,,,3,1,,,,,,,,,,,,,,,,,,2,27,,13,6,6,2,,2,,,,,,,1,1,,,,,1,,1,,1,,,,,,,,,,,,,,,1,,,,1,,1,,,1,11,,,,,,,,,,1,,,1,,1,,,,,1,,,,,13,,,,,6,2,,,3,,110,63,,,,,,,,,
