"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Alnus","Ephedra","Quercus ilex-type","Cistus","Plantago","Olea","Unknown (monolete)","Quercus","Quercus robur-type","Unknown","Ericaceae","Poaceae","Unknown (trilete)","Sparganium-type","Asteroideae","Phillyrea","Pseudoschizaea","Potamogeton","Cyperaceae","Amaranthaceae","Cichorioideae","Pinus","Rubiaceae","Brassicaceae","Artemisia","Lamiaceae","Apiaceae","Fraxinus","Typha latifolia-type","Poaceae (Cerealia-type)","Euphorbia","Buxus","Pistacia","Dinoflagellata","Betula","Corylus","Juglans","Hedera","Myriophyllum","Rhamnus","Ligustrum","Helianthemum","Ulmus","Malva","Fagus","Tilia","Salix","Juniperus","Liliaceae","Abies","Geraniaceae","Caryophyllaceae","Ranunculaceae","Convolvulaceae","Campanulaceae","Carpinus"
7890,8013,7753,1660,1,28,1,NA,NA,2,2,NA,2,24,1,3,27,23,158,NA,5,21,1,1,1,52,NA,NA,13,1,31,NA,NA,NA,NA,1,5,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,1,NA,NA,5,NA,3,NA
7900,8022,7762,1670,2,42,1,2,1,1,4,NA,8,21,2,9,37,11,152,NA,3,29,8,NA,NA,46,NA,NA,5,1,29,NA,NA,NA,NA,NA,6,NA,1,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,22,NA,NA,NA,NA,1,NA,NA,NA
7909,8032,7771,1680,2,32,1,NA,4,NA,5,NA,3,21,5,22,31,12,171,NA,2,3,3,2,NA,47,NA,NA,4,NA,41,NA,NA,NA,NA,NA,17,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,29,NA,NA,NA,NA,NA,NA,NA,NA
7919,8041,7780,1690,3,26,1,NA,1,NA,4,2,9,19,4,22,20,13,94,NA,NA,4,2,4,NA,46,NA,3,6,NA,29,NA,NA,NA,NA,1,6,2,1,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,17,NA,NA,NA,NA,NA,NA,NA,NA
7928,8051,7789,1700,4,31,1,NA,2,NA,3,NA,4,21,4,27,52,12,125,NA,5,12,3,4,1,61,NA,2,3,2,21,NA,NA,NA,NA,NA,12,1,1,35,NA,1,NA,NA,NA,NA,NA,NA,NA,6,NA,21,NA,NA,NA,NA,NA,NA,NA,NA
7938,8060,7797,1710,NA,40,6,NA,NA,NA,4,NA,8,23,2,29,50,21,125,NA,NA,14,4,2,1,54,NA,2,5,5,43,NA,1,NA,NA,NA,5,NA,1,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,14,NA,NA,NA,NA,NA,NA,NA,NA
7947,8070,7806,1720,NA,29,3,NA,NA,3,6,NA,2,20,NA,36,44,9,151,NA,2,7,6,NA,NA,41,NA,NA,4,3,26,NA,NA,NA,NA,NA,4,2,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA
7957,8079,7814,1730,5,34,NA,NA,NA,NA,6,NA,2,12,3,14,43,17,110,NA,NA,6,2,2,NA,36,NA,1,NA,1,17,NA,NA,NA,NA,1,4,1,1,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA
7966,8089,7823,1740,NA,17,2,NA,NA,NA,9,NA,2,31,3,22,40,11,116,NA,2,8,NA,5,1,62,1,2,2,2,21,NA,NA,NA,NA,2,14,1,NA,23,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,21,NA,NA,NA,NA,NA,NA,NA,NA
7976,8099,7832,1750,2,28,NA,NA,1,NA,1,NA,2,12,4,22,80,4,105,NA,5,6,NA,NA,NA,56,NA,NA,2,4,12,NA,NA,NA,NA,3,4,NA,3,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,18,NA,1,NA,NA,NA,NA,NA,NA
7985,8108,7840,1760,3,16,2,NA,2,NA,2,2,3,16,2,18,51,13,131,NA,2,4,2,2,NA,33,NA,2,3,7,15,NA,NA,NA,NA,NA,11,NA,NA,46,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA
7995,8117,7848,1770,NA,42,3,NA,4,NA,6,NA,16,29,NA,34,61,13,221,NA,4,11,8,6,4,65,NA,3,2,NA,33,NA,NA,NA,NA,6,27,2,NA,61,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,NA
8004,8127,7856,1780,3,32,2,NA,NA,NA,3,NA,5,21,2,11,45,10,181,NA,7,4,3,2,NA,56,NA,NA,3,NA,37,NA,NA,NA,NA,2,14,1,NA,26,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,34,NA,NA,NA,NA,NA,NA,NA,NA
8014,8136,7864,1790,1,27,NA,1,NA,1,4,NA,3,9,5,5,53,7,152,NA,5,7,3,NA,1,45,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,14,NA,NA,40,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,27,NA,NA,NA,NA,NA,NA,NA,NA
8024,8146,7873,1800,NA,48,2,1,1,NA,5,NA,2,17,3,8,44,4,206,NA,4,5,2,2,1,52,NA,1,NA,1,38,NA,1,NA,NA,NA,16,NA,2,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,11,NA,NA,NA,NA,NA,NA,NA,NA
8034,8157,7882,1811,2,45,2,NA,NA,NA,13,2,2,21,2,18,51,9,155,NA,5,3,3,3,3,36,NA,NA,2,NA,41,NA,NA,NA,NA,3,3,2,1,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,14,NA,NA,NA,NA,NA,NA,NA,NA
8045,8167,7891,1822,2,36,2,2,1,1,8,NA,3,17,2,8,34,12,177,NA,NA,15,4,1,NA,78,NA,NA,NA,1,46,NA,NA,NA,NA,NA,12,NA,3,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,6,NA,NA,NA,NA,NA,NA,NA,NA
8055,8177,7899,1833,1,41,2,1,1,NA,8,2,NA,13,2,31,56,6,164,NA,1,2,1,1,1,89,NA,1,1,1,21,NA,NA,NA,NA,NA,6,NA,1,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,10,NA,NA,NA,NA,NA,NA,NA,NA
8065,8188,7908,1844,2,48,1,NA,NA,NA,3,NA,1,15,2,15,25,4,89,NA,6,5,3,1,NA,71,NA,1,NA,1,19,NA,NA,NA,NA,NA,12,NA,2,21,NA,NA,NA,NA,NA,NA,1,NA,NA,4,NA,6,NA,NA,NA,NA,NA,NA,NA,NA
8076,8199,7917,1855,4,20,1,1,1,NA,11,NA,NA,7,NA,16,36,7,140,NA,3,9,5,2,NA,57,1,1,1,2,8,NA,NA,NA,NA,1,6,4,1,24,NA,NA,NA,NA,NA,NA,3,1,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
8086,8210,7926,1866,1,21,3,NA,1,NA,4,1,2,10,1,12,16,5,60,NA,11,10,13,2,NA,69,NA,NA,3,1,7,NA,NA,NA,1,NA,10,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,NA,NA,NA,1,NA,NA,NA,NA
8097,8220,7934,1877,1,38,2,1,1,1,2,NA,7,6,9,7,16,13,103,NA,19,10,6,3,1,143,NA,1,NA,1,6,NA,1,NA,NA,NA,7,NA,5,28,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
8107,8233,7941,1888,1,32,5,NA,NA,1,22,2,11,8,5,7,NA,5,142,NA,4,11,1,2,NA,75,NA,NA,3,1,31,NA,NA,NA,NA,NA,13,NA,3,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,10,NA,NA,NA,NA,NA,NA,NA,NA
8119,8245,7947,1900,1,27,8,NA,NA,4,NA,2,12,6,4,5,24,7,176,NA,8,6,2,3,1,86,NA,NA,3,NA,31,NA,NA,NA,NA,NA,15,NA,NA,34,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,13,NA,NA,NA,NA,NA,NA,NA,NA
8138,8267,7960,1920,1,33,5,NA,NA,NA,NA,NA,8,9,5,7,21,12,155,NA,5,8,1,3,1,73,NA,NA,3,4,35,NA,NA,NA,NA,NA,6,NA,4,48,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,5,NA,NA,NA,NA,NA,NA,NA,NA
8157,8288,7974,1940,2,53,3,NA,NA,NA,NA,1,4,5,4,5,31,14,166,NA,5,6,6,5,2,83,NA,2,1,2,30,NA,NA,NA,NA,NA,5,NA,3,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,15,NA,NA,NA,NA,NA,NA,NA,NA
8176,8309,7988,1960,2,35,3,NA,NA,1,3,1,4,7,3,13,19,15,155,NA,3,5,3,3,1,73,NA,1,4,NA,17,NA,NA,NA,NA,NA,4,NA,2,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
8195,8331,8003,1980,5,33,3,NA,1,NA,NA,2,10,5,5,4,27,20,153,NA,5,11,2,4,NA,32,NA,NA,NA,2,26,NA,NA,NA,NA,NA,3,NA,2,43,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
8214,8352,8018,2000,2,49,4,NA,1,NA,2,4,4,4,5,7,30,17,132,NA,2,14,2,3,1,43,NA,NA,6,3,28,NA,NA,NA,NA,NA,4,NA,2,35,NA,NA,NA,NA,NA,NA,1,NA,NA,1,14,NA,NA,NA,NA,NA,NA,NA,NA,1
8224,8364,8026,2010,NA,32,3,NA,NA,2,1,1,5,15,1,14,15,16,68,NA,3,6,1,1,NA,43,1,NA,7,9,33,NA,1,NA,NA,NA,20,NA,NA,50,NA,NA,NA,NA,NA,NA,2,1,NA,2,NA,16,NA,NA,NA,NA,NA,NA,NA,NA
8243,8386,8042,2030,4,39,10,NA,1,1,8,5,12,27,7,7,43,27,117,NA,7,7,4,4,1,44,NA,NA,2,2,57,NA,NA,NA,NA,1,25,1,5,74,NA,NA,NA,NA,NA,1,1,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
