"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Alnus","Ephedra","Quercus ilex-type","Cistus","Plantago","Olea","Unknown (monolete)","Quercus","Quercus robur-type","Unknown","Ericaceae","Poaceae","Unknown (trilete)","Sparganium-type","Asteroideae","Phillyrea","Pseudoschizaea","Potamogeton","Cyperaceae","Amaranthaceae","Cichorioideae","Pinus","Rubiaceae","Brassicaceae","Artemisia","Lamiaceae","Apiaceae","Fraxinus","Typha latifolia-type","Poaceae (Cerealia-type)","Euphorbia","Buxus","Pistacia","Dinoflagellata","Betula","Corylus","Juglans","Hedera","Myriophyllum","Rhamnus","Ligustrum","Helianthemum","Ulmus","Malva","Fagus","Tilia","Salix","Juniperus","Liliaceae","Abies","Geraniaceae","Caryophyllaceae","Ranunculaceae","Convolvulaceae","Campanulaceae","Carpinus"
7499,7659,7333,1250,2,37,2,NA,6,NA,2,NA,10,26,1,16,46,18,210,2,5,31,4,3,4,40,1,NA,9,3,29,NA,NA,NA,NA,2,8,7,NA,31,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,19,5,NA,NA,NA,NA,NA,NA,NA
7508,7667,7344,1260,3,24,4,2,1,NA,2,2,9,33,2,20,26,8,185,NA,2,9,7,5,NA,30,NA,1,4,1,36,NA,NA,NA,NA,NA,2,2,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,17,4,NA,NA,NA,NA,NA,NA,NA
7518,7674,7354,1270,2,29,2,1,1,NA,3,1,8,11,4,23,33,8,187,NA,3,3,2,1,NA,28,1,1,3,1,51,NA,NA,3,NA,2,9,1,1,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,16,6,NA,NA,1,1,1,NA,NA
7528,7683,7365,1280,2,34,2,NA,1,NA,3,NA,3,13,7,23,53,16,191,NA,NA,5,7,NA,3,30,NA,NA,5,4,56,NA,2,2,NA,NA,3,7,2,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,21,NA,NA,NA,NA,2,NA,NA,NA
7547,7698,7385,1300,2,55,4,NA,NA,NA,5,2,8,15,1,17,33,7,274,1,NA,8,9,2,2,21,NA,NA,9,1,58,NA,NA,2,NA,NA,3,1,NA,39,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,9,7,2,NA,NA,1,NA,NA,NA
7555,7705,7395,1309,7,33,3,NA,NA,NA,2,NA,16,10,2,9,24,13,115,NA,3,NA,9,1,1,41,NA,NA,7,NA,46,NA,NA,NA,NA,NA,1,3,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,6,7,NA,NA,NA,NA,NA,NA,NA
7564,7712,7404,1318,NA,26,1,NA,NA,NA,5,1,4,26,2,6,39,16,201,NA,5,4,5,2,4,34,NA,2,5,1,41,NA,NA,3,NA,NA,3,4,NA,31,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,1,5,1,1,NA,NA,NA,NA,NA
7572,7719,7414,1327,4,48,3,NA,NA,NA,6,NA,2,21,2,21,41,17,185,NA,3,12,5,NA,1,26,NA,NA,13,1,56,NA,NA,NA,NA,NA,5,2,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,19,4,NA,NA,NA,NA,NA,NA,NA
7581,7726,7423,1336,1,52,4,NA,NA,NA,3,NA,4,30,2,12,41,NA,183,NA,1,NA,4,NA,2,24,NA,NA,10,6,79,NA,NA,NA,NA,NA,12,2,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,4,NA,NA,NA,NA,NA,NA,NA
7590,7733,7432,1345,1,16,1,2,2,1,5,NA,10,20,NA,11,29,5,171,NA,NA,4,6,5,2,31,NA,2,8,2,56,NA,NA,NA,NA,1,9,2,NA,29,NA,1,NA,NA,NA,NA,2,NA,NA,1,NA,18,6,NA,NA,NA,1,NA,NA,NA
