"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Artemisia","Cistaceae","Picea","Thalictrum","Rosaceae","Lemna","Plantago lanceolata-type","Rubiaceae","Solidago-type","Asphodelus","Papaver rhoeas-type","Mercurialis annua","Quercus sp.","Adonis aestivalis-type","Equisetum","Isoëtes","Polygonum aviculare-type","Brassicaceae","Ranunculus-type","Typha latifolia-type","Oleaceae","Fraxinus ornus-type","Sarcopoterium-type","Dryopteris-type","Rumex","Poaceae (Cerealia-type)","Varia","Platanus","Quercus pubescens/Q. cerris-type","Pistacia","Phillyrea-type","Cupressaceae","Cichorioideae","Olea/Phillyrea","Pinus","Quercus ilex-type","Sparganium-type","Olea-type","Cyperaceae","Indeterminable","Poaceae","Amaranthaceae","Salix","Asteraceae","Myriophyllum spicatum","Cirsium-type","Galeopsis-type","Ephedra distachya-type","Cornus mas-type","Selaginella denticulata-type","Celtis","Nymphaea","Achillea-type","Carpinus betulus","Erica","Loranthus","Alisma-type","Myriophyllum verticillatum-type","Caryophyllaceae","Apiaceae","Lythrum","Trifolium repens-type","Centaurea nigra-type","Plantago major/P. media-type","Ballota-type","Myrtus"
132.2,NA,NA,120,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,4,4,5,5,6,7,7,8,10,12,13,20,26,47,50,219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
165.2,NA,NA,123,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,2,1,NA,3,2,1,1,2,NA,3,2,1,3,4,9,8,NA,7,2,5,3,8,13,33,16,180,1,1,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
356.4,NA,NA,136,1,NA,NA,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,36,1,1,2,NA,1,3,8,NA,3,2,7,3,1,9,3,1,77,17,17,7,79,1,760,2,34,NA,NA,NA,NA,NA,1,1,1,1,1,1,3,16,NA,NA,NA,NA,NA,NA,NA,NA
425.5,NA,NA,140,1,2,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,19,NA,NA,NA,NA,1,5,1,1,NA,6,NA,9,2,2,2,5,195,13,18,4,80,2,666,NA,22,NA,NA,NA,NA,1,NA,NA,2,NA,1,NA,5,15,1,1,1,1,1,1,1,2
