"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Polygonum","Vitis","Pinus","Caryophyllaceae","Olea","Amaranthaceae","Quercus canariensis/Q. pyrenaica","Quercus ilex/Q. coccifera","Erica","Cupressus","Apiaceae","Cyperaceae","Asteraceae (echinate)","Helianthemum","Cistus","Alnus","Valerianella","Cichorioideae","Lamiaceae","Daphne gnidium","Ephedra fragilis","Cedrus atlantica","Artemisia","Brassicaceae","Rhamnus","Betula","Asphodelus","Poaceae","Centaurea","Salix","Cannabis","Myrtaceae","Scabiosa","Fraxinus"
1049,NA,NA,309,10,NA,NA,18,14,20,220,286,11,55,110,89,15,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,200,NA,NA,NA,NA
1129,NA,NA,319,4,NA,NA,4,NA,9,90,131,6,24,31,17,10,3,2,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,20,3,59,NA,5,NA,NA
1216,NA,NA,329,8,NA,NA,NA,NA,7,45,73,NA,4,48,57,NA,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,19,NA,28,NA,NA,NA,NA
1311,NA,NA,339,2,NA,NA,2,NA,9,83,114,2,NA,36,89,1,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,1,12,NA,6,NA,2,NA,NA
1412,NA,NA,349,NA,NA,NA,3,NA,11,53,76,2,NA,16,68,4,NA,4,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,26,NA,17,NA,21,NA,NA
1522,NA,NA,359,NA,NA,NA,3,NA,3,74,96,1,NA,11,23,3,1,7,2,NA,10,NA,NA,NA,NA,5,NA,NA,NA,NA,24,NA,13,NA,4,NA,NA
1640,NA,NA,369,5,NA,NA,NA,NA,10,136,221,NA,1,43,86,NA,NA,NA,4,NA,3,NA,NA,NA,1,4,NA,NA,NA,NA,26,NA,32,NA,6,NA,NA
1766,NA,NA,379,15,NA,NA,3,NA,8,251,208,2,4,44,256,5,NA,NA,NA,NA,NA,2,NA,NA,4,6,2,NA,NA,NA,57,1,46,NA,11,NA,NA
1901,NA,NA,389,7,NA,NA,NA,1,NA,209,164,2,NA,115,143,15,NA,NA,15,NA,6,NA,NA,NA,NA,NA,4,NA,NA,3,22,1,122,NA,NA,NA,NA
2046,NA,NA,399,4,NA,NA,4,NA,4,294,232,3,NA,60,177,7,NA,NA,2,NA,NA,NA,NA,1,2,NA,1,NA,NA,NA,8,NA,114,NA,11,NA,NA
2200,NA,NA,409,2,NA,NA,NA,NA,4,259,210,NA,NA,77,68,3,NA,2,2,NA,2,2,NA,NA,3,15,3,NA,NA,NA,NA,NA,40,NA,15,NA,NA
2364,NA,NA,419,1,NA,NA,3,NA,2,153,122,1,17,68,84,NA,2,2,1,NA,NA,NA,3,NA,1,NA,3,NA,NA,1,74,NA,8,NA,35,NA,NA
2539,NA,NA,429,2,NA,NA,2,NA,NA,44,43,1,NA,25,36,NA,NA,2,4,NA,5,NA,1,NA,NA,NA,NA,NA,NA,NA,24,NA,2,NA,NA,NA,NA
2724,NA,NA,439,3,NA,NA,NA,NA,4,30,41,NA,NA,53,80,3,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,15,NA,6,NA,NA,NA,NA
2920,NA,NA,449,NA,NA,NA,NA,NA,2,117,71,1,16,138,141,8,NA,1,NA,NA,12,3,NA,NA,4,NA,2,NA,NA,1,69,NA,NA,NA,13,2,6
3128,NA,NA,459,NA,NA,NA,1,NA,3,74,59,2,26,77,83,7,NA,3,NA,NA,14,NA,NA,NA,2,NA,NA,NA,NA,4,27,NA,1,NA,7,NA,4
3348,NA,NA,469,NA,NA,NA,3,NA,4,81,51,NA,15,88,70,3,2,2,NA,NA,6,NA,NA,NA,2,4,NA,NA,NA,4,8,NA,NA,NA,NA,NA,NA
3579,NA,NA,479,NA,NA,NA,2,NA,5,168,133,3,42,106,172,9,NA,NA,NA,NA,14,2,NA,25,3,3,NA,NA,NA,12,NA,NA,2,NA,NA,NA,NA
3824,NA,NA,489,7,NA,NA,3,NA,NA,179,138,NA,61,47,112,24,NA,14,3,NA,24,NA,NA,48,5,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA
4081,NA,NA,499,9,NA,NA,2,NA,2,84,64,NA,12,48,38,20,3,4,NA,NA,10,NA,NA,9,6,3,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,2
4351,NA,NA,509,NA,NA,NA,2,NA,1,164,82,2,38,98,88,20,NA,5,4,NA,6,NA,NA,8,7,6,4,NA,NA,NA,31,NA,NA,NA,NA,NA,NA
4635,NA,NA,519,NA,NA,NA,NA,NA,NA,69,42,2,8,59,79,4,NA,3,NA,NA,6,NA,NA,2,2,3,1,NA,NA,3,12,NA,NA,NA,NA,NA,NA
4933,NA,NA,529,NA,NA,NA,NA,NA,2,64,40,NA,17,97,80,5,3,NA,NA,NA,8,NA,NA,NA,3,5,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
5245,NA,NA,539,1,NA,NA,4,NA,NA,98,59,10,14,53,61,8,4,NA,NA,NA,10,NA,1,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
5539,NA,NA,549,7,NA,NA,NA,NA,NA,97,53,5,NA,50,20,11,3,4,NA,NA,8,NA,NA,3,3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
5741,NA,NA,554,NA,NA,NA,NA,NA,NA,109,52,3,NA,58,25,14,5,2,NA,NA,5,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
