"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Cichorioideae","Ulmus","Lythrum","Fabaceae","Lamiaceae","Myrtaceae","Liliaceae-type","Asphodelus","Arbutus","Ziziphus","Selaginella denticulata","Typha/Sparganium","Apiaceae","Vitis","Lotus","Quercus ilex-type","Plantago coronopus-type","Cistus","Rumex","Scrophularia-type","Artemisia","Pinus","Poaceae (Cerealia-type)","Olea","Isoëtes","Cyperaceae","Fraxinus","Poaceae","Potamogeton-type","Unknown (monolete)","Erica arborea-type","Quercus suber-type","Salix","Osmunda regalis","Myrtus","Alnus","Caryophyllaceae","Quercus","Rhamnus","Myriophyllum alterniflorum-type","Casuarina","Unknown (trilete)","Hypericum","Ephedra fragilis-type","Daphne gnidium","Brassicaceae","Hedera","Echium","Campanulaceae","Amaranthaceae","Asteroideae","Phillyrea","Myriophyllum verticillatum-type","Polygonum aviculare","Alisma","Ceratonia","Trapa","Smilax aspera","Nymphaea","Ranunculaceae","Populus","Ononis-type","Plantago lagopus-type","Paronychia-type","Fraxinus ornus","Asplenium-type","Pistacia","Vicia-type","Cistus salviifolius","Iris pseudacorus-type","Pinus pinaster-type","Pteridium","Trifolium-type","Thelypteris palustris-type","Ludwigia palustris","Ophioglossum lusitanicum","Rubiaceae","Helianthemum","Cedrus","Plantago maritima-type","Rumex hydrolapathum-type","Odontites","Centaurea","Juniperus","Dipsacoideae","Silene-type","Fedia","Rosaceae","Ruscus","Fraxinus xanthoxyloides-type","Simethis","Polypodium","Cuscuta","Thymelaeaceae","Cladium-type","Cytinus hypocistis","Euphorbia","Lemna","Convolvulus","Linum usitatissimum-type","Crassulaceae","Juglans","Polycarpon-type","Valerianella","Radiola","Centaurium","Matthiola","Thalictrum","Veronica","Mercurialis","Borago","Linum maritimum-type","Echinops","Theligonum cynocrambe","Acanthus","Calligonum","Lygeum spartum","Calystegia","Solanum dulcamara","Ficus","Erodium","Anogramma leptophylla","Anagallis","Solanum linnaeanum","Urticaceae","Tamarix","Spergula-type","Colchicum","Malva","Abies","Sorbus","Geranium","Lonicera","Heliotropium","Anchusa"
745,NA,NA,115,1,3,4,NA,NA,1,2,1,NA,1,NA,3,3,5,1,4,2,NA,4,3,NA,NA,6,9,11,19,3,15,9,4,16,3,57,20,43,92,NA,8,NA,1,NA,NA,NA,3,1,3,5,2,NA,1,1,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
788,NA,NA,125,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,1,1,NA,NA,1,15,2,2,2,25,3,58,NA,NA,23,13,220,1,3,200,NA,11,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,1,NA,NA,NA,NA,NA,1,NA,1,1,1,1,1,2,3,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
831,NA,NA,135,1,1,NA,NA,1,NA,1,1,NA,NA,1,NA,13,7,NA,3,NA,NA,4,NA,3,NA,1,1,10,13,2,50,NA,NA,35,26,100,26,1,200,NA,14,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,5,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,3,2,NA,20,1,1,1,1,1,1,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
874,NA,NA,145,2,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,4,2,NA,2,1,3,3,NA,2,NA,1,NA,7,5,1,15,NA,NA,22,11,100,15,20,120,NA,9,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,2,1,NA,NA,NA,NA,1,NA,NA,1,NA,1,2,NA,NA,8,1,NA,NA,1,2,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
916,NA,NA,155,NA,2,NA,NA,2,NA,NA,1,NA,NA,NA,NA,6,1,NA,2,4,1,4,NA,9,NA,1,3,13,12,NA,40,NA,NA,48,14,210,11,1,960,1,41,NA,NA,NA,NA,1,1,NA,1,1,NA,NA,3,4,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,20,1,NA,1,1,3,1,1,3,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
959,NA,NA,165,1,1,NA,NA,NA,NA,NA,1,NA,NA,2,3,6,13,NA,4,1,2,1,NA,4,NA,1,1,20,19,NA,23,NA,NA,64,3,70,31,14,165,3,13,1,23,NA,NA,1,NA,NA,4,6,NA,NA,1,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,20,2,NA,2,1,4,NA,1,NA,NA,1,2,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1002,NA,NA,175,NA,1,1,NA,2,NA,NA,1,NA,NA,NA,NA,4,5,NA,2,NA,1,2,NA,3,NA,NA,NA,6,8,NA,19,NA,NA,32,13,62,21,27,66,NA,7,2,NA,NA,NA,3,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,4,NA,NA,1,NA,1,NA,1,1,13,NA,NA,2,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1045,NA,NA,185,NA,1,1,NA,1,NA,1,1,NA,NA,1,2,3,5,NA,6,1,NA,4,1,5,NA,2,3,14,33,2,36,NA,NA,42,11,70,20,15,240,NA,8,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3,1,NA,2,NA,NA,NA,6,NA,NA,NA,NA,1,1,1,NA,24,NA,NA,NA,1,3,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1088,NA,NA,195,1,2,NA,NA,NA,NA,2,1,NA,NA,1,1,4,11,NA,6,1,1,2,NA,3,NA,NA,1,21,20,NA,35,NA,NA,55,18,50,30,8,150,NA,8,1,1,NA,NA,NA,NA,NA,NA,7,NA,NA,3,3,2,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,16,NA,NA,3,NA,4,1,NA,NA,1,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1131,NA,NA,205,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,8,NA,2,NA,NA,1,1,2,NA,NA,1,2,16,4,14,1,NA,14,23,51,10,4,59,NA,13,NA,4,NA,NA,1,NA,NA,1,3,1,1,1,4,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,3,NA,4,5,NA,NA,NA,1,NA,NA,NA,NA,NA,2,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
