"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Cichorioideae","Ulmus","Lythrum","Fabaceae","Lamiaceae","Myrtaceae","Liliaceae-type","Asphodelus","Arbutus","Ziziphus","Selaginella denticulata","Typha/Sparganium","Apiaceae","Vitis","Lotus","Quercus ilex-type","Plantago coronopus-type","Cistus","Rumex","Scrophularia-type","Artemisia","Pinus","Poaceae (Cerealia-type)","Olea","Isoëtes","Cyperaceae","Fraxinus","Poaceae","Potamogeton-type","Unknown (monolete)","Erica arborea-type","Quercus suber-type","Salix","Osmunda regalis","Myrtus","Alnus","Caryophyllaceae","Quercus","Rhamnus","Myriophyllum alterniflorum-type","Casuarina","Unknown (trilete)","Hypericum","Ephedra fragilis-type","Daphne gnidium","Brassicaceae","Hedera","Echium","Campanulaceae","Amaranthaceae","Asteroideae","Phillyrea","Myriophyllum verticillatum-type","Polygonum aviculare","Alisma","Ceratonia","Trapa","Smilax aspera","Nymphaea","Ranunculaceae","Populus","Ononis-type","Plantago lagopus-type","Paronychia-type","Fraxinus ornus","Asplenium-type","Pistacia","Vicia-type","Cistus salviifolius","Iris pseudacorus-type","Pinus pinaster-type","Pteridium","Trifolium-type","Thelypteris palustris-type","Ludwigia palustris","Ophioglossum lusitanicum","Rubiaceae","Helianthemum","Cedrus","Plantago maritima-type","Rumex hydrolapathum-type","Odontites","Centaurea","Juniperus","Dipsacoideae","Silene-type","Fedia","Rosaceae","Ruscus","Fraxinus xanthoxyloides-type","Simethis","Polypodium","Cuscuta","Thymelaeaceae","Cladium-type","Cytinus hypocistis","Euphorbia","Lemna","Convolvulus","Linum usitatissimum-type","Crassulaceae","Juglans","Polycarpon-type","Valerianella","Radiola","Centaurium","Matthiola","Thalictrum","Veronica","Mercurialis","Borago","Linum maritimum-type","Echinops","Theligonum cynocrambe","Acanthus","Calligonum","Lygeum spartum","Calystegia","Solanum dulcamara","Ficus","Erodium","Anogramma leptophylla","Anagallis","Solanum linnaeanum","Urticaceae","Tamarix","Spergula-type","Colchicum","Malva","Abies","Sorbus","Geranium","Lonicera","Heliotropium","Anchusa"
1174,NA,NA,215,NA,1,NA,NA,NA,NA,1,NA,1,NA,1,NA,3,9,1,1,NA,1,1,3,4,NA,NA,1,4,6,2,12,2,NA,14,13,26,10,49,90,NA,6,NA,3,NA,NA,NA,NA,NA,NA,3,NA,NA,1,NA,2,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,5,1,NA,NA,NA,1,NA,5,NA,NA,NA,1,2,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1216,NA,NA,225,2,2,1,NA,NA,NA,NA,NA,NA,NA,1,1,3,2,NA,9,NA,NA,1,NA,2,NA,NA,1,3,14,1,13,NA,NA,15,18,41,9,33,120,1,13,2,4,NA,NA,NA,NA,NA,2,6,NA,NA,NA,2,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1259,NA,NA,235,2,5,1,NA,NA,NA,NA,NA,NA,NA,1,1,4,1,NA,3,NA,2,3,NA,3,NA,1,2,6,12,2,16,NA,NA,24,22,36,13,33,150,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,8,1,NA,NA,3,1,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,1,NA,6,1,NA,1,NA,4,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1302,NA,NA,245,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,4,6,1,6,1,NA,2,NA,5,1,NA,2,13,16,NA,20,1,NA,29,20,47,16,50,120,NA,9,1,2,NA,NA,NA,NA,NA,1,7,NA,1,NA,1,3,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,3,2,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1345,NA,NA,255,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,10,4,NA,NA,NA,2,3,1,NA,NA,1,1,3,6,2,19,NA,NA,32,15,27,13,30,170,1,9,2,NA,NA,NA,NA,NA,NA,4,5,NA,NA,1,2,NA,6,NA,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,1,3,NA,1,NA,3,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1388,NA,NA,265,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,5,1,NA,1,NA,7,2,NA,NA,5,NA,4,1,10,1,16,NA,NA,23,15,37,38,55,165,NA,26,2,7,NA,NA,2,1,NA,1,6,NA,NA,3,3,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,3,3,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1431,NA,NA,275,1,NA,1,NA,NA,NA,NA,1,1,NA,1,1,7,6,1,2,1,5,1,NA,4,NA,NA,4,8,8,25,30,2,NA,34,15,32,8,28,125,1,NA,1,NA,NA,NA,1,NA,NA,1,9,1,NA,2,2,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,1,NA,5,1,1,1,NA,4,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1474,NA,NA,285,3,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,5,4,NA,5,NA,1,4,NA,5,NA,NA,6,11,14,1,30,2,NA,50,17,30,15,47,150,NA,18,NA,10,NA,NA,1,NA,NA,1,8,NA,NA,1,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,2,1,1,NA,5,4,NA,NA,1,3,1,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1516,NA,NA,295,1,NA,1,NA,NA,NA,NA,4,NA,NA,2,2,8,6,1,1,2,1,5,1,1,1,1,5,25,12,1,24,NA,NA,49,22,20,12,29,120,2,15,NA,14,NA,NA,1,1,NA,NA,5,2,NA,2,2,NA,7,NA,4,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,3,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1559,NA,NA,305,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,2,4,8,NA,2,1,2,2,1,7,1,NA,3,8,10,3,21,NA,NA,29,16,40,12,38,160,NA,9,1,4,NA,NA,NA,NA,NA,1,3,NA,NA,3,NA,2,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,8,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1602,NA,NA,315,1,1,1,NA,NA,NA,2,NA,NA,NA,3,3,2,5,NA,2,NA,NA,4,NA,3,5,1,1,10,20,NA,35,1,NA,58,12,19,26,9,120,1,11,NA,11,NA,NA,3,NA,NA,3,5,NA,NA,2,5,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,NA,12,2,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1645,NA,NA,325,1,2,NA,NA,NA,NA,1,1,NA,NA,3,1,4,3,1,4,NA,2,2,1,2,1,1,6,5,16,NA,29,NA,NA,37,6,11,9,5,80,NA,8,NA,18,NA,NA,2,1,NA,1,6,NA,NA,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,1,1,NA,3,NA,1,NA,1,1,NA,NA,1,1,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1688,NA,NA,335,NA,NA,1,NA,NA,NA,1,1,NA,NA,2,1,3,1,NA,8,3,2,3,NA,5,4,1,14,6,29,NA,15,1,NA,81,5,NA,10,3,55,1,NA,1,23,NA,NA,NA,1,NA,1,1,NA,NA,4,3,1,4,1,NA,NA,1,NA,NA,2,NA,NA,1,2,NA,26,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,1,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1731,NA,NA,345,2,NA,3,NA,NA,NA,NA,1,NA,NA,1,1,4,1,NA,7,3,2,7,NA,3,NA,1,22,4,40,2,50,NA,NA,70,14,3,7,1,24,1,4,NA,31,NA,NA,2,1,NA,2,1,NA,NA,2,3,NA,10,NA,1,NA,1,NA,NA,NA,1,1,3,1,NA,20,4,1,NA,NA,3,NA,NA,2,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1774,NA,NA,355,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,3,1,1,6,2,2,4,NA,1,4,1,16,5,54,1,26,NA,NA,51,39,4,1,14,25,NA,9,NA,4,NA,NA,NA,2,NA,1,NA,NA,NA,1,5,1,13,NA,NA,NA,1,NA,NA,1,NA,NA,7,3,NA,13,6,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1816,NA,NA,365,4,NA,1,NA,NA,NA,NA,1,NA,NA,2,NA,3,6,NA,3,4,7,7,NA,1,2,1,11,8,28,1,38,1,NA,76,34,2,10,5,41,1,15,NA,13,NA,NA,NA,NA,NA,2,6,NA,NA,3,5,1,36,NA,NA,NA,2,NA,NA,1,NA,NA,1,NA,NA,15,3,NA,NA,NA,1,NA,2,3,NA,NA,1,1,1,NA,1,NA,1,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1859,NA,NA,375,1,NA,1,NA,NA,NA,NA,NA,1,NA,1,7,5,1,1,8,1,2,7,NA,2,NA,NA,5,16,16,NA,57,7,NA,72,20,1,2,16,33,NA,20,NA,2,NA,NA,NA,1,NA,2,2,NA,NA,2,2,1,23,1,3,NA,1,NA,NA,1,NA,NA,2,1,NA,14,5,NA,1,NA,1,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,NA,2,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1902,NA,NA,385,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,NA,4,2,2,4,NA,6,NA,NA,9,9,13,NA,69,NA,NA,57,25,4,1,17,14,1,9,NA,2,NA,NA,NA,NA,NA,2,1,NA,NA,1,3,1,24,NA,1,NA,NA,NA,NA,1,NA,NA,2,1,NA,45,8,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1945,NA,NA,395,1,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,8,NA,NA,2,2,2,2,NA,NA,NA,NA,2,260,13,NA,54,2,NA,125,2,NA,1,5,7,1,12,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,11,NA,NA,NA,1,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,1,2,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,NA,NA,405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,3,1,NA,4,NA,1,4,NA,2,2,NA,5,25,7,1,11,NA,NA,95,8,26,4,NA,70,1,8,NA,3,NA,NA,NA,NA,NA,4,NA,NA,NA,1,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,38,NA,NA,NA,NA,1,1,NA,5,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2031,NA,NA,415,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,5,NA,10,1,2,8,NA,1,1,1,5,14,4,NA,16,NA,NA,101,12,62,2,16,60,2,13,NA,NA,NA,NA,1,NA,NA,NA,2,1,NA,1,7,4,NA,1,1,NA,NA,NA,NA,1,NA,NA,2,3,NA,30,1,NA,2,NA,1,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2074,NA,NA,425,1,NA,NA,NA,NA,NA,NA,1,NA,NA,5,1,1,1,NA,12,NA,3,3,NA,1,3,NA,5,31,6,NA,13,NA,NA,98,9,12,1,1,18,NA,10,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,36,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2116,NA,NA,435,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,NA,6,1,1,3,NA,NA,1,NA,4,16,6,1,21,NA,NA,76,15,26,1,1,43,NA,9,1,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,3,NA,NA,2,1,NA,19,1,NA,NA,NA,1,NA,NA,NA,2,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,6,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2159,NA,NA,445,2,NA,2,NA,1,NA,NA,1,NA,NA,1,2,NA,1,NA,12,2,3,7,NA,1,4,1,9,26,10,1,31,NA,NA,150,24,16,1,19,23,1,25,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,3,1,NA,NA,1,NA,NA,NA,NA,2,NA,NA,2,3,NA,1,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA
2202,NA,NA,455,4,1,3,NA,NA,NA,NA,2,NA,NA,3,3,3,3,NA,18,2,8,13,NA,3,NA,1,12,48,16,1,36,3,NA,172,34,77,3,18,46,2,20,2,NA,NA,NA,NA,NA,NA,1,4,1,NA,2,13,5,NA,NA,2,NA,NA,NA,NA,3,NA,2,3,2,NA,3,1,NA,NA,NA,5,1,3,NA,1,1,4,2,1,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,12,2,NA,NA,NA,NA,NA,NA,NA,NA
2245,NA,NA,465,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,3,1,NA,5,3,2,4,1,NA,NA,NA,2,17,1,NA,12,NA,NA,46,5,15,1,7,19,NA,7,NA,NA,NA,NA,1,NA,NA,4,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2288,NA,NA,475,NA,NA,4,NA,2,NA,NA,1,NA,NA,1,2,3,5,1,6,7,2,9,1,2,1,1,2,25,5,NA,10,5,NA,72,16,19,1,4,36,2,14,NA,NA,NA,NA,NA,1,NA,3,1,1,NA,2,6,2,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,2,NA,3,2,1,NA,NA,3,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2331,NA,NA,485,1,1,1,NA,NA,NA,1,1,NA,NA,2,NA,3,NA,NA,5,2,2,7,NA,3,5,NA,4,15,3,NA,16,1,NA,75,22,36,1,19,31,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,3,NA,3,NA,NA,1,NA,NA,NA,1,NA,NA,3,1,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,1,NA,NA,NA,NA,NA,NA
2374,NA,NA,495,NA,1,4,NA,1,NA,NA,1,NA,NA,3,1,3,3,NA,3,1,4,4,NA,3,4,1,3,20,8,NA,14,NA,NA,70,9,44,1,12,36,1,13,NA,NA,NA,NA,NA,1,NA,1,1,1,NA,2,6,NA,NA,NA,1,NA,NA,NA,NA,3,NA,1,3,1,NA,3,NA,NA,1,NA,1,1,NA,NA,NA,1,1,1,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,5,1,NA,NA,1,1,NA,NA,NA,NA
2417,NA,NA,505,2,NA,1,NA,NA,NA,1,6,NA,NA,2,NA,2,NA,NA,2,1,1,4,NA,NA,2,NA,NA,480,40,NA,44,1,NA,120,7,NA,1,1,8,4,5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,8,1,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,1,2,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
2459,NA,NA,515,NA,NA,2,NA,1,NA,NA,2,NA,NA,2,17,5,3,NA,7,2,4,5,4,1,1,4,3,48,13,1,72,17,NA,96,6,3,6,2,71,1,13,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,4,2,NA,1,1,NA,NA,NA,NA,2,NA,1,NA,NA,NA,8,NA,1,1,2,1,NA,NA,NA,1,1,1,1,1,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA
2502,NA,NA,525,1,NA,5,NA,NA,NA,4,5,NA,NA,NA,9,7,3,4,8,3,NA,3,3,NA,3,10,11,52,14,1,39,32,2,72,15,6,5,15,37,1,6,NA,1,NA,3,11,2,1,NA,1,3,NA,NA,7,1,NA,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2545,NA,NA,535,NA,NA,1,NA,2,NA,4,8,NA,NA,1,21,4,NA,NA,8,6,3,NA,1,1,5,15,15,110,24,2,52,45,2,166,21,4,8,17,31,2,8,NA,7,NA,NA,7,NA,NA,NA,NA,1,NA,NA,15,1,NA,NA,1,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2588,NA,NA,545,NA,4,NA,NA,NA,NA,5,6,NA,NA,3,21,3,3,NA,3,3,3,3,NA,2,5,3,15,180,16,9,73,2,6,180,15,2,6,2,50,4,12,NA,3,NA,2,NA,4,NA,NA,NA,NA,NA,NA,3,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
