Sample age (cal yr BP) [cal yr BP],Depth (cm) [cm],Sesbania sesban,Lannea-type,Maerua-type,Maytenus,Meliaceae undiff.,Mimosa pigra-type,Moltkiopsis ciliata,Morelia senegalensis,Aeschynomene afraspera-type,Alchornea,Balanites,Betula,Boscia-type angustifolia,Boscia-type salicifolia,Brachystegia,Cadaba-type,Calligonum polygonoides,Carissa edulis-type,Celtis,Combretum-type,Commiphora,Cordia africana-type,Corylus,Crateva adansonii,Dialium,Dichrostachys cinerea-type,Dodonaea viscosa-type,Ephedra distachya-type,Ephedra fragilis-type,Erica-type arborea,Faidherbia albida,Ficus,Flueggea virosa,Fraxinus,Guiera senegalensis,Juniperus-type,Myrica,Olea,Oleaceae undiff.,Picea,Piliostigma,Pinus,Pistacia,Podocarpus,Quercus,Quercus ilex-type,Rhus-type,Salix,Salvadora persica-type,Syzygium-type,Tamarindus-type indica,Tamarix,Ziziphus-type,Pavetta,Jasminum,Mimosaceae undiff.,Acacia,Capparis,Capparis fascicularis-type,Capparis tomentosa-type,Clematis-type,Grewia-type,Tapinanthus-type,Phyllanthus-type,Polygala-type,Psoralea,Resedaceae undiff.,Rumex,Scrophulariaceae undiff.,Triumfetta-type,Urticaceae undiff.,Veronica,Vigna-type,Vitaceae undiff.,Zygophyllum,Indigofera,Ipomoea-type,Lamiaceae undiff.,Limeum,Malvaceae undiff.,Monocotyledoneae undiff.,Abutilon,Aizoaceae undiff.,Amaranthaceae/Chenopodiaceae undiff.,Apiaceae undiff.,Asteraceae undiff.,Brassicaceae undiff.,Capparidaceae undiff.,Caryophyllaceae undiff.,Cassia-type,Cichorieae undiff.,Cissus,Euphorbiaceae undiff.,Euphorbia-type,Fabaceae undiff.,Fagonia,Gentianaceae undiff.,Geraniaceae undiff.,Hibiscus,type 6 (exine type Leucas),Undetermined,Artemisia,Cissampelos-type mucronata,Cocculus pendulus-type,Phyllanthus-type amarus,Phyllanthus-type fraternus,Phyllanthus-type maderaspatensis,Polycarpaea-type,Polycarpon-type,Psilotrichum-type,Solanum-type nigrum,Spermacoce-type,Spermacoce-type radiata,Tribulus,Vernonia perrottetii-type,Waltheria,Centaurea-type senegalensis,Leucas-type,Monocotyledonae undiff.,Lotus arabicus-type,Mitracarpus villosus,Aerva-type persica,Alysicarpus,Amaranthus-type,Ambrosia-type maritima,Anchusa-type,Arnebia hispidissima-type,Atractylis-type,Blepharis-type,Boerhavia-type,Celosia-type,Cerealia,Chrozophora brocchiana-type,Cistanche,Cleome-type,Cleome-type gynandra,Commelina-type benghalensis,Cornulaca-type,Cynoglossum-type,Eriosema-type,Euphorbia-type hirta,Helianthemum,Heliotropium,Hewittia-type scandens,Plantago ciliata-type,Plantago lanceolata-type,Poaceae undiff.,Ricinus communis,Rhynchosia-type,Luffa-type,Citrullus,Convolvulus-type,Cucumis dispaceus-type,Cucurbitaceae undiff.,Ludwigia-type,Polygonum senegalense-type,Ammannia-type,Cyperaceae undiff.,Typha,Hyphaene-type,Phoenix,Ophioglossum-type,Ceratopteris cornuta,Lycopodium,Monoletes undiff.,Pteris-type,Triletes undiff.,Indéterminables
1186.5,176.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,12,0,0,3,0,0,0,0,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,35,0,2,6,0,0,1,1,0,0,3,2,0,0,0,0,0,3,10,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,145,0,1,0,0,1,0,0,0,87,0,0,0,0,0,0,0,0,0,0,35,3,6,1,0,0,0,0,0,0,0
1246,184.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,12,0,0,1,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,9,3,0,0,1,0,0,0,0,1,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,1,0,57,0,0,0,0,0,0,0,1,122,0,0,0,0,0,0,0,0,0,0,40,1,4,0,0,0,0,0,0,0,0
1306,192.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,10,0,3,3,0,0,0,0,0,0,2,0,0,0,0,0,0,2,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,76,0,0,0,0,0,0,0,1,193,0,0,0,0,0,0,0,0,0,0,78,2,0,0,0,0,2,0,0,0,0
1366,200.5,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,11,0,0,0,0,0,0,0,11,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,16,0,5,1,0,0,2,1,1,0,0,0,0,0,0,0,0,41,12,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0,0,0,0,0,0,41,0,0,0,0,0,0,1,0,147,0,0,0,1,0,0,0,0,0,0,33,4,5,2,0,0,0,0,0,0,0
1426,208.5,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,1,3,0,2,1,1,0,0,0,0,1,2,0,0,2,0,1,0,0,0,0,10,0,0,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,19,0,4,4,0,0,1,1,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,29,0,0,1,0,0,0,0,0,179,0,0,0,0,0,0,0,0,1,0,190,12,6,0,0,0,0,0,0,0,0
1486.5,216.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,9,0,0,2,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,1,15,0,3,7,0,2,1,0,0,0,0,0,1,0,0,0,0,2,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,193,0,1,0,0,0,0,0,0,165,0,0,0,0,0,0,0,0,0,0,27,1,2,0,0,0,0,0,0,0,0
1547.5,224.5,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,26,0,12,3,0,0,1,1,0,0,0,2,1,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,1,0,0,0,214,0,1,0,0,0,0,0,0,223,0,0,0,0,0,0,1,0,0,0,45,2,2,0,0,0,0,0,0,0,0
1608.5,232.5,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,24,0,8,13,0,1,9,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,105,0,1,0,0,0,0,0,1,435,0,0,0,0,0,0,0,0,0,0,65,4,0,1,0,0,0,0,0,0,0
1670,240.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,1,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,16,0,3,25,4,1,1,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,123,0,4,1,0,0,0,0,0,189,0,0,0,0,0,0,1,0,0,0,54,9,0,0,0,0,0,0,0,0,0
1731,248.5,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,11,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,25,0,7,0,0,0,9,0,0,0,0,0,0,0,0,0,0,4,11,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,165,0,0,0,0,0,0,0,0,0,0,67,21,0,0,0,0,0,1,0,0,0
1793,256.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,6,5,0,1,0,1,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0,0,110,25,1,0,0,0,0,0,0,0,0
1855,264.5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,40,0,12,8,1,0,0,0,0,0,0,1,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,95,0,0,2,0,1,0,0,0,237,0,0,0,0,0,0,0,0,1,0,103,40,0,1,0,0,0,0,0,1,0
1917.5,272.5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,6,0,0,0,0,0,0,9,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,44,1,13,9,0,0,0,0,0,0,1,0,0,0,0,0,0,1,9,0,0,0,0,2,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,1,0,0,151,0,0,2,0,0,0,0,0,205,0,0,0,0,0,0,0,0,0,0,105,27,0,0,0,0,0,0,0,0,0
1980,280.5,2,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,1,0,0,0,6,0,0,0,0,0,0,4,0,0,4,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,47,0,8,6,0,0,4,2,0,1,0,0,0,0,0,0,0,3,12,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,0,0,1,0,0,0,67,0,0,0,0,0,0,1,0,182,1,0,0,1,1,0,1,0,0,0,205,8,0,0,0,0,0,0,0,0,0
2043,288.5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,25,0,5,3,0,0,3,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,4,0,0,0,1,0,0,56,0,0,1,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,93,15,1,0,0,0,0,0,0,0,0
2106,296.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,11,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,0,6,5,0,0,0,0,0,0,3,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,4,0,0,0,1,0,0,130,0,0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,0,1,0,91,22,0,0,0,0,0,0,0,0,0
2161.5,303.5,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,3,0,0,0,0,1,1,12,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,28,0,9,3,0,0,3,2,0,0,0,0,0,0,0,0,0,4,13,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,69,0,0,1,0,0,0,0,1,299,0,0,0,0,0,0,0,0,0,0,137,16,0,0,0,0,0,0,0,0,0
2233,312.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,54,0,11,4,0,0,1,0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,1,200,0,0,0,0,0,0,0,0,0,0,185,5,0,0,0,0,0,0,0,0,0
2297,320.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,2,0,1,0,0,6,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,60,0,8,8,0,0,2,0,0,0,1,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,131,12,0,0,0,0,0,0,0,0,0
2361,328.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,59,0,6,11,0,0,1,3,0,0,2,4,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,4,0,0,0,0,1,0,64,0,0,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0,72,2,1,0,0,0,0,0,0,0,0
2425.5,336.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,39,0,3,3,0,0,1,0,0,0,1,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,28,0,0,0,0,0,0,0,1,138,0,0,0,0,1,0,0,0,0,0,102,1,0,0,0,0,0,0,0,0,0
2490,344.5,2,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,78,1,17,9,0,1,2,0,0,0,0,0,1,0,0,0,0,10,5,0,0,0,0,0,0,1,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,41,0,0,6,0,0,0,0,1,156,1,0,0,0,0,0,0,0,0,0,140,14,0,0,0,0,0,1,0,0,0
2555,352.5,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,5,10,0,0,1,1,0,0,0,1,0,0,0,0,0,3,10,0,0,1,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,13,0,0,0,0,0,0,40,0,0,1,0,0,0,0,0,242,0,0,0,0,1,0,0,0,0,0,126,14,0,0,0,0,0,0,0,1,0
2620,360.5,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,13,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2,94,0,15,9,0,0,0,0,1,0,2,0,1,0,0,0,0,2,8,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,3,0,0,0,0,0,0,36,0,0,0,0,1,0,0,0,307,0,0,0,0,0,0,0,0,0,0,196,27,0,0,0,0,0,0,0,0,0
2645,363.5,3,,3,,,,,,,,1,,,,,2,,,1,1,,,,,,,,1,,1,,,,,,,,,,,,1,,1,,,,,12,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,2,121,,7,1,,,,,,,,,,,1,,,5,7,,,,,,,,1,,,,2,,,,,,,,,,,1,,,,5,,3,,,,1,,,41,,,1,,,1,,,158,,,,,1,,,,,,151,15,,,,,,,,,
2669,366.5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0,0,1,0,11,0,1,1,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,24,0,4,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1,2,0,14,0,0,1,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,78,1,0,0,0,0,0,0,1,0,1
2702,370.5,,,2,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,1,,,,,,4,,,,,,,,,,,,,1,,,,,,,,,,,,,1,119,,11,1,3,,,,,,,1,,,,1,,1,7,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,9,,,,,,,36,,,1,,,,,2,257,,,,,,,,,1,,157,14,,,,,,,,,1
2735,374.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,8,0,12,2,0,0,0,0,0,0,0,4,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,63,0,1,0,0,0,0,10,1,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,1,2,37,0,0,0,0,0,0,0,0,0,9
2768,378.5,,,3,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,1,,,,,,,,,,,,,,,,2,134,,5,4,,,,,,,,,,,,,,1,5,,1,,,,,,,,,,1,,,,,,,1,4,,,,,,,2,,14,,,,,,,36,,,1,,,,,1,182,1,,,,,,,,,,175,8,,,1,,,,,,6
2801,382.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2,0,0,0,0,0,1,1,5,0,0,1,0,0,0,11,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,9,18,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,8
2867,390.5,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,0,9,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,83,0,0,0,0,1,0,0,0,1,0,37,1,2,0,0,0,0,0,0,0,6
2942,399.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,18,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,102,0,0,0,0,0,0,0,0,2,0,22,1,0,0,1,0,0,0,0,0,8
3000,406.5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,1,1,0,0,0,3,0,0,17,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,0,4,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,188,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,7
3067,414.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1,13,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,124,0,0,0,0,2,0,0,0,0,0,21,0,0,0,1,0,0,0,0,0,4
3134,422.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,0,3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,232,0,1,0,0,1,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,2
3201.5,430.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,10,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,46,4,0,0,0,0,0,0,0,0,2
3269.5,438.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,2,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,69,2,0,0,0,0,0,0,0,0,3
