Sample age (cal yr BP) [cal yr BP],Depth (cm) [cm],Sesbania sesban,Lannea-type,Maerua-type,Maytenus,Meliaceae undiff.,Mimosa pigra-type,Moltkiopsis ciliata,Morelia senegalensis,Aeschynomene afraspera-type,Alchornea,Balanites,Betula,Boscia-type angustifolia,Boscia-type salicifolia,Brachystegia,Cadaba-type,Calligonum polygonoides,Carissa edulis-type,Celtis,Combretum-type,Commiphora,Cordia africana-type,Corylus,Crateva adansonii,Dialium,Dichrostachys cinerea-type,Dodonaea viscosa-type,Ephedra distachya-type,Ephedra fragilis-type,Erica-type arborea,Faidherbia albida,Ficus,Flueggea virosa,Fraxinus,Guiera senegalensis,Juniperus-type,Myrica,Olea,Oleaceae undiff.,Picea,Piliostigma,Pinus,Pistacia,Podocarpus,Quercus,Quercus ilex-type,Rhus-type,Salix,Salvadora persica-type,Syzygium-type,Tamarindus-type indica,Tamarix,Ziziphus-type,Pavetta,Jasminum,Mimosaceae undiff.,Acacia,Capparis,Capparis fascicularis-type,Capparis tomentosa-type,Clematis-type,Grewia-type,Tapinanthus-type,Phyllanthus-type,Polygala-type,Psoralea,Resedaceae undiff.,Rumex,Scrophulariaceae undiff.,Triumfetta-type,Urticaceae undiff.,Veronica,Vigna-type,Vitaceae undiff.,Zygophyllum,Indigofera,Ipomoea-type,Lamiaceae undiff.,Limeum,Malvaceae undiff.,Monocotyledoneae undiff.,Abutilon,Aizoaceae undiff.,Amaranthaceae/Chenopodiaceae undiff.,Apiaceae undiff.,Asteraceae undiff.,Brassicaceae undiff.,Capparidaceae undiff.,Caryophyllaceae undiff.,Cassia-type,Cichorieae undiff.,Cissus,Euphorbiaceae undiff.,Euphorbia-type,Fabaceae undiff.,Fagonia,Gentianaceae undiff.,Geraniaceae undiff.,Hibiscus,type 6 (exine type Leucas),Undetermined,Artemisia,Cissampelos-type mucronata,Cocculus pendulus-type,Phyllanthus-type amarus,Phyllanthus-type fraternus,Phyllanthus-type maderaspatensis,Polycarpaea-type,Polycarpon-type,Psilotrichum-type,Solanum-type nigrum,Spermacoce-type,Spermacoce-type radiata,Tribulus,Vernonia perrottetii-type,Waltheria,Centaurea-type senegalensis,Leucas-type,Monocotyledonae undiff.,Lotus arabicus-type,Mitracarpus villosus,Aerva-type persica,Alysicarpus,Amaranthus-type,Ambrosia-type maritima,Anchusa-type,Arnebia hispidissima-type,Atractylis-type,Blepharis-type,Boerhavia-type,Celosia-type,Cerealia,Chrozophora brocchiana-type,Cistanche,Cleome-type,Cleome-type gynandra,Commelina-type benghalensis,Cornulaca-type,Cynoglossum-type,Eriosema-type,Euphorbia-type hirta,Helianthemum,Heliotropium,Hewittia-type scandens,Plantago ciliata-type,Plantago lanceolata-type,Poaceae undiff.,Ricinus communis,Rhynchosia-type,Luffa-type,Citrullus,Convolvulus-type,Cucumis dispaceus-type,Cucurbitaceae undiff.,Ludwigia-type,Polygonum senegalense-type,Ammannia-type,Cyperaceae undiff.,Typha,Hyphaene-type,Phoenix,Ophioglossum-type,Ceratopteris cornuta,Lycopodium,Monoletes undiff.,Pteris-type,Triletes undiff.,Indéterminables
549.5,88.5,1,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,3,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,1,0,0,1,0,0,0,0,2,0,0,0,0,0,2,20,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,21,0,0,0,0,0,0,0,1,140,0,0,0,0,1,0,0,0,0,0,91,33,4,12,0,0,0,0,0,0,0
605.5,96.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,1,5,1,0,0,1,0,0,0,1,0,0,0,0,0,0,3,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,16,0,0,1,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,74,6,2,6,0,0,0,0,0,0,0
720,112.5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,1,0,1,0,1,0,0,2,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,3,1,0,0,2,1,0,0,0,1,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,0,0,0,1,2,0,58,0,0,0,0,0,0,1,0,98,0,0,0,0,0,0,0,0,0,0,68,4,1,8,0,0,0,0,0,0,0
777.5,120.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,18,0,5,3,0,0,0,2,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,22,0,0,0,0,0,0,0,1,41,0,0,0,0,0,0,2,0,0,0,85,7,2,15,0,1,0,0,0,0,0
835,128.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,2,2,0,0,2,1,0,0,0,1,0,0,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,46,0,0,2,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,86,18,14,6,0,0,0,0,0,0,0
893,136.5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,1,0,2,0,0,0,0,0,0,20,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,11,0,5,6,0,0,1,1,0,0,0,0,2,0,0,0,0,6,16,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,52,9,1,0,0,0,0,0,0,0,0
951.5,144.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,15,0,1,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,2,4,1,0,0,1,0,0,0,0,1,0,0,0,0,0,4,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,86,0,0,0,0,0,0,0,2,151,0,0,0,1,0,0,0,0,0,0,30,4,3,0,0,0,0,0,0,0,0
1009.5,152.5,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,18,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,13,0,8,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,148,0,1,2,0,1,0,0,0,106,0,0,0,0,0,0,0,0,0,0,42,6,10,0,0,0,0,0,0,0,0
1068.5,160.5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,6,3,0,0,4,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,177,1,0,0,0,0,0,0,0,0,0,35,4,3,0,0,0,0,0,0,1,0
1127.5,168.5,1,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,1,0,5,0,0,1,0,0,0,11,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,6,6,0,0,3,2,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,95,0,0,1,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,40,6,2,0,0,0,0,0,0,0,0
