"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Lycopodium tablets","Sample quantity","Potentilla-type","Salix","Pistacia","Rosaceae","Apiaceae undiff.","Eucalyptus","Helianthemum","Cedrus","Echium","Scleranthus","Cistus","Genista-type","Urtica dioica-type","Trifolium pratense-type","Silene vulgaris-type","Mercurialis annua","Peucedanum-type","Rumex scutatus-type","Smyrnium-type","Urtica pilulifera","Urtica membranacea-type","Podospora-type","Artemisia","Vitis","Fabaceae","Rubiaceae","Spergula-type","Fraxinus ornus","Solanum dulcamara","Alnus glutinosa-type","Silene dioica-type","Asparagus","Centaurea nigra-type","Daucus","Fraxinus excelsior-type","Herniaria-type","Ornithogalum-type","Amaranthaceae-type","Chaerophyllum hirsutum-type","Falcaria-type","Pteridophyta (monolete) undiff.","Cyclamen hederifolium","Cercophora-type","Callitriche","Poaceae (Cerealia)","Brassicaceae","Trifolium repens-type","Potamogeton","Ranunculus acris-type","Corylus avellana","Castanea sativa","Pseudopediastrum boryanum var. boryanum sensu lato","Juncaceae","Anthemis-type","Quercus cerris-type","Pinus","Sporormiella","Plantago lanceolata-type","Astragalus-type","Quercus ilex-type","Aster-type","Ilex aquifolium","Quercus pubescens-type","Olea","Ranunculus sect. Batrachium","Cyperaceae","Cichorioideae","Juniperus-type","Lythrum portula","Oenanthe","Fagus sylvatica","Plantago coronopus-type","Poaceae","Lycopodium spike","Charcoal","Cuscuta","Plantago major","Asteroideae","Vicia-type","Anemone-type","Scabiosa","Liliaceae-type","Paronychia-type","Apium-type","Erica arborea-type","Tuberaria","Silenoideae-type","Arnoseris","Reseda-type","Rhamnus","Phillyrea","Asphodelus albus-type","Sedum-type","Pteridium aquilinum","Senecio-type","Euphorbia","Rubus","Ostrya-type","Mentha-type","Filipendula","Carduus","Phragmites australis","Cyperus-type","Torilis arvensis","Minuartia rubra-type","Polypodium","Lycopodium clavatum-type","Gelasinospora","Microthyrium","Glomus","Geranium","Sagina","Rumex acetosa-type","Abies","Polygonum aviculare-type","Prunus-type","Viola","Allium-type","Dipsacus","Gentiana-type","Serratula-type","Hedwigia","Lamiaceae","Gnaphalium-type","Osmunda regalis","Bupleurum","Montia","Juglans regia","Ephedra fragilis-type","Hedera helix","Moehringia-type","Cerastium-type","Daphne","Verbascum","Carthamus","Sparganium-type","Gladiolus/Romulea","Picea","Hippophaë rhamnoides","Eryngium","Dianthus superbus-type","Odontites-type","Onobrychis","Plantago maritima-type","Hypericum perforatum-type","Alnus viridis-type","Sanicula europaea","Carlina","Betula","Rumex obtusifolius-type","Ephedra distachya-type","Turgenia latifolia","Caltha-type","Carpinus betulus","Centaurium","Rosa","Rhinanthus","Gypsophila","Myrtus communis","Cerinthe","Lygeum spartum","Sambucus nigra-type","Cirsium","Ulmus","Anthriscus sylvestris-type","Nigella","Calendula","Heracleum","Lotus-type","Parnassia palustris","Isoëtes","Cheilanthes-type","Ustulina deusta","Acer","Ophioglossum lusitanicum","Centaurea scabiosa-type","Euphrasia-type"
-50,NA,NA,1,"18584, 3","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","3","3","4","5","5","5","5","5","5","5","7","7","7","7","8","8","9","9","11","11","12","12","13","13","14","22","23","23","27","59","63","224","380","1547.036, 7602","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
32.76,NA,NA,18,"18584, 3","1","","2","2","","2","","7","3","","","","1","","","","1","1","","2","","","2","3","1","","3","1","1","","5","1","","1","2","","","","4","1","","2","","33","13","1","3","9","","25","4","","","14","8","4","15","42","3","9","17","14","16","10","18","","7","3","17","8","16","62","85","192","638","1121.916, 5513","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
63.02,NA,NA,24,"18584, 3","1","1","","1","1","","","1","","","","","1","3","","","1","","","2","","","","1","","","3","1","","","2","","","","6","","","","2","","2","","","20","44","1","4","8","1","5","2","6","","48","7","2","1, 8","16","13","5","8","15","4","8","23","12","11","24","4","30","96","15","110","411","611","2345.099, 11826","","","","","","","","6","4","1","","1","1","","","","","1","1","","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
103.36,NA,NA,32,"18584, 3","1","","","","","","","10","","","","1","4","","1","","1","","","","","","1","6","","","1","5","","","1","9","","","1","","","","7","","","18","","3","2","6","2","","","4","","4","","","31","2","3","24","4","","2","34","2","13","12","2","4","57","3","","152","4","319","205","1405","8688.236, 43805","","","","","","","4","2","1","2","2","","","","","","","","5","","","","","","","2","2","1","","","","","1","","1","1","","2","1","1","1","1","1","1","1","1","1","2","2","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
143.69,NA,NA,40,"18584, 3","1","","","","","","","4","","","1","","1","","","","","","","","1","","1","8","","","3","5","","","2","2","","2","2","1","","","4","1","","12","","","","2","1","2","","3","","2","","2","22","","2","30","3","","","15","4","9","14","","6","25","2","","76","7","213","142","236","16936.56, 85392","","","","","","","","1","","","1","1","","","","","","","4","","1","","","","","1","","","","","","","","","","1","","2","","","","","","","","","","","2","","1","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
184.03,NA,NA,48,"18584, 3","1","","","","","1","","6","","","2","","1","","1","","","","","","","","1","7","","1","1","6","","","","1","","","","","","","3","","","37","","1","1","1","2","","1","3","","2","","","27","","5","17","7","","1","10","1","6","15","1","","22","1","","263","11","272","310","364","8687.16, 43805","","1","","","","","2","1","","","","4","","","","","","","7","","","","","","","2","","2","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
264.71,NA,NA,64,"18584, 3","1","2","","","","2","","6","","1","","","2","","1","1","","","","","","","","2","","","1","6","","","","1","","1","3","","","","1","","","5","","1","3","","","1","","","1","","","","8","","","3","1","1","1","5","2","5","3","","4","19","1","","6","2","84","48","3186","3587.705, 18091","","","","","","","2","","","","1","2","","1","","","","","3","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","4","2","","","","","","","","","","","","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
305.05,NA,NA,72,"18584, 3","1","","1","","","6","","12","","","1","","1","1","1","3","","","1","","","","3","4","","","3","19","1","","1","3","","","","1","","","4","3","2","22","","4","2","","1","9","","1","","3","","","33","2","2","10","8","1","1","23","2","22","11","","8","91","","1","5","9","264","127","1721","5323.35, 26843","","","","","","","1","1","","5","2","","","","","","1","","4","","","","","","","2","","","","","1","","","","","","","","","","","","2","","","","","1","14","","","","","","","2","","","","","","4","1","1","1","1","1","1","2","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
345.39,NA,NA,80,"18584, 3","1","","","","","5","","8","","","1","","4","1","1","1","","","1","2","","","","11","1","1","3","8","1","","1","2","","1","1","1","","","5","","","25","","","1","3","5","11","","3","","1","","","39","1","3","45","8","","1","26","4","15","25","1","12","76","5","","6","16","320","168","1386","2678.234, 13505","","","","","","","","","1","2","","1","","1","","","","","8","","","","","3","","2","3","","","","","","1","","","","","2","","1","","","1","","","","","1","2","","","1","","","1","2","","","","","2","","","","","","","","3","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
426.07,NA,NA,96,"18584, 3","1","","","","","8","","10","","","1","1","16","","1","1","","1","","","","","1","7","","2","","15","","","1","2","","2","3","1","","1","4","","1","22","","","2","1","3","10","","4","2","","","3","29","4","2","30","3","","","28","4","23","29","","12","90","","2","8","24","315","496","688","10412.3, 52504","","","","","","","3","3","","","","","","","","","","","6","","","","","1","","4","1","","","","1","","","","","1","","","","","","","","","","","","1","1","","","","","","","3","","","","","","5","","","","1","","1","7","1","","","2","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","",""
506.75,NA,NA,112,"18584, 3","1","4","","","","1","","15","","","1","","8","","1","","","","","","1","","3","13","","","1","7","","","1","1","","3","9","","","","3","3","1","14","","3","","1","7","8","","24","1","3","","1","39","2","2","22","9","","2","76","","17","21","","156","52","1","1","21","7","405","260","137","4967.788, 25048","","","","1","","","","3","1","1","1","","","","","2","","","8","1","","","","","","1","2","1","","","","","","","","1","","2","","","","","","","","","","","1","","","","","","","3","","","","","","","","","","","","","1","","1","","3","2","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","",""
547.08,NA,NA,120,"18584, 3","1","7","","1","","2","","6","","2","3","","11","1","","","","","","","","","","10","","1","3","10","2","","1","2","","1","10","1","","","5","","","48","","1","1","1","6","3","","19","1","2","","17","28","7","2","1","10","1","3","11","7","28","16","6","25","30","2","","3","6","231","225","204","4738.913, 23893","1","","","1","","","","2","1","2","","","","","","2","2","1","2","1","","2","1","3","","1","49","12","","","","","1","","","","","1","","","","","","","","","","","1","","","","1","1","","","","","","","","1","","","1","","","","1","1","","","1","1","2","","","1","","","1","1","1","1","1","1","10","","","","","","","","","","","","","","",""
587.42,NA,NA,128,"18584, 3","1","","","","","5","","9","","","3","","9","","","","","","1","1","","","","11","","","16","6","2","","","","","2","5","2","","2","1","3","","8","","1","13","2","1","10","","11","","","","1","30","11","","24","8","","7","16","","16","4","1","238","30","","6","","5","334","536","95","10003.37, 50442","","","","","","","","2","1","1","","1","","","","","1","","4","","","","","4","","","28","","","","","","","","","2","","","","","","","","","","","","","2","","","","","","1","","1","","","","","1","","","","","","","","1","","1","","","","","","","","","1","","","","","","1","1","","","","","","","","","","","","","",""
627.76,NA,NA,136,"18584, 3","1","8","","1","","5","","3","","","","","","1","","","","","2","1","","","","12","","","1","5","1","1","6","1","2","4","3","1","","","8","3","","37","","2","1","2","4","2","","14","","","","19","27","20","1","6","8","","7","21","7","81","9","5","177","27","2","","2","14","21","414","566","6219.138, 31360","","","","1","","","","4","","","","","","","","1","","2","2","","","1","1","2","","","12","","","","1","","","","","","","","","","1","","2","","","","","","","","","","","1","9","","","","","","1","","","","","","1","","1","22","","","1","1","","1","","","","","","","","","","","","1","1","1","1","1","2","3","","","","","","","",""
668.1,NA,NA,144,"18584, 3","1","12","","","","","","7","","","1","","","","","","","","","","","","","7","","","","5","","1","1","","","","6","","","","3","1","","178","","5","","1","1","6","","4","","","","","25","6","2","11","20","","4","16","4","41","2","","15","25","2","","1","22","56","298","231","11056.42, 55752","","","","1","","","1","1","","1","","1","","","","","","2","6","","","","1","","","1","209","","2","","2","","1","","","2","","2","","","","","","","","","","","","","","","","2","6","","","","","","","","","","","","1","","1","1","","","","2","","","","","1","","","","","","","","3","","","","","","","1","1","1","1","2","","","",""
708.44,NA,NA,152,"18584, 3","1","","","","","1","","3","","","1","","","","","","","","","","","","1","5","","","1","","","","2","1","","","","1","","","","","","81","","","","2","1","","","2","4","","","","1","1","1","","5","","1","1","30","47","17","","9","","","","1","450","2","34","124","173217.1, 873448","","1","","","","","","","","4","","","","","","","","","20","","","","","","","","","","","","1","","1","","","1","","1","","","","","","","","","","","","","","","","2","3","1","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","1","","","","","","","","","","","","1","1","",""
