"age_NA","ageolder_BP","ageyounger_BP","depth","Xanthium","Plantaginaceae","Plantago maritima-type","Scabiosa columbaria-type","Carthamus","Caryophyllaceae","Cirsium-type","Thymus/Mentha","Filago-type","Plantago ovata-type","Bunium-type","Hammada-type","Brassicaceae","Rumex acetosa-type","Noaea-type","Matricaria-type","Poaceae (Cerealia-type)","Pinus","Unknown","Polygonum aviculare-type","Apiaceae","Asteroideae","Cichorioideae","Artemisia herba-alba-type","Centaurea solstitialis-type","Sparganium-type","Poaceae","Cyperaceae","Atriplex-type","Euphorbia","Zea mays","Malva","Valerianella","Tribulus","Portulaca/Montia","Quercus cerris-type","Scorzonera-type","Haplophyllum","Convolvulus","Dianthus-type","Prosopis","Fabaceae","Senecio-type","Dipsacoideae","Ostrya/Carpinus orientalis","Heliotropium-type","Papaver","Myriophyllum spicatum/M. verticillatum","Scilla-type","Pimpinella-type","Galium-type","Apium-type","Elaeagnus","Helianthemum","Bupleurum-type","Erodium","Centaurea cyanus-type","Fraxinus excelsior-type","Ruta","Ranunculus sect. Batrachium-type","Turgenia-type","Allium","Urtica dioica-type","Anchusa/Pulmonaria","Arctium/Jurinea","Ferula-type","Scrophulariaceae","Castanea","Lonicera","Filago","Geranium","Delphinium-type","Centaurea jacea-type","Polygonum cognatum-type","Salix","Lamiaceae","Plantago lanceolata-type","Persicaria maculosa-type","Rosaceae","Ranunculus asiaticus-type","Liliaceae","Alisma","Trifolium-type","Ranunculus repens-type","Lythrum","Armeria/Limonium","Echium-type","Anisosciadium-type","Lotus-type","Matthiola","Ranunculaceae","Aesculus","Tilia","Alnus","Astragalus-type","Plantago media-type","Asparagus-type","Linum mucronatum-type","Lycium-type","Scrophularia/Verbascum","Nitraria"
NA,NA,NA,30,1,1,1,1,1,2,2,2,2,2,3,3,4,4,4,7,9,16,16,18,18,18,23,26,38,79,109,266,343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,220,NA,NA,NA,NA,NA,NA,2,NA,2,2,NA,4,4,1,3,11,35,25,26,110,3,10,31,28,33,1,150,81,413,1,1,1,1,1,1,1,1,1,2,2,3,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,260,NA,1,NA,NA,1,3,7,NA,6,NA,20,NA,6,1,NA,19,6,29,39,42,13,34,42,55,61,8,66,18,390,1,NA,NA,NA,NA,NA,6,7,NA,NA,NA,NA,NA,1,1,1,1,2,2,2,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,80,NA,NA,2,NA,1,5,NA,NA,3,NA,3,1,1,2,4,10,17,17,18,38,95,38,14,26,20,91,127,242,209,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,5,2,2,NA,NA,NA,NA,NA,1,2,NA,NA,1,1,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,180,NA,NA,NA,NA,2,4,3,1,7,NA,22,NA,2,1,1,14,7,33,27,82,27,37,38,46,74,28,114,74,885,NA,NA,NA,NA,NA,NA,5,6,NA,NA,NA,NA,2,5,NA,1,NA,NA,2,NA,NA,1,3,NA,1,NA,NA,NA,NA,2,NA,NA,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,240,7,NA,NA,NA,NA,1,1,5,2,NA,NA,2,12,NA,2,14,4,47,13,139,10,25,57,33,39,11,130,60,586,1,NA,NA,1,NA,NA,NA,4,NA,NA,2,6,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA,2,NA,NA,NA,1,NA,NA,1,1,1,2,2,3,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,200,2,NA,NA,NA,2,4,2,4,3,NA,NA,3,8,2,NA,19,6,35,22,NA,21,20,96,56,63,64,327,154,734,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA,4,1,3,NA,NA,NA,2,4,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,62,1,1,1,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,50,NA,NA,NA,NA,1,5,4,1,NA,NA,2,1,2,1,2,11,7,16,13,2,11,11,23,31,23,84,188,117,156,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,4,2,9,NA,NA,NA,1,2,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,1,NA,1,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,150,NA,1,NA,NA,NA,NA,15,1,4,NA,NA,2,3,NA,NA,43,9,40,27,24,13,40,148,87,66,34,273,140,844,2,1,NA,NA,NA,NA,3,1,NA,NA,6,6,3,21,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,21,NA,1,NA,NA,NA,NA,1,1,1,2,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,120,NA,2,NA,NA,4,NA,11,4,6,NA,3,NA,1,NA,2,22,45,43,23,9,32,40,129,68,82,74,36,181,640,2,NA,NA,1,NA,NA,4,3,NA,NA,5,2,NA,35,NA,NA,NA,2,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,2,2
