"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Lycopodium tablets","Sample quantity","Helianthemum","Olea","Anthemis-type","Centaurea nigra-type","Serratula-type","Calluna","Indeterminable","Rumex","Pistacia","Ephedra fragilis-type","Ericaceae","Amaranthaceae","Plantago","Aster-type","Quercus suber-type","Cyperaceae","Unknown (trilete)","Quercus (evergreen-type)","Cedrus","Quercus (deciduous-type)","Poaceae","Taraxacum","Pinus","Lycopodium spike","Caryophyllaceae","Cirsium-type","Ephedra distachya-type","Anogramma leptophylla","Artemisia","Isoëtes","Cupressaceae","Gentianaceae","Alnus","Brassicaceae","Phillyrea","Mercurialis-type","Halimium","Lygeum spartum","Botrychium-type","Corylus","Vitis","Myrica","Centaurea scabiosa-type","Poterium sanguisorba","Unknown","Cistus","Pseudoschizaea","Asphodelus","Unknown (monolete)","Betula","Ophioglossum lusitanicum","Carpinus","Alisma-type","Selaginella","Fabaceae","Hedera helix","Polypodium vulgare-type","Scabiosa","Ambrosia-type","Lamiaceae","Rosaceae","Buxus","Salix","Tilia","Plumbaginaceae","Ulmus","Fraxinus excelsior-type","Mentha-type","Rhamnus-type","Cryptogramma","Thalictrum","Valerianoideae","Veronica-type","Apiaceae","Linum","Ranunculaceae","Hippophaë","Ulex-type","Tamarix","Abies","Poaceae (Cerealia-type)","Echinops","Typha","Acer","Centaurium","Campanulaceae","Pilularia globulifera","Potamogeton","Plantago lanceolata-type","Liliaceae","Vicia-type","Galium-type","Coriaria myrtifolia","Crassulaceae","Euphorbia","Polygonum aviculare-type","Pedicularis","Picea","Lemna","Taxus","Persicaria maculosa-type","Scrophulariaceae","Bupleurum-type","Spergularia-type","Primulaceae","Filipendula","Arceuthobium","Geranium","Boraginaceae","Urtica","Lythrum","Sanguisorba officinalis","Erodium","Populus"
1279,NA,NA,7,"21358","2","1","1","1","1","1","1","1, 2, 3","2","2","2","3","3","3","3","3","4","7","8","9","9","10","11","110","3624","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1354,NA,NA,9,"21358","3","","1","1","","","1","","","4","1","11","9","3","7","2","4","5","15","5","18","4","10","84","1534","1","1","1","1","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1577,NA,NA,15,"21358","3.5","","3","1","1","","","1, 3","","4","3","3","13","","3","","6","5","21","6","7","4","11","58","1004","","","","1","9","3","1","1","1","1","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1726,NA,NA,19,"21358","3","1","","","","1","1","1, 3","","8","2","13","10","1","1","1","3","2","3","8","14","3","9","83","2773","","1","","","6","1","","","1","","","","","","","1","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1875,NA,NA,23,"21358","3","1","1","","","","","1, 4","","4","5","8","8","","2","4","2","6","9","14","15","6","12","166","3429","1","","","","6","1","","","","2","","","","","","","","","","","","1","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1950,NA,NA,25,"21358","4.5","1","2","1","","","","3","","4","","7","6","1","4","2","5","6","17","9","18","3","5","86","1418","","","","","1","1","","","","1","1","","","","","","","","","","","1","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2024,NA,NA,27,"21358","3","1","2","","","1","1","1, 4","","4","","9","1","","5","4","1","6","6","27","18","3","11","169","2935","","1","","","4","1","","","","","","","","","","","","","","","","1","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2248,NA,NA,33,"21358","3","1","1","","","","","1, 3","","3","2","7","4","1","","5","3","2","16","13","33","6","9","219","3206","","1","","","4","","","","","","1","","","","","","","","1","","","","1","","","1","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2397,NA,NA,37,"21358","4","","1","","","","","1, 7","","2","1","4","7","","1","1","","5","5","11","7","4","5","141","981","","1","","","4","2","","1","2","3","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2620,NA,NA,43,"21358","4","","","","1","","","1","","2","2","10","6","","2","3","","7","12","12","25","4","11","261","2438","","","1","1","2","2","","","","2","2","","","","","1","","1","1","","","","1","","","","1","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
