"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Lycopodium tablets","Sample quantity","Cladium","Cichorioideae","Mentha-type","Casuarina","Centaurium","Aster-type","Spirogyra","Nitraria","Salsola-type","Artemisia","Pinus","Poaceae","Amaranthaceae","Phoenix dactylifera","Typha angustifolia/Sparganium-type","Glomus","Lycopodium spike","Charcoal","Plantago undiff.","Salix","Paronychia","Anthemis-type","Cyperaceae","Lythrum portula","Brassicaceae","Quercus","Trifolium-type","Astragalus","Cyperus","Alisma-type","Carlina","Pseudoschizaea","Poaceae (Cerealia)","Plantago maritima-type","Calendula","Fagus","Fabaceae","Centaurea","Falcaria-type","Caryophyllaceae undiff.","Tamarix","Euphorbia","Olea","Plantago coronopus-type","Plantago lanceolata-type","Castanea sativa","Helianthemum","Liliaceae","Rhabdocoela","Corylus","Capparis","Anogramma leptophylla"
-30,NA,NA,7.5,"9666, 2","1","1","1","1","1","1","1","2","2","3","4","4","16","20","26","30","37","215","92867.40191, 437869.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
16,NA,NA,17,"9666, 2","1","3","3","","","","1","","2","1","5","3","20","9","7","48","40","108","180575.7809, 890238.6","1","1","1","1","2","2","7","","","","","","","","","","","","","","","","","","","","","","","","","","",""
83,NA,NA,30,"9666, 3","1","","","","","","","","6","","4","","29","7","28","21","4","172","57077.11152, 312211.8","","","","","","","2","1","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","",""
128,NA,NA,38,"9666, 2","1","7","","","","","","","","","3","","29","7","31","22","10","128","42934.21369, 255458.5714","","","","","","2","","","","","","","","1","1","1","1","","","","","","","","","","","","","","","","",""
178,NA,NA,46,"9666, 3","1","","2","","","","","","9","","2","","51","10","43","90","11","290","20919.12491, 136811.0769","","","","1","","2","","","","","","","","","","","","1","2","","","","","","","","","","","","","","",""
247,NA,NA,56,"9666, 2","1","","","","","","","","","","6","","38","5","23","78","4","126","30672.26508, 228201.6522","","","","","1","","1","","","","","","","1","","","","","","1","","","","","","","","","","","","","",""
309,NA,NA,64,"9666, 3","1","","8","","","","","","8","","7","2","114","31","42","147","16","399","42674.98191, 353775.6","","","","3","","1","","","","","","","","","","","","","","1","2","","","","","","","","","","","","",""
361,NA,NA,70,"9666, 2","1","","3","","","1","","","2","","4","","34","14","11","44","22","134","40511.91176, 358125.3","","","3","","","2","","","1","","","","","1","","","","","","","","","","","","","","","","","","","",""
405,NA,NA,75,"9666, 2","1","","2","","","","2","","1","","3","2","28","17","10","32","18","138","36850.9545, 332027.1","","","","","","5","","","1","","","","","","","","","","","","","1","","","","","","","","","","","",""
450,NA,NA,80,"9666, 3","1","","4","","","","6","","9","","","4","69","45","36","63","17","319","26144.84848, 232950.6","","","","1","","5","","","1","","","","","","","1","","","","1","","2","1","","","","","","","","","","",""
519,NA,NA,88,"9666, 3","1","","1","","","1","1","","6","1","5","1","81","53","39","103","1","260","49390.90244, 405005.4","","","","","","3","","","","","","","","1","","","","","","","","","2","1","2","","","","","","","","",""
551,NA,NA,92,"9666, 3","1","","4","","","2","13","","5","5","2","4","68","41","25","87","3","290","12662.40542, 96107.65714","","","","1","","8","5","","","","","","","3","","","","","","","","","4","","2","1","2","","","","","","",""
581,NA,NA,96,"9666, 3","1","","1","1","","1","5","","9","","3","","66","33","18","83","7","237","39057.38372, 268714.8","","","","","","6","","2","","","","","","","","","","","","","","","","","","","1","1","3","","","","",""
619,NA,NA,102,"9666, 3","1","","","","","","5","","1","","","1","54","25","17","73","2","312","27497.58813, 161685.8182","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
642,NA,NA,106,"9666, 3","1","","1","","","","3","","2","1","1","1","38","36","10","70","8","407","31787.29339, 167836.9091","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
662,NA,NA,110,"9666, 3","1","","","","","","7","","","1","1","1","28","46","6","50","4","521","30735.01903, 145376.64","","","","","","4","","","","","","","","","","","","1","","","","","2","","","","","","","","","","",""
680,NA,NA,114,"9666, 3","1","","","","","","1","","","2","1","1","31","21","17","22","5","272","17519.14894, 74106","","","","","","","","","","","","","","","","","","","","","","","2","","","","1","","","","","","",""
697,NA,NA,118,"9666, 2","1","","","","","","1","","","","1","","6","27","5","12","10","1321","11256.9193, 42663.72414","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
711,NA,NA,122,"9666, 2.5","1","","","1","","","1","","","","1","","17","22","4","13","4","686","21532.43821, 72994.96552","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","1","","","",""
756,NA,NA,138,"9666, 2.5","1","","3","","","","1","","","","","2","38","3","9","21","15","1421","19300.61688, 44584.425","","","","","1","","","","","","","","","","","","","","","","","","6","","","","","","1","","1","1","1",""
772,NA,NA,145,"9666, 2","1","","3","","","","5","","","","","","15","13","12","20","16","636","25051.43541, 52357.5","","","","","1","","","","","","","","","","","","","","","1","","","1","","","","","","","","","","",""
790,NA,NA,154,"9666, 2.5","1","","17","","","","4","","1","","","3","68","17","23","51","11","1295","6312.323573, 12750.89362","","","","","1","1","","","","","","","","1","","","","","","","","1","2","","","","","","2","","","","","1"
806,NA,NA,162,"9666, 2","1","","","","","","1","","","","","2","27","3","4","11","24","530","7125.330635, 14393.16788","","1","","","","","","1","","","","","","","","","","","","","","","1","","","","","","","","","","",""
824,NA,NA,171,"9666, 2","1","","4","","","","","","","","","1","11","24","6","9","35","910","2770.34914, 5596.105263","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","",""
839,NA,NA,178,"9666, 2","1","","2","","","","1","","","","","2","11","13","12","39","34","1269","5646.475248, 11405.88","","1","","","","","","","","","","","","","","","","","","","","","2","","","","","","1","","","","",""
