"age_NA","ageolder_BP","ageyounger_BP","depth","Caryophyllaceae","Ericaceae","Varia","Betula","Malvaceae","Brassicaceae","Pteridium","Artemisia","Alnus","Asteroideae","Polypodium vulgare","Corylus","Poaceae","Pinus","Cyperaceae","Indeterminable","Amaranthaceae","Cichorioideae","Pseudopediastrum boryanum","Picea","Tilia","Rosaceae","Triticum-type","Anemone-type","Olea-type","Ulmus","Polypodiaceae","Hedera","Ceratonia","Polygonum aviculare-type","Fabaceae","Quercus pubescens/Q. robur-type","Ephedra fragilis-type","Humulus/Cannabis-type","Geranium-type (reticulate)","Poaceae (Cerealia-type)","Anthoceros laevis","Fagus","Phillyrea","Silene-type","Centaurea jacea-type","Cistus/Helianthemum-type","Boraginaceae","Plantago lanceolata-type","Dianthus-type","Myrtus","Juglans","Cupressaceae","Vitis","Liliaceae","Carpinus betulus","Paliurus","Fallopia convolvulus-type","cf. Plumbago","Ostrya/Carpinus orientalis-type","Pseudopediastrum kawraiskyi","Fraxinus ornus","Pteris","Rhamnus cathartica/R. alaternus-type","Erica"
NA,NA,NA,7,1,1,1,2,2,2,2,3,3,3,3,4,7,12,13,13,30,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,11,NA,NA,2,6,1,NA,9,NA,4,2,9,38,3,5,NA,2,NA,1,1,1,1,1,1,1,1,3,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,8,2,NA,1,2,2,5,15,1,3,3,15,10,11,11,26,10,30,36,NA,1,1,NA,NA,NA,NA,1,NA,1,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,6,3,NA,5,NA,3,17,25,8,2,14,8,NA,33,42,85,38,56,134,NA,NA,NA,NA,NA,NA,NA,1,6,5,2,1,1,3,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,2,2,NA,21,NA,1,23,14,8,6,7,2,43,7,87,10,13,44,35,NA,NA,NA,1,NA,NA,1,4,4,1,NA,NA,NA,5,3,NA,NA,NA,NA,1,1,1,1,1,2,2,3,4,8,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,1,4,1,4,1,6,15,10,14,1,5,4,6,12,116,6,10,39,41,NA,NA,NA,NA,NA,2,2,NA,5,NA,NA,NA,NA,9,1,NA,NA,NA,NA,1,1,NA,NA,NA,2,1,NA,NA,6,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
NA,NA,NA,13,5,NA,10,3,4,28,17,10,6,20,6,11,61,32,57,46,83,179,NA,NA,NA,1,NA,NA,NA,1,16,16,NA,3,2,6,NA,NA,1,5,NA,NA,1,NA,NA,NA,NA,1,NA,NA,5,NA,2,NA,NA,NA,NA,NA,1,1,1,1,3,4
