"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Pollen concentration","Pediastrum","Betula","Polygonum aviculare-type","Ranunculus undiff.","Brassicaceae","Mentha-type","Rhamnus","Sparganium","Plantago maritima","Daphne","Teucrium","Ephedra distachya-type","Ephedra fragilis-type","Ranunculus arvensis","cf. Tsuga","cf. Gentianella-type","Gundelia-type","Pteridium","Picea","Alnus","Fraxinus","Ranunculus acris-type","Hippophaë","Hypericum","Salix","Bistorta officinalis-type","Helianthemum","Urtica-type","Liliaceae","Juniperus","Centaurea solstitialis","Sanguisorba minor-type","Potamogeton","Tamarix","Caryophyllaceae","Thalictrum","Apiaceae","Rosaceae","Pistacia","Filipendula","Olea","Cyperaceae","Cichorioideae","Galium-type","Quercus coccifera-type","Rumex","Pinus","Indeterminable (broken)","Plantago lanceolata","Juglans","Poaceae (Cerealia)","Bryophyta sensu lato","Asteroideae","Amaranthaceae","Artemisia","Quercus","Poaceae","Lycopodium spike","Myriophyllum","Tilletia","Acer","Centaurea cyanus","Cousinia-type","Onosma","Fabaceae","Plantago undiff.","Botryococcus","Centaurea undiff.","Polygonum sensu lato undiff.","Ulmus","Sisyrinchium","Polypodiaceae","Bupleurum","Indeterminable (unknown)","Tilia","Carpinus","Polygonum oxyspermum","Corylus","Abies","Lamiaceae","Papaver","Carpinus orientalis","Prunus-type","Secale","Carpinus betulus","Fagus","Cannabis-type","Herniaria-type","Onobrychis","Allium","Castanea","Anemone coronaria-type","Campanulaceae","Hedera","Turgenia","Potentilla-type","Vitis","Dipsacoideae","Symphytum","Ericaceae","Erodium","Tetraëdron","Cedrus","Populus","Typha angustifolia","Euphorbia","Hydrocharitaceae","Ranunculus parviflorus","cf. Acanthaceae","Saxifraga","Scrophulariaceae","Plumbaginaceae","Sanguisorba officinalis","Eryngium","Leontice","Platanus","Fagopyrum","Utricularia","Papaveraceae","Pleurospermum","Linum","Knautia","Pulmonaria-type","Succisa-type","Atraphaxis","Armeria","Plantago coronopus","Persicaria maculosa-type","Iridaceae","Rheum","Aesculus","Capsicum-type","Bongardia","Boraginaceae","Echium"
52,NA,NA,5,16245,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,4,4,4,4,4,5,5,6,7,10,10,13,13,14,15,15,15,16,17,23,24,26,27,41,46,50,89,154,197,233,312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
221,NA,NA,13,19083,1,NA,NA,2,1,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,4,NA,2,1,NA,2,NA,NA,1,3,5,22,NA,8,2,NA,4,10,12,7,9,5,3,6,12,6,11,8,19,31,11,11,66,15,26,66,151,142,230,223,1,1,2,2,2,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
391,NA,NA,21,32121,1,4,NA,2,4,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,NA,NA,NA,1,3,NA,NA,4,2,6,1,3,1,3,3,4,30,5,8,10,4,8,8,62,7,27,31,27,8,14,79,23,37,77,112,141,358,163,NA,NA,1,NA,NA,NA,NA,4,1,1,1,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
560,NA,NA,29,17583,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5,4,NA,NA,NA,NA,1,1,NA,5,3,4,NA,3,2,9,7,8,7,7,4,6,6,5,17,4,37,12,6,13,13,15,19,40,59,126,100,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
729,NA,NA,37,20648,4,NA,2,1,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,4,2,NA,3,NA,9,1,4,5,8,9,1,12,3,3,9,11,13,9,11,10,NA,19,6,27,NA,33,66,105,107,195,162,NA,NA,NA,NA,NA,NA,NA,3,NA,6,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
899,NA,NA,45,33261,NA,NA,1,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3,1,1,3,3,NA,NA,NA,1,NA,1,1,1,1,NA,4,8,6,3,3,4,1,1,4,2,21,3,1,13,16,10,18,5,14,54,90,73,114,69,NA,NA,3,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1068,NA,NA,53,30745,1,12,4,1,4,1,1,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,6,3,3,3,NA,2,NA,NA,2,5,NA,6,3,2,NA,1,6,4,12,2,2,7,7,9,7,12,8,15,18,25,11,16,69,9,27,87,137,179,265,301,NA,NA,NA,NA,NA,2,NA,3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1238,NA,NA,61,26150,3,3,1,1,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,5,2,3,NA,NA,1,NA,1,NA,NA,3,NA,4,1,NA,2,2,8,1,2,3,3,6,4,9,11,4,11,20,8,14,27,5,14,24,62,145,131,97,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1407,NA,NA,69,19668,NA,1,NA,NA,NA,1,NA,NA,1,2,NA,NA,NA,NA,NA,NA,1,NA,2,NA,1,NA,NA,1,1,NA,NA,3,NA,3,NA,3,2,2,5,11,6,3,4,NA,7,6,6,4,11,7,3,9,9,9,15,7,4,33,56,100,120,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1576,NA,NA,77,36989,1,5,4,NA,NA,NA,3,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,8,2,1,NA,1,2,NA,NA,4,3,5,7,3,NA,NA,NA,5,10,6,1,NA,6,10,1,2,9,NA,23,17,22,NA,8,25,3,18,56,68,147,134,79,NA,NA,2,NA,NA,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
