Depth (cm) [cm],Sample Age (cal yr AD) [cal yr AD],Pyrite,charcoal,Aaronsohnia-type pubescens,Acacia,Acalypha,Acanthaceae undiff.,Achyranthes-type,Adansonia digitata,Adenium obesum-type,Aerva/Cornulaca,Aerva-type javanica,Aeschynomene,Afzelia africana-type,Aizoaceae undiff.,Albizia-type,Alchornea,Allophylus,Amaranthaceae/Chenopodiaceae undiff.,Amaranthus/Chenopodium-type,Ambrosia-type maritima,Anacardiaceae undiff.,Anacardium occidentale,Anogeissus-type leiocarpus,Anthostema-type senegalense,Apiaceae undiff.,Artemisia,Arthrocnemum macrostachyum-type,Asteraceae undiff.,Atractylis-type,Atriplex-type,Avicennia,Azolla,Balanites aegyptiaca-type,Brassicaceae undiff.,Bridelia ferruginea-type,Calligonum polygonoides,Caperonia,Cardiospermum halicacabum-type,Caryophyllaceae undiff.,Cassia-type,Casuarina equisetifolia-type,Ceiba pentandra,Celosia-type,Celtis,Centaurea-type perrottetii,Cerastium-type,Ceratopteris cornuta,Chrysobalanus icaco/Parinari,Cichorieae undiff.,Cissus,Citrus,Clausena anisata,Cleome-type,Cleome-type gynandra,Cocculus,Combretaceae undiff.,Combretum-type aculeatum,Combretum-type molle,Commelina-type benghalensis,Commiphora,Convolvulus-type,Cyperaceae undiff.,Daniellia,Detarium senegalense-type,Dialium,Dichrostachys cinerea-type,Elaeis guineensis,Ephedra fragilis-type,Eriosema-type,Erodium,Euphorbia-type,Fabaceae undiff.,Faidherbia albida,Ficus,Flabellaria-type paniculata,Gomphrena,Grewia-type,Heliotropium-type lithospermoides/Echiochilon-type verrucosum,Hymenocardia acida-type,Hypoestes-type,Ipomoea-type,Isoberlinia-type,Ixora-type brachypoda,Keetia-type cornelia,Kohautia,Lamiaceae undiff.,Lannea-type,Lepidagathis,Lepistemon owariense-type,Lophira alata-type,Lotus,Lycopodium,Lygodium microphyllum,Macaranga-type,Maerua-type,Mallotus-type,Margaritaria discoidea,Matricaria-type,Meliaceae undiff.,Mimosa pigra-type,Mimosaceae undiff.,Mitracarpus villosus,Mitragyna-type inermis,Monocotyledoneae undiff.,Monoletes ornée,Monoletes undiff.,Morelia senegalensis,Nauclea-type,Nymphaea lotus-type,Parkinsonia,Pavetta,Phoenix reclinata-type,Phyla-type,Phyllanthus-type maderaspatensis,Phyllanthus-type reticulatus,Piliostigma,Poaceae undiff.,Polycarpaea-type,Polycarpon-type,Polygala-type,Polygonum senegalense-type,Prosopis-type africana,Psydrax-type subcordata,Pteris-type,Resedaceae undiff.,Rhizophora,Rubiaceae undiff.,Rumex,Ruppia maritima,Salix,Salvadora persica-type,Sapotaceae undiff.,Spermacoce-type,Spermacoce-type radiata,Suaeda,Syzygium-type guineense,Tamarindus-type indica,Tamarix,Tapinanthus-type,Tetracera alnifolia-type,Tiliacora-type funifera,Treculia africana-type,Tribulus,Trilepisium-type madagascariensis,Triletes undiff.,Typha,Uapaca,Urticaceae undiff.,Vangueria-type,Zanthoxylum-type,Zanthoxylum-type zanthoxyloides,Ziziphus-type,Unknown,Undeterminable,Dinoflagellate,Foraminifera,Coppepod eggs,Anthocerotaceae,Botryococcus,Pediastrum,other Algae,Zygnemataceae,Coelastrum,cf Olea africana,Gloeotrichia,Tuberculodinium vancampoe
9.5,2001.877551,,,9,,,,,,,1,,,,,,,,2,13,,,,5,,,,,1,,,16,,,1,,,,,1,5,1,,,,,,1,,1,,,,,,,2,,,,,1,62,,1,,,,,,,,1,,,,5,,,,,,,,,,1,,,,,,,,,,,,,1,,,1,3,,,1,,,17,,,2,,,,,378,3,,,,,,,,62,,,,1,,,,,2,1,,12,,,,,,,1,19,,,,,,,6,16,3,8,17,,10,,,,,,,
29.5,1974.938776,,,14,1,,,,1,,1,,,,,,4,,4,2,1,,,3,,,,,,,,36,,,,,,,,,3,,1,,1,,,5,,1,,,,,,,,,,,,,45,,,,,,,,,,,,,,1,,,,,,,,,,1,,2,,,,,,,,,,1,,,,,1,,,,,,4,,,,,,,,493,6,,,,,,,5,56,,,,,,,,3,3,,,,,,,,,,,4,2,,,,,,3,,,,,,,,,,,,,
39.5,1961.469388,,,14,,,,1,,1,1,,,,2,,,,4,3,1,,,8,,,,,,,,20,,,,,,,,1,3,,,,,,,1,,,,,,2,,1,,,,4,1,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,2,2,,,2,,,4,,,,,,,,271,,,,,,,,,42,,,,,2,,,,3,,,7,,,,,,,,5,,1,,,,,6,12,1,2,2,1,2,,,,,,,
49.5,1948,,,7,,,,,1,,1,,1,,,,,,3,1,,,,1,,,,1,,,,20,,,1,2,,,,1,1,1,,1,3,1,,1,,,8,,,,,,,2,2,1,1,,40,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,1,,,,1,,,,1,,,4,,,1,,,,,336,2,,,,,,,,92,,,,,,,2,,2,,,2,,,,,,,,4,,,,,,,1,12,1,14,,,,1,,,,,,
59.5,1911.822394,,,19,1,,,,1,,2,,,,,,,,3,,,,,1,,,,,,,1,29,,,,,,,,,1,,,,2,,,,,,,,,,,,,2,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,,1,,,7,,,,,,,,226,,,,,,,,,90,,,,,1,,,1,1,,,,,,,,,,,2,1,,,,1,,3,7,,7,3,,10,2,,1,1,,,
69.5,1875.644788,,,20,,,,,,,1,,,,4,,,,1,4,1,,1,2,,,,,1,,,33,,1,1,,,,,,1,,,,3,,,,,1,,,,,,,,2,,,1,,15,,,,,1,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,3,1,,,,,1,1,,,2,,,,,130,,,,,,,,1,114,,,,1,,1,,,2,,,,,,,,,,,3,1,,,,,,2,11,2,2,2,1,1,,,1,,,,
79.5,1839.467181,,,15,,,,,,,1,,,,1,,5,,4,4,,,,2,,,,,3,,,33,,11,,,,1,,,3,,,,2,,,,,,,,,1,,,,1,2,,,,21,,,,,,,,,2,,,,,,,,,,,,,1,,13,,,,,,,,,,,,1,,,,2,2,,1,1,,,3,,,,,,,,131,2,,,1,,,,,171,,,,,,,1,2,2,,,2,,,,,,,,5,1,,,,1,,11,13,,1,,1,2,3,,,1,,,
89.5,1803.289575,,*,47,1,,,,2,,,,,,8,,,,,1,1,,,,,,,,1,,,91,,1,,,,,,,1,,1,,9,,,1,,,,,,2,,,,,1,,2,6,18,,,,,,1,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,1,,1,,,5,,,,,,,,78,,1,,,,,,,168,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,6,,,,,3,,,,1,,,
99.5,1767.111969,,,4,1,,,,,,2,,,,,1,3,,3,2,3,,,10,,1,,,,,,8,1,1,,1,,,,,2,,1,,6,,,,,,,,,2,,,,,2,,1,,37,1,1,,,1,,,,,1,1,1,,,1,,,,,,,,,,,1,,,2,,,,,,,,,,,3,5,,1,2,,,,,1,,,,,,232,,,,,,,,,74,1,,,1,3,2,,2,6,3,,1,,,,,,,2,6,,,,,,,7,7,,,,5,,,,,,,,
109.5,1730.934363,,,2,4,1,1,,,,5,,,,,,1,,8,4,1,,,4,,,,,,,,4,,,1,2,,,,,,,,,3,,,,,,,,,,,,,2,2,,,,36,,,,,,,,,,,,,,,,,1,,,,,,,2,1,,,,,,,,,,,1,,1,,2,14,1,,1,,,1,,,,,,,,255,3,,,,,,,,63,,,2,,,,,2,3,1,,,,,,,,,,5,8,1,,,,,,5,4,,,4,12,2,,1,,,,
