"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Liliaceae","Juglans","Amaranthaceae","Plantago","Polygonum","Amaranthaceae (small)","Pediastrum","Unknown (monolete)","Salix","Ambrosia","Lamiaceae","Cistus","Cichorieae","Fabaceae","Asteraceae","Rosaceae","Stellaria","Castanea","Thalictrum","Rumex","Quercus coccifera","Unknown","Juniperus","Cyperaceae","Brassicaceae","Pinus","Indeterminable","Poaceae","Artemisia","Olea","Ericaceae","Polemoniaceae","Populus","Ephedra fragilis","Pinus (large)","Apiaceae (small)","Sporormiella","Alnus","Brassica","Caryophyllaceae (small)","Apiaceae (large)","Silene","Pinus (small)","Poaceae (large)","Poaceae (small)","Fraxinus","Pistacia","Quercus (deciduous)","Unknown (trilete)","Campanula","Cirsium","Quercus ilex","Zea mays","Papaver","Humulus","Quercus","Boraginaceae","Erodium","Acer","Ranunculus","Solanaceae","Athyrium","Isoëtes","Ophioglossum","Dryopteris","Morus","Astragalus","Pteridium","Buxus","Melampyrum","Apiaceae (medium)","Galium","Apiaceae","Huperzia selago","Osmunda","Phillyrea","Limonium","Illecebrum","Trifolium","Botrychium","Saxifraga","Symphoricarpos","cf. Geum","Potamogeton","Quercus rotundifolia","Sedum","cf. Mentha","Scrophulariaceae","Phyteuma","Geranium","cf. Rhamnus","Sarcobatus","Polygonaceae","cf. Gentiana","Cedrus","Primulaceae","Ononis-type","Mimulus","cf. Ilex","Androsace","Ostrya","Betula","Urtica","Lonicera","Rubus","Thymelaea","Smyrnium","Celtis","Helianthemum","Ulmus","Malvaceae","Cryptogramma","Eryngium","Trollius","Botryococcus","Caltha","cf. Oxyria","Corylus","Stachys","Caryophyllaceae (large)","Elodea","Apiaceae (apiculate)","Koenigia","Pedicularis","Hypericum","Typha (tetrad)","cf. Rhus","cf. Picea","Onagraceae","cf. Cornus"
-54,NA,NA,0.25,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,4,4,5,8,8,10,11,11,34,36,41,44,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-44,NA,NA,2.25,NA,NA,NA,1,NA,5,2,NA,NA,NA,NA,NA,6,3,1,1,NA,7,NA,3,NA,9,5,10,NA,25,27,60,54,103,1,1,1,1,1,1,1,2,2,4,4,6,7,26,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-36,NA,NA,3.75,NA,NA,2,5,NA,4,3,NA,NA,NA,1,NA,10,1,NA,NA,NA,4,NA,3,NA,4,2,6,NA,11,23,59,69,69,NA,NA,NA,NA,1,1,NA,NA,NA,5,NA,8,5,28,31,1,1,1,1,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-29,NA,NA,5.25,NA,NA,NA,1,NA,6,NA,1,NA,NA,2,NA,16,2,NA,NA,NA,2,8,NA,NA,5,10,6,1,9,32,42,103,25,NA,1,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,NA,NA,7.25,NA,NA,1,1,NA,6,1,2,3,1,NA,1,20,2,2,NA,NA,1,3,2,NA,6,5,13,1,4,28,47,118,12,NA,NA,2,NA,NA,NA,2,1,4,NA,NA,10,3,21,26,NA,1,2,NA,NA,NA,3,NA,NA,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,NA,NA,8.75,NA,NA,NA,1,NA,9,NA,3,NA,NA,NA,NA,14,1,2,NA,NA,2,1,3,NA,10,2,8,2,11,51,48,90,7,NA,NA,2,NA,1,NA,3,NA,7,2,1,8,3,22,26,NA,3,2,2,2,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,NA,NA,10.28,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,25,NA,1,2,1,5,9,1,NA,7,7,8,4,5,29,57,85,2,NA,2,NA,NA,NA,NA,NA,4,NA,NA,NA,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,1,1,1,1,1,3,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
244,NA,NA,12.56,NA,NA,NA,2,1,NA,NA,2,NA,2,1,NA,26,NA,3,NA,NA,2,4,3,NA,7,1,12,10,3,48,51,96,2,NA,NA,3,NA,NA,1,3,NA,7,1,3,10,NA,21,30,1,1,3,NA,NA,2,2,NA,1,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
317,NA,NA,13.68,NA,NA,3,3,NA,7,NA,1,2,NA,NA,NA,18,2,NA,NA,NA,1,6,NA,NA,5,4,9,2,8,21,59,97,2,NA,NA,NA,NA,NA,1,3,1,2,NA,2,7,3,26,33,1,NA,2,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545,NA,NA,15.98,2,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,23,1,3,NA,NA,NA,5,2,NA,8,7,10,NA,8,29,75,66,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,19,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
