Depth (cm),Acacia,Acanthus,Acer,Alchornea,Alnus,Apiaceae,Artemisia,Asphodelus,Betula,Brassicaceae,Caesalpinioideae,Calligonum,Centaurea,Chenopodiaceae/Amaranthaceae,Combretaceae,Corylus,Cyperaceae,Echiochilon,Echium,Ephedra distachia-type,Ephedra fragilis-type,Erica,Erodium,Euphorbiaceae,Fagus,Galium,Gramineae,Gymnocarpos,Gymnosporia,Gypsophila,Helianthemum,Heliotropium,Isoetes,Juglans,Juniperus,Lamiaceae,Lannea,Liguliflorae,Liliaceae,Linociera,Maerua,Malvaceae,Moltkia,Myrica,Olea,Papilionoideae,Pinus,Pistacia,Plantago,Plumbaginaceae,Polycarpaea,Polycarpon,Polycnemum-type,Polygonum,Quercus ilex-type,Quercus pubescens-type,Ranunculaceae,Rhus,Rumex,Salix,Sanguisorba minor-type,Syzygium,Teucrium,Thymelaea,Tilia,Tribulus,Tubuliflorae,Typha,Typha latifolia,Ulmus
12.5,,,,,,3,11,,2,1,,,,79,,16,18,,,2,11,2,,,1,,11,,,,,,1,,11,,,3,,,,,,,,,286,,3,,1,,13,,4,,1,,1,,,,,,,,12,,,1
22.5,,,,,1,,16,,2,,,2,2,84,,28,10,,,6,10,4,,,1,,10,,,,,,,,5,,,1,,,,,,,,,305,,5,,,,2,,2,7,,,2,1,1,,,,,,11,,,
37.5,,,,,2,3,13,,,7,,1,1,102,,13,83,,,2,21,3,,,,,75,,,,1,1,2,1,7,3,,1,1,,,,,,2,,180,4,1,,,,2,1,,12,,5,3,,,,,1,1,,8,5,1,
57.5,,,,1,,2,31,,1,1,1,,,207,,1,55,,,9,78,1,,,,,14,,,,1,1,,,5,2,,3,,,,,,,,,84,,2,,,,31,,4,2,,,2,1,,,,,,,7,,,
77.5,,,,,,1,42,,,2,,,,135,,1,30,,,10,67,,,,,,18,,,1,,,,,4,,,1,1,,,,,,,3,179,,,,,,7,,2,4,,,1,,,,,,,,9,,,
97.5,,,,,1,1,58,,1,1,,1,2,89,,7,17,,1,20,48,4,1,,,,19,,,,,,1,,2,,,4,,,,,,,,1,214,,1,1,,,5,,,11,,1,,,,,,1,1,,6,,,
117.5,,,,,,1,75,,,2,,,,105,,2,6,,1,8,74,8,1,,,1,14,2,,1,1,,1,,5,,,2,,,,,,,,,200,1,2,3,,,16,1,2,,,,,1,1,,,,,,5,1,,
137.5,,,,,,3,71,,,4,,,,150,,1,7,,,7,62,11,,,,,14,,,1,1,,2,,6,,,1,,1,,,,,,,179,,,1,,,6,,,8,,,,,,,,,,,3,,,
177.5,,,,,,2,128,,1,5,1,,,143,,1,11,,,7,33,5,,,,,80,2,,4,2,,2,,5,,3,1,,,,,,,,1,126,2,2,2,,1,35,,1,6,,1,,,,,,1,,,11,,,
217.5,,,,,,1,69,,,1,,,1,117,,3,15,,2,9,65,3,,,,,9,,,,1,,3,,4,1,,2,,,,,,,,,185,,1,2,,,14,,,6,,,1,,1,,,,1,,2,,,
257.5,,,,,,,61,,1,6,,,,238,,5,25,,,11,54,2,,2,,,25,,,,3,2,,,8,,,1,2,,,,,,,,165,,1,,,1,26,,,9,,,1,,,,,1,,,5,,,
297.5,,,,,,,68,,,2,,,,204,,1,22,,,3,59,2,,1,,2,13,2,,5,1,1,,,4,,,1,,,,,,,,1,72,,,,,,23,,2,8,,,3,,,,,,,,10,,,
337.5,,,1,,1,2,68,,,3,,2,,182,,5,31,,,6,47,2,,,,,16,1,,1,1,,,,2,,,3,1,,,,,,,,101,,,,,1,36,,2,4,,,3,,,,,,,,8,1,,
