"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Eucalyptus tablets","Sample quantity","Angiospermae undiff. (herbs)","Cichorioideae","Tilia","Brassicaceae","Ostrya","Helianthemum","Ephedra fragilis-type","Cupressaceae-type","Polypodiophyta (trilete) undiff.","Betula","Cyperaceae","Apiaceae","Acer","Fraxinus excelsior-type","Caryophyllaceae","Anthemis-type","Indeterminable","Artemisia","Carpinus betulus","Amaranthaceae","Ulmaceae","Abies","Pinus","Fagus","Alnus","Poaceae","Quercus (deciduous)","Eucalyptus spike","Thalictrum","Potamogeton","Ephedra distachya","Polypodiophyta (monolete)","Urtica-type","Plantago","Galium-type","Ericaceae","Sambucus","Rosaceae undiff.","Cirsium","Spermatophyta undiff. (trees/shrubs)","Pedicularis-type","Buxus","Picea","Filipendula","Solidago-type","Corylus","Ranunculus","Ilex","Olea","Asphodelaceae","Pteridium","Chrysosplenium-type","Hedera","Pistacia","Mentha-type","Scutellaria-type","Veronica-type","Myriophyllum cf. M. spicatum","Rumex","Equisetum","Centaurea solstitialis-type","Larix","Prunus spinosa","Scrophulariaceae","Saxifragaceae undiff.","Tamarix","Centaurium-type","Vitis","Juglans","Hippophaë","Scilla-type","Centaurea cf. C. cyanus-type","Digitalis-type","Allium-type","Typha angustifolia","Viscum","Poterium sanguisorba subsp. sanguisorba","Typha latifolia","Vicia-type"
78740.5,NA,NA,47,"30600, 1","0.5","1","1","1","1","1","1","1","1","1","2","2","2","2","2","3","3","3","5","7","8","13","15","25","40","49","78","85","460","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
78818.6,NA,NA,62.625,"42500, 1","0.5","","","","1","1","","","","","","1","1","","","3","6","3","19","2","6","2","2","9","5","7","121","10","1040","1","1","1","1","2","3","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
78820,NA,NA,62.9,"42500, 1","0.8","1","2","","5","","1","","","","1","","3","1","1","4","4","13","46","6","13","4","6","17","30","37","243","46","671","1","","","","","3","7","1","1","1","1","1","1","1","2","2","2","3","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
78821.5,NA,NA,63.2,"42500, 1","0.8","","2","2","6","4","1","2","2","","4","2","2","6","","1","8","26","40","10","31","15","45","41","26","56","244","86","675","4","1","","","1","2","7","","2","1","1","1","","1","","","4","","1","1","1","1","1","2","4","","","","","","","","","","","","","","","","","","","","","","","","","",""
78823.9,NA,NA,63.675,"42500, 1","1.1","","10","1","6","6","1","","","","4","","3","9","","","6","31","16","9","32","5","33","37","36","72","104","136","840","2","","","1","1","4","3","","1","","","","","","","1","","1","3","1","1","","","2","2","1","1","1","1","1","2","2","3","","","","","","","","","","","","","","","","","",""
78826,NA,NA,64.1,"42500, 1","0.8","","1","1","10","4","1","1","","","3","","4","2","2","8","11","12","42","1","12","2","3","26","9","5","198","20","671","1","1","1","","1","6","13","","","","1","","","","","","9","4","2","","1","","","","","","","","","","","","1","1","1","","","","","","","","","","","","","","","",""
78827,NA,NA,64.3,"42500, 1","0.6","","1","","1","1","","1","","","1","2","1","1","","10","1","11","9","1","7","1","4","6","4","","96","3","661","1","","","","1","1","8","","","","","","","1","","","2","2","","","1","","","","","","","","","","","","","","","1","1","1","1","","","","","","","","","","","",""
78828.3,NA,NA,64.55,"42500, 1","1.2","2","3","","3","1","","","","","","2","","","","5","15","17","45","3","12","1","6","22","6","6","295","16","782","","","","","","1","9","","","","4","","","","","","8","","1","","","","","2","1","","","1","","","1","2","1","","","","","","1","1","1","1","1","1","2","","","","","",""
78831,NA,NA,65.1,"42500, 1","1.6","","9","","2","2","","2","","","","1","4","1","","6","11","16","27","1","9","2","11","9","6","21","129","34","390","2","","1","1","","1","5","","","","","","","","","2","1","","","","","","","","","","1","","","","4","","1","","","","","","","","","","","","","1","1","1","1","",""
78836.8,NA,NA,68.25,"96000, 1","0.8","","","","5","1","1","2","","3","4","1","","1","","2","5","4","21","","6","4","6","33","4","14","181","24","99","1","","1","1","","","5","","","","4","","","","","","","2","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","1","1"
