"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Caryophyllaceae","Castanea","Polygonum aviculare-type","Salix","Thalictrum","Apiaceae","Xanthium","Lythrum","Liliaceae","Fabaceae","Stachys-type","Hydrocotyle","Potamogeton","Malva","Plantago lanceolata-type","Juniperus","Olea","Pterocarya","Clematis-type","Hypericum perforatum-type","Noaea-type","Scrophularia/Verbascum","Carthamus","Poterium sanguisorba","Unknown","Polypodium","Caltha","Platanus","Ranunculus undiff.","Cornus","Rumex acetosa-type","Humulus/Cannabis","Poaceae (Cerealia-type)","Cedrus","Dryopteris-type","Ericaceae","Ulmus","Rhamnus","Brassica-type","Capsella-type","Ostrya/Carpinus orientalis","Myrtus","Isoëtes","Pteridium","Liquidambar","Centaurea solstitialis-type","Alnus","Matricaria-type","Cichorioideae","Pistacia","Artemisia","Myriophyllum spicatum/M. verticillatum","Gossypium","Nymphaea","Amaranthaceae","Quercus","Poaceae","Cyperaceae","Sparganium-type","Pinus","Scrophulariaceae","Vitis","Juglans","Gentiana","Persicaria maculosa-type","Papaver","Helianthemum","Oleaceae","Thymus/Mentha","Viburnum-type","Lysimachia","Datisca","Ferula-type","Equisetum","Asteroideae","Lemna","Bistorta officinalis-type","Rhinanthus-type","Phillyrea","Echium-type","Scabiosa columbaria-type","Trifolium-type","Geranium","Sambucus","Populus","Rosaceae","Ephedra fragilis-type","Solanum dulcamara","Dipsacus-type","Botrychium","Rhus","Ranunculaceae","Galium-type","Filipendula","Fraxinus excelsior","Plantago coronopus-type","Bunium-type","Corylus","Euphorbia","Fraxinus ornus","Mercurialis annua","Fagus","Urtica dioica-type","Sphagnum","Abies","Typha latifolia","Ranunculus repens-type","Armeria/Limonium","Campanula-type","Betula","Alisma","Quercus ilex-type","Plantaginaceae","Carpinus betulus","Gypsophila","Sisyrinchium","Cheilanthes","Taxus","Maianthemum","Cousinia","Cirsium/Gundelia","Vicia-type","Turgenia-type","Pterocephalus-type","Osmunda regalis","Ophioglossum","Tilia","Convolvulus","Pteris","Arctium/Jurinea","Filago-type","Centaurea scabiosa-type","Lomelosia rotata-type","Ephedra distachya-type","Viscum","Trollius","Valerianella","Carya","Halothamnus-type","Fumaria","Brassicaceae","Polygonaceae","Centaurea cyanus-type","Melampyrum","Ranunculus asiaticus-type","Asperula-type","Potentilla-type","Oxalis","Calystegia","Nigella","Bupleurum-type","Ruppia","Cistus","Asphodelus","Rumex hydrolapathum","Mercurialis perennis","Onobrychis-type","Sanguisorba officinalis","Matthiola","Asparagus-type","Butomus umbellatus","Knautia","Anthoceros laevis-type","Cotinus coggygria","Lycopodium","Urtica pilulifera-type","Tamarix","Jasione-type"
2,467,-458,5,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","3","3","3","3","3","3","3","3","3","4","4","5","5","6","6","7","7","11","16","20","65","74","128","162","536","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
30,470,-404,10,"","","","","1","4","","2","2","2","1","1","1","","10","3","7","","","1","","1","","2","2","","","5","3","1","","2","3","2","1","2","7","1","","1","","3","1","3","8","9","8","2","16","2","11","11","1","15","24","60","129","182","197","684","1","1","1","1","1","1","1","1","1","1","2","2","2","2","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
87,475,-296,20,"","","","","","","","","","2","","","","","8","3","6","","","1","1","","","5","3","","","4","","","3","2","4","1","1","","6","","1","","","3","1","8","2","1","4","2","16","5","4","3","","10","24","66","88","158","170","555","1","1","","","","","","2","4","1","2","1","","2","1","1","1","1","1","1","1","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
144,481,-187,30,"","","","","","4","","","","1","","1","3","","4","","4","","","4","","","","","","","","3","","","","","3","1","2","2","4","","1","","1","1","2","5","2","9","6","","7","1","10","1","","4","56","59","118","114","344","331","","4","","","","","","","","1","1","2","1","2","4","","","","2","","","","1","1","1","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
201,487,-79,40,"","","","","1","2","","","","1","1","","2","","6","3","5","","","2","1","","","1","","","","1","","1","1","","1","2","","1","4","2","","1","","1","","1","5","7","3","1","6","2","4","1","","1","10","28","53","131","215","228","","4","","","","","","2","","","1","3","","","1","","","","","","","1","","1","","","1","2","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
258,492,28,50,"","1","1","","","3","2","","","3","","","1","","6","2","6","1","","3","","","","5","1","","","1","1","","2","","1","1","","1","4","1","1","2","","2","","1","4","2","9","","6","4","5","2","","5","18","46","61","186","295","129","","4","","","","","","","1","","","2","1","2","3","","","1","1","","","1","","","","","","1","","","","","1","1","1","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
314,497,136,60,"1","","","1","","1","","","","4","","1","","","6","1","1","","","3","1","","","4","","","","2","","1","","","2","","","","1","2","","","","2","","2","3","1","6","2","2","2","4","","","","11","46","62","130","738","231","","5","","","","","","","","","","2","","","1","","","","","","","","1","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
371,502,242,70,"2","","","3","","1","","","","","","1","","","","","1","","","2","","","","3","","","","1","","","","","1","","1","1","3","1","1","3","","","","","","1","3","1","1","1","4","","","","4","20","16","52","366","102","","4","","","","","","","","","1","","","","1","","","","","1","","","","","","","","","","","","","1","","1","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
485,520,448,90,"","1","","","","3","","","","","","","","","1","","1","","","","1","","","","","","","","","1","1","","2","46","","2","2","","","","1","2","","2","","1","2","","1","2","6","","","26","7","35","35","48","167","165","","1","1","","","","","","","","","","","","1","","","","","","","","1","","","","","1","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
606,631,580,105,"","","","","","2","1","","","1","","","","","3","1","2","","","","","1","","2","","","","","","","","","2","4","1","","2","","","","","1","","","7","11","3","1","","2","6","1","","19","9","10","93","121","209","202","","6","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
