"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Lycopodium tablets","Pseudoschizaea","Castanea","Myriophyllum","Vitis","Alnus","Centaurea","Dipsacoideae","Puccinia","Polygonum aviculare-type","Pistacia","Rubiaceae","Rhamnus","Apium","Quercus (deciduous)","Thymelaeaceae","Tilletia","Caryophyllaceae","Urticaceae","Phillyrea","Pinus pinaster","Cistaceae","Cupressaceae","Ericaceae","Typha","Genista-type","Fabaceae","Lamiaceae","Pteridophyta","Amaranthaceae","Olea","Plantago","Riccia","Unknown (type 128, HdV)","Quercus (evergreen)","Pinus","Indeterminable (unknown)","Sordariaceae","Cyperaceae","Asteraceae undiff.","Artemisia","Fungi","Zygnemataceae","Poaceae","Glomus","Charcoal","Lycopodium spike","Berberis","Salix","Ephedra","Brassicaceae","Fraxinus","Cedrus","Rumex crispus-type","Betula","Acer","Liliaceae","Corylus","Buxus","Lonicera"
334.8,NA,NA,25,"12542, 2","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","3","3","3","3","5","5","5","5","5","7","7","8","10","10","11","12","15","15","18","19","19","24","30","35","42","72","80","132","409","160","","","","","","","","","","","","",""
404.4,NA,NA,27,"12542, 2","3","","","","","2","","","3","","","3","3","","2","1","5","1","2","2","7","1","2","7","9","8","3","13","7","11","12","10","16","20","13","19","12","40","39","31","59","84","76","141","978","157","1","2","3","5","","","","","","","","",""
509.3,NA,NA,30,"12542, 2","","","","4","","","","","2","3","1","1","1","3","2","1","4","4","","2","5","13","4","5","7","1","9","11","6","12","15","9","12","22","15","12","15","52","40","34","88","90","125","125","999","180","2","5","2","3","1","1","2","","","","","",""
676.9,NA,NA,34,"12542, 2","2","","","","","3","","","4","5","","","6","5","3","","3","3","5","1","10","7","6","6","6","3","7","5","9","15","12","2","9","17","20","17","4","41","36","30","55","69","81","82","1170","160","2","3","","","1","","","2","","","","",""
797.6,NA,NA,37,"12542, 2","3","","","","","","","3","2","1","","1","","","3","","6","","","1","3","8","5","5","8","","4","3","9","9","16","2","12","23","28","14","7","35","28","25","59","58","109","96","1259","166","","","1","","","","","","","","","",""
918.3,NA,NA,40,"12542, 2","","","5","2","","","","3","1","","","2","12","","2","","5","2","1","2","5","6","3","4","4","6","5","15","8","16","8","4","14","27","20","15","12","55","41","27","44","60","90","116","1008","167","","2","2","","1","","","2","","","","",""
1076.3,NA,NA,44,"12542, 2","","","3","","1","3","","4","1","2","","","11","3","3","3","2","1","","2","7","2","12","12","5","7","3","6","13","10","15","2","11","14","19","14","8","37","47","31","78","75","86","115","1654","186","","2","2","2","","","5","","","","","",""
1197.2,NA,NA,47,"12542, 2","2","","4","","1","","","","2","3","","1","5","2","5","","5","","2","3","10","12","3","4","6","4","2","4","12","14","9","2","17","24","21","16","21","32","38","30","59","33","107","125","1298","198","1","1","1","","1","","","","1","","","",""
1277.6,NA,NA,49,"12542, 2","","1","","1","","","","2","3","2","3","2","6","6","3","","5","2","","2","5","3","5","5","3","5","9","15","12","7","9","1","18","27","36","17","9","49","20","13","50","48","102","110","1176","190","","3","2","","","","","","","2","","",""
1386.1,NA,NA,52,"12542, 2","3","","","2","","","","","5","2","4","","6","7","2","","4","3","","1","7","5","8","12","7","","3","4","9","6","10","","20","26","31","12","8","46","19","30","66","59","86","118","2007","151","","","","","","","","","","","","",""
