"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Lycopodium tablets","Sample quantity","Sordaria-type","Plantago major/P. media","Anthemis-type","Centaurea nigra-type","Ligustrum vulgare-type","Rosa-type","Pedicularis sylvatica-type","Unknown","Sporormiella-type","Gentianaceae","Cichorioideae","Potentilla-type","Lonicera periclymenum-type","Cedrus","Olea europaea","Juniperus-type","Fraxinus angustifolia-type","Plantago lanceolata-type","Ranunculus","Quercus ilex-type","Quercus pyrenaica-type","Cyperaceae","Poaceae","Pinus","Pollen concentration","Lycopodium spike","Cercophora-type","Bistorta officinalis-type","Aster-type","Erica arborea-type","Scrophulariaceae","Rumex acetosa-type","Ericaceae undiff.","Apiaceae","Populus","Paronychia-type","Artemisia vulgaris-type","Betula pubescens-type","Herniaria glabra-type","Sagina procumbens-type","Pistacia","Plantaginaceae","Secale","Calluna vulgaris","Plantago coronopus-type","Sambucus nigra-type","Sanguisorba minor-type","Viburnum lantana-type","Cistus-type","Unknown (monolete)","Brassicaceae","Poaceae (Cerealia-type)","Lotus-type","Pteridium aquilinum","Campanulaceae","Podospora-type","Viburnum opulus-type","Alnus glutinosa-type","Amaranthaceae","Arenaria serpyllifolia-type","Genista-type","Parnassia palustris","Allium-type","Cirsium-type","Rhinanthus-type","Urtica pilulifera","Unknown (trilete)","Thymelaeaceae","Urtica dioica-type","Illecebrum verticillatum-type","Spergula arvensis-type","Moehringia trinervia-type","Liliaceae undiff.","Rubiaceae","Scilla-type","Fabaceae undiff.","Hypericum perforatum-type","Sparganium erectum-type","Ulmus","Crocus","Eryngium campestre-type","Vitis vinifera","Resedaceae","Corrigiola litoralis-type","Filipendula vulgaris-type","Erica tetralix-type","Trifolium-type","Caryophyllaceae undiff.","Sedum-type","Helianthemum-type","Ophioglossum-type","Pseudoschizaea","Silene vulgaris-type","Vicia/Lathyrus-type","Rosaceae","Fagus sylvatica","Salix","Sanguisorba officinalis","Centaurea cyanus-type","Stachys-type","Polygonum aviculare-type","Phillyrea angustifolia-type","Prunus-type","Daucus carota-type","Rhamnus","Alisma plantago-aquatica-type","Hypericum elodes-type","Echium vulgare-type","Cryptogramma crispa","Crataegus-type","Bupleurum","Convolvulaceae","Sorbus-type","Seseli libanotis-type","Ilex aquifolium","Equisetum","Lythrum portula-type","Succisa pratensis-type","Heliotropium europaeum-type","Ranunculus arvensis-type","Hedera helix-type","Geranium molle-type"
11,NA,NA,40,"13911, 2","0.9, 1","2","","3","","","2","","1","10","","34","1","","","7","4","2","3","3","4","6","19","133","107","61637.015625","163","","","","","","2","4","","","","","","","1","","","2","","","","","","","","","3","1","2","","2","","","1","1","1","5","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
21,NA,NA,44,"13911, 2","0.7, 1","","2","3","","","","","2","","","26","1","","","3","4","1","1","9","5","11","24","150","80","58257.41796875","219","","","","","","6","","4","2","","3","","","","","","1","1","","1","","","","","2","3","4","2","1","","1","","","","","3","","","","","","","1","","","","","","","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
31,NA,NA,48,"13911, 2","0.8, 1","4","2","4","","","","","","9","","26","","","","","","","5","6","2","2","8","163","83","163658.828125","68","","","2","1","2","11","2","2","","","1","","","7","","","","","","","","","1","","","2","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
42,NA,NA,52,"13911, 2","0.9, 1","3","","4","","","","","1","7","1","33","2","","","3","3","","1","4","3","9","12","178","56","116113.4921875","82","1","","1","","","","2","","","","1","","","2","","","3","","1","","","","","","","","3","","","1","","","","","","2","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
54,NA,NA,56,"13911, 2","0.8, 1","1","2","","","","","","2","1","2","25","2","","","3","5","","1","2","","4","20","149","89","63323.1953125","173","","","","5","","7","","3","","","","","","2","","","","","","","","","","","4","2","1","","1","","","","1","","3","","","","","","","","1","","","","1","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
73,NA,NA,62,"13911, 2","0.8, 1","1","2","2","","","","","","4","","31","3","","","2","6","","1","3","3","10","24","151","73","77177.46875","146","","","3","3","","8","5","2","2","","2","","2","1","","1","","1","","","","","","","","3","1","2","","2","","","1","","","3","","","","","","","","","","","","1","","","","","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
79,NA,NA,64,"13911, 2","0.8, 1","3","","3","","","1","","","5","","34","1","","","3","1","","1","3","4","4","27","167","87","57435.56640625","198","","","1","4","","1","","2","1","","2","","","2","","","2","1","","","","","","","1","","","1","1","","","","","2","","2","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
93,NA,NA,68,"13911, 2","0.8, 1","1","","2","","","","","1","5","","25","","","","2","2","","3","5","6","8","30","126","130","52894.15234375","215","1","","1","3","","2","","1","","","1","","","1","","","1","","","1","","","","","1","1","2","4","2","","","","","1","","5","","","","","","","","","","","","","","","","","1","","","","","","","","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
107,NA,NA,72,"13911, 2","0.6, 1","2","","2","","","","","1","5","","36","3","","1","4","2","1","4","5","3","17","14","137","78","54353.11328125","273","1","","2","","","4","4","2","","1","1","","","3","","","1","","","","","","","1","3","","2","3","","1","","","","","","7","","2","","","","","","","","","","2","","2","","","","","","","","","1","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
123,NA,NA,76,"13911, 2","0.6, 1","5","","1","","","","","2","8","1","39","2","","","2","2","","1","2","2","9","28","164","66","77861.921875","187","","","","1","1","3","4","1","1","","","","1","","","","","2","1","","1","","","","1","2","1","1","","","","","","1","3","5","","","","","1","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
140,NA,NA,80,"13911, 2","0.9, 1","","","3","1","","","","","2","","30","1","","","1","2","1","1","5","4","18","33","125","111","55503.484375","176","","","1","","2","2","1","1","","","4","","","","","","1","1","","","","","","","","1","","3","","","","1","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
158,NA,NA,84,"13911, 2","0.7, 1","6","","1","","","","","2","2","1","34","7","","","3","3","","3","9","3","20","32","127","80","81309.859375","153","1","","1","","1","3","5","2","","","3","","","","1","","1","3","","1","","","","","","","2","3","1","","","","","","","5","","","","","","","","","","","","1","","","","","","","1","","","","","","3","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","",""
177,NA,NA,88,"13911, 2","0.7, 1","9","","3","","","","","1","9","2","36","2","","","1","3","","","9","3","15","17","155","83","46160.8125","285","2","","","","","1","5","5","","","4","","","","","","2","3","","","","","","","4","1","","6","","5","","","","","1","6","","1","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
198,NA,NA,92,"13911, 2","0.9, 1","2","","3","","","","","","3","","31","7","","","","","4","1","5","5","14","21","124","85","39379.2265625","241","2","","1","1","2","3","","1","1","","6","","","4","","","2","3","","","","","","","2","","1","1","","4","1","","","","1","3","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","1","","","1","1","","","","","","","","","","","","","","","","","","","","","","",""
220,NA,NA,96,"13911, 2","0.6, 1","","","3","","","","","1","","3","23","2","","","3","3","","2","","1","14","21","145","75","81147.5","180","","","","2","1","7","","4","1","","3","","","3","","","","1","1","","","","","","2","1","2","4","1","","","","","","3","7","","","","","2","","","","","","","","","","","","","","1","2","","","1","","","","","2","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","",""
245,NA,NA,100,"13911, 2","0.6, 1","10","2","","","","","","","15","","26","2","","1","2","5","","5","","4","13","17","142","67","64875.45703125","218","","","3","2","1","9","5","1","2","","3","","","","","","","1","","","","","1","2","1","1","1","2","","3","","","1","","1","14","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","",""
271,NA,NA,104,"13911, 2","0.7, 1","3","1","3","","","","","1","1","5","23","2","","","1","3","2","1","3","5","12","27","120","87","51515.90625","233","3","","","1","1","5","","","","","6","","","2","1","","3","1","","","","","","1","2","2","2","4","2","1","2","","1","1","","","","","","","1","","","","","","","","","","","","","1","","","","","","","","","","","","","","2","","","","","","","","","1","1","","","","","","","","","","","","","","","","","",""
299,NA,NA,108,"13911, 2","0.6, 1","6","","3","","","","","2","5","1","35","6","","","4","4","1","","1","2","12","31","121","81","52000.64453125","280","","","1","5","1","2","1","3","","","7","","","4","","","","6","","","","","","2","","1","4","3","","5","1","","","","1","12","","","","","","","","","","","1","","","","2","","","","","1","","","","","","","","","","","","1","","","","","","","","","","","1","1","","","","","","","","","","","","","","","",""
328,NA,NA,112,"13911, 2","0.6, 1","3","1","2","","","","","3","2","1","19","1","","1","1","3","","","","8","31","42","113","81","64747.05078125","217","","","1","4","1","4","6","2","1","","7","","","","","","","6","","","","","","","3","1","1","3","","4","","","","","2","6","","","","","","","","","","","","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","",""
358,NA,NA,116,"13911, 2","0.6, 1","","","6","","","","","1","1","2","18","5","","","2","2","1","","12","5","34","29","88","107","43419.18359375","330","","","1","4","1","4","","2","1","","5","1","","2","","","1","2","","","","","","","2","2","","2","","","","","2","1","2","1","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","1","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","",""
373,NA,NA,118,"13911, 2","0.7, 1","1","","","","","1","","","3","","14","3","","","3","3","","","2","7","49","57","106","95","65463.53125","187","","","1","1","","3","3","3","","","3","","1","","","","","","","","","","","2","2","1","1","3","1","","","","1","","2","2","","","","","1","","","","","","","","","1","","","","","","","","","","","","","1","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","",""
402,NA,NA,122,"13911, 2","0.6, 1","1","","4","","","1","","2","2","","18","3","","","","3","1","3","4","3","56","34","97","80","56332.3046875","256","","","1","2","1","2","4","5","1","","7","","","","","","1","1","","","","","","","1","2","","3","","1","","","","","","1","","1","","","","","","","","","1","1","","1","","","1","","","","","","","1","3","","","","","","","3","","","","","","","","","2","","","","","","","","","","","","","","","","","","",""
417,NA,NA,124,"13911, 2","0.6, 1","1","","","","","","","2","6","","22","4","","","1","1","1","3","6","3","47","41","63","115","64918","220","","","","4","1","4","6","2","","","5","","","2","","","1","","","","","","2","2","2","3","2","1","","","","","","","4","6","","1","","1","","","","","1","","","1","","1","","","","","","","","","","","1","","2","","","2","","","1","","","","","","","","","","","1","","1","1","","","","","","","","","","","","",""
432,NA,NA,126,"13911, 2","0.6, 1","","","1","","","1","","","","","20","1","","","2","2","","","5","4","59","45","78","112","71873.5","200","","","2","","2","2","1","","","","8","","","","","","","3","","1","","","","2","1","2","1","1","","","","","","","3","","","1","","","1","","","","","","1","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","",""
447,NA,NA,128,"13911, 2","0.7, 1","1","2","1","","","","","1","","","15","2","","","2","3","1","3","5","8","61","31","73","98","66677.234375","183","","","1","","3","5","","1","","","3","","","","","","","","1","1","","","2","6","","","2","5","","","","","1","","4","","","1","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","2","1","","","","","1","1","","","","","","","","","1","1","1","1","2","","","","","","","",""
462,NA,NA,130,"13911, 2","0.6, 1","1","","1","","","1","1","1","2","","22","2","","","1","5","1","1","4","1","62","46","90","84","50112.140625","285","1","","1","1","2","","1","2","2","","9","","","3","","","1","2","","","","","","3","1","1","","4","","3","","1","","1","","","","1","","","1","","","","","","","","","","","","","","","","","","1","1","1","1","","","","","","2","","","","","","","","","","","1","","","","","","","","","","1","1","","","","","",""
476,NA,NA,132,"13911, 2","0.6, 1","1","","3","","","2","","","1","2","24","3","","","1","2","2","","4","7","30","44","98","83","56466.6953125","248","","","1","4","2","9","1","5","","","9","","","1","","","","","","","","","","","1","1","2","4","","","","","","","1","3","","","","","","","","","","","","2","","2","","","","","1","","","","","1","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
491,NA,NA,134,"13911, 2","0.6, 1","1","2","3","","","","","2","4","","25","3","","","","2","1","1","5","8","55","63","92","83","66393.40625","220","1","","3","3","","2","","2","1","","6","","","1","","","","1","","","1","","","3","1","1","1","2","","1","","","","","1","1","","","","","","","","","1","","","2","","1","","","1","","","","1","","1","1","3","1","1","","","","","1","","","","","","","","","1","","","","","","1","","","","","","","","1","1","","","",""
506,NA,NA,136,"13911, 2","0.7, 1","2","","4","","","","","1","1","1","14","2","","","1","4","","1","8","2","58","69","71","102","38993.4296875","317","","","3","5","1","3","5","2","","","11","","","","","","","6","","","","","","","2","1","","2","1","","","","","","1","1","","","","","","","1","","1","","","","","1","","","","","","","","","","","4","","2","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","1","","",""
521,NA,NA,138,"13911, 2","0.7, 1","2","","3","","","1","","1","3","4","15","4","","","3","4","1","1","5","7","67","46","78","88","66101.1640625","187","","","1","2","1","1","","5","1","","3","","1","","","","","1","","","","","2","4","1","","2","","","","","","1","","3","1","1","1","","","","","","","","","","","","","","","","","","","1","","1","1","1","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1",""
536,NA,NA,140,"13911, 2","0.7, 1","","1","5","","","","","3","1","","17","1","","","1","6","","","5","10","55","56","72","98","65450.82421875","184","","","","4","","4","","","1","","6","1","","","","1","1","1","","","","","2","3","2","2","2","1","1","","","","1","1","1","","","1","","","1","","","","1","","","","","","","","","","","","","","","1","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1"
551,NA,NA,142,"13911, 2","0.6, 1","3","1","1","","","","","1","2","","18","3","","","1","7","1","1","3","7","64","32","80","93","63379.08203125","229","","","1","2","1","6","1","1","1","","8","","","1","","","2","1","","","","","2","3","1","","1","","","2","","","","","4","4","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
565,NA,NA,144,"13911, 2","0.6, 1","4","1","8","","","1","","3","1","2","10","6","","","1","","","1","5","6","57","35","79","103","54552.94140625","272","","","","2","","3","1","3","","","7","","","1","","","1","","","","","","","3","2","3","1","3","","","","","3","","2","2","","3","","","","","","","","","1","2","","","","","","","","","","","1","1","","","1","","","","","1","2","","","","1","","","","2","","","","","","","1","","","","","","","","","","","",""
580,NA,NA,146,"13911, 2","0.6, 1","1","","8","","","","","6","","","9","5","","","","7","","","4","2","42","19","84","54","27777.732421875","419","","","1","","","4","1","4","1","1","10","","1","1","","1","","1","","","","","","2","1","","1","","","1","","","1","","4","1","","1","","","2","","","","","","","","","","","","","","","","","","","","4","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
