depth,Cyperaceae,Liguliflorae,Ephedra fragilis-type,Rhizophora,Tribulus,Cassia-type,Maerua,Rhus,Chenopodiaceae/Amaranthaceae,Indetermines,Terminalia,Calligonum,Gramineae,Combretum,Pinus,Euphorbiaceae,Erica,Brassicaceae,Artemisia,Typha,Balanites,Plantago,Tubuliflorae,Acacia,Tamarix,Boscia,Phillyrea,Ephedra distachya-type,Heliotropium,Rubiaceae,Myrica,Meliaceae,Butyrospermum,Gymnocarpus,Quercus ilex-type,Commiphora,Phyllanthus,Alchornea,Oleaceae,Mitracarpus,Lannea,Celtis,Tilia,Macaranga,Sterculiaceae,Juniperus,Nyctaginaceae,Centaurea jacea-type,Indigofera,Helianthemum,Gypsophila,Corylus,Polycnemum-type,Vitis,Thymelaea,Olea,Capparis,Celastraceae,Paronychia,Xyridaceae,Cleome,Isoetes,Pteridophytae,Zygophyllum,Rhizophora mangle,Polycarpon,Polycarpaea,Canthium,Bridelia,Isoberlinia,Ziziphus,Erodium,Betula,Gaertnera,Polygonum,Gymnosporia,Alnus,Picea,Ceiba,Sphagnum,Rumex,Blepharis,Salvadora,Utricularia
239,11,2,11,,,,,1,48,2,,,13,2,3,,,,8,,,1,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,
241,6,14,21,,,,1,1,280,3,,3,76,1,13,1,,,62,1,,4,25,1,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,3,1,,3,,,,,,3,,,1,1,,,,,,,,
251,4,6,15,,1,,4,2,435,6,,,84,2,5,1,,,66,1,,,33,1,,,1,2,,,,,1,,,,,1,,,,,,,,,,2,,,,1,,,,,,,,,1,,5,,,,,,,,,,,2,,,1,,,,,,,
261,9,13,14,,,2,,,375,3,1,,59,1,9,5,1,,67,,,3,17,,,1,1,1,,,1,1,1,,2,1,,,,,,1,,,1,,1,,,3,1,,,,,,,,,,,,3,,,,,,,,1,1,,,,,1,1,1,,,,,
271,6,12,44,,,1,,,301,3,,2,84,,18,2,,,49,,,,20,,,,,1,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,1,,,,,,,,,3,,,1,,,,,,,,,
281,9,8,19,,,,2,1,442,2,,1,66,,10,1,,,76,2,,5,22,,,,1,,,,,,,,3,,,,,,1,1,,,,1,,1,,,6,,,,,2,,,,,,,2,,,,1,,,,,,,,1,,,,,1,,,,
291,3,13,16,,,,1,1,323,3,2,3,52,,6,,,,41,,,1,19,,,,,1,,,,,2,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,2,,,3,,,,,,1,1,,
301,4,7,25,,1,,1,,370,4,2,2,58,,6,,,,55,,,1,17,,,,1,,,,,,1,,,,,,,,,,,,,1,,,,1,,,,,1,3,,,,,,,1,1,,,,,,,,1,,1,,,,,,,,,1,1
311,2,15,10,,,,,,344,4,,,58,,,,,2,44,,,,20,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,1,,,,1,,,,,1,,,1,,,,,,,,1,
321,9,10,8,,1,,1,1,409,7,,1,65,1,8,2,,,53,,1,3,18,,,,,,,,,,,4,1,,,,,1,,2,,,,1,,1,,,,,,,,,,,,,1,,2,,,,,,,,1,1,,,,,,,,,,,,
331,4,8,6,,,1,,2,398,3,1,1,33,2,6,3,,1,59,,,,23,1,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,,,,,,,,1,1,,1,,1,1,,,1
