"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Lycopodium tablets","Betula","Castanea","Cyperaceae","Ulmus","Centaurea","Thymelaea","Vitis","Tamarix","Erica","Ononis","Chamaerops","Polygonum aviculare-type","Alnus","Crataegus","Asteraceae","Cistus","Ephedra fragilis","Quercus (deciduous)","Pistacia","Lamiaceae","Indeterminable (unknown)","Rhamnus","Berberis","Quercus (evergreen)","Genista","Caryophyllaceae","Lygeum","Brassicaceae","Plantago","Charcoal","Helianthemum","Pinus","Sordariaceae","Amaranthaceae","Olea","Juniperus-type","Artemisia","Poaceae","Lycopodium spike","Asphodelus","Aizoaceae","Osyris","Zygnemataceae","Calicotome","Periploca","Ziziphus","Withania","Acer","Buxus","Arbutus","Fraxinus","Pinus pinaster","Quercus suber","Riccia","Pseudoschizaea","Corylus","Maytenus","Typha","Euphorbia","Salix","Phillyrea","Cosentinia","Cedrus","Asparagus","Taxus","Pteris","Myrtus","Apium"
1152,NA,NA,20,"12542, 2","1","1","1","1","1","1","2","2","2","2","2","3","4","4","5","5","5","6","7","7","7","8","8","8","8","9","10","12","14","15, 128","19","20","23","29","29","43","50","249","111","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1191,NA,NA,22,"12542, 2","2","2","4","","","4","1","2","2","","","7","2","1","12","1","2","12","6","5","9","5","3","32","11","4","20","2","9","21, 85","5","78","38","8","15","20","26","80","170","1","1","1","2","2","2","2","2","3","3","3","4","5","6","18","25","","","","","","","","","","","","",""
1230,NA,NA,24,"12542, 2","","","2","1","1","1","","2","4","1","","10","","2","20","","","14","3","6","10","4","1","27","8","6","21","1","7","11, 57","5","88","19","9","18","15","33","79","178","1","","1","3","4","2","1","3","1","2","2","2","7","7","12","28","1","2","","","","","","","","","","",""
1269,NA,NA,26,"12542, 2","1","3","","","","1","1","1","3","3","","9","","1","13","1","2","8","6","4","19","3","3","17","4","4","23","4","11","24, 96","3","83","12","12","13","13","41","67","188","1","1","1","6","7","2","2","4","2","3","","5","6","9","8","22","2","1","3","","","","","","","","","",""
1308,NA,NA,28,"12542, 2","3","1","2","","3","2","","3","3","","","11","2","","18","","","13","4","2","12","5","4","21","9","1","19","2","8","12, 59","4","85","31","13","12","9","28","68","190","2","","1","2","3","4","4","3","1","","3","3","5","8","15","29","","1","","1","","","","","","","","",""
1347,NA,NA,30,"12542, 2","","5","4","1","","2","","1","2","","1","4","3","","15","1","2","8","9","3","7","6","1","14","7","3","29","2","10","28, 131","2","90","38","10","17","19","37","59","170","3","","","2","5","5","3","5","","4","","4","5","5","10","21","","1","2","","1","","","","","","","",""
1386,NA,NA,32,"12542, 2","3","1","3","","2","4","1","1","1","1","","13","2","2","22","2","2","14","7","2","4","3","2","18","7","2","19","3","8","17, 68","2","98","27","11","13","10","32","64","176","","","","5","2","7","3","4","1","3","4","2","7","7","9","28","6","","1","","1","2","","","","","","",""
1425,NA,NA,34,"12542, 2","2","2","2","","","2","","1","2","1","","7","","1","21","","1","14","5","3","5","4","1","16","9","2","23","3","7","9, 48","3","100","19","10","15","12","34","61","177","2","1","1","9","6","1","4","3","1","5","","5","4","5","7","20","3","1","","","","","1","","","","","",""
1464,NA,NA,36,"12542, 2","","4","","1","","3","1","2","2","1","","11","","","12","1","","8","5","5","4","8","5","14","10","3","21","3","6","19, 100","3","119","34","13","9","6","20","59","188","1","","","7","2","3","3","3","","","1","2","6","8","16","12","4","","1","","","","","","","","","",""
1503,NA,NA,38,"12542, 2","5","2","","","","3","","1","3","2","","6","1","","23","","1","7","3","2","6","5","2","17","2","2","24","1","8","8, 62","4","111","20","9","10","11","28","53","189","1","","","10","1","1","2","4","1","4","1","3","7","3","5","19","2","","3","","","","","1","","","","",""
1542,NA,NA,40,"12542, 2","","","6","1","","","","2","8","","","12","","","20","1","2","15","6","4","7","3","2","15","6","1","19","1","5","28, 128","","131","26","14","5","3","17","51","190","2","2","","8","2","5","3","3","","3","","1","4","2","9","18","4","","1","1","","1","","","1","","","",""
1581,NA,NA,42,"12542, 2","1","1","2","","","1","1","1","5","","","5","","","12","","","11","7","3","12","7","1","9","6","","17","1","8","13, 68","1","121","22","15","10","12","29","55","171","1","","","6","1","3","1","5","4","2","","","5","8","14","22","","","5","","1","","","","","1","","",""
1611,NA,NA,44,"12542, 2","5","4","3","1","","1","","1","5","2","","10","","1","11","1","","12","5","5","10","","5","12","3","1","12","","9","11, 107","","142","34","10","12","6","26","40","176","2","","","6","","3","","","","4","5","2","7","6","8","19","3","1","","","2","5","","","","","","",""
1632,NA,NA,46,"12542, 2","","","5","","","4","","1","5","1","","6","","","10","3","1","7","4","5","15","4","","7","4","","21","1","10","6, 69","","133","19","11","5","5","35","39","171","1","","","10","","7","1","2","2","","","","4","4","","18","","","","","2","2","1","","","","","",""
1653,NA,NA,48,"12542, 2","5","","1","1","","3","","1","6","","","8","","","16","5","2","15","9","4","7","","1","8","","","15","","8","12, 153","1","150","6","12","7","6","18","36","178","1","2","","13","","","","1","","2","2","3","5","8","4","12","1","","5","","","","","","","","","",""
1674,NA,NA,50,"12542, 2","3","","6","","","1","","1","3","","1","","","","10","2","1","6","10","","12","4","","6","","2","15","","6","34, 148","","167","4","8","9","2","30","32","165","3","1","","9","","","","","3","2","","","6","3","2","13","4","","","","1","5","","","","","","",""
1695,NA,NA,52,"12542, 2","1","3","4","","","1","","1","2","","","","3","","12","5","1","12","16","3","11","","1","11","2","1","13","","5","22, 176","1","125","","11","11","4","24","32","189","1","","","16","1","2","2","","","","3","","4","7","","13","","","6","1","","","1","1","1","","2","",""
1716,NA,NA,54,"12542, 2","","","3","1","","1","","","1","","","3","","","9","6","1","12","15","3","11","3","","17","","","19","1","9","30, 139","","138","7","15","12","3","12","35","187","1","","","18","","","","","3","5","","1","6","4","3","12","","","5","1","","1","1","1","","","","",""
1746,NA,NA,56,"12542, 2","5","","6","","","1","","","3","","","2","","","16","4","2","7","17","1","14","","","29","","","12","","10","31, 164","","92","3","13","6","3","29","29","166","2","","","11","1","2","2","","2","","4","2","6","8","","18","5","","","","2","3","1","","","","","",""
1804,NA,NA,58,"12542, 2","","","5","","","2","","1","4","","","3","","","14","8","1","10","14","2","13","","1","38","2","1","11","1","12","15, 87","3","69","3","10","9","3","19","32","187","1","1","","21","","1","","1","1","1","","","8","5","2","14","","","2","","1","1","1","","1","","","",""
1862,NA,NA,60,"12542, 2","5","","9","","","2","","","1","","","","","","12","4","1","11","17","6","8","","","21","","","16","","11","28, 120","","108","5","8","7","1","25","31","190","2","1","","15","","","2","","2","1","","","5","9","","12","","","","","","4","","","1","","","",""
1920,NA,NA,62,"12542, 2","","","4","1","","1","","1","2","","2","2","","","16","6","3","12","8","4","9","","","42","1","","10","","6","12, 90","","57","3","10","6","2","18","34","169","1","","","21","1","","1","","","","1","","4","4","2","12","1","","3","","1","1","","","","","","1",""
1978,NA,NA,64,"12542, 2","4","3","3","2","","2","","","5","","","","3","","9","5","2","8","9","3","12","3","1","23","","1","15","","7","25, 96","1","113","2","11","5","3","28","29","190","1","1","","20","","","1","","3","2","","","2","4","3","14","","","2","1","","2","","1","","","","",""
2035,NA,NA,66,"12542, 2","4","","6","","","1","","","5","","","3","","","20","2","","17","11","6","13","","","17","","","10","","9","16, 50","","45","5","12","6","3","14","32","188","1","","","29","1","","3","","","2","1","","8","8","","16","","","","","","2","","","","","","",""
2093,NA,NA,68,"12542, 2","1","2","4","","","","","","2","","","1","","","15","5","1","5","5","5","11","3","1","30","3","","8","","6","23, 93","","101","","13","7","3","19","28","180","1","","1","21","","1","","","5","","","4","7","7","3","18","","","1","","","","","","","1","1","",""
2151,NA,NA,70,"12542, 2","","","8","2","","","","","6","","","1","","","18","4","1","11","10","4","10","1","","12","","2","14","","7","5, 34","","92","2","10","5","2","23","30","180","","","","17","","","2","1","","3","1","1","3","7","1","16","1","5","3","","3","3","","","","","","",""
2209,NA,NA,72,"12542, 2","3","","5","","","1","","","1","","","","1","","15","3","","6","11","1","7","","","33","","","9","","4","18, 86","","55","1","14","8","2","21","35","178","","","","17","1","1","","1","1","","","","4","3","3","22","3","","2","","","","1","","","","","",""
2267,NA,NA,74,"12542, 2","2","","2","","","","","1","6","","","2","1","","21","1","1","15","5","3","9","","1","19","","","10","1","5","4, 33","","102","2","8","10","3","19","31","176","1","","","15","","","1","","","3","5","","5","9","","33","","","7","1","","","1","","2","","","",""
2324,NA,NA,76,"12542, 2","","","3","1","","1","","","5","","1","","1","","19","4","1","7","9","2","13","","","42","","1","13","","8","19, 101","1","70","","6","8","2","20","27","177","","","","21","","","1","1","","","","","5","5","4","31","","2","1","","","2","","","1","","","",""
2382,NA,NA,78,"12542, 2","","1","4","","","1","","","11","","","2","","","15","2","","11","10","5","5","","","20","2","1","11","","10","5, 36","","113","5","8","10","","23","28","176","","1","","29","","","1","1","1","2","1","","7","9","5","19","3","1","1","","","","","","2","","","","1"
2440,NA,NA,80,"12542, 2","4","","3","1","","1","","","6","","","1","","","13","1","1","13","8","2","14","","","31","","","9","","3","15, 84","1","39","4","11","4","3","24","29","192","1","","1","30","1","1","1","","3","","","2","3","5","2","26","1","1","7","","1","1","","","2","","","","1"
2498,NA,NA,82,"12542, 2","","1","5","","","2","","","4","","","3","","","11","2","2","8","11","4","9","","1","16","","","10","","5","4, 30","","120","","12","5","2","23","30","193","2","","","28","","","1","","3","1","","1","9","8","3","25","","","2","","","","","","","","","1",""
2556,NA,NA,84,"12542, 2","2","","3","","","1","","","6","","","","1","","18","4","3","14","7","1","15","","","28","4","1","9","","5","19, 83","","78","5","9","7","","16","25","178","1","","","33","","","2","","","9","4","","4","5","3","28","","","3","","1","","","","","","","1",""
2613,NA,NA,86,"12542, 2","2","","7","1","","2","","","5","","","","","","15","4","3","9","12","2","7","1","1","14","","","8","","2","8, 50","1","111","5","8","4","1","13","28","174","","","","39","1","","1","2","1","2","","","6","8","1","21","1","","8","","","","","","","","1","",""
2671,NA,NA,88,"12542, 2","1","","3","","","1","","","5","","1","","","","9","","1","8","8","1","15","","","49","","1","9","1","7","10, 38","","66","","10","13","1","10","32","172","","","","28","","","2","1","","8","1","3","4","6","1","25","","1","2","","","3","","","3","","","","1"
2729,NA,NA,90,"12542, 2","","","8","","","","","","3","","","3","","","14","2","3","11","7","1","10","","1","21","2","","7","2","10","21, 82","","114","1","10","9","3","13","36","182","1","","","35","","1","1","","5","5","3","","7","4","","19","3","2","4","","","","1","","","1","","1","1"
2787,NA,NA,92,"12542, 2","3","1","2","","","","","","2","","","2","1","","11","1","3","12","13","1","9","","","32","","1","8","","5","7, 33","2","69","","9","12","1","18","36","188","","","","31","1","","","1","","6","","","7","6","3","15","","2","2","","2","","","","1","","","",""
2845,NA,NA,94,"12542, 2","2","","","","","","","","5","","","2","","","15","4","2","7","11","2","14","1","","40","","","9","","9","17, 89","","68","7","13","7","2","11","32","178","","2","","40","","","1","","1","","5","1","2","3","","12","","","4","1","","","","","","","","",""
2902,NA,NA,96,"12542, 2","1","","2","1","","1","","","4","","","","","","8","2","1","11","7","2","8","1","2","17","","1","10","","4","7, 32","1","107","7","8","8","1","13","35","174","1","","","35","","","1","","","4","2","2","3","6","3","18","3","","3","","","2","","1","","","","",""
2960,NA,NA,98,"12542, 2","","","4","","","2","","","2","","","1","","","12","1","1","10","7","2","14","","","13","1","","12","3","8","20, 80","","76","","12","11","2","9","29","169","","","","33","","","2","","","3","","1","6","8","1","23","2","","1","","","","","","","","","",""
3018,NA,NA,100,"12542, 2","","","2","","","1","","","1","","","","2","","13","3","1","13","6","3","11","","","19","","","12","","5","2, 30","1","49","","8","10","1","16","27","178","","","","28","","","1","1","1","","","","7","6","","22","1","","5","","1","","","","","","","","1"
3076,NA,NA,102,"12542, 2","1","","3","","","1","","","7","","1","3","","","19","1","3","9","9","2","11","1","","44","5","","9","","4","13, 78","1","110","2","8","2","1","8","28","176","","","","38","","1","2","","2","5","3","","5","7","2","19","","","1","","1","2","","","","","","",""
3134,NA,NA,104,"12542, 2","4","","2","1","","","","","2","","1","","","","17","","3","8","11","3","13","","","11","","","7","","2","5, 45","","66","","9","10","5","17","33","181","","","","39","1","1","","","1","","","","7","6","2","23","3","3","4","","3","","","","","","","",""
3191,NA,NA,106,"12542, 2","5","","2","","","","","1","4","","","1","","","11","1","1","14","7","2","4","","1","48","1","1","2","","2","21, 88","","67","1","10","5","2","13","29","180","1","1","","43","1","","1","3","","8","1","2","4","5","2","19","","2","4","","1","3","","","1","","1","1",""
3249,NA,NA,108,"12542, 2","","","2","2","","","","","6","","","1","3","","12","4","2","7","5","3","7","1","","20","","1","8","","3","12, 54","","118","","10","9","1","6","31","185","1","","1","34","","","3","1","2","","","","8","9","","16","2","","4","","2","","1","","2","","","",""
3307,NA,NA,110,"12542, 2","2","1","3","","","","","","6","","","3","","","13","3","1","11","10","1","15","1","","55","","","5","1","3","9, 31","","65","3","8","8","2","8","34","178","","","","34","","1","2","1","2","1","","2","3","6","","15","3","","3","","","4","","","","","","",""
3365,NA,NA,112,"12542, 2","6","","4","1","","","","","8","","","","","","21","","1","20","9","","8","","1","23","4","","4","","5","15, 81","1","109","3","6","2","1","10","27","185","","1","","29","","1","1","1","1","5","2","","9","9","1","22","7","","2","1","","","","","1","","","",""
3423,NA,NA,114,"12542, 2","","","5","1","","","","","10","","","1","","","11","3","2","15","11","1","10","","","50","","1","6","","2","4, 36","","62","4","8","3","2","11","25","183","","","","40","1","","1","2","3","1","","","6","7","","27","","2","2","1","","6","","1","","","","",""
3480,NA,NA,116,"12542, 2","4","","8","1","","1","","","2","","1","","","","13","3","1","13","5","2","10","1","","16","","","11","1","6","14, 79","","111","","7","8","1","9","25","189","","","","29","","","1","1","","2","2","","4","2","3","21","","","3","2","1","","","1","","1","","",""
