"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Lycopodium tablets","Sample quantity","Amaranthaceae","Micranthes stellaris-type","Campanula","Plantago major-type","Echium","Spergula","Anthriscus sylvestris","Dianthus lusitanus-type","Gagea nevadensis","Narcissus bulbocodium","Saxifraga granulata-type","Halimium/Tuberaria","Minuartia recurva","Colchicum montanum","Plantago subulata-type","Arnoseris minima","Genista-type","Sedum-type","Sphagnum","Hedwigia","Artemisia","Cichorioideae","Plantago lanceolata-type","Potentilla","Corylus avellana","Phillyrea","Juniperus communis","Secale","Galium-type","Castanea sativa","Erica umbellata","Peucedanum-type","Pinus sylvestris-type","Polypodiales (monolete)","Erica australis","Pteridium aquilinum","Quercus ilex-type","Cyperaceae","Alnus glutinosa","Rumex acetosella-type","Pinus pinaster","Sparganium emersum-type","Calluna vulgaris","Betula pubescens","Olea europaea","Ranunculus","Erica arborea-type","Quercus robur-type","Poaceae","Lycopodium spike","Poaceae (Cerealia)","Brassicaceae","Anthemis-type","Hypericum perforatum-type","Silene vulgaris-type","Cytisus scoparius","Daucus","Paronychia polygonifolia-type","Sambucus nigra","Salix","Apiaceae","Chaerophyllum temulum","Gentiana lutea/G. pneumonanthe","Armeria","Pistacia","Eryngium","Fraxinus angustifolia","Sagina","Physospermum cornubiense","Frangula alnus","Succisa","Fritillaria lusitanica","Centaurea nigra-type","Poterium sanguisorba","Conopodium majus","Trifolium repens","Pimpinella saxifraga-type","Polypodium","Sorbus aucuparia","Jasione-type","Asphodelus albus","Polygonum aviculare-type","Arenaria","Ilex aquifolium","Torilis arvensis-type","Carum verticillatum","Potamogeton","Vaccinium","Angelica palustris-type","Hedera helix","Geranium","Thalictrum","Ulmus","Thymelaeaceae","Filago-type","Viola","Rhinanthus/Veronica","Mercurialis annua","Cistus ladanifer-type","Scilla","Myrtus communis","Vitis","Solidago","Filipendula","Bupleurum","Aster-type","Silene dioica-type","Narcissus pseudonarcissus-type","Lysimachia","Corrigiola telephiifolia","Lotus","Lavandula","Vicia","Mentha","Carduus","Portulaca","Marchantiophyta","Scleranthus annuus","Anagallis","Herniaria-type","Botrychium","Cerastium","Ophioglossum lusitanicum","Linaria-type","Ephedra fragilis-type","Silene foetida-type","Rumex acetosa-type","Euphorbia","Trifolium pratense-type","Veratrum album","Helianthemum","Ephedra distachya-type","Centaurea scabiosa-type","Jurinea","Hippophaë rhamnoides","Silene ciliata-type","Cirsium-type","Bellis","Senecio"
1881.32,NA,NA,5,"11329, 1","0.282","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","3","3","3","3","3","3","3","4","4","4","4","4","5","6","7","10","11","12","15","16","18","21","22","30","51","55","102","127","696","49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2028.6,NA,NA,10,"11329, 1","0.282","3","1","1","","","","","1","","2","1","","2","1","","","2","6","1","1","7","4","7","9","3","1","11","4","7","4","1","15","2","4","9","13","21","30","28","22","11","27","14","71","14","119","89","140","1116","58","1","1","1","1","1","1","1","1","1","2","3","4","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2175.87,NA,NA,15,"11329, 1","0.282","2","","","","2","","","","","1","1","","1","2","2","","5","4","1","4","4","1","3","8","3","1","7","3","5","4","3","7","1","2","3","13","5","27","24","20","6","25","17","65","4","142","59","149","984","54","1","1","2","","","","","","","2","1","1","3","1","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2323.14,NA,NA,20,"11329, 1","0.282","1","1","","","","","","1","","3","1","","2","","4","","7","7","","1","6","2","3","5","4","6","","1","2","","3","10","2","5","5","9","11","7","12","18","12","19","7","210","3","143","52","132","1026","41","","2","","","","1","3","","","1","3","1","6","","","","","","1","1","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2470.41,NA,NA,25,"11329, 1","0.282","1","1","","","1","1","","1","","1","","","","1","10","","3","12","","1","2","","6","9","","1","1","","6","","3","11","6","7","3","14","9","12","11","16","16","20","8","274","1","160","49","132","895","42","","1","2","","","1","","","","7","4","2","4","","","","1","","","","","1","3","","","1","1","1","2","2","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2617.69,NA,NA,30,"11329, 1","0.282","","","","","","","","2","","3","","1","","","9","","2","18","","2","1","","3","6","4","5","","","3","","3","13","1","9","4","6","12","9","13","27","21","17","9","198","1","212","50","159","1072","48","","2","3","","1","5","","2","","3","8","10","5","1","","","1","","","","","2","","","1","","","","1","2","2","1","1","1","1","1","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2764.96,NA,NA,35,"11329, 1","0.282","2","1","1","","1","","","","","2","","","","","8","","6","13","","","4","1","4","7","3","2","","","4","","4","28","","8","2","14","6","7","18","15","26","17","5","211","2","155","31","155","855","53","2","4","1","","1","4","1","","","2","4","5","5","3","","","2","","1","","","6","2","","6","","","","2","1","7","","2","2","","","5","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3033.42,NA,NA,40,"11329, 1","0.282","","1","","","","","","4","","1","","","","2","8","","3","8","","","2","","6","4","1","5","","","","","3","15","2","10","1","7","21","2","26","32","28","11","11","167","1","244","39","200","888","50","1","2","","","","3","","","","","8","2","3","1","","2","2","","","","","2","","","3","","","","1","1","1","","","","","","12","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3301.88,NA,NA,45,"11329, 1","0.282","","1","","1","","1","","","","1","","","","","1","","5","2","","","4","","3","2","5","4","","","3","","2","12","4","2","4","12","16","1","15","18","28","12","17","230","3","242","53","230","740","56","","","1","","1","1","2","","","3","5","","1","","","1","","","5","1","","1","","1","7","","","","1","1","","","1","1","","","","","1","","","","","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3570.33,NA,NA,50,"11329, 1","0.282","1","1","","","","","","","","2","1","","","1","4","","6","5","","2","2","1","2","2","2","","","","1","","","8","1","2","4","14","15","8","20","21","25","11","15","240","3","264","48","247","828","72","1","","","3","1","","5","","","4","7","3","","2","","1","2","","","","","","3","","","","","","2","1","1","","2","","","","1","","3","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3838.79,NA,NA,55,"11329, 1","0.282","","","","","","","","2","","","","","","","1","","3","4","","","4","1","","","1","2","2","","1","","3","4","2","2","3","15","10","9","22","19","11","8","6","204","2","240","35","180","645","62","2","","1","2","","5","","","","1","7","","2","","","","","","","3","","2","","","1","","","","1","1","3","","2","","","1","","","3","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4107.25,NA,NA,60,"11329, 1","0.282","1","3","","1","","","","","","","","1","","","","1","2","3","","","5","","","1","1","","","","","","","3","3","","1","6","12","2","10","21","33","2","2","430","","170","23","176","330","82","1","","","","","1","2","","","5","3","","1","","","1","2","","1","","","","1","1","1","","","","3","","","","","","","","15","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
