Depth (cm),Acacia,Acanthaceae,Alchornea,Alnus,Anacardiaceae,Antidesma-type,Apiaceae,Artemisia,Betula,Borreria,Brassicaceae,Burseraceae,Butyrospermum,Caesalpinioideae,Calligonum,Campylostemon,Canthium,Cassia-type,Celtis,Centaurea scabiosa-type,Chenopodiaceae/Amaranthaceae,Combretaceae/Melastomataceae,Corylus,Crudia,Cyperaceae,Echium,Elaeis guineensis,Ephedra fragilis-type,Eugenia,Euphorbia,Euphorbiaceae,Flacourtiaceae,Gaertnera,Galium,Gentianaceae,Gramineae,Gymnosporia,Haloragaceae,Hygrophila,Hymenocardia,Hypericaceae,Hyphaene,Ilex,Indetermines,Indigofera,Iodes,Isoberlinia,Lannea,Liliaceae,Linaceae,Macaranga,Maerua,Manilkara,Melia,Meliaceae,Mendocia,Mimosoideae,Mitracarpus,Moltkia,Morelia,Myrica,Myrtaceae,Nymphaea,Nypa,Ochnaceae,Olea,Ouratea,Palmae,Papilionoideae,Paramacrolobium,Paullinia,Periploca,Phyllanthus,Picconia-type,Pinus,Plantago,Plumbaginaceae,Polycnemum-type,Polygala,Polygonum,Proteaceae,Ranunculaceae,Rhizophora harrisonii,Rhizophora mangle,Rosaceae,Rubiaceae,Rutaceae,Santanalaceae,Sapindaceae,Sapotaceae,Sebacea,Sterculia,Sterculiaceae,Symphonia,Syzygium,Thymelaea,Tilia,Tubuliflorae,Typha,Ulmaceae,Ulmus,Urticaceae,Vigna,Vitaceae
7.5,,,29,,,1,,,,2,,,,1,,,,,5,,3,12,,,13,,4,2,2,1,6,5,,,5,57,,,,,,,,49,,,1,2,4,15,3,,,,1,,,,,,1,,,,4,,7,2,28,,,,,,1,3,,,,1,,,71,142,5,14,2,4,22,3,,,8,1,,,,1,,,,4,,
27.5,2,,26,,,,,5,,1,6,,,7,1,,,,4,,7,26,,,23,1,3,5,10,6,23,3,,,,59,2,1,,1,,,,29,,,,3,4,15,5,,,9,,,,,,1,3,,,1,3,,,7,33,1,,,4,,1,3,2,,,,,,23,66,,14,4,7,,14,,,4,3,7,,1,,,,,7,,
47.5,,2,8,,,,,3,,,,,,7,,,,,4,1,7,25,,,21,,5,2,,1,11,6,1,,1,44,1,1,,,,,,46,,,2,1,5,12,8,,,8,2,,7,,1,,,8,,,2,,,,19,,,,,13,1,2,,1,,,1,,5,66,,23,6,3,1,25,,7,1,,,,,,,5,,1,,
67.5,3,,31,,,5,,,1,,,,,2,,,,,2,,4,29,,,18,,2,7,7,,17,1,2,1,1,38,,,,,,,,59,,,2,6,3,17,4,1,,10,,,,,,,6,,,,3,,,,11,2,,,3,4,,,,2,,,1,,63,32,1,6,5,,,27,19,13,2,3,5,,,3,1,1,,,,
87.5,1,2,11,3,1,3,,3,,,,3,17,9,,,,,1,,8,17,,,26,,6,6,,,25,,4,,10,71,,,,3,,1,,41,,,1,,,11,9,,7,1,2,2,,,,,,2,1,,5,,,5,35,3,2,,,1,,,,2,1,,,2,20,51,,17,,,5,11,16,14,2,,,,,1,2,4,,,1,2
103.5,1,1,13,,3,3,,,,3,13,3,21,6,,,1,,4,,10,29,,,36,,2,3,,,4,4,10,,15,35,1,1,,2,3,,,63,,,1,,,26,5,,10,4,,3,,,,2,2,4,,,3,,,2,38,,6,,,,1,1,,,,,,,15,59,1,14,,,8,9,21,9,1,4,,,,,3,2,,,,8
122,3,,31,1,1,,,,,,2,4,7,12,,,2,,,,2,39,,,28,,4,6,1,2,20,1,6,,5,65,,,,1,,1,,39,,,1,1,,25,7,,9,,,3,,3,,4,2,3,,,1,,1,1,28,1,,,,2,,,,4,,,,1,45,45,,14,5,,5,12,21,3,4,3,,1,1,,2,,,,,
142,,,8,,2,1,,,,1,4,1,5,10,,,,,,,6,21,,,32,,4,14,,,15,,,,4,62,4,1,,1,1,,,37,,,2,1,,11,5,,10,2,,3,2,2,,,,2,,,2,1,,1,24,,,,,,,,,3,,,,1,22,35,,12,1,,2,9,11,10,2,,,,1,1,1,,,,,
157.5,4,3,10,6,,,1,,,,1,,14,37,,,,4,1,,6,37,,,37,,3,10,3,,14,,4,,6,63,2,,,,,,,49,,,,2,,14,8,,4,,5,2,,,,,1,,,,9,,,,32,,,,,1,,,,5,,,,1,38,51,,16,9,,1,29,12,6,,3,1,,,,1,,1,,,
180,,1,18,2,4,,,,,,8,1,17,10,,,,,2,,1,32,,,32,,6,6,2,6,12,,,,8,66,7,,,3,,1,,45,,,,,,9,4,,6,5,,2,,,,,,,,,1,,,2,37,,1,,1,,2,,,1,,,1,2,57,42,,8,4,,1,13,9,6,2,,1,,,1,4,,1,1,,
