"age_Radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Boraginaceae","Caryophyllaceae","Rhamnaceae","Tilia","Vitis","Lythrum","Acer","Pistacia","Urtica","Alisma","Humulus/Cannabis","Persicaria maculosa-type","Carpinus betulus","Galium-type","Brassica-type","Hedera","Hypericum perforatum-type","Alkanna","Pediastrum duplex","Pediastrum boryanum var. granulatum","Pseudopediastrum boryanum var. longicorne","Fagus","Cichorioideae","Thalictrum","Juglans","Amaranthaceae","Rumex acetosa-type","Vicia-type","Juniperus","Olea","Capsella-type","Cirsium/Gundelia","Onobrychis-type","Equisetum","Nuphar","Asteroideae","Hystrix","Matricaria-type","Myriophyllum spicatum/M. verticillatum","Plantago maritima-type","Polygonum aviculare-type","Potamogeton","Cyperus longus-type","Abies","Nymphaea","Apiaceae","Ranunculaceae","Brassicaceae","Fraxinus ornus","Pseudopediastrum boryanum","Artemisia","Platanus","Alnus","Poaceae (Cerealia-type)","Centaurea solstitialis-type","Cladium mariscus","Ulmus","Plantago lanceolata-type","Ericaceae","Typha latifolia","Pteridium","Corylus","Unknown","Isoëtes","Sparganium-type","Dryopteris-type","Quercus ilex-type","Ostrya/Carpinus orientalis","Monactinus simplex","Pinus","Cyperaceae","Quercus robur-type","Poaceae","Betula","Castanea","Picea","Rhus","Salix","Scrophulariaceae","Rosaceae","Helianthemum","Plantago media-type","Ephedra fragilis-type","Ranunculus repens-type","Asphodelus albus-type","Gentiana cf. G. pneumonanthe","Botrychium","Sanguisorba-type","Bupleurum-type","Thymus/Mentha","Ranunculus","Phillyrea","Trifolium-type","Fallopia convolvulus-type","Azolla","Rumex hydrolapathum","Ephedra distachya-type","Pediastrum boryanum var. divergens","Plantago undiff.","Potentilla-type","Fraxinus excelsior","Plantago major-type","Filipendula","Calystegia","Lotus-type","Plantago coronopus-type","Sambucus nigra-type","Butomus","Iris pseudacorus","Campanulaceae","Solanum dulcamara","Ranunculus peltatus-type","Anemone","Celtis","Liliaceae","Pediastrum undiff.","Lythrum portula-type","Pseudopediastrum brevicorne","Thelypteris palustris","Gentianaceae","Loranthus","Unknown (trilete)","Scrophularia/Verbascum","Centaurea","Polypodium","Taxus","Teucrium","Fabaceae","Centaurea scabiosa-type","Pediastrum undulatum","Rhinanthus-type","Pteridium undiff.","Salvinia","Dipsacus-type","Pediastrum muticum var. scutum","Spergula","Linum","Buxus","Valeriana","Scabiosa","Ophioglossum","Centaurea cyanus-type","Knautia","Viburnum-type","Arceuthobium oxycedri","Oleaceae","Parrotia","Stachys-type","Lamiaceae","Myrtus","Ligustrum"
605,NA,NA,30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,6,7,9,10,10,10,14,16,16,24,26,33,44,49,54,62,196,249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746,NA,NA,37,NA,1,NA,NA,2,3,2,10,NA,1,1,NA,9,3,6,1,NA,NA,NA,NA,NA,6,5,1,5,16,6,1,8,8,3,1,NA,NA,3,5,NA,2,11,3,10,NA,NA,3,3,17,NA,NA,7,6,13,15,11,17,3,9,2,14,12,7,20,7,45,6,55,23,45,91,15,18,172,342,347,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,4,7,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1209,NA,NA,60,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,3,1,NA,NA,NA,NA,1,2,2,1,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,12,NA,2,NA,NA,6,NA,4,NA,NA,2,1,3,1,5,2,2,1,4,2,1,NA,11,10,4,2,8,10,8,24,3,16,19,180,49,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5,NA,NA,NA,1,NA,NA,NA,NA,1,1,2,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1612,NA,NA,80,NA,NA,NA,2,NA,1,2,NA,NA,NA,NA,NA,8,NA,9,NA,NA,NA,NA,NA,NA,2,5,1,NA,8,NA,NA,NA,3,NA,NA,NA,NA,NA,2,NA,NA,1,NA,3,NA,NA,10,4,12,1,NA,4,NA,8,NA,13,2,4,NA,1,2,6,6,12,11,60,131,45,25,41,51,8,68,52,350,81,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,NA,NA,100,NA,5,NA,4,NA,3,NA,3,NA,3,NA,2,12,1,4,1,NA,NA,NA,NA,1,8,1,4,NA,6,2,NA,1,4,NA,6,NA,1,1,1,NA,NA,1,1,6,NA,NA,6,3,18,11,NA,5,1,10,NA,16,6,6,1,6,12,6,13,21,37,21,2,27,20,74,106,5,65,67,601,337,2,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,3,NA,2,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2419,NA,NA,120,NA,7,NA,3,5,5,4,3,NA,1,NA,NA,14,15,17,NA,1,NA,3,NA,3,5,14,2,NA,62,4,NA,17,9,15,NA,NA,21,NA,19,1,8,4,6,10,NA,6,17,38,34,19,12,23,5,33,3,24,13,5,15,36,10,30,12,20,38,156,50,164,64,88,167,42,165,358,1010,2562,11,NA,NA,NA,8,1,NA,1,4,NA,NA,NA,NA,NA,5,NA,1,NA,NA,2,5,NA,1,1,NA,1,NA,NA,1,1,1,1,1,1,1,1,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2822,NA,NA,140,NA,NA,NA,1,6,1,1,1,NA,NA,NA,NA,4,2,15,NA,NA,NA,NA,NA,7,5,1,1,NA,20,9,2,2,7,7,NA,4,NA,NA,4,NA,7,NA,NA,3,2,NA,5,21,72,3,NA,7,3,21,NA,7,1,NA,3,9,12,7,2,5,15,29,42,67,10,17,100,NA,48,324,366,498,NA,NA,NA,NA,NA,NA,1,1,3,NA,NA,1,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3124,NA,NA,155,NA,2,NA,2,1,1,NA,2,NA,NA,NA,NA,5,3,23,NA,NA,NA,NA,NA,2,4,1,1,NA,8,NA,NA,2,4,NA,NA,NA,NA,NA,5,NA,2,1,NA,4,NA,NA,4,21,19,NA,NA,9,3,7,1,3,2,3,83,7,7,5,5,4,8,35,1,145,53,18,108,NA,38,120,326,282,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,1,NA,1,NA,2,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3628,NA,NA,180,NA,1,NA,1,NA,NA,2,1,NA,1,NA,NA,9,2,NA,NA,NA,NA,NA,NA,4,3,2,1,NA,5,5,1,NA,1,NA,NA,NA,2,NA,2,NA,NA,11,NA,NA,1,3,2,1,7,NA,3,9,5,1,1,4,1,2,24,2,5,3,4,NA,11,7,NA,35,275,7,59,NA,24,47,174,141,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,1,4,590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3991,NA,NA,198,1,NA,NA,NA,NA,4,NA,1,NA,NA,NA,NA,14,1,1,NA,NA,NA,5,NA,7,4,2,1,NA,3,1,NA,5,3,2,NA,NA,NA,NA,1,NA,NA,2,3,NA,NA,NA,4,21,6,NA,NA,9,15,2,NA,8,NA,NA,5,7,5,4,NA,8,8,8,NA,31,30,3,93,NA,20,45,249,122,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4434,NA,NA,220,NA,1,NA,1,3,1,1,3,NA,NA,NA,NA,19,1,5,NA,NA,NA,3,NA,8,3,2,NA,NA,8,5,NA,2,9,1,NA,NA,NA,NA,2,NA,4,2,NA,NA,NA,1,10,24,9,1,1,15,16,2,NA,4,3,1,9,6,9,12,6,16,15,8,1,51,53,13,170,NA,37,62,410,193,NA,1,NA,NA,5,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,1,NA,1,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4990,NA,NA,237,1,1,NA,3,1,1,NA,8,NA,NA,NA,NA,16,3,5,3,NA,NA,NA,NA,2,NA,4,NA,NA,3,5,NA,NA,NA,1,1,NA,NA,NA,3,NA,NA,5,NA,NA,NA,NA,9,24,11,NA,NA,21,1,1,1,6,2,NA,4,5,6,4,1,7,5,4,1,19,20,2,120,NA,33,30,294,172,NA,1,NA,NA,5,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,3,1,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6029,NA,NA,260,NA,NA,NA,6,3,NA,NA,28,NA,NA,1,NA,14,4,6,2,NA,NA,NA,NA,10,1,1,NA,NA,4,5,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,3,2,1,3,NA,11,9,4,NA,NA,41,21,4,NA,2,2,NA,NA,4,2,NA,3,5,21,4,3,13,22,NA,117,2,29,13,309,132,NA,NA,NA,NA,2,NA,2,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,1,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,5,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6754,NA,NA,280,NA,2,NA,13,NA,NA,NA,8,NA,NA,NA,1,1,1,1,NA,NA,NA,4,NA,11,NA,1,NA,NA,1,1,NA,1,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,8,8,2,NA,2,13,12,NA,NA,4,1,NA,NA,4,1,1,NA,1,11,3,NA,4,7,1,19,9,15,6,238,85,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,18,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7383,NA,NA,303,NA,NA,NA,10,NA,1,NA,16,2,NA,NA,NA,1,2,NA,NA,NA,NA,4,NA,15,NA,1,NA,1,5,7,NA,5,NA,NA,NA,NA,3,NA,1,63,1,NA,NA,NA,1,1,3,14,5,1,NA,1,18,9,NA,3,11,1,NA,4,3,NA,2,2,16,10,NA,10,13,3,10,3,22,15,276,130,NA,1,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7847,NA,NA,320,NA,NA,NA,9,NA,NA,NA,30,1,NA,NA,NA,NA,3,1,NA,NA,NA,1,NA,7,1,3,1,NA,3,13,NA,1,1,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,4,32,5,NA,NA,7,NA,5,NA,3,5,NA,1,5,1,NA,1,5,9,4,2,14,23,NA,10,1,16,10,210,150,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,2,NA,NA,NA,NA,NA,4,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
