"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Corylus","Euphorbia","Prunus-type","Rhus","Rumex acetosa-type","Filipendula","Brassica-type","Ephedra distachya-type","Plantago coronopus-type","Silene-type","Armeria/Limonium","Phillyrea latifolia","Filago-type","Plantago cylindrica-type","Ranunculus asiaticus-type","Turgenia-type","Pteridium","Vitis","Alnus","Cedrus","Olea","Centaurea scabiosa-type","Plantago maritima-type","Malabaila","Unknown","Picea","Platanus","Polygonum aviculare-type","Apiaceae","Spinacia-type","Dryopteris-type","Plantago lanceolata-type","Sanguisorba-type","Ranunculus repens-type","Betula","Sparganium-type","Galium-type","Sambucus","Thalictrum","Cichorioideae","Cyperaceae","Senecio-type","Caryophyllaceae","Centaurea solstitialis-type","Matricaria-type","Poaceae (Cerealia-type)","Juglans","Poaceae","Amaranthaceae","Artemisia","Pinus","Quercus cerris-type","Ericaceae","Rhododendron","Ulmus","Acer","Ranunculaceae","Carpinus betulus","Tamarix","Hippophaë","Delphinium-type","Cirsium/Gundelia","Cousinia","Ephedra fragilis-type","Quercus coccifera-type","Urtica dioica-type","Chardinia","Cynoglossum","Pimpinella-type","Pistacia","Bunium-type","Dipsacus-type","Rosaceae","Abies","Eryngium-type","Artemisia vulgaris-type","Ostrya/Carpinus orientalis","Scilla-type","Plantago major-type","Fraxinus ornus","Castanea","Gentiana","Echinops","Plantago media-type","Thymus/Mentha","Anisosciadium-type","Phlomis","Gossypium","Salix","Juniperus","Geranium","Viola","Helianthemum","Centaurea cyanus-type","Noaea-type","Ranunculus arvensis-type","Arctium/Jurinea","Colchicum","Ferula-type","Psylliostachys","Inula-type","Isoëtes","Cupressaceae","Lonicera","Primulaceae","Convolvulus","Daphne","Teucrium","Asparagus-type","Rheum","Fagus","Nymphaea","Taxus","Asphodelus","Scorzonera-type","Allium","Fraxinus excelsior","Scrophularia/Verbascum","Atropa","Unknown (trilete)","Cheilanthes","Lycopodium","Typha latifolia","Pterocarya","Digitalis","Aquilegia-type","Atraphaxis","Valeriana","Fabaceae","Stachys-type","Valerianella","Hypericum perforatum-type","Datisca","Scabiosa columbaria-type","Thesium","Trifolium-type","Lomelosia rotata-type","Caltha","Epilobium","Prunella-type","Onopordum-type","Lycium-type","Calligonum","Fagopyrum","Thelypteris palustris","Potentilla-type","Capsella-type","Asteroideae","Genista-type","Bupleurum-type","Loranthus","Rumex patientia var. kurdicus","Pseudopediastrum boryanum","Potamogeton","Prosopis","Solanum dulcamara","Mercurialis annua","Carthamus","Pediastrum undiff.","Haplophyllum","Syringa","Alisma","Anemone","Jasione-type","Onobrychis-type","Ranunculus sect. Batrachium-type","Ophioglossum","Plantago tenuiflora-type","Sisyrinchium","Rhamnus","Populus","Symphytum-type","Glaucium","Linum","Vicia-type","Crataegus-type","Heliotropium-type","Asperula-type","Halothamnus-type","Cistus","Secale","Tilia","Rhynchospora-type","Leontice leontopetalum","Frangula","Campanula-type","Maianthemum","Humulus/Cannabis","Spergularia-type","Malva","Plantaginaceae undiff.","Bongardia","Tribulus","Matthiola","Fontanesia phillyreoides","Botrychium","Sphagnum","Menyanthes trifoliata","Melampyrum","Lotus-type","Carduus-type","Cornus mas","Celtis","Xanthium","Anchusa/Pulmonaria","Centaurium-type","Ranunculus sceleratus-type","Echium-type","Theligonum","Rhinanthus-type","Hyoscyamus","Papaver","Agrimonia","Myriophyllum spicatum/M. verticillatum","Crassulaceae","Myriophyllum alterniflorum","Asphodeline","Aruncus","Lythrum","Crupina","Butomus umbellatus","Lithospermum-type","Knautia","Adonis","Persicaria maculosa-type","Rumex hydrolapathum","Saxifraga oppositifolia","Polygonaceae","Sanguisorba officinalis","Reaumuria","Centranthus","Aesculus"
54,133,-7,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,5,5,5,9,9,14,15,15,16,17,37,57,60,60,92,152,157,334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
251,335,173,10,2,NA,NA,2,3,1,1,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,3,NA,NA,3,5,NA,1,4,6,3,3,3,3,NA,4,11,8,3,5,11,16,48,49,31,88,87,182,338,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
449,550,346,20,1,NA,NA,NA,1,2,2,NA,NA,NA,1,NA,NA,NA,NA,1,NA,3,1,2,2,2,NA,NA,6,3,NA,7,4,6,5,NA,17,NA,2,7,4,NA,10,7,15,8,5,19,16,32,112,26,103,101,218,525,NA,NA,1,1,NA,NA,1,NA,1,NA,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,1,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
645,766,516,30,1,2,NA,NA,1,NA,5,2,3,NA,NA,NA,NA,NA,1,NA,1,3,6,2,NA,NA,4,NA,3,1,2,9,6,6,6,6,9,1,1,1,2,NA,9,17,15,10,6,9,33,54,52,63,115,155,109,523,1,NA,1,1,NA,1,NA,1,NA,1,NA,3,1,NA,NA,NA,1,5,3,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,1,1,1,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
840,981,686,40,1,1,NA,NA,1,2,6,1,3,NA,NA,NA,NA,NA,NA,3,2,3,4,1,1,2,2,1,3,1,NA,8,12,6,4,7,11,4,4,3,6,NA,22,15,14,14,8,13,26,93,61,65,100,119,91,556,NA,NA,3,NA,NA,NA,NA,2,NA,1,NA,NA,1,NA,NA,NA,NA,5,3,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,2,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1034,1197,856,50,NA,NA,NA,NA,NA,2,11,1,1,NA,NA,NA,1,NA,NA,NA,NA,3,4,NA,4,NA,2,NA,2,NA,1,1,3,5,3,6,21,NA,3,6,8,NA,18,12,18,20,4,10,29,41,60,42,100,189,111,779,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,7,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1225,1411,1028,60,NA,NA,1,NA,NA,4,11,NA,NA,NA,NA,NA,2,NA,NA,2,NA,2,3,NA,16,1,3,1,2,2,NA,3,13,3,3,6,11,NA,3,6,7,NA,13,10,23,11,8,10,28,20,75,88,117,211,110,786,NA,NA,2,NA,NA,2,NA,1,NA,NA,NA,NA,1,NA,2,NA,1,8,6,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1413,1620,1197,70,NA,NA,NA,NA,5,4,5,1,1,NA,NA,NA,NA,NA,NA,NA,1,3,7,NA,11,1,8,2,NA,1,NA,1,3,2,NA,7,12,NA,3,6,8,1,17,7,9,13,10,7,17,23,21,71,123,162,124,438,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,4,8,1,NA,NA,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1598,1826,1365,80,NA,NA,NA,1,2,4,9,NA,4,NA,NA,NA,NA,NA,1,2,NA,2,7,NA,10,NA,3,NA,NA,1,NA,5,4,5,2,13,18,NA,7,7,13,NA,6,8,10,14,3,7,24,35,37,113,105,173,139,567,NA,NA,2,NA,NA,1,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,11,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1780,2024,1531,90,3,1,NA,NA,NA,1,6,NA,1,NA,NA,NA,2,NA,1,2,2,4,7,2,8,NA,5,NA,NA,NA,NA,4,4,5,5,7,25,NA,3,6,7,NA,13,12,12,21,6,13,32,52,12,92,123,191,90,526,1,NA,3,NA,NA,3,NA,NA,NA,1,NA,NA,2,NA,NA,NA,1,12,7,NA,NA,NA,2,NA,1,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,2,1,NA,NA,NA,2,2,1,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
