Depth (cm),Abutilon-type,Acacia groupe I,Acacia groupe III,Acalypha,Adansonia,Aerva lanata-type,Afraegle,Alchornea,Allophylus,Alstonia,Amaranthaceae/Chenopodiaceae,Anthocerotaceae,Anthostema,Artemisia,Ascolepis,Balanites,Basilicum-type,Blepharis-type,Blighia,Boerhavia-type,Borassus/Hyphaene,Bridelia,Caesalpinia-type,Calpocalyx,Calpocalyx aubrevillei,Campylospermum,Canarium,Canthium subcordatum,Canthium-type,Cassia-type,Celastraceae,Celosia trigyna-type,Celtis,Chenopodium-type,Chlorophora,Chrozophora,Chrysobalanus/Parinari,Cissus-type,Coccinia-type,Combretaceae,Commelina forskalaei-type,Commiphora,Croton-type,Cyperaceae,Detarium,Diospyros,Dodonaea,Ekebergia-type,Elaeis guineensis,Ephedra,Euphorbia hirta-type,Euphorbiaceae,Ficus,Galium-type,Gramineae,Grewia-type,Hygrophila,Hymenocardia,Hymenostegia,Hypoestes-type,Indeterminables,Indetermines,Indigofera-type,Ipomaea-type,Justicia anselliana-type,Justicia striata-type,Labiatae,Lannea-type,Lepidagathis,Liguliflorae,Limnophyton,Lophira,Lycopodium,Lygodium,Macaranga,Maerua-type,Mallotus,Maytenus,Micrococca,Mitracarpus,Mitragyna inermis-type,Monocotyledoneae,Monoletes,Morus,Myrianthus,Nymphaea lotus-type,Oldenlandia-type,Olea,Onagraceae,Pandanus,Papilionoideae,Parkinsonia-type,Pausinystalia,Phoenix,Phyllanthus reticularus-type,Pinus,Plagiostyles,Podocarpus,Polygala,Polygonum senegalense,Polypodiaceae,Polyscias,Prosopis/Entada,Pteris-type,Pycnanthus,Rhamnaceae,Rhizophora,Rhus,Rubiaceae,Rumex,Rutaceae,Sapotaceae,Sauvagesia,Spermacoce radiata-type,Spermacoce-type,Suaeda,Symphonia globulifera,Syzygium,Tamarix,Teclea-type,Tephrosia,Tessmannia,Tetracera,Tetrorchidium,Tribulus,Triletes,Triletes lisses,Tubuliflorae,Typha,Uapaca,Umbelliferae,Urticaceae,Vernonieae,Vigna-type,Zanthoxylum,Zanthoxylum zanthoxyloides
220,,,,,,1,,5,,,20,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,119,,,,,,2,,,1,,230,,,,,,59,,,,,,,,,3,,,,,3,,,,,,,3,13,,,,,,,,,,,,,1,,,,,1,,,,,,37,,,,,,,,,,,1,,,,,,,,,,1,,,,,1,,,
240,,,,,,3,,2,,,17,,,1,,,,,,,1,,,,,,,,,,,1,1,,1,,,,,3,,,,122,,,1,,2,4,,,2,,223,,,,,,36,1,,,,,,1,,,,,,2,,1,,,,4,,7,7,4,6,,,,,2,,,,,,,,,,,1,,,1,4,,74,,,,,,,,,6,,1,,,,,2,,,,,4,5,,,,,,,1
260,,,,,,7,,5,,,17,3,,3,,1,,,,,,,,,1,,,,2,,,,,,,,,,,1,,,1,171,1,,,,3,4,,,,,214,,,3,,,52,,,,,,,,,2,,1,1,10,3,,,,,1,,10,21,1,,,,,,,,,,,,1,,,,,2,,,1,,,51,,,,1,,,,,11,,1,,,,,3,,,1,,3,6,,,,2,,,
280,,1,2,,,3,1,7,,,15,,,,2,,,,,1,,1,,,1,,,,1,,,4,,5,,,,,,9,,,,121,,,,,2,3,,1,,,212,,,2,1,,42,1,,,,,,,,4,,3,,,3,3,,,,,,,8,,1,,,,,,,,,,,,,,1,1,2,,,1,,,69,,,,,,,2,,1,,,,,,,,,,,1,2,11,1,,,1,,,
300,,,,,,1,,10,,1,8,1,1,1,,,,1,,,,,,,,,,,,,,8,,2,,,,,,2,,,,38,1,2,,,1,1,,,1,,167,,,,,,21,,,,,,,,,,,6,,1,3,,,,,,,,6,,,,,,,,,,,,,,,,,,1,,,,1,,85,,,,,,,2,,11,,1,,,,,,,,,2,1,5,4,,,,,,
320,,,,,,2,,6,,,26,,,,,,,,,,,,,,,,,,1,,,1,1,,,,1,,,7,2,,1,99,,,,,,2,,,3,,156,,1,3,,,,1,,,,,,,,,,,,,1,,,,,,,2,12,18,,,,,1,2,,,,1,,,,,,,,,1,,2,,75,,,,,,,,,2,,1,,,2,,,1,,,,6,3,,1,2,,,,
340,,1,,,,,,3,,,13,2,1,1,,,1,,,,,,,,,,,1,,,,2,,,,,,,,1,1,,,85,,,,,,3,,,1,,155,,,,,,,,,,,,,,,,,2,,1,2,,,,,,,4,10,,,,,,,,,,,,,1,,,,,,,,1,1,,60,,,,,,,,,5,,,,,,,,,,,1,1,4,,,,,,,
360,,,2,,,4,,3,,,26,,,2,,,,2,,1,,,,,,,,,,,,8,,1,,,,,,7,,,,98,,1,,,1,3,,2,1,,211,,,3,,,31,,,,,,,1,1,1,,4,,,3,,,,,,,2,4,,,,,,,,,,,,1,2,,,,,,,,,2,,67,,,,,,,,1,17,,1,,,,,,,,,,,11,2,1,,5,,1,
380,,,,2,,5,,4,,,12,,,2,,,,,,,,,,,,,,,,,,2,4,,,,3,,,1,,,,102,,,,,1,5,,,,,89,,,1,,,,1,,,,,,,,1,,,,,1,1,,,,1,,,11,,,,,,,,,,,,,2,,,,,1,,,,,,65,1,,,,,,,,5,,,,,,,,1,,,,1,,1,,2,,,,
400,,,1,,,1,,5,,,14,1,,2,,,,,,,,,,,,,,,1,,,4,,2,,,,,,3,1,,,61,,,,,,4,,3,,,172,,,,,,24,1,1,,,,,,,1,,2,,1,2,,,,,,,3,11,,,,,,,,,,,,,1,,,,1,,1,,,,,52,,,1,,,,,,10,,,,,,,,,,,1,3,11,,,,,,,
