depth,Thelypteridaceae (E1letes),Pteridaceae (P3letes 1),P3c 2,Compositae (lig),Combretaceae,Typha,Tamarix,Polygonaceae (P.glabrum type),corr spore,P3cp 4,cf. Canthium (R3p 2),Cyatheaceae (P3letes 2),Chenop/Amar/Caryo,Justicia,Indet pollen,Gramineae,cf. Hymenophyllaceae (Echi-Bacutriletes),LYCOPODIUM tablets,Psilamonoletes,corr pollen,Euphorbia (R3cp 17),Limonium,Cyperaceae,cluster gramineae,Euphorbiaceae (Croton type),R3c 12,Retitriletes,Mallotus (P3cp 7-16),R3cp 8,other conifers,diatoms,Compositae (tub),Ceratopteris,Malvaceae,Ammi,R3c 11,Allophylus,microforaminifera,tintinids,Salvadora persica,R3cp 10,Convolvulaceae,Bignoniaceae? (R3c 6),Fagonia,Dodonea (P3cp 13),Cassia (P3cp 5-6-1),Ziziphus (R3cp 2),R3cp 7,R3cp 18,Podocarpus,Celastraceae,P3cp 18-14,P3cp 12,R3cp 3 (Sapotaceae?),Alchornea,Acacia,Scrophulariaceae (R3c 10),Ficus,R3c 5,Maerua (R3cp 6),Acanthaceae,Loranthaceae,R3cp 19,P3cp 15,Dracaena,Abutilon (E3p),Tribulus,Rutaceae,cf. Meliaceae (P3cp 15),Ocimum cf. Basilicum,Polypodiaceae (V1letes),P3cp 13,R3cp 5,P3cp 17,cf. Cadaba (E3cp 2),P3c 3,cluster chenops,Indigofera,Heliotropium,cluster tamarix,Ilex,Hypoestes,Olea (R3c 9)
2.5,3,10,3,1,0,1,9,1,6,1,1,6,16,2,5,5,2,157,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.5,,11,1,6,5,3,1,7,1,,,7,107,3,9,84,8,465,,1,,5,81,5,5,2,1,1,1,2,6,4,1,1,2,1,1,12,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.5,,6,,1,1,2,1,5,,,3,,62,,4,57,12,424,1,,1,4,18,,3,,,,,1,9,2,,,,3,,17,13,2,1,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.5,,,1,1,3,1,2,2,,,,4,50,3,7,21,1,317,1,,,6,1,,4,,,,,,1,,,,1,,,7,5,1,,,,,,,1,1,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.5,,1,,2,3,3,8,2,1,,1,,132,3,16,41,2,428,2,,3,1,8,,5,,,,,,,3,,1,4,,1,42,23,2,,,,,,,,,1,,,1,1,1,1,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,
27.5,,2,,2,0,4,2,1,,,,1,99,3,4,19,1,440,1,,1,3,1,,3,,,,,,1,1,,2,2,,,39,15,,,,4,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
33.5,,,1,5,1,3,3,,1,,1,,230,3,2,65,2,373,,1,,,3,,5,,,,,,,3,,1,,,,54,8,1,,,1,1,,,,4,1,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,
47.5,,,,,0,,,,,,,,6,,,3,,338,2,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.5,,,,,0,1,,1,,,,,16,1,,3,,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
57.5,,,,,0,1,,,,,,,4,,1,7,,104,,,,1,3,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,0,1,,,,,,,2,,,,,167,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,0,,,,,,,,,,,,,125,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104.25,,,,,5,4,2,2,,,1,2,50,1,2,197,,81,,,,1,6,4,2,,,,,,,,,2,,,,5,,,,,,,,,,,,1,,1,,,,,,,,,,,2,1,1,,,,,,,,,,,,,,,,,,
106.75,,,,1,0,53,1,1,,,2,,49,,3,108,,184,1,,,,5,6,7,,,,,,,,,,1,,,,1,4,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,
110.5,,,,,0,41,,,,,13,,54,,6,57,1,74,1,,,,3,,1,,,,,,,,,1,,,,6,,1,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116.5,,,,2,0,92,1,,2,,3,1,60,,10,110,,115,,,1,6,11,7,7,,1,1,2,1,,,,,,,,4,2,2,,,,,,,,,,,,1,,,,,,1,,,1,,,,,,1,1,1,1,1,2,,,,,,,,,,,
130,,,1,2,1,41,1,1,,,1,,34,,6,134,,141,1,,,5,4,6,2,,,1,,,,4,,4,,,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,2,1,1,,,,,,,,
137.5,,,1,,0,20,1,,,,5,,10,,2,55,,59,1,,,,,2,,,,,,,,2,,2,,,,6,,4,,,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
147.5,,,1,,1,4,4,2,3,,1,,30,,4,97,,84,4,,,1,2,10,7,,,,,,,,,1,,1,,,,3,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,
165,,1,,1,0,27,1,4,,,4,1,59,,,207,2,172,1,,1,2,16,16,6,,,,,,,1,,,,2,,1,1,3,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,1,1,1,2,,
230,,,,4,4,10,4,3,,,3,,48,,6,128,,321,,,,5,15,2,1,,1,,,,,2,,3,,,1,6,,3,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,2
