"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Eucalyptus tablets","Sample quantity","Cyperaceae","Apiaceae","Filipendula","Buxus","Hedera","Phillyrea","Polypodiophyta (monolete)","Polypodiophyta (trilete)","Betula","Brassicaceae","Ericales","Galium-type","Unknown","Amaranthaceae","Cupressaceae-type","Acer","Artemisia","Carpinus betulus","Pinus","Ulmaceae","Ostrya-type","Abies","Fagus","Poaceae","Alnus","Quercus","Eucalyptus spike","Boraginaceae","Corylus","Cichorioideae","Picea","Sambucus","Tilia","Plantago","Euphorbiaceae","Ephedra fragilis-type","Anthemis-type","Salix","Ranunculus-type","Cirsium-type","Thalictrum","Fraxinus excelsior-type","Ilex","Rumex","Vitis","Viscum","Typha angustifolia/Sparganium","Solidago-type","Potamogeton","Cornaceae","Centaurea solstitialis-type","Caryophyllaceae","Scrophulariaceae","Pistacia","Helianthemum-type","Fabaceae undiff.","mimosoid clade","Castanea","Asphodelus","Rosaceae undiff."
101566,NA,NA,83,"30600, 1","0.5","","4","","","","1","1","1","3","","1","2","1","","2","4","7","21","4","9","17","15","19","28","35","202","515","","","","","2","2","1","","","2","","","","","","","1","","","1","1","","","","","1","","1","","","","",""
101567,NA,NA,83.2,"30600, 1","0.5","1","1","","1","1","","2","","2","","","1","","2","","3","5","15","5","5","16","19","20","27","23","214","543","","2","1","","1","3","1","","","","","","","","","","1","","","","","","","","","","1","","1","1","","",""
101568,NA,NA,83.4,"30600, 1","0.5","1","","","1","","","","2","5","1","1","","1","2","1","5","1","14","7","7","16","11","18","14","38","187","350","","4","1","","2","2","1","","","1","","","","","","","1","","","2","1","","","1","","1","","","","","","",""
101569,NA,NA,83.7,"30600, 1","0.5","","","","1","2","","","4","6","","","","","","","2","8","24","10","14","20","39","43","32","49","297","198","","5","1","","1","3","1","","","","2","","","","1","2","","","","1","1","","","","","1","","1","","","","",""
101570,NA,NA,83.9,"30600, 1","0.5","1","2","","","","","","","6","1","","1","","2","","3","3","10","8","6","9","12","31","32","29","236","238","","","1","","2","","1","","","","","","","","","","","","","2","1","","","","1","","","","","","","",""
101571,NA,NA,84.1,"30600, 1","0.5","","3","","","3","2","","1","2","","1","1","","1","","1","3","26","2","15","16","11","25","28","40","237","394","","3","1","","1","3","","","","","","","","","","1","","","","1","","","","","","","","","","","","",""
101572,NA,NA,84.4,"30600, 1","2","1","1","","","1","","1","1","6","","","","","","","","5","24","6","17","16","30","19","28","40","265","330","","","1","","2","3","","","","1","","","","","2","","","","","1","1","","","","","","","","","","","",""
101573,NA,NA,92,"30600, 1","1","1","2","","","","","1","2","","","2","","","3","1","3","2","13","4","11","11","60","30","26","46","285","52","","","1","","1","","1","","","","","","","","","","","","","2","1","","","","1","","","","","","","",""
101574,NA,NA,92.4,"30600, 1","1","2","1","","2","","","","4","4","","1","1","1","1","","4","5","21","10","8","11","16","33","23","34","268","45","","","","","","5","3","","","1","","","","1","2","","","","1","3","2","","","","","","","","","","","",""
101576,NA,NA,92.8,"30600, 1","1","2","5","","","1","","","","1","","","","","2","","4","1","18","11","10","16","72","52","39","47","279","69","","2","2","1","1","","2","1","","","","1","","","1","1","","","","","","","","","","1","","","","","1","",""
101577,NA,NA,93,"30600, 1","0.5","2","2","","1","2","","","1","3","1","1","1","","2","","8","7","17","7","12","15","25","36","31","33","284","151","","2","2","1","","2","2","","","1","","1","","1","","","","","","","2","2","","1","","1","","1","","","","1",""
101578,NA,NA,93.2,"30600, 1","0.5","2","2","","","1","","1","","2","1","2","","1","","2","","7","10","8","9","14","29","29","24","35","245","157","","1","","1","1","1","","","","","1","","","","2","","","","","","1","","","","","","","","","","","","1"
101579,NA,NA,93.4,"30600, 1","0.5","","3","","","","","1","1","3","1","2","","","","1","","5","10","8","8","12","21","38","37","25","257","203","","1","4","","","1","1","","","","1","","","","3","","","","","1","2","","","","","","","1","","","","",""
101580,NA,NA,93.6,"30600, 1","0.5","","3","","1","1","","","","1","1","","","","2","1","6","3","30","9","7","13","39","25","25","28","297","169","","","2","","","4","4","","","","","","","","","","","","","1","","","","","","","","","2","","","",""
