depth,Cal age BP,Ophioglossum,Apiaceae,Typha,Asphodelus,Quercus ilex-type,Cyperaceae,Heliotropium,Liguliflorae,Ephedra fragilis-type,Rhus-type,Tubuliflorae,Brassicaceae,Polypodium,Indetermines,Isoetes,Ericaceae,Artemisia,Chenopodiaceae/Amaranthaceae,Quercus pubescens-type,Gramineae,Pinus,Plantago,Fagus,Olea,Rumex,Euphorbia,Helianthemum,Alnus,Polycnemum-type,Acer,Corylus,Betula,Juniperus,Polycarpaea,Pteridophytae,Pistacia,Boraginaceae,Cedrus,Centaurea jacea-type,Ziziphus,Maerua,Ephedra distachia-type,Plumbaginaceae,Rosaceae,Balanites,Tamarix,Myrtus,Polygonum,Onagraceae,Echium,Cistus-type,Cucurbitaceae,Cleome,Euphorbiaceae,Linum,Sanguis minor,Linociera,Resedaceae,Crotalaria,Gypsophilla,Caylusea,Calligonum,Ulmus,Gymnocarpus,Echiochilon,Rhamnus,Trichodesma,Salix,Polycarpon,Celosia,Tilia,Papilionoideae,Phaseolus,Mollugo,Phyllanthus,Ranunculaceae,Arbutus,Liliaceae,Haloragaceae,Oenothera,Antidesma-type,Ostrya,Polygala,Vitis,Galium,Erodium,Gisekia,Phillyrea,Clematis,Moltkia,Juglans,Acanthus,Mercurialis,Hyphaene,Limoniastrum,Ballotus,Solanum,Borago,Lamiaceae,Linaceae,Echinops,Veronica,Lannea,Warionia,Cadaba,Proteaceae,Celtis,Encephalartos,Tribulus,Lythraceae
140,,,,1,,1,,,,6,,3,,,1,1,,21,17,,,78,,,,,,,,,,1,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,71120,,,,,2,,2,17,6,,2,7,,,,2,120,51,,14,15,1,,,1,1,1,,,,,,6,,,,,,1,,,1,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,,3,,,,3,,,10,4,,20,6,1,3,4,2,19,23,,4,31,2,,,,,,,,,,2,,,,,,,,,,1,,1,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,,,5,1,,9,1,,9,21,,10,19,2,5,8,1,38,49,5,20,29,8,,4,1,,,1,1,,3,1,4,,,2,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,79250,1,,,,5,1,,11,13,,10,7,,2,1,,7,6,,3,12,,,3,3,,1,1,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,,,1,,,25,4,,11,23,,32,7,1,6,2,,20,25,1,16,36,5,,,1,,2,,,,,,,,,5,,,,,,4,,,,1,,,,2,,,,1,,1,,,,,,,,,,,,,,,1,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,,,,,,,4,,3,3,,7,3,,,3,1,17,9,1,4,10,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,,,,,,2,,,2,2,,3,2,,,,,1,9,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,,,,,1,9,2,,12,25,1,20,6,1,3,10,5,37,48,3,23,27,8,,,5,1,1,,,,,,,1,2,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,,,,1,,7,2,,13,15,1,28,6,1,4,10,6,42,70,2,12,25,2,,1,1,,,,,,1,2,1,2,,,,,,,,1,,,,,,1,,,1,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
222,,,,,,,,,1,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,,,,,,1,,,5,6,,16,5,,1,,,4,14,,,27,5,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,,,,1,,7,,2,5,5,,7,,,,,1,10,13,,2,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,,1,,,,9,1,,24,12,,22,18,2,5,6,3,110,73,6,18,34,,,1,,,,,3,,,1,2,,,2,,,2,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,
252,,,,,,2,1,,12,3,,17,7,4,1,,,15,16,1,,8,1,,,,,1,,,,,,2,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,,,,,1,5,1,,8,4,,19,7,4,1,8,2,14,12,,8,3,3,,,1,,,,,,1,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
274,,1,1,2,,8,2,,7,5,,24,6,4,6,9,3,31,30,6,16,27,2,,3,2,2,,1,2,,2,4,1,,,3,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,1,1,,,1,2,,,,,,,,,,,,,,,,,,,
282,,2,,,,,1,,10,2,,7,7,2,2,2,,12,18,,15,11,1,,,,,,,,,,,4,,,1,,,4,,,,,,,1,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,,,150,,,2,5,,3,4,1,5,9,1,,3,1,2,5,2,2,4,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,,,,,,3,2,,4,3,,5,8,,1,2,,27,43,1,7,8,1,,1,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,
312,131500,,,1,,2,,,3,4,,7,7,,1,1,,25,28,2,4,12,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,135340,,,,,,,,2,1,,5,3,,,,,7,7,,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,,,,,,2,1,,13,12,,8,10,,1,,1,21,28,,2,16,2,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,,,,,,1,1,,1,1,,,,,1,1,1,6,5,,,1,,,,,,,,,,,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
