"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Artemisia","Cichorioideae","Brassicaceae","Fraxinus ornus","Unknown undiff.","Amaranthaceae-type","Sarcopoterium-type","Unknown","Asteroideae","Spermatophyta undiff. (cf. upland herbs)","Olea","Phillyrea","Ostrya/Carpinus","Cyperaceae","Pinus","Tracheophyta undiff. (aquatic plants)","Poaceae","Fungi","Apiaceae","Quercus","Spike","Rumex","Ephedra","Silenoideae-type","Plantago lanceolata-type","Corylus","Centaurea","Alnus","Ranunculus-type","Polygonum","Abies","Salix","Tilia","Thalictrum","Ulmus","Pistacia terebinthus","Juniperus","Plantago major","Pistacia lentiscus"
1458,NA,NA,174,1,1,1,1,2,2,2,2,3,3,4,4,6,7,11,15,17,22,31,82,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1734,NA,NA,206,NA,5,NA,NA,19,4,NA,19,3,4,2,NA,4,12,3,31,99,43,11,52,170,1,1,1,3,4,4,7,28,44,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,NA,NA,238,NA,2,2,NA,12,3,1,12,5,3,3,5,2,22,7,29,37,51,15,87,51,1,NA,2,NA,3,2,3,1,NA,2,3,NA,NA,NA,NA,NA,NA,NA
2280,NA,NA,270,1,1,NA,2,27,3,1,27,8,7,1,5,21,3,24,4,42,7,21,129,200,5,NA,NA,3,3,2,7,8,4,2,NA,1,2,NA,NA,NA,NA,NA
2399,NA,NA,284,2,4,1,NA,8,NA,NA,8,13,28,2,4,10,16,28,16,69,32,48,179,235,2,NA,2,1,1,8,2,5,6,2,3,7,1,1,NA,NA,NA,NA
2552,NA,NA,302,1,2,6,NA,50,NA,NA,50,3,1,NA,1,7,6,16,11,56,17,83,36,50,NA,NA,NA,1,NA,5,NA,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA
2671,NA,NA,316,1,2,2,NA,26,2,NA,26,5,2,1,3,12,56,23,33,66,89,102,83,121,NA,NA,3,2,NA,NA,3,25,7,10,NA,1,3,NA,NA,NA,NA,NA
2858,NA,NA,338,NA,3,NA,NA,33,NA,1,33,4,19,1,4,30,24,30,13,63,37,8,134,270,NA,NA,2,3,12,2,4,6,13,NA,1,NA,4,4,1,NA,NA,NA
3095,NA,NA,366,3,4,2,NA,21,3,2,21,7,10,NA,4,10,40,15,18,50,58,5,143,162,NA,NA,1,NA,15,NA,6,NA,10,3,2,NA,NA,NA,NA,NA,NA,NA
3367,NA,NA,398,NA,NA,NA,NA,17,2,1,17,4,6,NA,2,33,23,18,6,46,29,37,111,276,NA,NA,NA,NA,3,NA,4,5,2,1,1,NA,8,3,NA,NA,NA,NA
