"age_NA","ageolder_BP","ageyounger_BP","depth","Betula","Caryophyllaceae","Castanea","Cyperaceae","Rubiaceae","Ephedra distachya-type","Ephedra fragilis-type","Centaurea jacea-type","Ficus carica","Fraxinus excelsior-type","Polypodium","Rosaceae","Rumex acetosa-type","Fraxinus ornus","Apiaceae","Triticum-type","Carpinus betulus","Cichorioideae","Pinus","Amaranthaceae","Anthemis-type","Mercurialis annua","Varia","Artemisia","Sparganium-type","Hedera","Juglans","Dinoflagellata","Erica","Unknown","Alnus","Ulmus","Phillyrea","Brassicaceae","Vitis","Fagus","Pistacia","Ostrya/Carpinus orientalis-type","Corylus","Poaceae","Botryococcus","Olea","Quercus pubescens/Q. robur-type","Quercus ilex-type","Bidens-type","Fabaceae","Humulus/Cannabis-type","Anthoceros laevis","Plantago lanceolata-type","Juniperus-type","Ranunculus acris-type","Pteridium","Urticaceae","Echium","Scabiosa columbaria-type","Anogramma","Platanus","Polypodiaceae","Myrtus communis","Dinoflagellata undiff.","Salix","Tilia","Poaceae (Cerealia-type)","Plantago maritima-type","Cladium","Acer","Rhamnus-type","Arbutus","Mentha-type","Valeriana officinalis-type","Potamogeton natans-type","Abies","Liliaceae","Solanum cf. S. nigrum-type","Bistorta officinalis-type","Prunella-type","Allium vineale-type","Plantago major/P. media-type","Pseudopediastrum boryanum","Fallopia convolvulus-type","Malvaceae","Secale","Thymelaeaceae","Celtis","Botrychium-type","Aspiromitus punctatus","Rhinanthus-type","Sanguisorba minor-type","Knautia arvensis-type","Sphagnum","Populus","Typha latifolia-type","Dipsacoideae","Cistus/Helianthemum","Citrus","Nerium oleander","Cryptogramma","Polygonum aviculare-type","Picea","Buxus","Campanulaceae","Centaurea montana-type","Cistus salviifolius","Taxus","Paliurus","Avena-type","Cucumis melo","Euphorbia","Centaurea cyanus-type","Viburnum opulus-type","Genista-type","Thalictrum","Viscum","Cercis","Hordeum-type","Lamium album-type","Nymphaea","Persicaria maculosa-type","Convolvulus arvensis-type","Armeria/Limonium","Pseudopediastrum kawraiskyi","Persicaria amphibia","Ceratonia","Ilex"
NA,NA,NA,380,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,5,5,6,6,7,7,8,8,8,9,12,12,14,15,16,16,17,18,21,31,32,39,40,41,49,144,654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,385,1,3,NA,5,1,NA,NA,NA,4,3,NA,1,8,12,3,1,11,NA,5,6,1,14,12,8,8,5,1,13,12,35,10,8,18,16,16,27,36,32,31,60,58,57,164,652,1,1,1,1,2,3,3,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,375,NA,4,NA,5,NA,NA,NA,NA,1,2,NA,NA,18,9,5,2,8,1,4,6,3,10,16,11,10,5,8,39,3,57,13,9,25,14,14,8,27,39,22,65,39,81,198,572,1,1,1,NA,1,8,NA,9,1,1,1,1,2,2,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,371,NA,2,NA,7,NA,NA,NA,NA,1,2,1,1,16,9,NA,NA,31,1,4,8,NA,6,15,14,6,8,NA,24,12,25,17,24,31,17,7,41,20,79,69,69,43,42,172,515,NA,NA,1,NA,5,2,1,9,2,NA,NA,NA,NA,3,NA,2,1,1,1,1,2,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,390,NA,4,NA,7,NA,NA,1,NA,14,2,NA,NA,27,11,5,3,4,NA,5,8,1,5,23,12,12,7,2,20,7,56,19,24,36,16,10,34,22,54,52,86,40,65,121,768,3,NA,1,NA,3,1,3,16,5,NA,NA,NA,NA,6,5,NA,1,NA,NA,1,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,395,1,4,NA,2,1,NA,NA,NA,2,2,1,NA,18,4,2,6,9,1,5,13,3,12,3,12,5,8,3,9,7,22,18,21,37,25,9,42,42,33,29,69,44,68,131,614,1,2,NA,NA,2,2,1,9,3,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,410,2,6,NA,8,NA,2,NA,NA,4,1,NA,1,29,10,1,5,9,NA,5,4,4,8,17,14,4,2,1,47,15,29,16,31,33,36,8,19,40,103,38,86,118,26,215,454,2,NA,4,NA,2,3,NA,10,3,NA,NA,NA,NA,2,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,424,2,20,NA,13,1,NA,NA,NA,2,2,1,NA,42,5,16,6,17,6,11,11,4,6,15,21,26,4,NA,187,31,36,41,9,11,12,6,66,42,123,81,190,417,8,345,259,2,3,2,NA,16,5,NA,115,NA,1,NA,NA,NA,2,NA,NA,NA,NA,2,1,NA,1,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,270,2,8,100,10,NA,NA,1,NA,1,2,NA,1,5,10,8,4,12,3,15,9,5,2,11,21,3,1,4,547,13,40,44,32,4,4,6,38,59,50,29,37,63,8,449,111,3,NA,3,NA,4,4,1,76,NA,1,NA,NA,NA,2,28,20,NA,NA,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,415,1,9,NA,6,1,NA,NA,1,2,7,1,2,21,12,2,NA,5,3,4,8,2,5,8,19,12,NA,NA,39,9,46,6,23,17,25,7,40,23,47,28,69,136,17,171,597,6,NA,NA,NA,3,6,2,9,NA,1,NA,NA,NA,1,2,NA,1,NA,NA,1,2,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
