Sample age (cal yr BP) [cal yr BP],Depth (cm) [cm],Acacia,Acanthaceae,Aizoaceae,Balanites,Blepharis,Borreria,Boscia,Capparis,Cassia,Celtis,Chenopodiaceae/Amaranthaceae,Cleome-type,Cocculus,Combretaceae,Commiphora,Convolvulaceae,Crossopteryx,Cucurbitaceae,Cyperaceae,Euphorbia,Ficus,Gramineae,Gramineae >40µm,Gynandropsis,Hyphaene-type,Indetermines,Indigofera,Ipomaea,Lamiaceae,Lannea/Sclerocarya,Liguliflorae,Liliaceae,Maerua,Mitracarpus,Mitragyna,Monocotyledoneae,Nyctaginaceae,Nymphaea,Papilionoideae,Piliostigma,Polycarpaea,Polygonum senegalense-type,Pteridophytae,Pterocarpus,Sapotaceae,Solanaceae,Tephrosia,Tribulus,Tubuliflorae,Typha,Utricularia,Ziziphus
NA,0,,1,,1,,,,1,2,,5,1,1,3,,1,,1,94,1,,165,3,,,5,4,,1,,1,,,3,,3,,102,3,1,,,,,,1,1,,8,,,
NA,5,,,,,,,,1,1,,1,,,1,,,,1,29,,,67,4,,,2,3,1,2,,,,,1,1,1,1,28,1,1,,,,,,,,,2,,,
NA,10,1,1,,,,,1,1,,,2,,,1,,1,,,35,,,53,2,,,1,1,,,,1,,,,1,1,,25,1,,,,,,,,,,2,,,
NA,15,,,,,,,,1,1,,1,,1,1,1,,,,30,1,,67,2,,,2,1,,,,1,,1,1,,2,,29,2,,,,,,,1,,1,2,,,
NA,20,,,,,,,,,,,1,1,,,,,,1,22,,,65,1,,,2,1,,1,,,,,1,1,,1,23,2,1,,,,,,,1,,1,,,1
NA,25,,,,1,,1,,,1,,1,,,,,,,1,28,,,67,2,,,3,3,1,2,,,1,1,2,1,2,,32,3,,,,,1,,,,1,4,,,
NA,30,,1,1,,1,,,1,,,1,1,,1,,1,,,25,,,69,3,,,3,1,,,,,,,,1,1,1,32,1,,,,1,,,,,,1,1,,
NA,35,,,,,,1,1,,1,,2,,,2,,,,1,22,,,66,1,1,,3,1,,1,,2,,,2,1,,,27,3,,1,1,,,,,1,,1,,,
NA,40,,,,,,,,,2,,1,,,3,,,,,28,1,,43,1,,,2,1,,1,,1,,1,,2,1,1,26,1,,,,,,,,,2,1,1,,
NA,45,,,,,,,,2,1,,3,,,1,1,,,,31,,,67,,,,4,1,,,,,,,1,,,,50,3,,1,,,,,,,,,1,1,
NA,50,,1,,,,,,,1,,1,,1,,1,,,,27,,,70,1,1,,3,,,1,,,1,1,,1,2,,29,,,,,,,,,,1,1,,,
NA,55,1,,,,,,,1,1,1,3,,,3,,,1,,44,,,94,5,,,2,1,,3,,1,,1,1,7,,,68,2,,,,,1,,,,,4,,,1
NA,65,,,,,,,,,2,1,,,,3,,1,1,1,30,,,50,2,,1,1,1,,,1,,,,2,4,,,53,,,,1,,,,,,,,,,1
NA,70,1,,,,1,,,,,,1,,,3,,,,,34,,,49,,,,3,2,,,,,,1,,5,,1,62,1,1,,2,,1,1,,,,1,1,,
NA,75,,,,,,,,,2,,,,,1,,2,,,52,1,,63,2,1,,6,4,,1,,,,2,,4,,1,81,2,,,,,,,,,,,,3,
NA,80,1,,,,,,,,,,1,,,2,,1,,,25,,,38,1,,,2,1,,,,,,1,1,5,,,53,1,,,,,,,,,,1,1,,1
539,85,,1,,,,,,,,1,,,,2,,,1,,27,,,34,1,,,2,1,,,,,1,,1,4,,,42,,,,1,,,,,1,,,,,
NA,115,,,,,,,,,,,1,,,1,,,,,9,,,59,1,,,1,,,,,1,,,,2,,,9,,,,1,,,,,,,1,,,
NA,125,,1,,,,,,,,,1,,,2,,1,,,15,,1,55,,,1,1,,,1,,,,,2,7,1,,15,,,,,,,,,,,1,,,
NA,135,,,,,,,,,1,,,,,3,,,1,,15,,,57,3,,,2,1,,1,,,,1,1,7,1,1,13,,,,,,,,,,,1,,,
NA,145,,,,,,,,1,,,1,,,2,,,,,15,,,52,1,,,3,,,1,,,,,3,7,,,15,1,,,,,,,,,,,,1,1
NA,155,,,,,,,,,,,,,,,,,,,9,,,73,2,,,1,,,,,1,,,,1,,,5,,,,1,,,,,,,,,,
