depth,Cyperaceae,Apiaceae,Polycarpaea,Artemisia,Liliaceae,Ephedra distachya-type,Corbiconia,Indetermines,Brassicaceae,Pinus,Tubuliflorae,Calligonum,Cleome,Ephedra fragilis-type,Gramineae,Chenopodiaceae/Amaranthaceae,Liguliflorae,Rhus,Rhamnaceae,Plantago,Papilionoideae,Corylus,Combretaceae,Helianthemum,Maerua,Juniperus,Ranunculaceae,Typha,Celastraceae,Typha latifolia,Pistacia,Tilia,Quercus ilex-type,Lannea,Sterculiaceae,Prosopis,Quercus pubescens-type,Heliotropium,Erica,Euphorbia,Plumbaginaceae,Lamiaceae,Polygala,Tamarix,Gymnocarpos,Alnus,Rhizophora,Asphodelus,Acer,Linociera,Rumex,Acacia,Polygonum,Ostrya,Centaurea jacea-type,Alchornea,Manilkara,Sanguisorba minor-type,Isoetes,Bombacaceae,Blepharis,Echium,Elaeis guineensis,Fagus,Betula,Centaurea scabiosa-type,Caylusea,Moltkia,Strychnos,Borreria,Tribulus,Gymnosporia,Simirestis,Erodium
97.5,66,2,3,40,1,6,1,5,1,11,8,2,1,139,36,175,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117.5,87,3,,25,,4,,6,2,6,5,,1,92,14,254,2,2,1,1,2,1,3,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137.5,146,,,49,,2,,11,3,7,7,,2,63,71,145,,,,2,2,1,4,,,2,,3,2,1,2,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157.5,110,,1,47,,2,,8,4,7,2,1,,101,36,186,,3,,1,3,1,,,,1,,6,,1,,,1,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,32,,,36,,3,,3,4,16,7,3,,187,38,212,3,,,1,,,3,,,4,,1,,,,,2,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197.5,36,,2,32,,4,,8,6,9,14,,3,113,32,235,2,,,1,1,1,7,,2,1,,,,,1,,,,,,,,1,,1,1,1,1,2,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,
217.5,104,1,2,47,,5,,10,5,2,11,5,,141,41,171,2,,,4,,1,11,1,3,,,,,,,,1,,,,2,,,,,,,,2,,,,1,1,1,1,3,,,,,,,,,,,,,,,,,,,,,
237.5,135,,1,65,1,3,,6,4,3,10,,,11,39,208,,,,5,5,,2,,1,,,1,,,,,1,,,,,,,,,,,,1,,,,,,,2,6,1,1,,,,,,,,,,,,,,,,,,,
257.5,66,3,1,45,2,2,,6,3,5,10,,,154,23,196,1,3,,,,,2,1,,,,2,,,,,1,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275.5,144,,3,36,1,9,,9,9,8,10,,1,28,99,145,1,,,5,2,1,17,,,,,15,,1,2,,1,1,,,,,,2,,,,,1,1,,,1,,,2,1,,,2,1,,,,,,,,,,,,,,,,,
296.5,39,1,4,35,2,5,,9,3,6,17,,1,97,24,238,2,,,,1,,7,,4,,,1,,,,,1,,,,2,,1,1,,2,,2,1,,,,1,,,,,,,1,,1,2,1,,,,,,,,,,,,,,
316.5,124,,2,28,,2,,2,5,,19,1,1,19,32,245,1,,,3,2,,9,,1,,,,,,,,,,,,,,,3,,,,,,,,,,,,,2,,,,,,,,6,2,,,,,,,,,,,,
337.5,131,,1,16,1,14,,17,1,20,5,3,,36,111,60,2,,,4,,26,3,1,,2,,19,,2,2,,2,,,,,1,,2,,1,,,,1,,5,,,,1,,,,2,,,4,,,,2,4,,,,,,,,,,
357.5,108,,1,23,1,8,,5,6,23,2,1,,73,74,170,1,,,1,1,,4,,3,1,,10,,,,,1,,,,1,,1,,,1,,,,,,,,,,,2,,,1,,,,,,,3,,1,1,,,,,,,,
