"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Betula","Typha latifolia","Ulmus","Vitis","Fabaceae","Rosaceae","Vicia-type","Carpinus betulus","Valerianella","Phillyrea","Centaurea cyanus-type","Ephedra fragilis-type","Apium-type","Scilla-type","Polygonum cognatum-type","Quercus cerris-type","Ranunculus sceleratus-type","Turgenia-type","Selaginella","Salix","Thalictrum","Filago-type","Aquilegia-type","Sanguisorba minor/Poterium","Indeterminable","Equisetum","Taxus","Apiaceae","Trifolium-type","Ephedra distachya-type","Butomus","Thymus/Mentha-type","Poaceae (Cerealia-type)","Symphytum-type","Abies","Senecio-type","Brassica-type","Fraxinus ornus","Cirsium/Gundelia-type","Galium-type","Plantago lanceolata-type","Caryophyllaceae","Centaurea solstitialis-type","Polygonum aviculare-type","Artemisia herba-alba-type","Matricaria-type","Cedrus","Amaranthaceae","Juniperus","Poaceae","Sparganium-type","Cichorioideae","Dryopteris-type","Pinus","Cyperaceae","Castanea","Corylus","Fagus","Tilia","Lythrum","Juglans","Alisma","Helianthemum","Delphinium-type","Myriophyllum spicatum/M. verticillatum","Ostrya/Carpinus orientalis","Quercus coccifera-type","Asparagus-type","Bellis-type","Maianthemum","Scorzonera-type","Spinacia-type","Scabiosa palestina-type","Cheilanthes","Anthoceros laevis-type","Olea","Ophioglossum","Pteridium","Alnus","Arceuthobium","Cladium","Elaeagnus","Euphorbia","Malvaceae","Xanthium","Lemna","Potamogeton","Lysimachia","Rumex acetosa-type","Plantago major-type","Knautia","Artemisia vulgaris-type","Mercurialis annua","Acanthus","Arctium-type/Jurinea","Botrychium","Isoëtes","Triletes","Ericaceae","Daphne","Centaurea scabiosa-type","Fallopia convolvulus-type","Moltkia","Nymphaea","Onopordum-type","Carya","Ranunculus arvensis-type","Hydrocharis","Cousinia","Ranunculus repens-type","Cercis","Plantago coronopus-type","Aristolochia","Sphagnum","Humulus/Cannabis","Anthriscus-type","Centaurea jacea-type","Inula-type","Cupressus","Eryngium-type","Spergularia-type","Rumex hydrolapathum","Amaranthus-type","Geranium","Nuphar","Primula","Hypericum perforatum-type","Urtica dioica-type","Asteroideae","Persicaria amphibia","Malva","Heracleum-type","Teucrium","Epilobium","Persicaria maculosa-type","Crataegus-type","Liquidambar","Campanula-type","Sorbus-type","Plantago maritima-type","Hippuris","Capsella-type","Bunium-type","Juniperus sabina","Carthamus","Andrachne","Potentilla-type","Leontice","Scrophularia/Verbascum-type","Stachys-type","Matthiola","Sambucus nigra-type","Carduus-type","Hippocrepis-type","Ononis-type","Rhinanthus-type","Datisca","Sambucus ebulus","Ranunculaceae","Populus","Filipendula","Tribulus","Asperula-type","Platanus","Oleaceae","Fontanesia","Silene-type","Anisosciadium-type","Convolvulus","Papaver","Ferula-type","Crupina","Ilex","Acer","Gentiana","Plantaginaceae","Noaea-type","Adonis","Osmunda","Valeriana","Rheum","Pistacia","Lotus-type","Nigella","Echium-type","Melampyrum","Rosa-type","Centaurea","Salvia","Lilium","Hedysarum/Ebenus","Myrtus","Prunus-type","Prunella-type","Capparis","Phlomis","Reseda","Styrax","Digitalis","Hottonia","Halothamnus-type","Viola","Hedera","Veronica","Cytisus sect. Spartopsis","Scutellaria","Asphodeline","Clematis-type","Echinops","Dipsacus-type","Malus-type","Bongardia","Bupleurum-type","Ceratocephala-type","Lycopodium","Allium","Glaucium","Cotoneaster","Roemeria","Celtis","Fagopyrum","Ranunculus sect. Batrachium-type","Caltha","Scabiosa columbaria-type","Descurainia","Cotinus","Scabiosa","Ranunculus asiaticus-type","Plantago media-type","Paliurus","Menyanthes","Cuscuta","Cryptogramma","Rhynchospora-type","Boraginaceae","Calystegia","Hibiscus","Huperzia selago","Homogyne/Tussilago-type","Polypodium","Tulipa-type","Pterocephalus-type","Bistorta officinalis-type","Fraxinus excelsior","Impatiens","Verbena","Linum","Secale","Anagallis","Hypericum assyrianum-type","Brassicaceae","Aesculus","Centranthus","Plantago tenuiflora-type","Primula veris","Sisyrinchium","Succisa","Theligonum cynocrambe","Liliaceae","Malabaila","Myrica","Sanguisorba officinalis"
1662,NA,NA,110,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,5,5,5,5,7,12,13,14,15,17,18,20,21,23,28,47,58,161,173,268,301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1702,NA,NA,112,NA,NA,NA,NA,2,1,NA,NA,NA,NA,1,NA,1,NA,1,5,1,NA,NA,3,3,NA,NA,NA,NA,13,NA,6,1,NA,2,3,NA,3,1,9,7,7,6,5,9,16,29,10,12,20,18,25,38,45,53,156,138,147,192,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1761,NA,NA,115,1,NA,NA,1,4,2,NA,1,NA,NA,1,1,NA,1,1,3,NA,NA,NA,3,1,1,1,NA,1,14,1,2,1,2,NA,3,7,5,5,11,4,10,7,3,9,14,7,24,15,17,20,17,41,46,61,122,119,196,288,NA,1,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1800,NA,NA,117,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,11,3,1,NA,NA,4,NA,NA,NA,1,23,2,4,NA,1,2,3,7,NA,1,11,3,18,6,3,11,20,20,16,12,23,31,25,36,48,87,193,118,205,353,NA,NA,NA,NA,NA,2,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,4,4,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,2,NA,1,1,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1858,NA,NA,120,NA,1,1,NA,1,NA,1,NA,NA,NA,1,2,NA,3,NA,7,NA,NA,NA,4,4,1,3,NA,2,24,3,3,NA,1,2,6,8,5,5,8,3,12,7,5,9,18,27,18,29,30,36,14,43,43,90,136,170,255,291,NA,3,NA,NA,NA,1,6,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,1,NA,1,NA,5,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1899,NA,NA,122,NA,1,NA,1,2,NA,NA,NA,NA,NA,NA,1,2,4,1,8,NA,NA,NA,6,2,1,5,NA,1,26,NA,3,3,2,4,3,7,5,4,16,4,5,4,7,17,15,26,13,18,24,18,22,50,61,86,122,92,159,369,NA,NA,NA,NA,NA,2,4,NA,3,1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,4,1,1,1,NA,NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,2,NA,NA,1,NA,1,1,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,NA,NA,125,NA,2,NA,1,3,NA,NA,NA,NA,NA,1,1,1,NA,1,8,1,NA,NA,1,7,1,4,1,NA,29,NA,NA,NA,NA,5,1,5,3,2,7,7,5,9,8,16,13,27,22,20,26,32,16,20,43,79,127,189,220,294,NA,NA,NA,NA,NA,1,3,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,NA,NA,127,NA,5,NA,NA,1,NA,NA,NA,NA,NA,2,2,2,NA,1,7,1,NA,NA,4,1,NA,3,NA,1,44,NA,NA,5,NA,2,2,9,7,3,9,4,16,3,7,11,27,13,13,22,27,20,16,35,68,123,165,111,186,462,NA,NA,NA,NA,1,NA,4,NA,1,NA,2,NA,NA,1,NA,2,NA,NA,2,NA,2,NA,1,NA,1,1,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2063,NA,NA,130,1,NA,NA,1,4,NA,NA,1,NA,NA,NA,NA,NA,NA,1,9,1,NA,NA,NA,4,1,4,NA,1,39,NA,1,NA,1,2,6,4,2,2,4,2,14,8,10,10,10,17,14,16,24,34,13,16,52,132,130,149,211,407,NA,NA,NA,NA,NA,3,2,NA,NA,1,NA,1,NA,1,NA,1,NA,NA,NA,NA,1,NA,2,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2103,NA,NA,132,1,1,NA,1,3,NA,NA,NA,NA,NA,1,1,NA,NA,1,7,NA,NA,NA,NA,3,NA,2,NA,NA,52,1,1,NA,NA,NA,1,4,3,2,3,NA,17,6,4,7,8,17,20,19,12,40,6,4,40,145,98,234,253,276,NA,NA,NA,NA,NA,3,4,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,1,NA,3,2,NA,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
