"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Betula","Typha latifolia","Ulmus","Vitis","Fabaceae","Rosaceae","Vicia-type","Carpinus betulus","Valerianella","Phillyrea","Centaurea cyanus-type","Ephedra fragilis-type","Apium-type","Scilla-type","Polygonum cognatum-type","Quercus cerris-type","Ranunculus sceleratus-type","Turgenia-type","Selaginella","Salix","Thalictrum","Filago-type","Aquilegia-type","Sanguisorba minor/Poterium","Indeterminable","Equisetum","Taxus","Apiaceae","Trifolium-type","Ephedra distachya-type","Butomus","Thymus/Mentha-type","Poaceae (Cerealia-type)","Symphytum-type","Abies","Senecio-type","Brassica-type","Fraxinus ornus","Cirsium/Gundelia-type","Galium-type","Plantago lanceolata-type","Caryophyllaceae","Centaurea solstitialis-type","Polygonum aviculare-type","Artemisia herba-alba-type","Matricaria-type","Cedrus","Amaranthaceae","Juniperus","Poaceae","Sparganium-type","Cichorioideae","Dryopteris-type","Pinus","Cyperaceae","Castanea","Corylus","Fagus","Tilia","Lythrum","Juglans","Alisma","Helianthemum","Delphinium-type","Myriophyllum spicatum/M. verticillatum","Ostrya/Carpinus orientalis","Quercus coccifera-type","Asparagus-type","Bellis-type","Maianthemum","Scorzonera-type","Spinacia-type","Scabiosa palestina-type","Cheilanthes","Anthoceros laevis-type","Olea","Ophioglossum","Pteridium","Alnus","Arceuthobium","Cladium","Elaeagnus","Euphorbia","Malvaceae","Xanthium","Lemna","Potamogeton","Lysimachia","Rumex acetosa-type","Plantago major-type","Knautia","Artemisia vulgaris-type","Mercurialis annua","Acanthus","Arctium-type/Jurinea","Botrychium","Isoëtes","Triletes","Ericaceae","Daphne","Centaurea scabiosa-type","Fallopia convolvulus-type","Moltkia","Nymphaea","Onopordum-type","Carya","Ranunculus arvensis-type","Hydrocharis","Cousinia","Ranunculus repens-type","Cercis","Plantago coronopus-type","Aristolochia","Sphagnum","Humulus/Cannabis","Anthriscus-type","Centaurea jacea-type","Inula-type","Cupressus","Eryngium-type","Spergularia-type","Rumex hydrolapathum","Amaranthus-type","Geranium","Nuphar","Primula","Hypericum perforatum-type","Urtica dioica-type","Asteroideae","Persicaria amphibia","Malva","Heracleum-type","Teucrium","Epilobium","Persicaria maculosa-type","Crataegus-type","Liquidambar","Campanula-type","Sorbus-type","Plantago maritima-type","Hippuris","Capsella-type","Bunium-type","Juniperus sabina","Carthamus","Andrachne","Potentilla-type","Leontice","Scrophularia/Verbascum-type","Stachys-type","Matthiola","Sambucus nigra-type","Carduus-type","Hippocrepis-type","Ononis-type","Rhinanthus-type","Datisca","Sambucus ebulus","Ranunculaceae","Populus","Filipendula","Tribulus","Asperula-type","Platanus","Oleaceae","Fontanesia","Silene-type","Anisosciadium-type","Convolvulus","Papaver","Ferula-type","Crupina","Ilex","Acer","Gentiana","Plantaginaceae","Noaea-type","Adonis","Osmunda","Valeriana","Rheum","Pistacia","Lotus-type","Nigella","Echium-type","Melampyrum","Rosa-type","Centaurea","Salvia","Lilium","Hedysarum/Ebenus","Myrtus","Prunus-type","Prunella-type","Capparis","Phlomis","Reseda","Styrax","Digitalis","Hottonia","Halothamnus-type","Viola","Hedera","Veronica","Cytisus sect. Spartopsis","Scutellaria","Asphodeline","Clematis-type","Echinops","Dipsacus-type","Malus-type","Bongardia","Bupleurum-type","Ceratocephala-type","Lycopodium","Allium","Glaucium","Cotoneaster","Roemeria","Celtis","Fagopyrum","Ranunculus sect. Batrachium-type","Caltha","Scabiosa columbaria-type","Descurainia","Cotinus","Scabiosa","Ranunculus asiaticus-type","Plantago media-type","Paliurus","Menyanthes","Cuscuta","Cryptogramma","Rhynchospora-type","Boraginaceae","Calystegia","Hibiscus","Huperzia selago","Homogyne/Tussilago-type","Polypodium","Tulipa-type","Pterocephalus-type","Bistorta officinalis-type","Fraxinus excelsior","Impatiens","Verbena","Linum","Secale","Anagallis","Hypericum assyrianum-type","Brassicaceae","Aesculus","Centranthus","Plantago tenuiflora-type","Primula veris","Sisyrinchium","Succisa","Theligonum cynocrambe","Liliaceae","Malabaila","Myrica","Sanguisorba officinalis"
2164,NA,NA,135,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,1,NA,7,2,NA,NA,2,2,1,3,1,NA,50,NA,5,2,NA,3,3,10,NA,1,7,4,20,14,4,5,16,31,11,20,26,41,14,13,55,196,111,255,210,367,NA,1,1,NA,NA,1,4,NA,NA,1,NA,2,NA,2,NA,NA,NA,NA,2,NA,3,NA,3,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,5,1,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2204,NA,NA,137,NA,3,NA,NA,NA,NA,1,1,NA,NA,NA,1,3,1,2,9,1,NA,NA,NA,NA,NA,7,2,NA,48,NA,2,4,NA,1,NA,4,4,3,8,6,17,6,5,16,16,21,15,22,19,33,15,38,83,192,106,111,201,556,NA,NA,NA,1,2,2,3,NA,1,1,NA,1,NA,3,NA,NA,NA,NA,NA,NA,4,NA,3,3,NA,1,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,3,1,NA,NA,2,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2266,NA,NA,140,NA,1,NA,NA,3,NA,NA,NA,NA,1,NA,1,2,NA,1,18,4,NA,NA,2,2,NA,10,2,3,40,NA,3,5,1,1,1,2,2,6,10,6,24,7,7,10,13,23,22,21,19,25,19,36,66,281,95,120,221,794,NA,1,NA,NA,NA,2,4,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,2,NA,2,2,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,2,7,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2307,NA,NA,142,NA,2,NA,NA,1,NA,NA,NA,NA,1,NA,2,NA,NA,1,10,NA,NA,NA,2,4,1,7,1,1,40,NA,3,3,2,6,2,10,1,3,4,4,15,3,8,14,10,19,14,28,14,26,16,29,68,153,78,107,151,396,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,1,NA,NA,NA,2,NA,NA,NA,NA,2,NA,2,2,NA,NA,NA,1,2,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,NA,NA,NA,1,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2371,NA,NA,145,NA,8,NA,1,5,NA,NA,1,NA,1,NA,3,NA,NA,NA,9,3,NA,NA,6,NA,2,7,NA,1,56,NA,3,5,1,1,NA,4,NA,6,8,4,27,4,9,15,9,24,20,45,12,37,11,14,23,607,56,369,214,1249,NA,NA,NA,NA,1,NA,1,NA,NA,1,2,6,NA,NA,1,NA,NA,NA,1,NA,2,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,3,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2411,NA,NA,147,1,5,NA,2,4,NA,NA,NA,NA,2,NA,NA,1,NA,1,12,2,NA,NA,8,1,1,17,4,2,203,NA,5,8,1,1,2,8,3,2,4,7,31,3,18,20,26,11,18,36,25,14,22,13,59,638,47,337,91,824,1,1,NA,NA,3,2,5,NA,1,NA,2,6,1,NA,NA,NA,NA,NA,1,NA,6,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2473,NA,NA,150,NA,5,NA,1,1,NA,NA,NA,NA,NA,1,1,1,NA,1,20,1,1,NA,8,3,NA,14,2,3,122,1,NA,3,NA,1,1,7,3,6,2,16,28,6,2,15,9,8,9,27,14,28,14,15,87,327,48,170,185,797,NA,NA,NA,NA,2,5,2,NA,NA,1,2,7,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,1,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,3,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2513,NA,NA,152,NA,3,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,5,NA,NA,NA,NA,1,NA,NA,NA,NA,19,4,1,1,1,NA,NA,NA,NA,1,1,2,NA,2,2,NA,NA,9,4,34,12,31,NA,2,5,60,2,222,62,13,NA,NA,NA,NA,1,1,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2593,NA,NA,156,NA,9,NA,1,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,35,NA,NA,NA,13,2,NA,20,2,2,174,NA,3,3,1,NA,1,1,1,1,1,24,48,NA,5,19,5,7,8,45,18,10,18,17,69,618,37,67,116,1399,1,NA,NA,NA,3,7,NA,2,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,8,1,NA,2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2613,NA,NA,157,2,12,3,3,1,NA,2,NA,1,NA,1,1,1,1,1,16,2,NA,NA,4,NA,NA,5,2,1,118,1,NA,NA,NA,NA,1,9,3,2,3,NA,20,8,7,7,6,13,12,80,35,35,11,4,13,401,19,240,140,120,1,NA,NA,NA,3,6,NA,NA,NA,1,1,12,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,9,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,4,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2674,NA,NA,160,1,7,1,2,NA,NA,2,NA,NA,NA,NA,2,1,1,NA,19,NA,1,NA,8,5,1,21,2,2,136,1,3,1,1,2,2,8,2,3,6,19,49,6,9,20,7,12,9,51,12,17,17,27,67,761,50,92,156,1555,NA,NA,NA,NA,1,6,NA,1,NA,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA,22,1,1,1,NA,1,NA,1,NA,1,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2,1,1,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2714,NA,NA,162,NA,11,1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,16,NA,1,NA,8,3,NA,12,3,NA,111,NA,1,NA,1,1,1,4,NA,1,3,9,52,7,15,23,9,14,8,53,23,18,23,26,36,484,34,67,103,601,2,NA,NA,NA,3,3,NA,NA,NA,2,1,7,NA,NA,NA,NA,NA,NA,1,NA,11,NA,1,4,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2774,NA,NA,165,8,9,2,2,NA,NA,NA,NA,NA,1,4,1,NA,NA,NA,22,NA,NA,NA,6,1,NA,7,3,1,128,NA,3,NA,NA,1,3,3,NA,NA,15,4,42,5,10,13,10,13,9,61,31,13,17,24,42,460,42,71,82,849,1,1,NA,NA,2,1,NA,NA,NA,NA,3,1,NA,NA,NA,1,NA,NA,NA,NA,10,1,1,NA,1,NA,NA,NA,2,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2814,NA,NA,167,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,5,29,NA,NA,NA,9,NA,1,1,5,3,49,NA,4,3,NA,1,1,6,1,1,17,10,51,8,28,31,20,20,10,62,32,8,24,44,35,271,46,79,56,240,1,1,NA,NA,1,3,NA,NA,NA,NA,2,3,NA,1,NA,NA,NA,NA,NA,NA,12,NA,NA,1,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,6,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2873,NA,NA,170,NA,13,1,1,NA,1,NA,NA,NA,NA,1,NA,1,NA,3,18,NA,NA,NA,5,NA,NA,NA,2,4,37,NA,6,NA,1,NA,2,7,3,NA,11,9,45,2,15,26,10,12,9,49,30,10,16,48,68,255,73,85,138,381,NA,NA,NA,NA,1,1,NA,NA,NA,NA,2,5,NA,NA,NA,2,NA,NA,NA,NA,6,NA,3,1,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,5,NA,NA,NA,1,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2915,NA,NA,172,1,21,NA,1,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,24,NA,1,NA,5,NA,NA,2,6,5,31,NA,9,NA,NA,NA,3,3,3,1,9,7,25,9,11,25,11,20,12,46,31,12,19,33,41,173,49,66,92,216,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,2,5,NA,1,NA,NA,NA,NA,NA,NA,10,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,3,NA,1,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
